Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,97,0,2.5,83.0,0.007
2022-01-02,87,0,2.5,79.0,0.007
2022-01-03,102,0,3.6,74.0,0.007
2022-01-04,97,0,2.5,83.0,0.005
2022-01-05,127,0,2.0,78.0,0.005
2022-01-06,156,0,3.0,79.0,0.003
2022-01-07,129,0,3.0,79.0,0.002
2022-01-08,127,0,3.6,79.0,0.001
2022-01-09,127,0,3.0,79.0,0.001
2022-01-10,134,0,4.1,79.0,0.0
2022-01-11,129,0,4.6,79.0,0.0
2022-01-12,132,0,6.1,74.0,0.0
2022-01-13,0,0,5.1,78.0,0.0
2022-01-14,82,0,4.6,83.0,0.0
2022-01-15,95,0,4.1,78.0,0.0
2022-01-16,91,0,4.6,78.0,0.0
2022-01-17,82,0,4.6,78.0,0.001
2022-01-18,87,0,2.5,83.0,0.001
2022-01-19,134,0,2.5,65.0,0.001
2022-01-20,179,0,2.5,45.0,0.001
2022-01-21,182,0,2.0,39.0,0.001
2022-01-22,189,0,2.5,47.0,0.001
2022-01-23,173,0,2.5,69.0,0.001
2022-01-24,173,0,2.5,83.0,0.002
2022-01-25,163,0,2.5,48.0,0.002
2022-01-26,167,0,2.5,41.0,0.003
2022-01-27,165,0,3.6,74.0,0.003
2022-01-28,151,0,2.0,83.0,0.003
2022-01-29,157,0,2.0,79.0,0.002
2022-01-30,221,0,2.0,69.0,0.001
2022-01-31,267,0,1.5,60.0,0.002
2022-02-01,216,0,3.0,73.0,0.002
2022-02-02,178,0,4.1,78.0,0.001
2022-02-03,154,0,4.6,83.0,0.001
2022-02-04,132,0,3.0,83.0,0.001
2022-02-05,132,0,2.0,78.0,0.001
2022-02-06,117,0,2.0,79.0,0.001
2022-02-07,107,0,3.6,79.0,0.001
2022-02-08,134,0,4.1,83.0,0.001
2022-02-09,149,0,4.1,79.0,0.001
2022-02-10,151,0,4.1,79.0,0.0
2022-02-11,153,0,4.1,83.0,0.0
2022-02-12,0,0,4.6,79.0,0.001
2022-02-13,102,0,4.6,83.0,0.001
2022-02-14,97,0,4.6,83.0,0.002
2022-02-15,91,0,4.6,88.0,0.002
2022-02-16,82,0,5.1,83.0,0.002
2022-02-17,91,0,4.6,70.0,0.002
2022-02-18,95,0,0.0,0.0,0.002
2022-02-19,87,0,5.1,70.0,0.002
2022-02-20,76,0,4.6,74.0,0.002
2022-02-21,85,0,5.1,83.0,0.002
2022-02-22,74,0,5.1,83.0,0.002
2022-02-23,72,0,5.1,83.0,0.002
2022-02-24,78,0,4.6,83.0,0.003
2022-02-25,78,0,4.6,83.0,0.002
2022-02-26,102,0,5.1,83.0,0.003
2022-02-27,112,0,5.6,83.0,0.002
