Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,6,4,6.0,65.0,0.007
2022-01-02,8,8,2.5,46.8,0.007
2022-01-03,28,13,1.5,59.0,0.007
2022-01-04,33,17,1.5,47.0,0.005
2022-01-05,23,12,1.5,45.0,0.005
2022-01-06,20,13,2.2,54.6,0.003
2022-01-07,26,14,2.1,48.0,0.002
2022-01-08,15,10,1.8,47.0,0.001
2022-01-09,18,10,2.0,60.0,0.001
2022-01-10,25,16,1.8,50.8,0.0
2022-01-11,24,17,1.5,47.0,0.0
2022-01-12,16,12,3.3,47.0,0.0
2022-01-13,27,22,1.5,44.0,0.0
2022-01-14,18,24,3.6,40.6,0.0
2022-01-15,18,14,1.6,52.3,0.0
2022-01-16,23,14,2.0,36.6,0.0
2022-01-17,29,22,2.0,29.8,0.001
2022-01-18,16,15,2.0,39.0,0.001
2022-01-19,14,10,2.4,54.0,0.001
2022-01-20,35,18,1.7,59.0,0.001
2022-01-21,39,24,3.0,44.0,0.001
2022-01-22,22,21,4.6,51.0,0.001
2022-01-23,25,16,2.0,46.6,0.001
2022-01-24,18,15,1.8,39.0,0.002
2022-01-25,24,22,2.5,43.5,0.002
2022-01-26,23,14,3.3,59.3,0.003
2022-01-27,21,14,2.4,61.8,0.003
2022-01-28,19,10,2.0,49.8,0.003
2022-01-29,25,17,2.0,42.2,0.002
2022-01-30,35,21,1.5,44.0,0.001
2022-01-31,23,22,1.8,27.8,0.002
2022-02-01,24,20,1.8,31.0,0.002
2022-02-02,18,10,3.2,82.0,0.001
2022-02-03,24,10,1.8,72.0,0.001
2022-02-04,38,18,1.6,70.2,0.001
2022-02-05,30,16,1.6,55.0,0.001
2022-02-06,21,10,2.5,58.0,0.001
2022-02-07,25,12,2.0,55.0,0.001
2022-02-08,29,17,1.6,45.0,0.001
2022-02-09,25,16,2.0,37.3,0.001
2022-02-10,17,13,2.3,38.0,0.0
2022-02-11,14,12,2.5,39.4,0.0
2022-02-12,15,12,2.3,46.6,0.001
2022-02-13,23,16,1.5,31.0,0.001
2022-02-14,22,20,2.0,22.5,0.002
2022-02-15,21,26,3.4,18.0,0.002
2022-02-16,20,25,3.2,26.8,0.002
2022-02-17,17,9,2.5,66.1,0.002
2022-02-18,19,12,1.8,45.0,0.002
2022-02-19,20,12,2.0,36.4,0.002
2022-02-20,20,14,2.2,25.0,0.002
2022-02-21,14,13,3.4,22.0,0.002
2022-02-22,16,17,6.0,29.0,0.002
2022-02-23,44,63,3.1,33.0,0.002
2022-02-24,23,12,2.0,55.0,0.003
2022-02-25,25,17,2.1,37.0,0.002
2022-02-26,14,11,4.6,27.1,0.003
2022-02-27,15,10,2.2,27.5,0.002
2022-02-28,17,13,2.0,28.3,0.002
2022-03-01,19,15,2.5,20.4,0.002
2022-03-02,16,14,2.5,16.6,0.002
2022-03-03,22,23,2.6,21.0,0.002
2022-03-04,19,30,6.0,37.3,0.002
2022-03-05,12,12,2.7,43.6,0.001
2022-03-06,19,18,5.3,38.0,0.001
2022-03-07,17,14,2.3,46.0,0.001
2022-03-08,15,10,4.1,36.6,0.001
2022-03-09,18,13,1.8,31.2,0.001
2022-03-10,14,11,4.1,37.2,0.0
2022-03-11,14,11,4.1,40.0,0.001
2022-03-12,11,10,2.3,27.0,0.001
2022-03-13,15,13,3.0,24.2,0.001
2022-03-14,11,12,3.6,27.0,0.001
2022-03-15,17,17,2.5,22.0,0.003
2022-03-16,18,23,3.5,21.2,0.004
