Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,55,0,3.7,84.8,0.0
2022-01-02,17,0,9.3,57.7,0.0
2022-01-03,30,0,2.3,49.6,0.0
2022-01-04,25,0,3.9,49.5,0.0
2022-01-05,30,0,1.8,62.0,0.0
2022-01-06,25,0,7.4,55.2,0.0
2022-01-07,46,0,2.4,66.4,0.0
2022-01-08,53,0,2.1,95.7,0.0
2022-01-09,25,0,7.1,70.5,0.0
2022-01-10,17,0,7.8,52.3,0.001
2022-01-11,17,0,2.8,60.0,0.013
2022-01-12,38,0,1.3,72.6,0.009
2022-01-13,42,0,2.4,58.2,0.0
2022-01-14,34,0,3.8,41.7,0.0
2022-01-15,13,0,12.0,43.0,0.0
2022-01-16,21,0,2.9,44.0,0.0
2022-01-17,38,0,1.5,41.7,0.0
2022-01-18,25,0,5.1,63.6,0.0
2022-01-19,30,0,3.8,75.0,0.0
2022-01-20,17,0,9.6,51.0,0.0
2022-01-21,21,0,5.6,41.0,0.0
2022-01-22,42,0,3.4,41.5,0.0
2022-01-23,50,0,1.8,46.5,0.0
2022-01-24,25,0,1.3,87.5,0.0
2022-01-25,30,0,1.7,90.2,0.0
2022-01-26,34,0,5.0,73.0,0.0
2022-01-27,34,0,1.9,63.2,0.001
2022-01-28,21,0,7.8,54.2,0.001
2022-01-29,13,0,2.5,43.2,0.002
2022-01-30,17,0,3.1,45.7,0.01
2022-01-31,17,0,2.8,93.1,0.051
2022-02-01,30,0,0.8,93.2,0.072
2022-02-02,38,0,5.9,93.0,0.373
2022-02-03,13,0,5.1,91.0,0.94
2022-02-04,17,0,6.6,82.0,1.914
2022-02-05,21,0,2.0,73.2,2.705
2022-02-06,38,0,2.4,54.8,5.407
2022-02-07,30,0,4.7,59.2,4.546
2022-02-08,30,0,2.7,49.0,3.756
2022-02-09,25,0,2.3,43.6,2.857
2022-02-10,30,0,1.8,44.0,1.709
2022-02-11,34,0,4.3,58.6,1.629
2022-02-12,17,0,6.9,56.0,1.664
2022-02-13,21,0,3.0,45.5,1.946
2022-02-14,34,0,4.1,38.6,1.817
2022-02-15,30,0,7.8,71.7,1.573
2022-02-16,21,0,9.3,86.0,1.598
2022-02-17,25,0,9.4,65.6,0.952
2022-02-18,21,0,5.4,58.5,0.504
2022-02-19,38,0,2.1,45.6,0.253
2022-02-20,30,0,5.4,57.6,0.212
2022-02-21,21,0,8.0,79.1,0.299
2022-02-22,50,0,6.6,52.8,0.356
2022-02-23,21,0,8.6,72.4,0.352
2022-02-24,13,0,4.5,88.0,0.402
2022-02-25,38,0,8.1,74.0,0.591
2022-02-26,46,0,6.2,89.6,1.123
2022-02-27,38,0,6.0,70.4,1.698
2022-02-28,34,0,2.7,41.6,1.773
2022-03-01,38,0,3.1,34.7,1.621
2022-03-02,42,0,3.0,43.0,0.665
2022-03-03,34,0,3.1,58.3,0.19
2022-03-04,34,0,5.0,77.2,0.053
2022-03-05,25,0,7.0,79.0,0.009
2022-03-06,42,0,6.6,80.8,0.0
2022-03-07,13,0,8.4,69.2,0.0
2022-03-08,21,0,6.8,64.0,0.0
2022-03-09,34,0,4.2,65.5,0.0
2022-03-10,42,0,2.9,59.0,0.0
2022-03-11,34,0,9.2,68.8,0.0
2022-03-12,21,0,3.1,43.5,0.0
2022-03-13,34,0,4.2,37.7,0.0
2022-03-14,30,0,4.3,61.3,0.0
2022-03-15,25,0,5.6,38.3,0.0
2022-03-16,30,0,3.3,48.7,0.0
2022-03-17,38,0,5.6,85.6,0.0
2022-03-18,21,0,6.9,49.7,0.0
2022-03-19,30,0,2.5,33.8,0.0
2022-03-20,25,0,4.4,42.3,0.0
2022-03-21,17,0,5.8,88.3,0.0
2022-03-22,17,0,6.8,58.0,0.0
2022-03-23,17,0,5.2,42.5,0.0
2022-03-24,17,0,5.0,32.0,0.0
2022-03-25,30,0,3.4,26.4,0.0
2022-03-26,34,0,4.0,31.1,0.0
2022-03-27,25,0,5.8,38.5,0.0
2022-03-28,21,0,6.7,66.8,0.0
2022-03-29,38,0,9.3,74.8,0.0
2022-03-30,42,0,6.2,51.0,0.0
2022-03-31,30,0,2.5,44.0,0.0
2022-04-01,25,0,3.6,44.6,0.0
2022-04-02,34,0,3.8,55.0,0.0
2022-04-03,34,0,2.9,59.8,0.0
2022-04-04,55,0,3.5,84.2,0.0
2022-04-05,61,0,3.2,54.2,0.0
2022-04-06,21,0,8.7,36.6,0.0
2022-04-07,25,0,5.8,22.1,0.0
2022-04-08,25,0,3.8,24.0,0.0
2022-04-09,30,0,3.0,32.8,0.0
2022-04-10,38,0,3.8,69.0,0.0
2022-04-11,53,0,3.1,84.0,0.0
2022-04-12,65,0,3.5,82.6,0.0
2022-04-13,57,0,4.0,63.0,0.0
2022-04-14,25,0,4.7,35.6,0.0
2022-04-15,46,0,1.8,79.4,0.0
2022-04-16,46,0,2.1,84.0,0.0
2022-04-17,65,0,2.0,78.5,0.0
2022-04-18,42,0,8.6,68.5,0.0
2022-04-19,34,0,3.5,75.5,0.0
2022-04-20,38,0,3.7,79.5,0.0
2022-04-21,50,0,2.7,83.6,0.0
2022-04-22,46,0,4.0,78.0,0.0
2022-04-23,34,0,4.3,74.1,0.0
2022-04-24,38,0,3.3,79.0,0.0
2022-04-25,17,0,1.7,92.8,0.0
2022-04-26,21,0,7.1,74.0,0.0
2022-04-27,38,0,2.3,72.8,0.0
2022-04-28,38,0,3.0,75.0,0.0
