Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,46,16,5.0,93.0,0
2022-01-02,38,15,4.6,93.7,0
2022-01-03,32,13,4.0,88.6,0
2022-01-04,30,12,3.6,92.5,0
2022-01-05,32,14,3.2,88.2,0
2022-01-06,42,16,4.0,95.5,0
2022-01-07,21,9,5.0,86.0,0
2022-01-08,23,9,4.5,94.5,0
2022-01-09,31,10,2.5,89.7,0
2022-01-10,48,16,1.7,95.0,0
2022-01-11,53,19,1.0,97.0,0
2022-01-12,65,26,1.0,95.3,0
2022-01-13,62,25,1.0,97.0,0
2022-01-14,74,30,0.7,97.0,0
2022-01-15,102,39,1.7,97.7,0
2022-01-16,74,25,2.0,93.3,0
2022-01-17,50,18,2.0,93.2,0
2022-01-18,78,28,2.0,97.2,0
2022-01-19,59,20,3.6,91.0,0
2022-01-20,44,19,2.3,82.2,0
2022-01-21,44,17,2.0,85.5,0
2022-01-22,34,16,1.3,86.5,0
2022-01-23,53,20,0.7,89.0,0
2022-01-24,80,30,0.5,89.0,0
2022-01-25,92,39,1.0,92.0,0
2022-01-26,78,30,3.3,87.5,0
2022-01-27,42,15,3.7,90.0,0
2022-01-28,34,14,3.2,94.0,0
2022-01-29,31,14,6.0,81.7,0
2022-01-30,38,18,3.5,85.0,0
2022-01-31,30,16,6.0,76.5,0
2022-02-01,21,10,5.0,84.6,0
2022-02-02,15,10,3.5,87.7,0
2022-02-03,24,11,3.7,91.3,0
2022-02-04,17,7,4.0,87.0,0
2022-02-05,21,9,5.7,89.5,0
2022-02-06,17,7,7.5,87.6,0
2022-02-07,27,12,3.2,92.0,0
2022-02-08,21,10,6.5,87.0,0
2022-02-09,20,9,3.0,84.0,0
2022-02-10,25,11,3.3,83.5,0
2022-02-11,30,15,2.0,86.3,0
2022-02-12,30,13,7.0,86.7,0
2022-02-13,17,7,7.0,95.3,0
2022-02-14,13,5,4.6,94.7,0
2022-02-15,21,10,4.0,97.0,0
2022-02-16,26,10,10.0,83.5,0
2022-02-17,25,11,6.5,76.0,0
2022-02-18,24,11,8.0,82.5,0
2022-02-19,20,10,5.0,88.0,0
2022-02-20,21,9,9.2,91.2,0
2022-02-21,35,14,8.3,79.6,0
2022-02-22,42,17,4.7,85.0,0
2022-02-23,25,13,5.2,89.0,0
2022-02-24,17,8,5.5,82.0,0
2022-02-25,25,12,3.3,79.3,0
2022-02-26,46,24,4.0,79.5,0
2022-02-27,37,14,3.6,80.7,0
2022-02-28,43,16,2.7,94.0,0
2022-03-01,33,13,4.7,89.2,0
2022-03-02,62,19,3.7,96.0,0
2022-03-03,98,36,1.6,94.7,0
2022-03-04,42,15,3.3,91.5,0
2022-03-05,35,13,5.2,84.0,0
2022-03-06,30,11,4.7,84.2,0
2022-03-07,25,12,4.7,77.5,0
2022-03-08,73,29,4.5,76.7,0
2022-03-09,63,26,4.7,83.0,0
2022-03-10,33,15,3.6,84.5,0
2022-03-11,44,14,5.0,89.0,0
2022-03-12,25,10,6.0,83.6,0
2022-03-13,22,9,4.7,88.7,0
2022-03-14,30,11,2.0,86.2,0
2022-03-15,59,30,1.7,81.5,0
2022-03-16,68,27,1.2,95.5,0
2022-03-17,38,14,2.5,90.5,0
2022-03-18,53,19,3.2,80.2,0
2022-03-19,50,18,5.0,66.2,0
2022-03-20,51,18,2.0,78.5,0
2022-03-21,104,48,1.2,77.2,0
2022-03-22,95,46,2.7,79.5,0
2022-03-23,89,47,2.7,69.5,0
2022-03-24,137,61,2.2,70.2,0
2022-03-25,118,57,2.5,64.5,0
2022-03-26,92,49,3.2,67.5,0
2022-03-27,68,25,1.7,89.5,0
2022-03-28,59,22,1.0,83.2,0
2022-03-29,70,28,2.2,88.2,0
2022-03-30,75,29,2.5,90.0,0
2022-03-31,22,12,5.5,82.0,0
2022-04-01,17,10,3.5,82.7,0
2022-04-02,32,11,1.5,87.0,0
2022-04-03,54,18,2.5,67.5,0
2022-04-04,20,8,5.0,86.2,0
2022-04-05,17,8,5.7,76.7,0
2022-04-06,17,10,7.0,82.5,0
2022-04-07,17,9,8.5,74.2,0
2022-04-08,21,11,3.0,75.5,0
2022-04-09,20,11,3.0,70.0,0
2022-04-10,30,12,2.0,62.5,0
2022-04-11,40,17,3.7,63.2,0
2022-04-12,61,24,1.5,91.0,0
2022-04-13,46,15,3.2,91.0,0
2022-04-14,34,14,2.0,86.7,0
2022-04-15,42,19,2.5,74.5,0
2022-04-16,56,19,2.2,72.7,0
2022-04-17,68,23,3.5,66.5,0
