Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,50,0,1.0,95.0,0
2022-01-02,21,0,2.5,92.8,0
2022-01-03,17,0,5.0,60.8,0
2022-01-04,21,0,3.3,51.7,0
2022-01-05,30,0,4.3,88.2,0
2022-01-06,42,0,3.7,68.2,0
2022-01-07,34,0,4.0,86.2,0
2022-01-08,25,0,5.1,64.9,0
2022-01-09,34,0,7.5,77.5,0
2022-01-10,21,0,7.7,51.6,0
2022-01-11,38,0,5.2,52.7,0
2022-01-12,46,0,4.6,58.7,0
2022-01-13,57,0,1.5,67.8,0
2022-01-14,53,0,6.6,78.6,0
2022-01-15,25,0,6.5,42.5,0
2022-01-16,30,0,2.2,50.0,0
2022-01-17,30,0,8.7,84.8,0
2022-01-18,17,0,9.9,53.2,0
2022-01-19,30,0,5.4,61.8,0
2022-01-20,42,0,4.5,74.0,0
2022-01-21,30,0,3.7,53.1,0
2022-01-22,30,0,3.4,63.6,0
2022-01-23,57,0,4.0,61.5,0
2022-01-24,50,0,2.2,68.8,0
2022-01-25,59,0,3.4,75.5,0
2022-01-26,25,0,4.5,46.2,0
2022-01-27,34,0,3.1,52.1,0
2022-01-28,63,0,2.5,64.2,0
2022-01-29,30,0,8.2,89.2,0
2022-01-30,21,0,6.1,50.9,0
2022-01-31,42,0,2.5,58.0,0
2022-02-01,50,0,2.5,72.8,0
2022-02-02,55,0,0.7,84.2,0
2022-02-03,38,0,2.3,94.2,0
2022-02-04,17,0,3.8,93.0,0
2022-02-05,25,0,4.6,71.8,0
2022-02-06,30,0,2.0,65.2,0
2022-02-07,42,0,1.0,87.0,0
2022-02-08,25,0,4.5,90.6,0
2022-02-09,30,0,4.0,67.0,0
2022-02-10,34,0,4.5,78.5,0
2022-02-11,30,0,3.5,65.5,0
2022-02-12,30,0,6.2,52.6,0
2022-02-13,25,0,2.7,87.6,0
2022-02-14,25,0,4.6,60.8,0
2022-02-15,34,0,4.0,48.2,0
2022-02-16,34,0,5.9,67.0,0
2022-02-17,25,0,7.0,78.0,0
2022-02-18,13,0,8.2,57.7,0
2022-02-19,21,0,6.1,60.7,0
2022-02-20,25,0,7.0,50.2,0
2022-02-21,34,0,4.3,59.2,0
2022-02-22,50,0,3.0,91.3,0
2022-02-23,30,0,8.4,71.7,0
2022-02-24,21,0,3.6,47.4,0
2022-02-25,21,0,4.7,90.5,0
2022-02-26,25,0,3.5,70.5,0
2022-02-27,34,0,7.1,58.6,0
2022-02-28,25,0,4.8,44.4,0
2022-03-01,34,0,3.0,62.1,0
2022-03-02,34,0,4.7,59.6,0
2022-03-03,30,0,6.6,52.3,0
