Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,21,7,1.0,78.5,0
2022-01-02,46,12,1.5,89.2,0
2022-01-03,17,7,2.0,72.2,0
2022-01-04,61,19,1.8,86.3,0
2022-01-05,17,5,2.5,82.2,0
2022-01-06,17,5,4.3,71.3,0
2022-01-07,46,13,1.8,75.2,0
2022-01-08,70,22,2.5,80.0,0
2022-01-09,82,28,2.8,88.5,0
2022-01-10,89,32,1.8,92.0,0
2022-01-11,68,21,0.5,77.5,0
2022-01-12,82,27,0.7,82.5,0
2022-01-13,68,21,0.5,77.0,0
2022-01-14,57,16,3.6,75.5,0
2022-01-15,38,11,2.3,81.7,0
2022-01-16,76,28,1.5,84.2,0
2022-01-17,42,11,1.0,76.7,0
2022-01-18,25,10,5.1,77.7,0
2022-01-19,53,20,2.0,85.0,0
2022-01-20,21,7,0.7,75.7,0
2022-01-21,13,5,0.7,74.5,0
2022-01-22,17,5,5.1,80.2,0
2022-01-23,42,11,2.8,84.0,0
2022-01-24,65,21,2.0,87.0,0
2022-01-25,70,22,3.3,89.0,0
2022-01-26,46,13,3.3,82.5,0
2022-01-27,57,16,3.3,74.7,0
2022-01-28,13,5,1.6,70.7,0
2022-01-29,17,9,4.6,82.7,0
2022-01-30,21,7,1.5,58.0,0
2022-01-31,21,11,4.1,69.6,0
2022-02-01,21,8,5.4,83.0,0
2022-02-02,13,4,1.2,79.5,0
2022-02-03,17,10,2.8,69.0,0
2022-02-04,57,20,2.5,79.0,0
2022-02-05,17,6,1.5,68.5,0
2022-02-06,46,15,3.3,74.0,0
2022-02-07,21,5,1.0,76.0,0
2022-02-08,17,6,1.0,71.2,0
2022-02-09,17,8,4.6,75.3,0
2022-02-10,42,14,2.0,70.5,0
2022-02-11,46,15,3.0,73.0,0
2022-02-12,21,8,2.3,70.5,0
2022-02-13,59,18,2.5,63.5,0
2022-02-14,78,27,4.8,73.2,0
2022-02-15,78,29,3.3,79.3,0
2022-02-16,34,10,0.0,70.6,0
2022-02-17,30,9,0.0,61.3,0
2022-02-18,30,10,0.0,57.3,0
2022-02-19,13,5,0.0,39.6,0
2022-02-20,17,7,0.0,53.3,0
2022-02-21,34,10,0.0,76.0,0
2022-02-22,17,5,0.0,54.6,0
2022-02-23,17,7,0.7,46.0,0
2022-02-24,46,15,0.5,60.5,0
2022-02-25,25,10,1.2,58.7,0
2022-02-26,21,8,4.1,70.0,0
2022-02-27,50,14,3.8,68.0,0
2022-02-28,53,18,4.1,66.2,0
2022-03-01,61,21,2.0,51.0,0
2022-03-02,70,27,0.0,37.6,0
2022-03-03,78,29,0.0,35.3,0
2022-03-04,87,31,0.0,55.3,0
2022-03-05,70,22,0.0,54.6,0
2022-03-06,70,22,0.0,48.0,0
2022-03-07,65,20,0.0,51.3,0
2022-03-08,53,16,0.0,40.6,0
2022-03-09,59,19,0.0,45.0,0
2022-03-10,53,17,0.0,38.0,0
2022-03-11,53,16,0.0,35.0,0
2022-03-12,59,20,0.0,30.3,0
2022-03-13,65,22,0.0,23.6,0
2022-03-14,68,25,0.0,32.6,0
2022-03-15,80,30,0.0,41.0,0
2022-03-16,74,24,0.0,69.6,0
2022-03-17,107,43,0.0,55.6,0
2022-03-18,109,45,0.0,52.3,0
2022-03-19,117,45,0.0,47.6,0
2022-03-20,65,21,0.0,34.0,0
2022-03-21,74,26,0.0,32.0,0
2022-03-22,78,34,0.0,27.6,0
2022-03-23,72,30,0.0,25.3,0
2022-03-24,78,34,0.0,27.0,0
2022-03-25,72,33,0.0,27.0,0
2022-03-26,72,31,0.0,35.0,0
2022-03-27,38,13,0.0,39.6,0
2022-03-28,59,24,0.0,32.3,0
2022-03-29,63,29,0.0,31.6,0
2022-03-30,70,30,0.0,47.0,0
2022-03-31,57,23,0.0,72.6,0
2022-04-01,50,12,0.0,73.0,0
2022-04-02,50,14,0.0,70.6,0
2022-04-03,34,12,0.0,47.0,0
2022-04-04,42,12,0.0,49.6,0
2022-04-05,21,8,0.0,68.0,0
2022-04-06,25,6,0.0,51.0,0
2022-04-07,21,9,0.0,56.6,0
2022-04-08,17,8,0.0,50.0,0
2022-04-09,17,6,0.0,62.0,0
2022-04-10,13,5,0.0,51.3,0
2022-04-11,21,8,0.0,45.3,0
2022-04-12,53,17,0.0,43.3,0
2022-04-13,59,21,0.0,41.6,0
2022-04-14,63,24,0.0,36.6,0
2022-04-15,50,17,0.0,44.6,0
2022-04-16,17,7,0.0,58.6,0
2022-04-17,30,10,0.0,37.0,0
2022-04-18,42,12,0.0,34.0,0
2022-04-19,46,14,0.0,52.0,0
2022-04-20,59,19,0.0,53.6,0
2022-04-21,63,21,0.0,46.6,0
2022-04-22,57,20,0.0,62.0,0
2022-04-23,61,22,0.0,67.3,0
2022-04-24,30,12,0.0,60.5,0
2022-04-25,17,5,0.0,63.6,0
2022-04-26,46,14,0.0,55.0,0
2022-04-27,53,15,0.0,67.6,0
2022-04-28,46,15,0.0,40.0,0
2022-04-29,38,14,0.0,36.0,0
2022-04-30,53,20,0.0,41.0,0
2022-05-01,55,18,0.0,54.0,0
2022-05-02,46,16,0.0,44.0,0
2022-05-03,50,19,0.0,50.3,0
2022-05-04,50,18,0.0,65.6,0
2022-05-05,50,16,0.0,62.6,0
2022-05-06,53,17,0.0,65.3,0
2022-05-07,55,17,0.0,70.0,0
2022-05-08,42,14,0.0,66.0,0
2022-05-09,46,16,0.0,54.6,0
2022-05-10,50,18,0.0,44.5,0
2022-05-11,55,20,0.0,46.0,0
2022-05-12,55,22,0.0,51.3,0
2022-05-13,30,11,0.0,70.3,0
2022-05-14,34,15,0.0,43.5,0
2022-05-15,38,16,0.0,43.5,0
2022-05-16,50,21,0.0,45.3,0
2022-05-17,38,15,0.0,78.5,0
2022-05-18,34,15,0.0,37.0,0
2022-05-19,30,17,0.0,35.0,0
2022-05-20,46,20,0.0,42.6,0
2022-05-21,30,11,0.0,47.0,0
2022-05-22,21,9,0.0,46.0,0
2022-05-23,30,11,0.0,43.5,0
2022-05-24,38,16,0.0,61.0,0
2022-05-25,21,9,0.0,78.3,0
2022-05-26,25,10,0.0,50.0,0
2022-05-27,25,10,0.0,51.0,0
2022-05-28,17,7,0.0,43.6,0
2022-05-29,17,8,0.0,49.0,0
2022-05-30,17,9,0.0,52.5,0
2022-05-31,25,10,0.0,63.3,0
2022-06-01,25,10,0.0,50.3,0
2022-06-02,34,10,0.0,55.6,0
2022-06-03,38,13,0.0,48.3,0
2022-06-04,34,12,0.0,63.3,0
2022-06-05,46,14,0.0,57.3,0
2022-06-06,21,9,0.0,66.0,0
2022-06-07,34,13,0.0,68.3,0
2022-06-08,25,9,0.0,73.5,0
2022-06-09,30,10,0.0,83.0,0
2022-06-10,38,13,0.0,76.6,0
2022-06-11,34,13,0.0,48.3,0
2022-06-12,38,13,0.0,44.0,0
2022-06-13,38,15,0.0,61.0,0
2022-06-14,25,10,0.0,50.0,0
2022-06-15,42,16,0.0,46.6,0
2022-06-16,50,20,0.0,59.6,0
2022-06-17,30,12,0.0,58.0,0
2022-06-18,30,12,0.0,42.3,0
2022-06-19,38,15,0.0,45.6,0
2022-06-20,50,20,0.0,50.3,0
2022-06-21,25,10,0.0,47.0,0
2022-06-22,34,14,0.0,44.6,0
2022-06-23,42,14,0.0,36.3,0
2022-06-24,46,19,0.0,45.6,0
2022-06-25,17,7,0.0,71.6,0
2022-06-26,34,11,0.0,53.3,0
2022-06-27,50,19,0.0,50.3,0
2022-06-28,38,15,0.0,55.3,0
2022-06-29,53,20,0.0,48.3,0
2022-06-30,46,19,0.0,47.3,0
2022-07-01,61,29,0.0,57.3,0
2022-07-02,21,8,0.0,54.6,0
2022-07-03,30,10,0.0,48.3,0
2022-07-04,50,19,0.0,46.3,0
2022-07-05,34,11,0.0,75.0,0
2022-07-06,34,12,0.0,51.0,0
2022-07-07,34,14,0.0,53.6,0
2022-07-08,25,10,0.0,64.6,0
2022-07-09,21,10,0.0,57.3,0
2022-07-10,17,8,0.0,68.0,0
2022-07-11,17,9,0.0,53.6,0
2022-07-12,21,11,0.0,43.6,0
2022-07-13,25,11,0.0,39.0,0
2022-07-14,30,14,0.0,35.6,0
2022-07-15,25,11,0.0,43.3,0
2022-07-16,25,12,0.0,36.3,0
2022-07-17,17,9,0.0,35.0,0
2022-07-18,21,11,0.0,33.0,0
2022-07-19,38,19,0.0,31.6,0
2022-07-20,42,20,0.0,33.6,0
2022-07-21,50,22,0.0,35.6,0
2022-07-22,50,19,0.0,42.6,0
2022-07-23,55,21,0.0,41.6,0
2022-07-24,38,15,0.0,38.6,0
2022-07-25,42,17,0.0,37.0,0
2022-07-26,53,22,0.0,73.6,0
2022-07-27,57,20,0.0,61.0,0
2022-07-28,46,16,0.0,52.0,0
2022-07-29,50,19,0.0,51.0,0
2022-07-30,34,10,0.0,78.6,0
2022-07-31,34,11,0.0,59.3,0
2022-08-01,46,16,0.0,57.0,0
2022-08-02,34,12,0.0,46.0,0
2022-08-03,38,13,0.0,41.3,0
2022-08-04,42,15,0.0,36.0,0
2022-08-05,46,18,0.0,37.6,0
2022-08-06,38,10,0.0,59.0,0
2022-08-07,30,10,0.0,60.6,0
2022-08-08,34,12,0.0,64.6,0
2022-08-09,38,13,0.0,45.3,0
2022-08-10,34,12,0.0,38.6,0
2022-08-11,25,11,0.0,38.3,0
2022-08-12,21,10,0.0,37.6,0
2022-08-13,50,15,0.0,50.6,0
2022-08-14,46,13,0.0,55.3,0
2022-08-15,42,16,0.0,46.0,0
2022-08-16,38,15,0.0,42.6,0
2022-08-17,46,17,0.0,39.3,0
2022-08-18,53,22,0.0,40.0,0
2022-08-19,46,25,0.0,51.6,0
2022-08-20,25,9,0.0,71.3,0
2022-08-21,13,4,0.0,78.3,0
2022-08-22,9,4,0.0,90.3,0
2022-08-23,17,5,0.0,87.0,0
2022-08-24,46,15,0.0,75.0,0
2022-08-25,50,27,0.0,66.3,0
2022-08-26,55,30,0.0,60.3,0
2022-08-27,42,20,0.0,57.3,0
2022-08-28,30,13,0.0,74.6,0
2022-08-29,25,12,0.0,62.0,0
2022-08-30,34,15,0.0,50.3,0
2022-08-31,34,14,0.0,53.0,0
2022-09-01,25,10,0.0,46.6,0
2022-09-02,21,11,0.0,48.0,0
2022-09-03,34,13,0.0,55.3,0
2022-09-04,38,13,0.0,65.6,0
2022-09-05,50,17,0.0,61.0,0
2022-09-06,38,13,0.0,62.0,0
2022-09-07,42,17,0.0,65.0,0
2022-09-08,55,22,0.0,74.6,0
2022-09-09,17,8,0.0,61.0,0
2022-09-10,13,7,0.0,64.3,0
2022-09-11,9,5,0.0,72.3,0
2022-09-12,25,10,0.0,63.6,0
2022-09-13,25,11,0.0,59.3,0
2022-09-14,42,18,0.0,72.0,0
2022-09-15,17,8,0.0,75.0,0
2022-09-16,25,10,0.0,79.0,0
2022-09-17,17,8,0.0,73.3,0
2022-09-18,9,4,0.0,70.0,0
2022-09-19,13,4,0.0,74.0,0
2022-09-20,13,5,0.0,78.6,0
2022-09-21,17,7,0.0,72.6,0
2022-09-22,25,8,0.0,66.0,0
