Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,25,9,6.8,75.1,0.0
2022-01-02,50,13,2.0,87.6,0.0
2022-01-03,30,11,3.6,73.0,0.0
2022-01-04,42,11,3.5,80.8,0.0
2022-01-05,25,8,4.4,83.3,99.2
2022-01-06,21,6,7.0,64.3,0.0
2022-01-07,46,13,2.0,66.5,0.0
2022-01-08,82,27,2.0,70.5,0.0
2022-01-09,99,32,1.2,77.2,0.0
2022-01-10,93,31,2.0,70.1,0.0
2022-01-11,55,17,2.0,59.5,0.0
2022-01-12,72,26,1.0,68.6,0.0
2022-01-13,85,28,2.8,75.3,0.0
2022-01-14,53,14,5.0,69.0,0.0
2022-01-15,46,12,3.2,73.4,0.0
2022-01-16,99,35,1.0,81.1,0.0
2022-01-17,42,12,8.0,65.9,99.1
2022-01-18,34,10,6.8,63.2,0.0
2022-01-19,74,25,1.8,78.3,0.0
2022-01-20,68,20,3.1,83.0,99.3
2022-01-21,21,8,7.8,63.9,0.0
2022-01-22,21,6,6.0,60.2,99.2
2022-01-23,34,9,3.0,61.6,0.0
2022-01-24,68,23,2.1,67.1,0.0
2022-01-25,93,32,2.5,77.0,0.0
2022-01-26,63,18,3.1,81.7,0.0
2022-01-27,65,17,4.4,73.1,0.0
2022-01-28,25,10,10.8,63.4,0.0
2022-01-29,30,10,4.3,63.0,0.0
2022-01-30,25,9,14.0,54.8,99.3
2022-01-31,42,16,3.0,55.3,0.0
2022-02-01,53,15,2.0,76.0,0.0
2022-02-02,25,7,6.0,77.3,99.1
2022-02-03,21,9,3.0,66.0,0.0
2022-02-04,63,23,2.0,66.0,0.0
2022-02-05,38,19,3.0,59.8,0.0
2022-02-06,42,11,2.0,62.1,0.0
2022-02-07,21,8,7.0,67.9,99.6
2022-02-08,25,9,6.0,60.2,0.0
2022-02-09,21,7,4.0,69.3,0.0
2022-02-10,76,28,1.0,69.9,0.0
2022-02-11,78,28,3.2,63.4,0.0
2022-02-12,34,10,2.0,60.9,0.0
2022-02-13,59,17,2.0,66.1,0.0
2022-02-14,80,27,2.0,70.0,0.0
2022-02-15,76,26,2.0,83.1,99.6
2022-02-16,82,24,2.0,82.3,99.7
2022-02-17,34,10,6.7,64.5,99.3
2022-02-18,25,10,5.2,55.0,0.0
2022-02-19,25,9,4.5,51.0,0.0
2022-02-20,38,10,2.7,67.5,0.0
2022-02-21,55,13,2.5,85.5,0.2
2022-02-22,21,9,6.0,62.8,0.0
2022-02-23,30,10,3.2,65.5,0.0
2022-02-24,59,20,2.8,57.0,0.0
2022-02-25,46,15,4.0,51.7,0.0
2022-02-26,34,10,2.1,48.2,0.0
2022-02-27,50,15,5.0,49.7,0.0
2022-02-28,42,12,4.6,55.2,99.2
2022-03-01,42,12,3.2,47.2,0.0
2022-03-02,57,20,2.7,46.3,0.0
2022-03-03,91,35,1.6,53.5,0.0
2022-03-04,104,38,2.0,66.0,0.0
2022-03-05,63,20,2.0,56.8,0.0
2022-03-06,53,13,3.0,52.0,0.0
2022-03-07,85,30,2.6,61.3,0.0
2022-03-08,72,27,2.0,55.2,0.0
2022-03-09,68,25,3.5,54.0,0.0
2022-03-10,46,18,4.0,46.8,0.0
2022-03-11,46,14,2.6,39.7,0.0
2022-03-12,53,18,2.3,39.6,0.0
2022-03-13,82,31,2.0,39.0,0.0
2022-03-14,80,31,2.0,40.5,0.0
2022-03-15,74,33,2.6,37.0,0.0
2022-03-16,70,27,3.1,72.1,99.1
2022-03-17,91,33,3.8,69.8,0.0
2022-03-18,95,38,2.0,63.0,0.0
2022-03-19,87,34,3.5,38.0,0.0
2022-03-20,61,22,2.5,38.8,0.0
2022-03-21,74,30,3.0,34.1,0.0
2022-03-22,82,35,3.0,29.6,0.0
2022-03-23,72,34,2.3,26.8,0.0
2022-03-24,65,35,3.8,23.7,0.0
2022-03-25,59,30,2.0,37.1,0.0
2022-03-26,65,32,3.0,35.0,0.0
2022-03-27,61,26,3.3,47.3,0.0
2022-03-28,61,30,2.0,45.2,0.0
2022-03-29,72,38,2.8,43.5,0.0
2022-03-30,72,40,3.3,51.0,0.0
2022-03-31,70,30,2.0,91.6,1.3
2022-04-01,63,14,3.9,95.0,0.3
2022-04-02,72,18,3.5,85.5,0.4
2022-04-03,59,18,4.5,63.1,0.1
2022-04-04,57,16,3.8,60.1,0.0
2022-04-05,50,13,3.8,66.8,0.0
2022-04-06,46,14,2.6,59.5,0.0
2022-04-07,57,22,1.6,62.5,0.0
2022-04-08,34,12,5.0,56.0,0.0
2022-04-09,17,7,3.0,79.0,0.4
2022-04-10,25,7,4.5,53.0,0.0
2022-04-11,25,8,3.0,51.5,0.0
2022-04-12,50,17,1.5,53.1,0.0
2022-04-13,55,20,2.0,47.0,0.0
2022-04-14,57,25,1.8,39.1,0.0
2022-04-15,57,23,2.0,57.8,0.1
2022-04-16,30,9,4.1,69.0,0.2
2022-04-17,17,5,3.5,39.3,0.3
2022-04-18,25,8,2.0,48.0,0.0
2022-04-19,53,14,2.5,69.0,0.0
2022-04-20,61,18,3.0,52.5,0.0
2022-04-21,65,25,2.1,54.5,0.0
2022-04-22,68,23,3.0,65.3,0.1
2022-04-23,61,17,2.0,85.6,0.6
2022-04-24,53,14,2.3,81.9,0.2
2022-04-25,21,10,3.0,61.0,0.0
2022-04-26,34,10,2.1,62.1,0.0
2022-04-27,46,14,2.2,77.8,0.6
2022-04-28,34,11,2.1,66.2,0.2
2022-04-29,34,13,2.5,47.2,0.0
2022-04-30,46,17,3.1,46.6,0.0
