Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,47,16,6.3,88.2,0
2022-01-02,32,13,10.1,87.5,0
2022-01-03,33,18,9.8,85.2,0
2022-01-04,23,14,5.3,87.8,0
2022-01-05,30,16,8.0,83.6,0
2022-01-06,33,16,3.0,85.2,0
2022-01-07,32,12,5.5,87.8,0
2022-01-08,24,10,5.0,92.0,0
2022-01-09,29,15,6.5,88.5,0
2022-01-10,72,26,2.1,94.0,0
2022-01-11,67,23,3.0,93.0,0
2022-01-12,55,17,1.5,97.0,0
2022-01-13,47,14,2.5,98.0,0
2022-01-14,43,16,1.8,94.0,0
2022-01-15,57,17,2.6,97.4,0
2022-01-16,51,21,3.0,91.0,0
2022-01-17,37,22,3.5,88.5,0
2022-01-18,35,15,2.0,97.8,0
2022-01-19,50,21,3.0,93.2,0
2022-01-20,27,15,5.0,82.0,0
2022-01-21,25,15,3.0,89.0,0
2022-01-22,23,12,2.2,89.0,0
2022-01-23,38,15,1.5,92.0,0
2022-01-24,86,28,1.0,81.0,0
2022-01-25,86,31,1.0,85.0,0
2022-01-26,76,29,3.0,88.0,0
2022-01-27,39,18,6.0,88.0,0
2022-01-28,30,18,3.6,85.5,0
2022-01-29,33,15,7.0,86.5,0
2022-01-30,45,26,5.3,75.5,0
2022-01-31,43,21,10.7,85.0,0
2022-02-01,28,16,7.2,86.0,0
2022-02-02,50,25,4.0,87.0,0
2022-02-03,30,12,4.0,93.2,0
2022-02-04,23,10,6.2,89.0,0
2022-02-05,26,14,6.7,82.0,0
2022-02-06,28,13,10.0,90.5,0
2022-02-07,32,18,6.8,80.0,0
2022-02-08,30,13,6.0,85.6,0
2022-02-09,27,12,4.1,91.0,0
2022-02-10,24,12,3.0,84.3,0
2022-02-11,28,17,6.0,79.0,0
2022-02-12,52,20,4.5,78.0,0
2022-02-13,48,16,8.0,77.0,0
2022-02-14,27,12,8.0,79.0,0
2022-02-15,23,10,5.2,91.0,0
2022-02-16,26,11,8.5,93.0,0
2022-02-17,34,16,10.3,75.0,0
2022-02-18,33,18,11.0,83.2,0
2022-02-19,28,13,9.2,73.9,0
2022-02-20,28,14,7.2,89.7,0
2022-02-21,37,17,8.4,79.1,0
2022-02-22,40,22,4.4,86.6,0
2022-02-23,35,17,3.2,76.0,0
2022-02-24,25,11,3.7,79.0,0
2022-02-25,29,16,4.6,77.7,0
2022-02-26,43,19,2.7,83.7,0
2022-02-27,45,18,4.8,65.3,0
2022-02-28,48,15,4.8,66.2,0
2022-03-01,77,29,1.8,81.0,0
2022-03-02,89,32,3.3,73.1,0
2022-03-03,68,24,3.8,64.0,0
2022-03-04,65,22,4.0,68.4,0
2022-03-05,71,24,3.0,80.0,0
2022-03-06,42,15,4.3,76.9,0
2022-03-07,39,14,3.3,70.3,0
2022-03-08,50,18,4.3,53.5,0
2022-03-09,74,29,4.0,54.0,0
2022-03-10,79,34,4.0,53.2,0
2022-03-11,61,27,6.6,50.0,0
2022-03-12,41,16,5.4,65.0,0
2022-03-13,45,14,5.6,63.0,0
2022-03-14,34,15,3.5,76.5,0
2022-03-15,55,22,2.5,78.5,0
2022-03-16,57,23,5.9,71.0,0
2022-03-17,31,16,3.4,76.4,0
2022-03-18,50,20,2.8,79.0,0
2022-03-19,36,15,5.1,64.0,0
2022-03-20,78,27,4.8,71.6,0
2022-03-21,93,40,2.3,69.9,0
2022-03-22,92,41,2.0,72.5,0
2022-03-23,99,47,2.1,65.7,0
2022-03-24,101,50,1.6,59.7,0
2022-03-25,103,47,2.0,65.2,0
2022-03-26,98,44,2.0,72.5,0
2022-03-27,30,16,3.6,77.0,0
2022-03-28,38,15,2.5,88.0,0
2022-03-29,65,24,3.7,83.0,0
2022-03-30,26,13,2.3,78.7,0
2022-03-31,17,6,3.0,90.6,0
2022-04-01,20,8,3.8,69.1,0
2022-04-02,20,9,2.7,59.5,0
2022-04-03,20,9,1.9,75.6,0
2022-04-04,28,11,5.9,89.5,0
2022-04-05,20,9,3.5,91.0,0
2022-04-06,27,12,5.7,81.0,0
2022-04-07,26,12,8.2,81.0,0
2022-04-08,22,13,3.5,74.5,0
2022-04-09,23,12,4.3,75.0,0
2022-04-10,20,11,2.4,65.5,0
2022-04-11,48,16,4.0,57.3,0
2022-04-12,51,17,4.0,59.0,0
2022-04-13,39,16,1.7,75.4,0
2022-04-14,48,17,2.2,77.4,0
2022-04-15,33,11,3.0,80.1,0
2022-04-16,44,13,3.8,72.5,0
2022-04-17,43,14,3.6,50.0,0
2022-04-18,48,17,3.0,52.3,0
2022-04-19,55,19,2.4,64.0,0
2022-04-20,33,14,4.0,66.1,0
2022-04-21,37,15,3.0,70.2,0
2022-04-22,41,17,3.1,66.0,0
2022-04-23,54,19,3.4,62.4,0
2022-04-24,36,14,2.8,68.5,0
2022-04-25,46,15,1.7,81.4,0
2022-04-26,29,12,2.5,70.6,0
2022-04-27,28,13,1.2,68.7,0
2022-04-28,36,16,2.0,75.0,0
2022-04-29,27,14,2.4,76.0,0
2022-04-30,32,13,2.0,74.8,0
2022-05-01,46,16,1.5,70.9,0
2022-05-02,33,13,1.5,65.8,0
2022-05-03,42,18,1.4,82.7,0
2022-05-04,33,17,1.2,65.1,0
2022-05-05,55,22,1.0,75.7,0
2022-05-06,39,15,1.8,73.5,0
2022-05-07,53,21,2.0,76.0,0
2022-05-08,30,16,2.0,71.0,0
2022-05-09,39,20,1.3,60.0,0
2022-05-10,50,23,2.7,67.3,0
2022-05-11,30,17,3.0,72.6,0
2022-05-12,20,11,2.7,70.0,0
2022-05-13,29,15,3.0,70.0,0
2022-05-14,45,23,1.5,67.7,0
2022-05-15,51,22,1.7,60.5,0
2022-05-16,48,19,3.2,71.3,0
2022-05-17,35,16,2.5,77.0,0
2022-05-18,52,22,2.0,75.0,0
2022-05-19,49,18,2.4,87.5,0
2022-05-20,44,18,2.5,90.7,0
2022-05-21,33,14,2.5,78.0,0
2022-05-22,35,14,2.4,68.3,0
2022-05-23,39,15,2.0,76.1,0
