Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CI,Abidjan,humidity,23,70.0,100.0,83.0,700.65
2022-01-01,CI,Abidjan,pm25,24,85.0,144.0,97.0,2446.5
2022-01-01,CI,Abidjan,wind-speed,22,1.0,4.6,1.8,14.96
2022-01-02,CI,Abidjan,humidity,24,70.0,94.0,85.5,430.58
2022-01-02,CI,Abidjan,pm25,24,50.0,151.0,82.0,9455.36
2022-01-02,CI,Abidjan,wind-speed,24,0.7,3.3,1.8,6.62
2022-01-03,CI,Abidjan,humidity,24,74.0,98.5,88.0,456.58
2022-01-03,CI,Abidjan,pm25,23,70.0,168.0,117.0,11461.7
2022-01-03,CI,Abidjan,wind-speed,24,0.5,4.1,2.0,8.29
2022-01-04,CI,Abidjan,humidity,24,70.0,100.0,88.0,924.4
2022-01-04,CI,Abidjan,pm25,24,85.0,167.0,129.0,6979.71
2022-01-04,CI,Abidjan,wind-speed,24,0.3,3.8,1.8,7.66
2022-01-05,CI,Abidjan,humidity,24,72.0,100.0,88.0,1061.13
2022-01-05,CI,Abidjan,pm25,24,78.0,155.0,97.0,4146.07
2022-01-05,CI,Abidjan,wind-speed,24,0.5,2.8,2.0,3.93
2022-01-06,CI,Abidjan,wind-speed,23,0.7,4.3,2.3,10.59
2022-01-06,CI,Abidjan,pm25,24,95.0,162.0,127.0,3489.98
2022-01-06,CI,Abidjan,humidity,24,72.0,100.0,88.0,963.47
2022-01-07,CI,Abidjan,humidity,24,70.0,97.0,83.0,632.39
2022-01-07,CI,Abidjan,pm25,24,97.0,152.0,124.0,2444.57
2022-01-07,CI,Abidjan,wind-speed,24,1.5,4.6,2.5,7.51
2022-01-08,CI,Abidjan,humidity,23,70.0,97.0,88.0,444.08
2022-01-08,CI,Abidjan,pm25,24,97.0,173.0,155.0,5184.57
2022-01-08,CI,Abidjan,wind-speed,23,1.0,3.4,2.3,5.59
2022-01-09,CI,Abidjan,wind-speed,24,1.0,4.6,2.3,9.08
2022-01-09,CI,Abidjan,pm25,24,102.0,157.0,137.0,1832.16
2022-01-09,CI,Abidjan,humidity,24,50.5,100.0,88.0,1909.06
2022-01-10,CI,Abidjan,humidity,24,59.0,100.0,83.0,1247.59
2022-01-10,CI,Abidjan,pm25,24,114.0,162.0,142.0,1264.33
2022-01-10,CI,Abidjan,wind-speed,24,0.5,5.6,2.9,16.23
2022-01-11,CI,Abidjan,humidity,24,68.0,94.0,83.0,962.54
2022-01-11,CI,Abidjan,pm25,24,114.0,165.0,147.0,1606.07
2022-01-11,CI,Abidjan,wind-speed,24,1.2,5.6,2.3,18.86
2022-01-12,CI,Abidjan,wind-speed,24,2.5,6.6,3.8,15.77
2022-01-12,CI,Abidjan,humidity,24,68.0,88.0,83.0,415.86
2022-01-12,CI,Abidjan,pm25,24,95.0,157.0,117.0,2283.19
