Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GH,Accra,humidity,14,66.0,88.0,83.0,609.95
2022-01-01,GH,Accra,pm25,24,76.0,203.0,97.0,17290.0
2022-01-01,GH,Accra,wind-speed,14,1.5,4.6,2.5,10.32
2022-01-02,GH,Accra,humidity,20,65.0,88.0,79.0,379.89
2022-01-02,GH,Accra,pm25,24,68.0,160.0,87.0,6431.88
2022-01-02,GH,Accra,wind-speed,20,1.0,4.1,2.5,9.31
2022-01-03,GH,Accra,humidity,14,59.0,94.0,74.0,965.33
2022-01-03,GH,Accra,pm25,24,82.0,132.0,102.0,1684.76
2022-01-03,GH,Accra,wind-speed,14,2.0,5.1,3.6,6.84
2022-01-04,GH,Accra,humidity,22,58.0,94.0,83.0,1157.32
2022-01-04,GH,Accra,pm25,24,78.0,137.0,97.0,2068.68
2022-01-04,GH,Accra,wind-speed,22,0.5,4.6,2.5,10.55
2022-01-05,GH,Accra,humidity,18,58.0,83.0,78.0,978.82
2022-01-05,GH,Accra,pm25,23,102.0,161.0,127.0,4654.98
2022-01-05,GH,Accra,wind-speed,18,0.5,5.1,2.0,17.44
2022-01-06,GH,Accra,wind-speed,20,1.0,4.1,3.0,12.63
2022-01-06,GH,Accra,humidity,20,62.0,88.0,79.0,668.71
2022-01-06,GH,Accra,pm25,24,132.0,182.0,156.0,1016.94
2022-01-07,GH,Accra,humidity,18,62.0,94.0,79.0,777.65
2022-01-07,GH,Accra,pm25,24,102.0,165.0,129.0,3782.61
2022-01-07,GH,Accra,wind-speed,18,2.0,7.2,3.0,20.37
2022-01-08,GH,Accra,humidity,22,52.0,88.0,79.0,866.23
2022-01-08,GH,Accra,pm25,24,99.0,153.0,127.0,2975.63
2022-01-08,GH,Accra,wind-speed,21,1.5,5.6,3.6,11.47
2022-01-09,GH,Accra,humidity,20,40.0,88.0,79.0,2320.63
2022-01-09,GH,Accra,pm25,24,107.0,157.0,127.0,2544.93
2022-01-09,GH,Accra,wind-speed,20,2.0,4.6,3.0,5.21
2022-01-10,GH,Accra,wind-speed,21,2.0,5.6,4.1,12.84
2022-01-10,GH,Accra,humidity,21,59.0,94.0,79.0,1199.29
2022-01-10,GH,Accra,pm25,24,109.0,161.0,134.0,2977.32
2022-01-11,GH,Accra,wind-speed,16,2.5,6.6,4.6,13.55
2022-01-11,GH,Accra,pm25,24,104.0,158.0,129.0,3224.28
2022-01-11,GH,Accra,humidity,16,59.0,94.0,79.0,902.5
2022-01-12,GH,Accra,humidity,15,59.0,88.0,74.0,1018.57
2022-01-12,GH,Accra,pm25,18,91.0,163.0,132.0,3812.06
2022-01-12,GH,Accra,wind-speed,15,4.1,8.2,6.1,16.94
2022-01-13,GH,Accra,humidity,21,59.0,88.0,78.0,800.48
2022-01-13,GH,Accra,wind-speed,21,2.5,8.7,5.1,18.17
2022-01-14,GH,Accra,humidity,21,59.0,88.0,83.0,1010.29
2022-01-14,GH,Accra,pm25,12,74.0,124.0,82.0,1882.05
2022-01-14,GH,Accra,wind-speed,21,2.5,7.7,4.6,22.22
2022-01-15,GH,Accra,humidity,18,34.0,94.0,78.0,3145.65
2022-01-15,GH,Accra,pm25,24,76.0,124.0,95.0,2155.58
2022-01-15,GH,Accra,wind-speed,18,3.0,5.6,4.1,8.47
2022-01-16,GH,Accra,humidity,19,49.0,94.0,78.0,1713.98
2022-01-16,GH,Accra,pm25,24,76.0,152.0,91.0,3758.26
2022-01-16,GH,Accra,wind-speed,19,2.5,7.2,4.6,15.49
2022-01-17,GH,Accra,wind-speed,22,3.0,8.7,4.6,29.49
2022-01-17,GH,Accra,humidity,22,55.0,94.0,78.0,1528.74
2022-01-17,GH,Accra,pm25,24,70.0,161.0,82.0,8718.84
2022-01-18,GH,Accra,humidity,17,52.0,94.0,83.0,1248.46
2022-01-18,GH,Accra,pm25,24,68.0,139.0,87.0,5292.16
2022-01-18,GH,Accra,wind-speed,17,2.0,4.6,2.5,6.55
2022-01-19,GH,Accra,humidity,23,23.0,88.0,65.0,5630.2
2022-01-19,GH,Accra,pm25,24,80.0,158.0,134.0,4116.94
2022-01-19,GH,Accra,wind-speed,23,0.5,5.1,2.5,15.01
2022-01-20,GH,Accra,humidity,20,21.0,69.0,45.0,2943.05
2022-01-20,GH,Accra,pm25,24,155.0,199.0,179.0,1404.93
2022-01-20,GH,Accra,wind-speed,20,1.0,6.1,2.5,23.95
2022-01-21,GH,Accra,wind-speed,23,0.5,4.1,2.0,15.72
2022-01-21,GH,Accra,humidity,23,19.0,57.0,39.0,1059.76
2022-01-21,GH,Accra,pm25,24,168.0,245.0,182.0,3280.22
2022-01-22,GH,Accra,wind-speed,21,1.5,5.6,2.5,16.97
2022-01-22,GH,Accra,pm25,24,175.0,222.0,189.0,1045.14
2022-01-22,GH,Accra,humidity,21,17.0,61.0,47.0,1806.9
2022-01-23,GH,Accra,humidity,15,52.0,88.0,69.0,1518.29
2022-01-23,GH,Accra,pm25,24,159.0,212.0,173.0,2088.41
2022-01-23,GH,Accra,wind-speed,15,1.0,4.1,2.5,12.4
2022-01-24,GH,Accra,humidity,23,36.0,88.0,83.0,2414.07
2022-01-24,GH,Accra,pm25,24,157.0,196.0,173.0,1192.01
2022-01-24,GH,Accra,wind-speed,23,1.5,4.6,2.5,6.74
2022-01-25,GH,Accra,humidity,23,16.0,94.0,48.0,7113.83
2022-01-25,GH,Accra,pm25,24,149.0,181.0,163.0,625.63
2022-01-25,GH,Accra,wind-speed,23,1.0,5.6,2.5,20.35
2022-01-26,GH,Accra,humidity,20,16.0,83.0,41.0,4484.71
2022-01-26,GH,Accra,pm25,24,158.0,188.0,167.0,784.33
2022-01-26,GH,Accra,wind-speed,20,1.0,4.1,2.5,8.16
2022-01-27,GH,Accra,pm25,24,137.0,188.0,165.0,2849.55
2022-01-27,GH,Accra,wind-speed,22,1.5,6.1,3.6,16.66
2022-01-27,GH,Accra,humidity,22,49.0,88.0,74.0,998.72
2022-01-28,GH,Accra,humidity,18,62.0,94.0,83.0,1323.69
2022-01-28,GH,Accra,pm25,24,132.0,178.0,151.0,1203.03
2022-01-28,GH,Accra,wind-speed,18,0.5,4.6,2.0,15.8
2022-01-29,GH,Accra,humidity,22,49.0,88.0,79.0,1519.5
2022-01-29,GH,Accra,pm25,24,147.0,171.0,157.0,345.14
2022-01-29,GH,Accra,wind-speed,22,1.0,4.1,2.0,10.76
2022-01-30,GH,Accra,pm25,24,157.0,356.0,221.0,53096.1
2022-01-30,GH,Accra,humidity,24,24.0,94.0,69.0,6005.43
2022-01-30,GH,Accra,wind-speed,24,1.0,4.6,2.0,11.28
2022-01-31,GH,Accra,humidity,16,33.0,70.0,60.0,1598.67
2022-01-31,GH,Accra,pm25,24,247.0,337.0,267.0,7739.06
2022-01-31,GH,Accra,wind-speed,16,0.5,4.1,1.5,10.1
2022-02-01,GH,Accra,pm25,24,173.0,283.0,216.0,13602.3
2022-02-01,GH,Accra,wind-speed,22,1.0,5.1,3.0,15.14
2022-02-01,GH,Accra,humidity,22,31.0,83.0,73.0,2273.51
2022-02-02,GH,Accra,wind-speed,18,1.0,5.1,4.1,15.01
2022-02-02,GH,Accra,humidity,18,49.0,94.0,78.0,1490.36
2022-02-02,GH,Accra,pm25,24,158.0,197.0,178.0,1410.36
2022-02-03,GH,Accra,humidity,22,62.0,94.0,83.0,883.46
2022-02-03,GH,Accra,pm25,24,97.0,172.0,154.0,4417.23
2022-02-03,GH,Accra,wind-speed,22,2.0,6.1,4.6,14.19
2022-02-04,GH,Accra,humidity,21,62.0,88.0,83.0,847.62
2022-02-04,GH,Accra,pm25,24,102.0,159.0,132.0,2835.58
2022-02-04,GH,Accra,wind-speed,21,2.0,5.6,3.0,10.07
2022-02-05,GH,Accra,humidity,24,62.0,88.0,78.0,677.37
2022-02-05,GH,Accra,pm25,24,114.0,167.0,132.0,2535.2
2022-02-05,GH,Accra,wind-speed,24,1.5,4.1,2.0,10.46
2022-02-06,GH,Accra,humidity,22,66.0,88.0,79.0,521.82
2022-02-06,GH,Accra,pm25,24,99.0,160.0,117.0,3195.63
2022-02-06,GH,Accra,wind-speed,22,1.0,4.1,2.0,11.09
2022-02-07,GH,Accra,wind-speed,20,1.0,5.1,3.6,14.59
2022-02-07,GH,Accra,humidity,20,59.0,88.0,79.0,1080.92
2022-02-07,GH,Accra,pm25,24,82.0,171.0,107.0,5454.33
2022-02-08,GH,Accra,humidity,21,59.0,88.0,83.0,985.48
2022-02-08,GH,Accra,pm25,24,97.0,162.0,134.0,2583.89
2022-02-08,GH,Accra,wind-speed,21,2.5,6.6,4.1,14.03
2022-02-09,GH,Accra,humidity,22,62.0,88.0,79.0,810.13
2022-02-09,GH,Accra,pm25,18,102.0,165.0,149.0,3892.42
2022-02-09,GH,Accra,wind-speed,22,2.5,6.1,4.1,12.19
2022-02-10,GH,Accra,humidity,21,62.0,94.0,79.0,961.9
2022-02-10,GH,Accra,pm25,9,129.0,155.0,151.0,703.61
2022-02-10,GH,Accra,wind-speed,21,3.0,5.6,4.1,8.57
2022-02-11,GH,Accra,pm25,14,134.0,159.0,153.0,752.09
2022-02-11,GH,Accra,humidity,24,62.0,88.0,83.0,908.41
2022-02-11,GH,Accra,wind-speed,24,2.0,6.6,4.1,13.28
2022-02-12,GH,Accra,wind-speed,21,2.5,7.7,4.6,19.65
2022-02-12,GH,Accra,humidity,21,62.0,94.0,79.0,930.29
2022-02-13,GH,Accra,wind-speed,22,2.5,6.6,4.6,17.16
2022-02-13,GH,Accra,pm25,9,87.0,119.0,102.0,969.44
2022-02-13,GH,Accra,humidity,22,62.0,88.0,83.0,890.13
2022-02-14,GH,Accra,humidity,23,59.0,88.0,83.0,926.92
2022-02-14,GH,Accra,pm25,24,82.0,165.0,97.0,5379.84
2022-02-14,GH,Accra,wind-speed,23,3.0,6.1,4.6,9.83
2022-02-15,GH,Accra,humidity,13,70.0,94.0,88.0,474.23
2022-02-15,GH,Accra,pm25,24,74.0,127.0,91.0,2043.89
2022-02-15,GH,Accra,wind-speed,13,3.6,7.7,4.6,19.01
