Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,ET,Addis Ababa,pm25,24,25.0,156.0,72.0,12847.8
2022-01-02,ET,Addis Ababa,pm25,23,25.0,144.0,61.0,7000.67
2022-01-03,ET,Addis Ababa,humidity,6,42.4,62.3,43.9,982.43
2022-01-03,ET,Addis Ababa,pm25,24,21.0,109.0,63.0,4783.89
2022-01-03,ET,Addis Ababa,wind-speed,6,2.0,9.0,4.0,104.0
2022-01-04,ET,Addis Ababa,humidity,2,41.5,41.5,41.5,0.0
2022-01-04,ET,Addis Ababa,pm25,34,38.0,104.0,65.0,2704.88
2022-01-04,ET,Addis Ababa,wind-speed,2,8.0,8.0,8.0,0.0
2022-01-05,ET,Addis Ababa,humidity,14,39.4,85.4,67.3,4099.31
2022-01-05,ET,Addis Ababa,pm25,48,30.0,117.0,59.0,2816.58
2022-01-05,ET,Addis Ababa,wind-speed,14,2.0,8.0,4.0,33.24
2022-01-06,ET,Addis Ababa,humidity,8,42.4,100.0,58.4,7394.74
2022-01-06,ET,Addis Ababa,pm25,45,17.0,155.0,63.0,7436.46
2022-01-06,ET,Addis Ababa,wind-speed,8,4.0,8.0,4.1,29.89
2022-01-07,ET,Addis Ababa,wind-speed,10,2.0,8.0,4.0,42.67
2022-01-07,ET,Addis Ababa,humidity,10,36.5,93.0,70.1,3957.58
2022-01-07,ET,Addis Ababa,pm25,47,25.0,160.0,53.0,10309.1
2022-01-08,ET,Addis Ababa,humidity,4,36.6,45.5,36.6,264.03
2022-01-08,ET,Addis Ababa,pm25,47,30.0,78.0,46.0,1223.28
2022-01-08,ET,Addis Ababa,wind-speed,4,3.0,4.0,3.0,3.33
2022-01-09,ET,Addis Ababa,humidity,2,64.8,64.8,64.8,0.0
2022-01-09,ET,Addis Ababa,pm25,48,30.0,89.0,63.0,1948.49
2022-01-09,ET,Addis Ababa,wind-speed,2,3.0,3.0,3.0,0.0
2022-01-10,ET,Addis Ababa,humidity,6,44.5,67.2,64.8,1244.19
2022-01-10,ET,Addis Ababa,pm25,47,38.0,102.0,57.0,1558.54
2022-01-10,ET,Addis Ababa,wind-speed,6,3.0,9.0,6.0,72.0
2022-01-11,ET,Addis Ababa,wind-speed,2,5.0,5.0,5.0,0.0
2022-01-11,ET,Addis Ababa,humidity,2,54.4,54.4,54.4,0.0
2022-01-11,ET,Addis Ababa,pm25,48,38.0,93.0,57.0,1585.6
2022-01-12,ET,Addis Ababa,pm25,48,34.0,78.0,55.0,1346.7
2022-01-13,ET,Addis Ababa,pm25,48,25.0,82.0,53.0,2091.06
2022-01-14,ET,Addis Ababa,pm25,48,34.0,171.0,70.0,8168.23
2022-01-15,ET,Addis Ababa,pm25,28,34.0,177.0,76.0,17752.6
2022-01-16,ET,Addis Ababa,humidity,9,34.7,67.4,56.4,1855.06
2022-01-16,ET,Addis Ababa,pm25,24,55.0,139.0,72.0,6674.33
2022-01-16,ET,Addis Ababa,wind-speed,9,2.0,9.0,2.0,57.78
2022-01-17,ET,Addis Ababa,humidity,6,54.6,91.0,68.5,2699.23
2022-01-17,ET,Addis Ababa,pm25,34,25.0,139.0,68.0,6282.39
2022-01-17,ET,Addis Ababa,wind-speed,2,2.0,2.0,2.0,0.0
2022-01-18,ET,Addis Ababa,pm25,48,25.0,137.0,65.0,5556.95
2022-01-19,ET,Addis Ababa,pm25,48,30.0,129.0,57.0,4196.7
2022-01-20,ET,Addis Ababa,pm25,47,30.0,137.0,59.0,5248.31
2022-01-21,ET,Addis Ababa,humidity,2,55.4,55.4,55.4,0.0
2022-01-21,ET,Addis Ababa,pm25,48,30.0,155.0,50.0,6846.79
2022-01-21,ET,Addis Ababa,wind-speed,2,5.0,5.0,5.0,0.0
2022-01-22,ET,Addis Ababa,wind-speed,4,4.0,6.0,4.0,13.33
2022-01-22,ET,Addis Ababa,pm25,48,25.0,82.0,50.0,1883.12
2022-01-22,ET,Addis Ababa,humidity,4,45.1,78.3,45.1,3674.13
2022-01-23,ET,Addis Ababa,humidity,2,58.1,58.1,58.1,0.0
2022-01-23,ET,Addis Ababa,pm25,48,25.0,160.0,50.0,3995.11
2022-01-23,ET,Addis Ababa,wind-speed,2,4.0,4.0,4.0,0.0
2022-01-24,ET,Addis Ababa,pm25,48,30.0,144.0,55.0,5879.57
2022-01-25,ET,Addis Ababa,humidity,6,30.4,45.7,38.4,468.51
2022-01-25,ET,Addis Ababa,pm25,48,38.0,151.0,70.0,5596.95
2022-01-25,ET,Addis Ababa,wind-speed,6,1.0,13.0,3.0,330.67
2022-01-26,ET,Addis Ababa,humidity,7,26.2,72.1,38.2,4494.12
2022-01-26,ET,Addis Ababa,pm25,46,46.0,170.0,74.0,8127.75
2022-01-26,ET,Addis Ababa,wind-speed,7,2.0,8.0,4.0,59.52
2022-01-27,ET,Addis Ababa,humidity,4,24.4,36.1,24.4,456.3
2022-01-27,ET,Addis Ababa,pm25,31,42.0,132.0,72.0,3444.56
2022-01-27,ET,Addis Ababa,wind-speed,4,7.0,8.0,7.0,3.33
2022-01-28,ET,Addis Ababa,wind-speed,6,5.0,11.0,6.0,82.67
2022-01-28,ET,Addis Ababa,pm25,48,55.0,175.0,80.0,7784.66
2022-01-28,ET,Addis Ababa,humidity,5,28.4,51.0,33.4,870.52
2022-01-29,ET,Addis Ababa,humidity,2,22.4,58.5,22.4,6516.05
2022-01-29,ET,Addis Ababa,pm25,28,38.0,158.0,61.0,6691.43
2022-01-29,ET,Addis Ababa,wind-speed,2,1.0,2.0,1.0,5.0
2022-01-30,ET,Addis Ababa,humidity,4,43.4,66.6,47.2,1070.29
2022-01-30,ET,Addis Ababa,pm25,24,30.0,139.0,55.0,5940.58
2022-01-30,ET,Addis Ababa,wind-speed,4,2.0,6.0,4.0,29.17
2022-01-31,ET,Addis Ababa,humidity,2,20.7,24.3,20.7,64.8
2022-01-31,ET,Addis Ababa,pm25,23,25.0,112.0,65.0,4716.64
2022-01-31,ET,Addis Ababa,wind-speed,2,2.0,7.0,2.0,125.0
2022-02-01,ET,Addis Ababa,humidity,3,39.9,56.1,50.2,672.23
2022-02-01,ET,Addis Ababa,pm25,24,34.0,117.0,53.0,2777.97
2022-02-01,ET,Addis Ababa,wind-speed,3,1.0,3.0,2.0,10.0
2022-02-02,ET,Addis Ababa,pm25,24,34.0,165.0,50.0,12006.4
2022-02-02,ET,Addis Ababa,wind-speed,5,3.0,6.0,5.0,13.0
2022-02-02,ET,Addis Ababa,humidity,5,26.5,47.3,33.5,866.1
2022-02-03,ET,Addis Ababa,pm25,24,25.0,160.0,61.0,12908.6
2022-02-04,ET,Addis Ababa,pm25,24,25.0,158.0,55.0,10498.3
2022-02-04,ET,Addis Ababa,wind-speed,2,4.0,4.0,4.0,0.0
2022-02-05,ET,Addis Ababa,humidity,10,12.7,51.3,37.1,2284.55
2022-02-05,ET,Addis Ababa,pm25,24,25.0,155.0,53.0,7932.16
2022-02-05,ET,Addis Ababa,wind-speed,10,2.0,3.0,2.0,1.78
2022-02-06,ET,Addis Ababa,humidity,2,29.2,29.2,29.2,0.0
2022-02-06,ET,Addis Ababa,pm25,23,30.0,114.0,53.0,3226.13
2022-02-06,ET,Addis Ababa,wind-speed,2,3.0,3.0,3.0,0.0
2022-02-07,ET,Addis Ababa,pm25,22,55.0,139.0,68.0,3176.36
2022-02-08,ET,Addis Ababa,humidity,2,66.1,66.1,66.1,0.0
2022-02-08,ET,Addis Ababa,pm25,31,55.0,91.0,65.0,621.81
2022-02-08,ET,Addis Ababa,wind-speed,2,3.0,3.0,3.0,0.0
2022-02-09,ET,Addis Ababa,pm25,32,57.0,91.0,70.0,835.39
2022-02-10,ET,Addis Ababa,wind-speed,6,3.0,4.0,4.0,2.67
2022-02-10,ET,Addis Ababa,humidity,6,28.3,30.6,29.4,10.59
2022-02-10,ET,Addis Ababa,pm25,48,55.0,167.0,76.0,4657.43
2022-02-11,ET,Addis Ababa,pm25,48,65.0,167.0,76.0,6233.93
2022-02-12,ET,Addis Ababa,pm25,47,50.0,168.0,80.0,6928.45
2022-02-13,ET,Addis Ababa,pm25,48,46.0,157.0,68.0,7089.34
2022-02-14,ET,Addis Ababa,pm25,46,30.0,169.0,68.0,8215.83
2022-02-15,ET,Addis Ababa,humidity,4,29.3,41.0,29.3,456.3
2022-02-15,ET,Addis Ababa,pm25,47,38.0,180.0,76.0,8046.21
2022-02-15,ET,Addis Ababa,wind-speed,4,4.0,5.0,4.0,3.33
2022-02-16,ET,Addis Ababa,pm25,46,50.0,194.0,80.0,11881.5
2022-02-17,ET,Addis Ababa,humidity,4,31.3,43.5,31.3,496.13
2022-02-17,ET,Addis Ababa,pm25,48,38.0,172.0,85.0,9041.06
2022-02-17,ET,Addis Ababa,wind-speed,4,1.0,7.0,1.0,120.0
2022-02-18,ET,Addis Ababa,wind-speed,4,3.0,4.0,3.0,3.33
2022-02-18,ET,Addis Ababa,pm25,48,61.0,161.0,85.0,3959.41
2022-02-18,ET,Addis Ababa,humidity,4,29.4,34.4,29.4,83.33
2022-02-19,ET,Addis Ababa,humidity,2,39.3,39.3,39.3,0.0
2022-02-19,ET,Addis Ababa,pm25,35,55.0,171.0,82.0,8190.22
2022-02-19,ET,Addis Ababa,wind-speed,2,10.0,10.0,10.0,0.0
2022-02-20,ET,Addis Ababa,humidity,2,49.3,49.3,49.3,0.0
2022-02-20,ET,Addis Ababa,pm25,43,57.0,153.0,76.0,5274.54
2022-02-20,ET,Addis Ababa,wind-speed,2,8.0,8.0,8.0,0.0
2022-02-21,ET,Addis Ababa,pm25,48,57.0,107.0,70.0,1688.19
2022-02-22,ET,Addis Ababa,humidity,8,19.4,63.0,33.4,2997.49
2022-02-22,ET,Addis Ababa,pm25,46,38.0,164.0,72.0,6351.54
2022-02-22,ET,Addis Ababa,wind-speed,8,4.0,6.0,5.0,7.86
2022-02-23,ET,Addis Ababa,humidity,8,30.4,62.1,45.8,1760.14
2022-02-23,ET,Addis Ababa,pm25,44,55.0,182.0,119.0,12038.9
2022-02-23,ET,Addis Ababa,wind-speed,4,2.0,5.0,2.0,30.0
2022-02-24,ET,Addis Ababa,pm25,41,61.0,160.0,87.0,6464.95
2022-02-25,ET,Addis Ababa,wind-speed,6,2.0,4.0,3.0,8.0
2022-02-25,ET,Addis Ababa,pm25,46,50.0,159.0,70.0,4969.28
2022-02-25,ET,Addis Ababa,humidity,6,43.2,60.4,49.3,608.35
2022-02-26,ET,Addis Ababa,pm25,48,38.0,142.0,63.0,3627.97
2022-02-27,ET,Addis Ababa,pm25,46,53.0,151.0,72.0,4156.37
2022-02-28,ET,Addis Ababa,pm25,44,42.0,151.0,70.0,5092.37
2022-03-01,ET,Addis Ababa,humidity,6,36.9,51.5,41.7,442.99
2022-03-01,ET,Addis Ababa,pm25,48,46.0,152.0,65.0,4574.88
2022-03-01,ET,Addis Ababa,wind-speed,6,4.0,5.0,5.0,2.67
2022-03-02,ET,Addis Ababa,humidity,14,20.8,66.0,39.8,3151.67
2022-03-02,ET,Addis Ababa,pm25,41,34.0,127.0,68.0,3373.99
2022-03-02,ET,Addis Ababa,wind-speed,14,1.0,10.0,4.0,124.4
2022-03-03,ET,Addis Ababa,humidity,6,21.4,44.0,29.3,1052.35
2022-03-03,ET,Addis Ababa,pm25,44,42.0,164.0,63.0,8554.22
2022-03-03,ET,Addis Ababa,wind-speed,6,2.0,8.0,6.0,74.67
2022-03-04,ET,Addis Ababa,wind-speed,12,3.0,10.0,4.0,68.18
2022-03-04,ET,Addis Ababa,pm25,47,34.0,167.0,63.0,6849.61
2022-03-04,ET,Addis Ababa,humidity,12,25.9,44.4,34.0,500.1
2022-03-05,ET,Addis Ababa,humidity,4,26.3,28.2,26.3,12.03
2022-03-05,ET,Addis Ababa,pm25,48,38.0,163.0,63.0,4900.43
2022-03-05,ET,Addis Ababa,wind-speed,4,5.0,6.0,5.0,3.33
2022-03-06,ET,Addis Ababa,humidity,10,25.7,38.2,33.2,227.32
