Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Akita,humidity,44,60.2,87.1,73.0,737.23
2022-01-01,JP,Akita,pm10,28,1.0,13.0,2.0,142.91
2022-01-01,JP,Akita,pm25,29,5.0,68.0,25.0,2363.77
2022-01-01,JP,Akita,precipitation,8,0.2,99.5,99.5,21129.6
2022-01-01,JP,Akita,wind-speed,44,4.1,12.3,8.2,33.63
2022-01-02,JP,Akita,humidity,46,51.1,97.6,88.5,2399.88
2022-01-02,JP,Akita,pm10,32,1.0,16.0,4.0,248.02
2022-01-02,JP,Akita,pm25,35,5.0,80.0,30.0,3134.76
2022-01-02,JP,Akita,precipitation,6,0.1,0.8,0.2,1.15
2022-01-02,JP,Akita,wind-speed,46,1.7,11.8,4.1,88.26
2022-01-03,JP,Akita,wind-speed,48,5.6,11.3,8.7,37.42
2022-01-03,JP,Akita,pm25,41,5.0,78.0,34.0,3682.9
2022-01-03,JP,Akita,precipitation,8,99.0,99.0,99.0,0.0
2022-01-03,JP,Akita,humidity,48,47.1,72.2,55.0,344.61
2022-01-03,JP,Akita,pm10,38,1.0,10.0,5.0,67.65
2022-01-04,JP,Akita,humidity,48,53.3,92.8,74.9,1443.57
2022-01-04,JP,Akita,pm10,36,2.0,11.0,5.0,93.97
2022-01-04,JP,Akita,pm25,36,5.0,63.0,30.0,2708.54
2022-01-04,JP,Akita,precipitation,8,0.1,99.5,0.2,28059.8
2022-01-04,JP,Akita,wind-speed,48,4.6,11.3,6.6,21.88
2022-01-05,JP,Akita,humidity,48,48.2,94.3,80.1,1529.14
2022-01-05,JP,Akita,pm10,39,1.0,10.0,3.0,39.37
2022-01-05,JP,Akita,pm25,35,5.0,63.0,21.0,2791.18
2022-01-05,JP,Akita,precipitation,8,0.2,0.2,0.2,0.0
2022-01-05,JP,Akita,wind-speed,48,0.5,6.1,4.6,45.89
2022-01-06,JP,Akita,wind-speed,48,0.5,3.6,1.5,7.82
2022-01-06,JP,Akita,precipitation,8,0.1,99.0,0.1,27946.3
2022-01-06,JP,Akita,humidity,48,63.9,92.4,84.2,955.01
2022-01-06,JP,Akita,pm10,35,1.0,10.0,4.0,69.46
2022-01-06,JP,Akita,pm25,39,5.0,72.0,17.0,2698.39
2022-01-07,JP,Akita,humidity,48,51.9,94.9,80.0,1347.95
2022-01-07,JP,Akita,pm10,43,1.0,8.0,3.0,59.24
2022-01-07,JP,Akita,pm25,35,5.0,68.0,21.0,3067.28
2022-01-07,JP,Akita,precipitation,8,0.3,99.5,99.0,21016.8
2022-01-07,JP,Akita,wind-speed,48,1.0,11.3,6.1,93.4
2022-01-08,JP,Akita,precipitation,8,99.0,99.5,99.0,0.71
2022-01-08,JP,Akita,pm25,40,5.0,70.0,30.0,3463.28
2022-01-08,JP,Akita,wind-speed,44,2.0,5.6,4.1,11.24
2022-01-08,JP,Akita,humidity,44,56.1,90.3,72.9,1452.79
2022-01-08,JP,Akita,pm10,40,1.0,11.0,6.0,76.61
2022-01-09,JP,Akita,humidity,46,61.3,95.8,69.0,1678.11
2022-01-09,JP,Akita,pm10,45,1.0,23.0,9.0,531.74
2022-01-09,JP,Akita,pm25,39,5.0,95.0,50.0,5600.73
2022-01-09,JP,Akita,precipitation,8,1.5,99.0,3.2,26693.3
2022-01-09,JP,Akita,wind-speed,46,1.0,8.2,5.6,29.64
