Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Albuquerque,humidity,65,38.0,93.0,65.0,2715.07
2022-01-01,US,Albuquerque,pm10,64,1.0,15.0,4.0,192.22
2022-01-01,US,Albuquerque,pm25,71,1.0,19.0,6.0,122.49
2022-01-01,US,Albuquerque,wind-speed,65,1.0,11.5,6.0,54.29
2022-01-02,US,Albuquerque,humidity,72,24.0,78.7,46.8,2015.19
2022-01-02,US,Albuquerque,pm10,71,2.0,27.0,8.0,334.27
2022-01-02,US,Albuquerque,pm25,72,3.0,63.0,8.0,2463.36
2022-01-02,US,Albuquerque,wind-speed,60,0.1,7.0,2.5,18.99
2022-01-03,US,Albuquerque,wind-speed,60,0.1,4.1,1.5,9.79
2022-01-03,US,Albuquerque,pm25,72,9.0,110.0,28.0,5312.61
2022-01-03,US,Albuquerque,humidity,72,29.3,80.8,59.0,2526.6
2022-01-03,US,Albuquerque,pm10,72,3.0,53.0,13.0,1672.96
2022-01-04,US,Albuquerque,humidity,72,17.0,73.0,47.0,2623.37
2022-01-04,US,Albuquerque,pm10,72,3.0,77.0,17.0,3143.59
2022-01-04,US,Albuquerque,pm25,72,5.0,92.0,33.0,6668.63
2022-01-04,US,Albuquerque,wind-speed,62,0.1,3.6,1.5,6.74
2022-01-05,US,Albuquerque,wind-speed,60,0.3,3.8,1.5,7.32
2022-01-05,US,Albuquerque,humidity,72,23.0,69.5,45.0,2008.29
2022-01-05,US,Albuquerque,pm10,72,1.0,127.0,12.0,6041.88
2022-01-05,US,Albuquerque,pm25,72,3.0,113.0,23.0,6110.37
2022-01-06,US,Albuquerque,wind-speed,70,0.2,6.0,2.2,16.6
2022-01-06,US,Albuquerque,pm25,72,3.0,91.0,20.0,6390.77
2022-01-06,US,Albuquerque,humidity,72,31.8,79.0,54.6,1566.27
2022-01-06,US,Albuquerque,pm10,72,1.0,111.0,13.0,5267.76
2022-01-07,US,Albuquerque,humidity,72,27.7,80.0,48.0,2456.28
2022-01-07,US,Albuquerque,pm10,72,2.0,100.0,14.0,4312.89
2022-01-07,US,Albuquerque,pm25,72,5.0,103.0,26.0,4517.36
2022-01-07,US,Albuquerque,wind-speed,64,0.1,4.4,2.1,14.03
2022-01-08,US,Albuquerque,humidity,72,25.0,69.0,47.0,1358.0
2022-01-08,US,Albuquerque,pm10,72,1.0,55.0,10.0,1802.75
2022-01-08,US,Albuquerque,pm25,72,4.0,74.0,15.0,3965.13
2022-01-08,US,Albuquerque,wind-speed,65,0.2,7.7,1.8,14.88
2022-01-09,US,Albuquerque,pm10,72,2.0,57.0,10.0,1219.53
2022-01-09,US,Albuquerque,wind-speed,61,0.2,8.7,2.0,26.43
2022-01-09,US,Albuquerque,humidity,72,39.0,86.0,60.0,1959.57
2022-01-09,US,Albuquerque,pm25,72,4.0,66.0,18.0,2589.01
2022-01-10,US,Albuquerque,humidity,72,27.2,80.6,50.8,3139.74
2022-01-10,US,Albuquerque,pm10,71,2.0,97.0,16.0,4605.74
2022-01-10,US,Albuquerque,pm25,72,5.0,94.0,25.0,4853.49
2022-01-10,US,Albuquerque,wind-speed,57,0.1,5.1,1.8,12.14
2022-01-11,US,Albuquerque,pm25,70,8.0,105.0,24.0,3912.94
2022-01-11,US,Albuquerque,humidity,72,21.0,70.8,47.0,2304.47
2022-01-11,US,Albuquerque,pm10,70,6.0,64.0,17.0,2660.85
2022-01-11,US,Albuquerque,wind-speed,57,0.2,5.1,1.5,16.27
2022-01-12,US,Albuquerque,wind-speed,62,0.2,7.2,3.3,31.64
2022-01-12,US,Albuquerque,pm25,70,5.0,67.0,16.0,2260.55
2022-01-12,US,Albuquerque,humidity,72,16.0,68.0,47.0,2040.31
2022-01-12,US,Albuquerque,pm10,69,5.0,74.0,12.0,2122.47
2022-01-13,US,Albuquerque,humidity,72,22.3,66.5,44.0,1460.33
2022-01-13,US,Albuquerque,pm10,71,3.0,197.0,22.0,12092.6
2022-01-13,US,Albuquerque,pm25,71,6.0,112.0,27.0,4356.49
2022-01-13,US,Albuquerque,wind-speed,61,0.2,4.1,1.5,8.6
2022-01-14,US,Albuquerque,wind-speed,68,0.2,10.8,3.6,93.21
2022-01-14,US,Albuquerque,humidity,72,16.0,61.7,40.6,1407.65
2022-01-14,US,Albuquerque,pm10,72,6.0,131.0,24.0,4552.89
2022-01-14,US,Albuquerque,pm25,72,5.0,82.0,18.0,3273.0
2022-01-15,US,Albuquerque,wind-speed,55,0.2,8.7,1.6,21.13
2022-01-15,US,Albuquerque,pm25,72,8.0,78.0,18.0,3065.13
2022-01-15,US,Albuquerque,humidity,69,29.5,84.3,52.3,2130.56
2022-01-15,US,Albuquerque,pm10,72,7.0,68.0,14.0,1983.1
2022-01-16,US,Albuquerque,pm25,72,6.0,92.0,23.0,6182.96
2022-01-16,US,Albuquerque,humidity,68,19.0,59.0,36.6,1256.61
2022-01-16,US,Albuquerque,pm10,72,3.0,102.0,14.0,4515.46
2022-01-16,US,Albuquerque,wind-speed,57,0.1,5.0,2.0,11.69
2022-01-17,US,Albuquerque,wind-speed,60,0.2,3.8,2.0,7.44
2022-01-17,US,Albuquerque,pm25,72,5.0,79.0,29.0,4775.58
2022-01-17,US,Albuquerque,pm10,71,2.0,146.0,22.0,7002.75
2022-01-17,US,Albuquerque,humidity,72,13.0,61.6,29.8,1605.94
2022-01-18,US,Albuquerque,humidity,71,26.0,56.0,39.0,736.86
2022-01-18,US,Albuquerque,pm10,72,6.0,122.0,15.0,5918.21
2022-01-18,US,Albuquerque,pm25,72,7.0,117.0,16.0,6041.11
2022-01-18,US,Albuquerque,wind-speed,60,0.1,6.1,2.0,17.63
2022-01-19,US,Albuquerque,pm25,72,8.0,62.0,14.0,765.07
2022-01-19,US,Albuquerque,wind-speed,59,0.2,8.2,2.4,39.44
2022-01-19,US,Albuquerque,humidity,70,35.7,78.0,54.0,1371.01
2022-01-19,US,Albuquerque,pm10,72,6.0,120.0,10.0,2855.49
2022-01-20,US,Albuquerque,humidity,72,37.6,86.3,59.0,1777.12
2022-01-20,US,Albuquerque,pm10,72,10.0,71.0,18.0,1454.33
2022-01-20,US,Albuquerque,pm25,72,16.0,72.0,35.0,1219.97
2022-01-20,US,Albuquerque,wind-speed,55,0.1,5.6,1.7,10.57
2022-01-21,US,Albuquerque,wind-speed,65,0.2,16.0,3.0,102.72
2022-01-21,US,Albuquerque,humidity,71,21.0,85.0,44.0,3819.75
2022-01-21,US,Albuquerque,pm10,71,8.0,158.0,24.0,10964.0
2022-01-21,US,Albuquerque,pm25,71,13.0,99.0,39.0,3252.53
2022-01-22,US,Albuquerque,pm25,72,7.0,161.0,22.0,5242.52
2022-01-22,US,Albuquerque,wind-speed,67,0.2,17.2,4.6,258.63
2022-01-22,US,Albuquerque,humidity,71,30.6,73.6,51.0,1103.25
2022-01-22,US,Albuquerque,pm10,72,6.0,999.0,21.0,170876.0
2022-01-23,US,Albuquerque,wind-speed,52,0.2,6.6,2.0,20.61
2022-01-23,US,Albuquerque,pm25,72,13.0,64.0,25.0,2074.73
2022-01-23,US,Albuquerque,pm10,71,10.0,75.0,16.0,1700.35
2022-01-23,US,Albuquerque,humidity,72,25.0,81.5,46.6,3355.09
2022-01-24,US,Albuquerque,humidity,72,21.6,67.7,39.0,1952.7
2022-01-24,US,Albuquerque,pm10,72,4.0,200.0,15.0,9247.04
2022-01-24,US,Albuquerque,pm25,72,6.0,114.0,18.0,3863.72
2022-01-24,US,Albuquerque,wind-speed,64,0.2,4.6,1.8,10.21
2022-01-25,US,Albuquerque,pm25,68,5.0,302.0,24.0,22250.0
2022-01-25,US,Albuquerque,wind-speed,65,0.2,18.0,2.5,309.97
2022-01-25,US,Albuquerque,humidity,72,18.0,69.0,43.5,1907.98
2022-01-25,US,Albuquerque,pm10,67,3.0,999.0,22.0,343227.0
2022-01-26,US,Albuquerque,humidity,72,44.0,76.7,59.3,719.4
2022-01-26,US,Albuquerque,pm10,70,6.0,339.0,14.0,17861.7
2022-01-26,US,Albuquerque,pm25,70,13.0,102.0,23.0,1835.49
2022-01-26,US,Albuquerque,wind-speed,69,0.2,14.4,3.3,157.74
2022-01-27,US,Albuquerque,wind-speed,57,0.2,11.0,2.4,85.48
2022-01-27,US,Albuquerque,humidity,72,28.8,85.0,61.8,3890.84
2022-01-27,US,Albuquerque,pm10,71,3.0,198.0,14.0,10368.9
2022-01-27,US,Albuquerque,pm25,71,6.0,118.0,21.0,4629.39
