Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Atlanta,humidity,24,74.0,96.0,91.0,459.37
2022-01-01,US,Atlanta,pm10,23,9.0,22.0,12.0,148.1
2022-01-01,US,Atlanta,pm25,23,18.0,48.0,25.0,602.49
2022-01-01,US,Atlanta,wind-speed,20,0.5,4.0,1.5,14.07
2022-01-02,US,Atlanta,humidity,24,83.5,96.0,93.0,151.15
2022-01-02,US,Atlanta,pm10,23,8.0,20.0,11.0,126.28
2022-01-02,US,Atlanta,pm25,24,15.0,35.0,19.0,260.71
2022-01-02,US,Atlanta,wind-speed,18,0.5,4.0,1.5,11.76
2022-01-03,US,Atlanta,wind-speed,24,0.2,5.7,3.0,20.73
2022-01-03,US,Atlanta,pm25,23,1.0,33.0,24.0,1182.02
2022-01-03,US,Atlanta,humidity,24,79.0,93.0,84.0,223.91
2022-01-03,US,Atlanta,pm10,14,1.0,9.0,6.0,81.15
2022-01-04,US,Atlanta,humidity,24,58.0,90.5,73.2,1201.01
2022-01-04,US,Atlanta,pm10,14,5.0,10.0,8.0,27.25
2022-01-04,US,Atlanta,pm25,23,17.0,40.0,24.0,565.65
2022-01-04,US,Atlanta,wind-speed,22,0.2,5.2,1.5,24.85
2022-01-05,US,Atlanta,humidity,24,69.5,94.0,83.7,634.22
2022-01-05,US,Atlanta,pm10,21,8.0,17.0,11.0,52.9
2022-01-05,US,Atlanta,pm25,23,26.0,53.0,34.0,559.92
2022-01-05,US,Atlanta,wind-speed,17,0.2,3.0,1.7,8.78
2022-01-06,US,Atlanta,wind-speed,19,0.2,6.0,2.0,23.74
2022-01-06,US,Atlanta,pm25,22,20.0,66.0,43.0,2476.82
2022-01-06,US,Atlanta,humidity,24,34.2,94.5,90.7,2347.6
2022-01-06,US,Atlanta,pm10,22,7.0,62.0,16.0,1234.89
2022-01-07,US,Atlanta,humidity,24,52.0,92.7,76.5,1444.83
2022-01-07,US,Atlanta,pm10,23,6.0,12.0,9.0,35.38
2022-01-07,US,Atlanta,pm25,23,18.0,40.0,27.0,566.13
2022-01-07,US,Atlanta,wind-speed,20,0.5,3.5,3.0,9.6
2022-01-08,US,Atlanta,wind-speed,23,0.2,3.0,1.0,7.77
2022-01-08,US,Atlanta,humidity,24,37.5,87.5,57.0,2591.21
2022-01-08,US,Atlanta,pm10,21,9.0,12.0,10.0,6.62
2022-01-08,US,Atlanta,pm25,23,25.0,43.0,34.0,334.94
2022-01-09,US,Atlanta,humidity,24,48.5,96.0,85.5,2198.58
2022-01-09,US,Atlanta,pm10,24,7.0,23.0,19.0,260.27
2022-01-09,US,Atlanta,pm25,24,17.0,52.0,46.0,1438.84
2022-01-09,US,Atlanta,wind-speed,24,0.2,6.0,1.5,29.96
2022-01-10,US,Atlanta,pm25,23,8.0,23.0,14.0,158.97
2022-01-10,US,Atlanta,wind-speed,24,1.7,4.5,2.5,7.08
2022-01-10,US,Atlanta,humidity,24,32.0,66.0,42.5,739.44
2022-01-10,US,Atlanta,pm10,23,4.0,9.0,6.0,16.64
2022-01-11,US,Atlanta,pm25,23,11.0,52.0,13.0,1374.98
2022-01-11,US,Atlanta,wind-speed,18,0.5,3.0,2.0,4.04
2022-01-11,US,Atlanta,humidity,24,29.0,73.2,54.0,2029.42
2022-01-11,US,Atlanta,pm10,21,4.0,17.0,6.0,131.48
2022-01-12,US,Atlanta,humidity,24,40.5,87.0,58.5,2244.1
2022-01-12,US,Atlanta,pm10,24,11.0,17.0,14.0,36.45
2022-01-12,US,Atlanta,pm25,24,28.0,53.0,38.0,439.06
2022-01-12,US,Atlanta,wind-speed,16,0.2,2.0,0.7,4.79
2022-01-13,US,Atlanta,humidity,24,52.5,92.5,86.0,2095.1
2022-01-13,US,Atlanta,pm10,23,10.0,30.0,15.0,437.04
2022-01-13,US,Atlanta,pm25,23,18.0,68.0,33.0,3380.4
2022-01-13,US,Atlanta,wind-speed,20,0.2,3.5,1.0,6.35
2022-01-14,US,Atlanta,wind-speed,21,0.2,2.0,0.5,1.85
2022-01-14,US,Atlanta,pm25,24,25.0,62.0,48.0,1322.61
2022-01-14,US,Atlanta,pm10,24,10.0,24.0,18.0,166.09
2022-01-14,US,Atlanta,humidity,24,55.2,92.7,84.7,1132.83
2022-01-15,US,Atlanta,humidity,24,72.7,92.0,76.2,532.29
2022-01-15,US,Atlanta,pm10,24,15.0,44.0,20.0,530.36
2022-01-15,US,Atlanta,pm25,24,52.0,115.0,59.0,2578.84
2022-01-15,US,Atlanta,wind-speed,24,0.5,3.0,1.5,5.92
2022-01-16,US,Atlanta,humidity,24,89.5,95.0,93.0,19.43
2022-01-16,US,Atlanta,pm10,6,6.0,14.0,10.0,97.67
2022-01-16,US,Atlanta,pm25,6,20.0,53.0,39.0,1709.67
2022-01-16,US,Atlanta,wind-speed,22,0.5,6.7,2.0,28.5
2022-01-17,US,Atlanta,wind-speed,24,0.2,3.0,1.5,5.84
2022-01-17,US,Atlanta,pm25,12,26.0,40.0,34.0,194.77
2022-01-17,US,Atlanta,humidity,24,79.5,93.0,87.5,143.7
2022-01-17,US,Atlanta,pm10,12,9.0,11.0,10.0,2.65
2022-01-18,US,Atlanta,humidity,24,67.0,93.0,81.0,758.99
2022-01-18,US,Atlanta,pm10,24,9.0,20.0,11.0,103.32
2022-01-18,US,Atlanta,pm25,24,22.0,58.0,38.0,923.41
2022-01-18,US,Atlanta,wind-speed,20,0.2,3.7,1.0,9.11
2022-01-19,US,Atlanta,humidity,24,43.7,92.0,72.2,1557.56
2022-01-19,US,Atlanta,pm10,14,7.0,21.0,19.0,215.66
2022-01-19,US,Atlanta,pm25,14,19.0,61.0,56.0,2033.85
2022-01-19,US,Atlanta,wind-speed,23,0.5,3.2,1.5,6.03
2022-01-20,US,Atlanta,humidity,24,76.0,95.0,85.2,361.18
2022-01-20,US,Atlanta,wind-speed,23,0.5,4.0,2.7,15.01
2022-01-21,US,Atlanta,humidity,24,72.0,95.0,88.7,771.73
2022-01-21,US,Atlanta,pm10,6,19.0,25.0,20.0,70.67
2022-01-21,US,Atlanta,pm25,6,48.0,70.0,64.0,722.67
2022-01-21,US,Atlanta,wind-speed,24,0.2,4.0,2.0,12.23
2022-01-22,US,Atlanta,pm25,24,51.0,78.0,58.0,499.35
2022-01-22,US,Atlanta,wind-speed,17,0.5,3.0,1.2,4.68
2022-01-22,US,Atlanta,humidity,24,52.0,94.0,85.7,1830.48
2022-01-22,US,Atlanta,pm10,24,14.0,30.0,17.0,168.1
2022-01-23,US,Atlanta,pm25,24,25.0,90.0,57.0,3993.89
