Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,ML,Bamako,humidity,22,9.0,31.0,15.5,378.31
2022-01-01,ML,Bamako,wind-speed,22,3.3,6.1,4.6,6.85
2022-01-02,ML,Bamako,humidity,24,10.5,24.0,19.0,175.72
2022-01-02,ML,Bamako,wind-speed,24,3.0,6.9,4.3,13.04
2022-01-03,ML,Bamako,humidity,24,11.5,39.0,23.5,719.2
2022-01-03,ML,Bamako,wind-speed,24,2.0,5.6,3.0,9.49
2022-01-04,ML,Bamako,humidity,24,12.0,47.5,22.5,1655.5
2022-01-04,ML,Bamako,pm25,10,122.0,202.0,151.0,7089.33
2022-01-04,ML,Bamako,wind-speed,24,0.2,5.1,3.0,13.78
2022-01-05,ML,Bamako,wind-speed,13,2.0,5.1,3.8,9.87
2022-01-05,ML,Bamako,pm25,12,124.0,221.0,152.0,11330.6
2022-01-05,ML,Bamako,humidity,13,14.0,40.0,28.0,521.31
2022-09-07,ML,Bamako,humidity,13,64.0,100.0,86.0,2350.26
2022-09-07,ML,Bamako,wind-speed,12,1.0,6.1,1.8,33.97
2022-09-08,ML,Bamako,humidity,20,65.0,100.0,94.0,1874.81
2022-09-08,ML,Bamako,wind-speed,19,0.5,4.1,1.5,6.96
2022-09-09,ML,Bamako,humidity,19,64.0,100.0,97.0,1958.67
2022-09-09,ML,Bamako,wind-speed,17,0.2,5.4,2.0,29.15
2022-09-10,ML,Bamako,humidity,6,97.0,100.0,100.0,15.0
2022-09-10,ML,Bamako,wind-speed,6,1.0,3.0,1.5,6.67
2022-09-11,ML,Bamako,wind-speed,2,2.5,3.0,2.5,1.25
2022-09-11,ML,Bamako,humidity,2,64.0,70.0,64.0,180.0
2022-09-12,ML,Bamako,humidity,3,55.0,74.0,55.0,1203.33
2022-09-12,ML,Bamako,pm25,14,9.0,89.0,30.0,6997.2
2022-09-12,ML,Bamako,wind-speed,3,2.0,3.6,2.5,6.7
2022-09-13,ML,Bamako,humidity,18,56.5,100.0,100.0,2722.03
2022-09-13,ML,Bamako,pm25,4,38.0,53.0,42.0,590.0
2022-09-13,ML,Bamako,wind-speed,18,0.7,3.0,1.2,4.75
2022-09-14,ML,Bamako,humidity,23,60.0,100.0,97.0,2421.19
2022-09-14,ML,Bamako,pm25,14,30.0,159.0,65.0,20067.7
2022-09-14,ML,Bamako,wind-speed,19,0.2,2.3,0.7,6.16
2022-09-15,ML,Bamako,wind-speed,18,0.2,2.5,1.5,4.04
2022-09-15,ML,Bamako,humidity,22,50.5,100.0,81.0,3512.08
2022-09-16,ML,Bamako,humidity,23,46.0,100.0,80.5,3604.14
2022-09-16,ML,Bamako,wind-speed,23,0.5,5.6,1.8,11.56
2022-09-17,ML,Bamako,humidity,24,69.0,100.0,94.0,1019.78
2022-09-17,ML,Bamako,wind-speed,23,0.2,5.4,1.8,26.76
2022-09-18,ML,Bamako,humidity,24,61.5,100.0,97.0,2270.1
2022-09-18,ML,Bamako,wind-speed,24,0.5,3.3,1.8,8.26
2022-09-19,ML,Bamako,humidity,24,50.5,100.0,74.0,3257.1
2022-09-19,ML,Bamako,wind-speed,23,0.2,2.8,1.5,5.45
2022-09-20,ML,Bamako,wind-speed,23,0.2,5.1,2.3,16.54
2022-09-20,ML,Bamako,humidity,23,78.0,100.0,94.0,496.12
2022-09-20,ML,Bamako,pm25,9,30.0,91.0,61.0,4136.11
2022-09-21,ML,Bamako,humidity,24,62.0,100.0,91.0,1811.01
