Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Belfast,humidity,120,64.5,93.0,81.0,625.63
2022-01-01,GB,Belfast,pm10,105,8.0,32.0,17.0,215.16
2022-01-01,GB,Belfast,pm25,86,23.0,64.0,42.0,872.05
2022-01-01,GB,Belfast,wind-speed,120,4.1,11.0,9.2,46.0
2022-01-02,GB,Belfast,humidity,120,71.0,87.0,81.0,221.41
2022-01-02,GB,Belfast,pm10,107,7.0,20.0,12.0,82.4
2022-01-02,GB,Belfast,pm25,85,19.0,47.0,34.0,555.53
2022-01-02,GB,Belfast,wind-speed,120,1.5,9.2,7.2,39.99
2022-01-03,GB,Belfast,wind-speed,120,3.3,8.4,6.4,24.67
2022-01-03,GB,Belfast,pm25,62,17.0,41.0,30.0,335.47
2022-01-03,GB,Belfast,humidity,120,62.5,87.0,77.5,402.2
2022-01-03,GB,Belfast,pm10,71,6.0,17.0,13.0,59.62
2022-01-04,GB,Belfast,humidity,120,71.5,86.5,80.0,179.55
2022-01-04,GB,Belfast,pm10,61,5.0,16.0,10.0,46.9
2022-01-04,GB,Belfast,pm25,50,13.0,33.0,23.0,186.37
2022-01-04,GB,Belfast,wind-speed,120,2.3,6.9,3.8,10.11
2022-01-05,GB,Belfast,wind-speed,120,1.2,4.6,2.5,8.81
2022-01-05,GB,Belfast,humidity,120,77.0,93.0,80.0,181.14
2022-01-05,GB,Belfast,pm10,73,7.0,29.0,11.0,167.04
2022-01-05,GB,Belfast,pm25,52,15.0,77.0,25.0,2091.87
2022-01-06,GB,Belfast,wind-speed,120,2.8,10.0,6.9,37.34
2022-01-06,GB,Belfast,pm25,71,11.0,60.0,34.0,1478.21
2022-01-06,GB,Belfast,humidity,120,64.5,87.0,78.0,356.82
2022-01-06,GB,Belfast,pm10,78,5.0,20.0,12.0,192.98
2022-01-07,GB,Belfast,humidity,120,80.0,93.0,86.0,114.6
2022-01-07,GB,Belfast,pm10,91,2.0,26.0,6.0,202.08
2022-01-07,GB,Belfast,pm25,69,3.0,73.0,17.0,2337.64
2022-01-07,GB,Belfast,wind-speed,120,2.5,8.7,5.9,28.45
2022-01-08,GB,Belfast,humidity,120,75.0,96.5,83.0,415.54
2022-01-08,GB,Belfast,pm10,90,2.0,24.0,13.0,202.2
2022-01-08,GB,Belfast,pm25,91,5.0,65.0,34.0,1425.31
2022-01-08,GB,Belfast,wind-speed,120,2.5,7.9,4.6,17.84
2022-01-09,GB,Belfast,pm10,94,3.0,30.0,10.0,168.86
2022-01-09,GB,Belfast,wind-speed,120,2.5,6.1,4.8,9.7
2022-01-09,GB,Belfast,humidity,120,81.0,93.0,87.0,104.09
2022-01-09,GB,Belfast,pm25,76,10.0,61.0,25.0,1056.9
2022-01-10,GB,Belfast,humidity,120,81.0,100.0,93.0,295.48
2022-01-10,GB,Belfast,pm10,91,3.0,22.0,14.0,181.41
2022-01-10,GB,Belfast,pm25,93,7.0,56.0,38.0,1091.59
2022-01-10,GB,Belfast,wind-speed,120,1.5,6.9,2.5,26.55
2022-01-11,GB,Belfast,pm25,90,21.0,59.0,34.0,719.33
2022-01-11,GB,Belfast,humidity,120,70.0,93.0,84.0,365.96
2022-01-11,GB,Belfast,pm10,98,10.0,25.0,15.0,131.36
2022-01-11,GB,Belfast,wind-speed,120,1.8,5.6,3.3,15.17
2022-01-12,GB,Belfast,wind-speed,120,2.3,6.1,4.6,11.52
2022-01-12,GB,Belfast,pm25,43,28.0,67.0,42.0,921.06
2022-01-12,GB,Belfast,humidity,120,81.0,96.5,90.0,167.79
2022-01-12,GB,Belfast,pm10,65,10.0,31.0,17.0,136.02
2022-01-13,GB,Belfast,humidity,120,75.0,96.5,87.0,267.64
2022-01-13,GB,Belfast,pm10,74,8.0,69.0,18.0,641.43
2022-01-13,GB,Belfast,pm25,56,20.0,66.0,46.0,821.09
2022-01-13,GB,Belfast,wind-speed,120,2.0,4.6,3.6,3.38
2022-01-14,GB,Belfast,wind-speed,105,0.2,3.8,2.5,11.24
2022-01-14,GB,Belfast,humidity,115,75.0,93.0,87.0,295.09
2022-01-14,GB,Belfast,pm10,88,7.0,32.0,16.0,181.91
2022-01-14,GB,Belfast,pm25,70,17.0,82.0,50.0,1522.4
2022-01-15,GB,Belfast,wind-speed,110,0.2,3.3,1.0,12.29
2022-01-15,GB,Belfast,pm25,104,55.0,102.0,76.0,976.79
2022-01-15,GB,Belfast,humidity,120,86.0,100.0,93.0,111.41
2022-01-15,GB,Belfast,pm10,102,17.0,38.0,30.0,228.38
2022-01-16,GB,Belfast,pm25,106,25.0,80.0,63.0,1902.06
2022-01-16,GB,Belfast,humidity,120,63.0,93.0,70.0,1049.77
2022-01-16,GB,Belfast,pm10,96,9.0,32.0,23.0,219.97
2022-01-16,GB,Belfast,wind-speed,120,1.0,4.3,2.8,7.33
2022-01-17,GB,Belfast,wind-speed,115,0.7,3.6,1.8,5.94
2022-01-17,GB,Belfast,pm25,68,30.0,151.0,43.0,3919.85
2022-01-17,GB,Belfast,pm10,87,12.0,56.0,19.0,506.62
2022-01-17,GB,Belfast,humidity,120,75.0,100.0,89.5,664.81
