Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,RS,Belgrade,humidity,168,71.0,96.0,77.7,759.58
2022-01-01,RS,Belgrade,pm10,128,8.0,122.0,40.0,7081.58
2022-01-01,RS,Belgrade,pm25,104,32.0,235.0,112.0,26175.3
2022-01-01,RS,Belgrade,wind-speed,154,0.1,4.0,1.4,14.57
2022-01-02,RS,Belgrade,humidity,168,55.8,91.5,78.1,913.1
2022-01-02,RS,Belgrade,pm10,143,11.0,70.0,30.0,2228.41
2022-01-02,RS,Belgrade,pm25,118,46.0,168.0,82.0,9033.98
2022-01-02,RS,Belgrade,wind-speed,130,0.2,1.8,0.9,1.89
2022-01-03,RS,Belgrade,wind-speed,112,0.1,2.5,0.6,4.33
2022-01-03,RS,Belgrade,pm25,119,62.0,189.0,139.0,8707.14
2022-01-03,RS,Belgrade,humidity,168,61.1,93.2,80.0,845.11
2022-01-03,RS,Belgrade,pm10,144,18.0,122.0,53.0,2978.68
2022-01-04,RS,Belgrade,humidity,168,48.8,93.8,72.0,2136.68
2022-01-04,RS,Belgrade,pm10,127,9.0,118.0,53.0,4521.27
2022-01-04,RS,Belgrade,pm25,102,38.0,176.0,117.0,16708.0
2022-01-04,RS,Belgrade,wind-speed,43,0.1,1.0,0.4,1.3
2022-01-05,RS,Belgrade,wind-speed,126,0.1,3.4,1.0,8.39
2022-01-05,RS,Belgrade,humidity,168,47.1,83.5,66.5,1581.5
2022-01-05,RS,Belgrade,pm10,132,7.0,72.0,20.0,2358.2
2022-01-05,RS,Belgrade,pm25,107,25.0,154.0,52.0,5899.83
2022-01-06,RS,Belgrade,wind-speed,161,0.2,3.6,2.1,8.15
2022-01-06,RS,Belgrade,pm25,120,13.0,99.0,55.0,4713.78
2022-01-06,RS,Belgrade,humidity,168,68.6,87.2,81.1,300.87
2022-01-06,RS,Belgrade,pm10,144,3.0,34.0,16.0,589.08
2022-01-07,RS,Belgrade,humidity,168,53.8,85.7,73.7,872.47
2022-01-07,RS,Belgrade,pm10,144,8.0,149.0,21.0,5266.96
2022-01-07,RS,Belgrade,pm25,119,33.0,185.0,66.0,13544.7
2022-01-07,RS,Belgrade,wind-speed,98,0.1,2.4,0.7,3.76
2022-01-08,RS,Belgrade,humidity,168,77.8,94.0,90.2,241.42
2022-01-08,RS,Belgrade,pm10,144,7.0,69.0,31.0,1950.21
2022-01-08,RS,Belgrade,pm25,120,31.0,160.0,95.0,10608.6
2022-01-08,RS,Belgrade,wind-speed,154,0.2,2.3,0.9,4.58
2022-01-09,RS,Belgrade,pm10,144,21.0,63.0,33.0,810.05
2022-01-09,RS,Belgrade,wind-speed,140,0.1,1.3,0.6,1.51
2022-01-09,RS,Belgrade,humidity,168,79.2,94.0,85.5,186.11
2022-01-09,RS,Belgrade,pm25,120,73.0,156.0,95.0,2546.61
2022-01-10,RS,Belgrade,humidity,168,87.7,92.8,90.8,12.02
2022-01-10,RS,Belgrade,pm10,144,14.0,158.0,32.0,4356.53
2022-01-10,RS,Belgrade,pm25,120,57.0,155.0,94.0,6250.87
2022-01-10,RS,Belgrade,wind-speed,168,0.8,5.1,2.0,9.26
2022-01-11,RS,Belgrade,pm25,119,49.0,145.0,77.0,2988.33
2022-01-11,RS,Belgrade,humidity,168,87.5,91.6,90.0,10.08
2022-01-11,RS,Belgrade,pm10,143,12.0,79.0,25.0,1656.85
2022-01-11,RS,Belgrade,wind-speed,91,0.3,2.6,1.9,4.55
2022-01-12,RS,Belgrade,wind-speed,62,0.1,3.0,1.1,7.54
2022-01-12,RS,Belgrade,pm25,120,46.0,177.0,82.0,12669.5
2022-01-12,RS,Belgrade,humidity,167,69.5,90.9,79.7,396.47
2022-01-12,RS,Belgrade,pm10,143,11.0,87.0,27.0,3253.42
2022-01-13,RS,Belgrade,humidity,168,71.1,90.3,78.9,305.22
2022-01-13,RS,Belgrade,pm10,144,35.0,145.0,57.0,4772.86
2022-01-13,RS,Belgrade,pm25,120,105.0,231.0,155.0,4089.66
2022-01-13,RS,Belgrade,wind-speed,112,0.1,2.4,1.0,3.44
2022-01-14,RS,Belgrade,wind-speed,154,0.7,3.2,1.9,4.97
2022-01-14,RS,Belgrade,humidity,168,63.8,78.9,72.5,184.57
2022-01-14,RS,Belgrade,pm10,143,18.0,149.0,52.0,5244.77
2022-01-14,RS,Belgrade,pm25,119,66.0,214.0,144.0,7271.52
2022-01-15,RS,Belgrade,wind-speed,136,0.1,2.5,1.1,4.58
2022-01-15,RS,Belgrade,pm25,120,51.0,187.0,90.0,12391.4
2022-01-15,RS,Belgrade,humidity,168,70.2,86.9,78.0,297.24
2022-01-15,RS,Belgrade,pm10,144,12.0,117.0,31.0,4341.21
2022-01-16,RS,Belgrade,pm25,119,68.0,200.0,158.0,5342.74
2022-01-16,RS,Belgrade,humidity,168,65.8,93.0,83.6,700.13
2022-01-16,RS,Belgrade,pm10,143,21.0,158.0,62.0,2389.78
2022-01-16,RS,Belgrade,wind-speed,63,0.1,2.0,0.7,4.16
2022-01-17,RS,Belgrade,wind-speed,168,0.3,9.0,3.2,48.13
2022-01-17,RS,Belgrade,pm25,119,8.0,186.0,100.0,31772.4
2022-01-17,RS,Belgrade,pm10,142,2.0,124.0,39.0,6416.71
2022-01-17,RS,Belgrade,humidity,168,52.4,90.6,70.4,1938.74
2022-01-18,RS,Belgrade,humidity,168,63.1,78.9,75.5,241.25
2022-01-18,RS,Belgrade,pm10,144,3.0,75.0,16.0,2488.43
2022-01-18,RS,Belgrade,pm25,120,10.0,125.0,47.0,10926.1
2022-01-18,RS,Belgrade,wind-speed,161,0.4,5.8,2.4,31.9
2022-01-19,RS,Belgrade,pm25,120,63.0,182.0,99.0,11420.9
2022-01-19,RS,Belgrade,wind-speed,126,0.1,1.8,0.5,2.38
2022-01-19,RS,Belgrade,humidity,168,59.1,86.9,79.5,671.22
2022-01-19,RS,Belgrade,pm10,143,18.0,98.0,42.0,3065.33
2022-01-20,RS,Belgrade,humidity,168,75.6,92.0,88.0,324.38
2022-01-20,RS,Belgrade,pm10,144,17.0,109.0,59.0,2998.18
2022-01-20,RS,Belgrade,pm25,119,60.0,181.0,154.0,7409.91
2022-01-20,RS,Belgrade,wind-speed,63,0.2,1.7,0.7,1.82
2022-01-21,RS,Belgrade,wind-speed,168,0.7,6.5,2.2,30.07
2022-01-21,RS,Belgrade,humidity,168,56.5,92.3,70.7,790.32
2022-01-21,RS,Belgrade,pm10,143,4.0,35.0,16.0,355.04
2022-01-21,RS,Belgrade,pm25,120,15.0,105.0,53.0,2977.55
2022-01-22,RS,Belgrade,pm25,120,21.0,154.0,63.0,10489.7
2022-01-22,RS,Belgrade,wind-speed,168,0.3,5.0,2.8,19.93
2022-01-22,RS,Belgrade,humidity,168,67.0,93.0,83.6,803.33
2022-01-22,RS,Belgrade,pm10,144,5.0,136.0,20.0,3559.16
2022-01-23,RS,Belgrade,wind-speed,140,0.5,4.0,1.6,9.36
2022-01-23,RS,Belgrade,pm25,120,41.0,106.0,70.0,1758.82
2022-01-23,RS,Belgrade,pm10,144,9.0,50.0,21.0,602.9
2022-01-23,RS,Belgrade,humidity,140,64.5,80.0,75.1,228.93
2022-01-24,RS,Belgrade,humidity,168,62.9,82.9,76.5,421.98
2022-01-24,RS,Belgrade,pm10,143,10.0,147.0,33.0,7694.66
2022-01-24,RS,Belgrade,pm25,120,43.0,171.0,88.0,16342.0
2022-01-24,RS,Belgrade,wind-speed,154,0.1,2.8,0.7,5.12
2022-01-25,RS,Belgrade,pm25,120,94.0,222.0,154.0,5391.81
2022-01-25,RS,Belgrade,wind-speed,133,0.5,2.7,1.5,3.68
2022-01-25,RS,Belgrade,humidity,168,55.1,81.0,65.1,747.58
2022-01-25,RS,Belgrade,pm10,143,38.0,135.0,63.0,4933.74
2022-01-26,RS,Belgrade,humidity,168,62.9,89.0,80.0,460.05
2022-01-26,RS,Belgrade,pm10,144,30.0,116.0,45.0,2384.98
2022-01-26,RS,Belgrade,pm25,120,94.0,194.0,126.0,4204.71
2022-01-26,RS,Belgrade,wind-speed,168,0.3,2.0,1.3,2.4
2022-01-27,RS,Belgrade,wind-speed,140,0.2,1.8,0.9,1.4
2022-01-27,RS,Belgrade,humidity,168,57.8,88.5,76.5,753.7
2022-01-27,RS,Belgrade,pm10,144,24.0,85.0,40.0,1674.82
2022-01-27,RS,Belgrade,pm25,120,76.0,184.0,112.0,6174.48
2022-01-28,RS,Belgrade,wind-speed,154,0.1,4.1,2.5,9.26
2022-01-28,RS,Belgrade,pm25,120,42.0,197.0,119.0,17118.6
2022-01-28,RS,Belgrade,humidity,168,67.2,90.3,73.8,496.66
2022-01-28,RS,Belgrade,pm10,144,10.0,97.0,47.0,3757.82
2022-01-29,RS,Belgrade,humidity,168,65.5,75.5,71.9,96.79
2022-01-29,RS,Belgrade,pm10,144,4.0,71.0,17.0,3182.98
2022-01-29,RS,Belgrade,pm25,120,16.0,164.0,47.0,14378.6
2022-01-29,RS,Belgrade,wind-speed,154,0.2,5.0,2.5,18.03
2022-01-30,RS,Belgrade,wind-speed,161,0.4,4.5,2.0,13.57
2022-01-30,RS,Belgrade,humidity,168,43.3,65.6,53.6,245.87
2022-01-30,RS,Belgrade,pm10,140,12.0,168.0,31.0,10642.0
2022-01-30,RS,Belgrade,pm25,120,31.0,152.0,66.0,4215.43
2022-01-31,RS,Belgrade,wind-speed,168,0.3,4.0,1.7,10.94
2022-01-31,RS,Belgrade,pm25,120,20.0,137.0,55.0,5608.6
2022-01-31,RS,Belgrade,humidity,168,43.1,73.5,60.6,825.65
2022-01-31,RS,Belgrade,pm10,143,6.0,59.0,23.0,1797.1
2022-02-01,RS,Belgrade,wind-speed,154,0.2,3.9,1.3,10.7
2022-02-01,RS,Belgrade,humidity,168,74.4,92.0,83.0,310.81
