Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Birmingham,humidity,48,87.7,96.0,93.0,33.07
2022-01-01,GB,Birmingham,pm10,48,9.0,23.0,16.0,159.56
2022-01-01,GB,Birmingham,pm25,48,30.0,58.0,46.0,684.11
2022-01-01,GB,Birmingham,wind-speed,48,3.7,7.0,5.0,7.6
2022-01-02,GB,Birmingham,humidity,48,87.0,96.0,93.7,86.42
2022-01-02,GB,Birmingham,pm10,48,10.0,20.0,15.0,73.03
2022-01-02,GB,Birmingham,pm25,45,27.0,54.0,38.0,572.0
2022-01-02,GB,Birmingham,wind-speed,48,2.3,9.0,4.6,23.75
2022-01-03,GB,Birmingham,wind-speed,48,1.3,8.0,4.0,35.94
2022-01-03,GB,Birmingham,pm25,47,22.0,50.0,32.0,222.36
2022-01-03,GB,Birmingham,humidity,48,80.0,95.7,88.6,122.2
2022-01-03,GB,Birmingham,pm10,48,9.0,19.0,13.0,35.0
2022-01-04,GB,Birmingham,humidity,48,73.0,97.0,92.5,630.88
2022-01-04,GB,Birmingham,pm10,44,10.0,24.0,12.0,114.69
2022-01-04,GB,Birmingham,pm25,39,21.0,48.0,30.0,373.48
2022-01-04,GB,Birmingham,wind-speed,48,0.7,7.0,3.6,31.38
2022-01-05,GB,Birmingham,wind-speed,44,0.2,7.0,3.2,32.92
2022-01-05,GB,Birmingham,humidity,48,81.2,95.2,88.2,147.12
2022-01-05,GB,Birmingham,pm10,45,7.0,29.0,14.0,314.52
2022-01-05,GB,Birmingham,pm25,46,19.0,62.0,32.0,1551.48
2022-01-06,GB,Birmingham,wind-speed,44,0.2,7.0,4.0,50.71
2022-01-06,GB,Birmingham,pm25,35,27.0,61.0,42.0,731.23
2022-01-06,GB,Birmingham,humidity,48,83.7,97.0,95.5,182.96
2022-01-06,GB,Birmingham,pm10,39,10.0,24.0,16.0,120.09
2022-01-07,GB,Birmingham,humidity,48,81.7,94.7,86.0,144.54
2022-01-07,GB,Birmingham,pm10,39,7.0,18.0,9.0,62.0
2022-01-07,GB,Birmingham,pm25,33,17.0,34.0,21.0,235.17
2022-01-07,GB,Birmingham,wind-speed,48,3.0,6.0,5.0,7.73
2022-01-08,GB,Birmingham,humidity,48,88.2,97.0,94.5,84.33
2022-01-08,GB,Birmingham,pm10,44,5.0,17.0,9.0,87.95
2022-01-08,GB,Birmingham,pm25,42,16.0,48.0,23.0,735.93
2022-01-08,GB,Birmingham,wind-speed,48,1.5,7.0,4.5,31.26
2022-01-09,GB,Birmingham,pm10,44,8.0,23.0,10.0,161.56
2022-01-09,GB,Birmingham,wind-speed,48,0.5,4.7,2.5,19.17
2022-01-09,GB,Birmingham,humidity,48,81.3,96.0,89.7,145.76
2022-01-09,GB,Birmingham,pm25,33,20.0,64.0,31.0,1892.46
2022-01-10,GB,Birmingham,humidity,48,93.5,98.0,95.0,16.56
2022-01-10,GB,Birmingham,pm10,46,13.0,20.0,16.0,34.36
2022-01-10,GB,Birmingham,pm25,47,35.0,62.0,48.0,420.53
2022-01-10,GB,Birmingham,wind-speed,38,0.2,4.0,1.7,10.0
