Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CO,Bogotá,humidity,45,49.0,93.0,76.0,2499.62
2022-01-01,CO,Bogotá,pm25,24,25.0,151.0,63.0,10397.3
2022-01-01,CO,Bogotá,wind-speed,69,1.0,5.6,2.5,18.06
2022-01-02,CO,Bogotá,humidity,48,28.0,100.0,87.0,4412.18
2022-01-02,CO,Bogotá,pm25,24,13.0,63.0,46.0,1960.8
2022-01-02,CO,Bogotá,wind-speed,72,1.0,6.6,1.5,19.41
2022-01-03,CO,Bogotá,humidity,192,14.0,93.0,44.0,5388.85
2022-01-03,CO,Bogotá,pm10,168,6.0,75.0,30.0,2496.27
2022-01-03,CO,Bogotá,pm25,179,5.0,147.0,57.0,6091.6
2022-01-03,CO,Bogotá,precipitation,7,0.1,4.1,0.4,20.18
2022-01-03,CO,Bogotá,wind-speed,204,0.3,10.1,1.9,26.44
2022-01-04,CO,Bogotá,wind-speed,143,0.4,9.8,2.0,37.19
2022-01-04,CO,Bogotá,pm25,115,21.0,134.0,68.0,3782.33
2022-01-04,CO,Bogotá,pm10,98,17.0,66.0,42.0,1792.95
2022-01-04,CO,Bogotá,humidity,132,25.0,100.0,49.0,3947.5
2022-01-05,CO,Bogotá,humidity,240,16.0,100.0,56.8,3472.35
2022-01-05,CO,Bogotá,pm10,224,12.0,75.0,38.0,2244.67
2022-01-05,CO,Bogotá,pm25,229,21.0,144.0,68.0,5979.71
2022-01-05,CO,Bogotá,wind-speed,247,0.1,11.3,2.1,34.54
2022-01-06,CO,Bogotá,humidity,240,17.7,87.0,45.2,3989.1
2022-01-06,CO,Bogotá,pm10,224,6.0,65.0,27.0,1639.83
2022-01-06,CO,Bogotá,pm25,219,5.0,129.0,50.0,4443.17
2022-01-06,CO,Bogotá,precipitation,2,0.5,3.4,0.5,42.05
2022-01-06,CO,Bogotá,wind-speed,248,0.1,11.1,2.0,24.6
2022-01-07,CO,Bogotá,wind-speed,336,0.1,10.2,1.5,24.61
2022-01-07,CO,Bogotá,pm25,313,5.0,152.0,59.0,5111.92
2022-01-07,CO,Bogotá,pm10,336,2.0,70.0,29.0,2346.69
2022-01-07,CO,Bogotá,humidity,336,15.0,100.0,52.0,3758.85
2022-01-08,CO,Bogotá,humidity,336,30.0,100.0,62.0,2630.94
2022-01-08,CO,Bogotá,pm10,336,14.0,91.0,46.0,2387.49
2022-01-08,CO,Bogotá,pm25,313,34.0,164.0,82.0,6359.78
2022-01-08,CO,Bogotá,wind-speed,321,0.1,12.0,1.5,32.86
2022-01-09,CO,Bogotá,humidity,336,34.0,100.0,69.0,2134.83
2022-01-09,CO,Bogotá,pm10,336,9.0,87.0,34.0,1621.43
2022-01-09,CO,Bogotá,pm25,312,17.0,144.0,70.0,4679.59
2022-01-09,CO,Bogotá,wind-speed,333,0.1,9.0,1.5,29.87
2022-01-10,CO,Bogotá,wind-speed,327,0.1,7.3,1.4,20.98
2022-01-10,CO,Bogotá,pm25,315,28.0,132.0,68.0,2781.52
2022-01-10,CO,Bogotá,precipitation,14,0.1,1.3,0.6,1.59
2022-01-10,CO,Bogotá,humidity,336,43.0,100.0,74.0,1916.91
2022-01-10,CO,Bogotá,pm10,336,12.0,66.0,30.0,1287.54
2022-01-11,CO,Bogotá,humidity,336,40.0,100.0,72.8,1613.83
2022-01-11,CO,Bogotá,pm10,336,6.0,54.0,23.0,1030.89
2022-01-11,CO,Bogotá,pm25,313,9.0,85.0,53.0,2025.55
2022-01-11,CO,Bogotá,precipitation,10,0.1,1.3,0.1,1.44
2022-01-11,CO,Bogotá,wind-speed,336,0.1,8.5,1.9,24.51
2022-01-12,CO,Bogotá,humidity,333,39.0,96.5,71.0,1690.3
2022-01-12,CO,Bogotá,pm10,330,9.0,95.0,31.0,2062.45
2022-01-12,CO,Bogotá,pm25,291,21.0,824.0,57.0,25912.3
2022-01-12,CO,Bogotá,wind-speed,331,0.1,9.5,1.5,32.76
2022-01-13,CO,Bogotá,wind-speed,333,0.1,8.6,1.3,22.14
2022-01-13,CO,Bogotá,pm25,315,5.0,149.0,55.0,4797.65
2022-01-13,CO,Bogotá,precipitation,66,0.1,6.1,0.4,7.33
2022-01-13,CO,Bogotá,pm10,336,6.0,66.0,27.0,1863.4
2022-01-13,CO,Bogotá,humidity,336,50.0,100.0,75.3,1296.6
2022-01-14,CO,Bogotá,humidity,336,47.8,100.0,76.0,1537.39
2022-01-14,CO,Bogotá,pm10,336,7.0,66.0,30.0,2337.79
2022-01-14,CO,Bogotá,pm25,323,9.0,830.0,68.0,59016.2
2022-01-14,CO,Bogotá,precipitation,14,0.1,0.7,0.1,0.31
2022-01-14,CO,Bogotá,wind-speed,336,0.1,8.6,1.1,20.22
2022-01-15,CO,Bogotá,humidity,336,29.4,100.0,68.0,3447.74
2022-01-15,CO,Bogotá,pm10,336,5.0,69.0,23.0,1439.81
2022-01-15,CO,Bogotá,pm25,336,13.0,132.0,55.0,3085.24
2022-01-15,CO,Bogotá,precipitation,3,0.1,0.1,0.1,0.0
2022-01-15,CO,Bogotá,wind-speed,329,0.1,8.7,1.5,20.66
2022-01-16,CO,Bogotá,wind-speed,334,0.1,7.1,1.6,19.17
2022-01-16,CO,Bogotá,pm25,333,13.0,124.0,61.0,3728.26
2022-01-16,CO,Bogotá,pm10,336,6.0,60.0,27.0,1581.28
2022-01-16,CO,Bogotá,humidity,328,31.1,100.0,67.8,3211.33
2022-01-17,CO,Bogotá,humidity,336,25.1,100.0,75.0,2861.71
2022-01-17,CO,Bogotá,pm10,336,8.0,81.0,35.0,2630.42
2022-01-17,CO,Bogotá,pm25,336,13.0,165.0,72.0,6783.82
2022-01-17,CO,Bogotá,precipitation,22,0.1,11.5,1.0,73.19
2022-01-17,CO,Bogotá,wind-speed,335,0.1,9.6,1.4,24.21
2022-01-18,CO,Bogotá,humidity,336,32.2,100.0,70.8,3429.74
2022-01-18,CO,Bogotá,pm10,336,5.0,88.0,25.0,3085.29
2022-01-18,CO,Bogotá,pm25,332,5.0,144.0,61.0,8947.74
2022-01-18,CO,Bogotá,precipitation,3,0.1,0.1,0.1,0.0
2022-01-18,CO,Bogotá,wind-speed,332,0.1,7.9,1.5,22.51
2022-01-19,CO,Bogotá,wind-speed,333,0.1,9.4,1.9,30.33
2022-01-19,CO,Bogotá,pm10,327,2.0,292.0,19.0,9064.85
2022-01-19,CO,Bogotá,humidity,330,30.6,100.0,60.9,2758.8
2022-01-19,CO,Bogotá,pm25,332,5.0,149.0,34.0,6207.81
2022-01-20,CO,Bogotá,humidity,334,29.3,93.0,54.0,2060.12
2022-01-20,CO,Bogotá,pm10,333,6.0,69.0,19.0,1948.15
2022-01-20,CO,Bogotá,pm25,331,5.0,824.0,34.0,21480.3
2022-01-20,CO,Bogotá,wind-speed,330,0.1,9.7,2.1,22.35
2022-01-21,CO,Bogotá,humidity,334,30.6,93.0,59.5,2736.09
2022-01-21,CO,Bogotá,pm10,333,4.0,80.0,27.0,2747.07
2022-01-21,CO,Bogotá,pm25,324,9.0,124.0,53.0,6261.9
