Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Boston,humidity,124,36.0,98.0,95.0,607.65
2022-01-01,US,Boston,pm25,136,5.0,85.0,50.0,3490.42
2022-01-01,US,Boston,wind-speed,99,0.1,12.0,1.0,105.31
2022-01-02,US,Boston,humidity,131,72.0,98.0,92.8,465.87
2022-01-02,US,Boston,pm25,127,9.0,63.0,21.0,1569.85
2022-01-02,US,Boston,wind-speed,143,0.2,16.0,2.5,104.97
2022-01-03,US,Boston,humidity,144,51.7,85.6,60.8,353.21
2022-01-03,US,Boston,pm25,110,5.0,42.0,17.0,507.31
2022-01-03,US,Boston,wind-speed,144,1.5,15.2,5.0,123.66
2022-01-04,US,Boston,humidity,144,33.2,80.6,51.7,695.86
2022-01-04,US,Boston,pm25,117,5.0,46.0,21.0,1042.53
2022-01-04,US,Boston,wind-speed,142,0.2,15.2,3.3,93.5
2022-01-05,US,Boston,humidity,144,65.0,99.0,88.2,517.05
2022-01-05,US,Boston,pm25,130,5.0,61.0,30.0,1064.96
2022-01-05,US,Boston,wind-speed,125,0.1,29.5,4.3,507.07
2022-01-06,US,Boston,wind-speed,137,0.1,20.2,3.7,194.63
2022-01-06,US,Boston,pm25,133,13.0,63.0,42.0,1166.05
2022-01-06,US,Boston,humidity,144,51.1,98.9,68.2,2249.02
2022-01-07,US,Boston,humidity,144,62.2,96.0,86.2,1011.49
2022-01-07,US,Boston,pm25,135,9.0,57.0,34.0,1121.86
2022-01-07,US,Boston,wind-speed,142,0.1,20.7,4.0,208.22
2022-01-08,US,Boston,humidity,141,40.1,91.5,64.9,1170.86
2022-01-08,US,Boston,pm25,129,5.0,76.0,25.0,3311.25
2022-01-08,US,Boston,wind-speed,128,0.1,18.6,5.1,191.96
2022-01-09,US,Boston,wind-speed,141,0.1,27.6,7.5,427.37
2022-01-09,US,Boston,pm25,137,5.0,82.0,34.0,1976.61
2022-01-09,US,Boston,humidity,144,60.0,94.0,77.5,704.95
2022-01-10,US,Boston,humidity,144,39.3,88.6,51.6,1006.63
2022-01-10,US,Boston,pm25,112,5.0,50.0,21.0,1153.58
2022-01-10,US,Boston,wind-speed,142,0.2,23.2,7.7,221.68
2022-01-11,US,Boston,humidity,144,36.0,81.8,52.7,1406.77
2022-01-11,US,Boston,pm25,142,9.0,89.0,38.0,2796.41
