Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,SK,Bratislava,humidity,96,62.0,89.0,78.5,542.82
2022-01-01,SK,Bratislava,pm10,91,1.0,109.0,7.0,1663.61
2022-01-01,SK,Bratislava,pm25,92,5.0,185.0,21.0,6353.78
2022-01-01,SK,Bratislava,wind-speed,48,0.2,9.0,1.0,67.34
2022-01-02,SK,Bratislava,humidity,96,76.0,96.5,89.2,270.91
2022-01-02,SK,Bratislava,pm10,95,2.0,36.0,12.0,450.98
2022-01-02,SK,Bratislava,pm25,95,5.0,80.0,46.0,2780.1
2022-01-02,SK,Bratislava,wind-speed,24,0.5,3.0,1.5,6.6
2022-01-03,SK,Bratislava,wind-speed,39,0.2,12.0,2.0,118.41
2022-01-03,SK,Bratislava,pm25,82,5.0,65.0,17.0,3323.38
2022-01-03,SK,Bratislava,humidity,96,48.5,96.5,72.2,844.93
2022-01-03,SK,Bratislava,pm10,88,2.0,23.0,7.0,265.45
2022-01-04,SK,Bratislava,humidity,96,76.0,93.0,86.3,301.0
2022-01-04,SK,Bratislava,pm10,95,5.0,30.0,19.0,452.8
2022-01-04,SK,Bratislava,pm25,96,13.0,85.0,61.0,4165.39
2022-01-04,SK,Bratislava,wind-speed,24,0.5,3.8,1.8,6.34
2022-01-05,SK,Bratislava,wind-speed,33,0.2,7.7,2.5,61.14
2022-01-05,SK,Bratislava,pm25,76,5.0,42.0,17.0,641.99
2022-01-05,SK,Bratislava,humidity,96,53.5,94.0,82.2,845.31
2022-01-05,SK,Bratislava,pm10,83,1.0,13.0,5.0,38.48
2022-01-06,SK,Bratislava,humidity,96,41.0,79.0,71.3,851.78
2022-01-06,SK,Bratislava,pm10,94,1.0,10.0,5.0,29.09
2022-01-06,SK,Bratislava,pm25,85,5.0,50.0,17.0,465.62
2022-01-06,SK,Bratislava,wind-speed,39,0.2,9.7,4.3,93.65
2022-01-07,SK,Bratislava,humidity,96,59.0,85.2,75.2,498.42
2022-01-07,SK,Bratislava,pm10,96,4.0,30.0,13.0,490.66
2022-01-07,SK,Bratislava,pm25,93,13.0,85.0,46.0,3621.65
2022-01-07,SK,Bratislava,wind-speed,24,1.0,4.1,1.8,6.82
2022-01-08,SK,Bratislava,wind-speed,24,0.5,3.0,2.5,7.92
2022-01-08,SK,Bratislava,humidity,96,74.0,88.5,80.0,83.59
2022-01-08,SK,Bratislava,pm10,96,16.0,30.0,22.0,73.15
2022-01-08,SK,Bratislava,pm25,96,61.0,91.0,70.0,409.68
2022-01-09,SK,Bratislava,wind-speed,24,0.7,3.8,2.8,9.28
2022-01-09,SK,Bratislava,pm25,96,63.0,114.0,82.0,1238.37
2022-01-09,SK,Bratislava,humidity,96,74.0,100.0,88.5,307.4
2022-01-09,SK,Bratislava,pm10,96,16.0,40.0,28.0,267.41
2022-01-10,SK,Bratislava,humidity,96,64.0,100.0,92.0,625.61
2022-01-10,SK,Bratislava,pm10,95,16.0,51.0,32.0,627.38
2022-01-10,SK,Bratislava,pm25,96,61.0,142.0,89.0,3148.61
2022-01-10,SK,Bratislava,wind-speed,24,0.5,5.1,1.8,24.56
2022-01-11,SK,Bratislava,humidity,96,51.0,88.7,77.5,741.21
2022-01-11,SK,Bratislava,pm10,96,15.0,33.0,21.0,136.63
2022-01-11,SK,Bratislava,pm25,96,57.0,97.0,68.0,695.05
2022-01-11,SK,Bratislava,wind-speed,60,0.2,6.6,0.5,52.17
2022-01-12,SK,Bratislava,humidity,96,61.0,90.5,82.5,564.52
2022-01-12,SK,Bratislava,pm10,96,18.0,33.0,27.0,131.21
2022-01-12,SK,Bratislava,pm25,95,59.0,102.0,82.0,865.17
2022-01-12,SK,Bratislava,wind-speed,51,0.2,7.4,0.7,62.69
2022-01-13,SK,Bratislava,wind-speed,48,0.2,6.4,0.5,45.39
2022-01-13,SK,Bratislava,pm25,96,53.0,82.0,68.0,571.15
2022-01-13,SK,Bratislava,pm10,96,14.0,30.0,21.0,118.26
2022-01-13,SK,Bratislava,humidity,96,55.0,87.2,77.0,575.77
2022-01-14,SK,Bratislava,humidity,96,46.0,88.2,75.5,1254.66
2022-01-14,SK,Bratislava,pm10,96,9.0,20.0,16.0,91.15
2022-01-14,SK,Bratislava,pm25,94,30.0,76.0,57.0,1043.67
2022-01-14,SK,Bratislava,wind-speed,45,0.2,9.0,3.6,91.2
2022-01-15,SK,Bratislava,humidity,96,50.0,92.0,81.7,1020.39
2022-01-15,SK,Bratislava,pm10,96,4.0,41.0,11.0,663.58
2022-01-15,SK,Bratislava,pm25,95,13.0,87.0,38.0,2468.4
2022-01-15,SK,Bratislava,wind-speed,27,0.2,5.1,2.3,27.02
2022-01-16,SK,Bratislava,humidity,93,66.5,92.0,84.2,342.72
2022-01-16,SK,Bratislava,pm10,96,14.0,52.0,28.0,471.15
2022-01-16,SK,Bratislava,pm25,94,42.0,112.0,76.0,1570.79
2022-01-16,SK,Bratislava,wind-speed,33,0.2,7.2,1.5,28.51
2022-01-17,SK,Bratislava,pm25,90,9.0,72.0,42.0,2753.59
2022-01-17,SK,Bratislava,wind-speed,84,0.2,12.8,1.0,127.67
2022-01-17,SK,Bratislava,humidity,96,58.0,89.6,76.7,485.95
2022-01-17,SK,Bratislava,pm10,95,1.0,20.0,11.0,178.27
2022-01-18,SK,Bratislava,wind-speed,33,0.2,9.7,5.1,111.99
2022-01-18,SK,Bratislava,pm25,88,5.0,50.0,25.0,1585.76
2022-01-18,SK,Bratislava,pm10,96,2.0,20.0,10.0,224.44
2022-01-18,SK,Bratislava,humidity,96,54.0,88.0,77.7,813.25
2022-01-19,SK,Bratislava,humidity,96,64.0,92.2,85.0,427.05
2022-01-19,SK,Bratislava,pm10,94,10.0,45.0,20.0,591.54
2022-01-19,SK,Bratislava,pm25,94,21.0,112.0,53.0,3112.82
2022-01-19,SK,Bratislava,wind-speed,24,1.0,3.3,2.0,4.4
2022-01-20,SK,Bratislava,humidity,96,52.0,92.0,75.7,786.13
2022-01-20,SK,Bratislava,pm10,94,1.0,40.0,7.0,1016.84
2022-01-20,SK,Bratislava,pm25,84,5.0,107.0,21.0,7204.42
2022-01-20,SK,Bratislava,wind-speed,57,0.2,11.3,0.7,154.0
2022-01-21,SK,Bratislava,humidity,96,37.0,89.7,74.5,1826.55
2022-01-21,SK,Bratislava,pm10,89,1.0,10.0,5.0,51.56
2022-01-21,SK,Bratislava,pm25,56,5.0,25.0,13.0,295.9
2022-01-21,SK,Bratislava,wind-speed,66,0.2,10.8,0.7,145.43
2022-01-22,SK,Bratislava,pm25,83,5.0,53.0,17.0,1322.43
2022-01-22,SK,Bratislava,wind-speed,30,0.2,8.2,5.1,73.63
2022-01-22,SK,Bratislava,humidity,96,55.0,100.0,80.2,1371.24
2022-01-22,SK,Bratislava,pm10,96,1.0,20.0,5.0,105.05
2022-01-23,SK,Bratislava,humidity,96,57.0,94.0,84.0,877.42
2022-01-23,SK,Bratislava,pm10,96,5.0,22.0,11.0,128.6
2022-01-23,SK,Bratislava,pm25,96,9.0,61.0,42.0,1241.47
2022-01-23,SK,Bratislava,wind-speed,30,0.2,5.9,2.8,28.45
2022-01-24,SK,Bratislava,pm25,95,34.0,80.0,65.0,1188.68
2022-01-24,SK,Bratislava,wind-speed,24,0.7,3.3,2.0,4.84
2022-01-24,SK,Bratislava,humidity,96,59.0,93.0,87.0,876.22
2022-01-24,SK,Bratislava,pm10,96,10.0,39.0,21.0,335.35
2022-01-25,SK,Bratislava,humidity,96,74.0,92.0,89.0,130.15
2022-01-25,SK,Bratislava,pm10,96,10.0,51.0,22.0,631.16
2022-01-25,SK,Bratislava,pm25,96,34.0,147.0,70.0,4008.77
2022-01-25,SK,Bratislava,wind-speed,24,0.5,5.6,3.3,33.21
2022-01-26,SK,Bratislava,humidity,96,64.0,89.0,82.5,315.98
2022-01-26,SK,Bratislava,pm10,95,8.0,23.0,13.0,130.18
2022-01-26,SK,Bratislava,pm25,95,30.0,80.0,46.0,921.96
2022-01-26,SK,Bratislava,wind-speed,39,0.2,5.6,3.3,38.88
2022-01-27,SK,Bratislava,pm25,96,34.0,89.0,57.0,1689.67
2022-01-27,SK,Bratislava,wind-speed,36,0.2,7.4,3.3,54.0
2022-01-27,SK,Bratislava,pm10,94,9.0,34.0,16.0,487.67
2022-01-27,SK,Bratislava,humidity,96,47.5,86.0,74.7,1400.02
2022-01-28,SK,Bratislava,humidity,96,48.0,84.2,70.7,789.48
2022-01-28,SK,Bratislava,pm10,90,1.0,13.0,5.0,75.86
2022-01-28,SK,Bratislava,pm25,74,5.0,55.0,13.0,1675.2
2022-01-28,SK,Bratislava,wind-speed,63,0.2,13.1,1.6,178.14
2022-01-29,SK,Bratislava,humidity,96,58.5,96.5,82.7,997.92
2022-01-29,SK,Bratislava,pm10,94,1.0,24.0,9.0,173.27
2022-01-29,SK,Bratislava,pm25,92,5.0,42.0,17.0,1018.98
2022-01-29,SK,Bratislava,wind-speed,33,0.2,9.2,4.6,78.01
2022-01-30,SK,Bratislava,wind-speed,87,0.2,16.2,1.5,250.85
2022-01-30,SK,Bratislava,humidity,96,37.5,82.7,58.0,1768.49
2022-01-30,SK,Bratislava,pm10,94,1.0,32.0,7.0,673.95
2022-01-30,SK,Bratislava,pm25,75,5.0,57.0,21.0,1783.56
2022-01-31,SK,Bratislava,wind-speed,33,1.0,6.1,4.1,31.17
2022-01-31,SK,Bratislava,pm25,96,9.0,46.0,21.0,752.95
2022-01-31,SK,Bratislava,pm10,96,2.0,20.0,11.0,158.21
2022-01-31,SK,Bratislava,humidity,96,39.5,93.0,69.6,1929.15
2022-02-01,SK,Bratislava,humidity,96,56.0,96.5,83.0,1020.62
2022-02-01,SK,Bratislava,pm10,96,2.0,30.0,8.0,457.07
2022-02-01,SK,Bratislava,pm25,89,5.0,65.0,21.0,3025.09
2022-02-01,SK,Bratislava,wind-speed,33,0.2,6.9,5.4,64.54
2022-02-02,SK,Bratislava,wind-speed,54,0.2,13.6,1.2,190.11
2022-02-02,SK,Bratislava,humidity,96,54.5,96.5,79.5,946.95
2022-02-02,SK,Bratislava,pm10,77,1.0,9.0,4.0,40.0
2022-02-02,SK,Bratislava,pm25,53,5.0,25.0,13.0,245.57
2022-02-03,SK,Bratislava,pm25,86,5.0,72.0,17.0,2406.09
2022-02-03,SK,Bratislava,wind-speed,24,1.5,8.4,2.8,54.38
2022-02-03,SK,Bratislava,humidity,96,42.0,80.0,69.0,808.23
