Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Brooklyn,humidity,144,81.0,100.0,94.0,242.33
2022-01-01,US,Brooklyn,pm25,143,5.0,114.0,39.0,8279.24
2022-01-01,US,Brooklyn,wind-speed,116,0.1,6.0,2.0,17.46
2022-01-02,US,Brooklyn,humidity,144,60.0,100.0,88.0,1356.41
2022-01-02,US,Brooklyn,pm25,140,5.0,114.0,33.0,4366.36
2022-01-02,US,Brooklyn,wind-speed,119,0.1,13.5,4.1,75.81
2022-01-03,US,Brooklyn,humidity,144,33.0,83.4,55.0,1419.58
2022-01-03,US,Brooklyn,pm25,141,1.0,47.0,27.0,1666.79
2022-01-03,US,Brooklyn,wind-speed,133,0.2,19.0,5.6,123.26
2022-01-04,US,Brooklyn,humidity,144,34.0,77.7,56.6,937.54
2022-01-04,US,Brooklyn,pm25,139,4.0,119.0,36.0,7301.81
2022-01-04,US,Brooklyn,wind-speed,115,0.1,15.0,3.0,83.42
2022-01-05,US,Brooklyn,humidity,144,47.0,96.0,85.6,1119.37
2022-01-05,US,Brooklyn,pm25,143,12.0,118.0,39.0,9710.87
2022-01-05,US,Brooklyn,wind-speed,114,0.3,12.0,3.0,49.14
2022-01-06,US,Brooklyn,wind-speed,111,0.1,16.0,3.7,84.29
2022-01-06,US,Brooklyn,pm25,144,10.0,114.0,50.0,7413.87
2022-01-06,US,Brooklyn,humidity,144,32.0,93.6,51.6,2890.83
2022-01-07,US,Brooklyn,humidity,144,43.0,97.0,67.7,2693.95
2022-01-07,US,Brooklyn,pm25,143,5.0,116.0,42.0,8876.69
2022-01-07,US,Brooklyn,wind-speed,115,0.1,27.0,5.1,391.49
2022-01-08,US,Brooklyn,humidity,144,28.0,69.2,51.7,975.95
2022-01-08,US,Brooklyn,pm25,138,1.0,117.0,40.0,9459.63
2022-01-08,US,Brooklyn,wind-speed,109,0.1,21.0,4.0,127.49
2022-01-09,US,Brooklyn,wind-speed,121,0.2,16.0,4.1,106.56
2022-01-09,US,Brooklyn,pm25,144,3.0,116.0,43.0,9083.47
2022-01-09,US,Brooklyn,humidity,144,39.0,94.7,73.7,1569.8
2022-01-10,US,Brooklyn,humidity,144,33.0,87.7,50.2,1689.16
2022-01-10,US,Brooklyn,pm25,139,3.0,116.0,39.0,10367.3
2022-01-10,US,Brooklyn,wind-speed,132,0.2,10.8,5.6,77.88
2022-01-11,US,Brooklyn,humidity,144,31.0,77.4,44.0,1060.46
2022-01-11,US,Brooklyn,pm25,139,2.0,106.0,42.0,5835.3
2022-01-11,US,Brooklyn,wind-speed,115,0.1,21.0,5.6,241.68
2022-01-12,US,Brooklyn,wind-speed,111,0.1,10.0,3.0,33.31
2022-01-12,US,Brooklyn,humidity,144,35.0,75.3,53.0,841.06
2022-01-12,US,Brooklyn,pm25,144,4.0,69.0,45.0,2079.37
2022-01-13,US,Brooklyn,humidity,144,39.0,81.8,66.7,1013.82
2022-01-13,US,Brooklyn,pm25,144,43.0,96.0,64.0,1193.01
2022-01-13,US,Brooklyn,wind-speed,92,0.1,8.0,2.1,23.96
2022-01-14,US,Brooklyn,humidity,144,53.0,89.3,66.2,842.1
2022-01-14,US,Brooklyn,pm25,144,7.0,69.0,50.0,1286.92
2022-01-14,US,Brooklyn,wind-speed,136,0.1,21.0,5.3,173.9
2022-01-15,US,Brooklyn,humidity,144,28.0,75.6,48.8,1134.18
2022-01-15,US,Brooklyn,pm25,141,2.0,78.0,38.0,1619.37
2022-01-15,US,Brooklyn,wind-speed,123,0.1,18.0,4.8,128.69
2022-01-16,US,Brooklyn,humidity,144,47.0,94.9,67.5,1807.52
2022-01-16,US,Brooklyn,pm25,142,2.0,55.0,40.0,1458.8
2022-01-16,US,Brooklyn,wind-speed,119,0.5,9.2,4.0,30.98
2022-01-17,US,Brooklyn,wind-speed,138,0.1,29.0,6.1,312.05
2022-01-17,US,Brooklyn,pm25,126,1.0,64.0,30.0,2578.7
2022-01-17,US,Brooklyn,humidity,144,51.0,100.0,78.7,1349.44
2022-01-18,US,Brooklyn,humidity,144,32.0,76.2,52.5,968.57
2022-01-18,US,Brooklyn,pm25,139,2.0,75.0,38.0,3509.3
2022-01-18,US,Brooklyn,wind-speed,131,0.2,29.0,5.9,186.09
2022-01-19,US,Brooklyn,humidity,144,31.0,83.2,55.1,1460.45
2022-01-19,US,Brooklyn,pm25,144,8.0,58.0,40.0,1238.45
2022-01-19,US,Brooklyn,wind-speed,115,0.1,16.0,3.6,117.58
2022-01-20,US,Brooklyn,humidity,144,37.0,93.0,61.3,3349.37
2022-01-20,US,Brooklyn,pm25,142,10.0,76.0,43.0,2052.71
2022-01-20,US,Brooklyn,wind-speed,115,0.1,17.0,4.6,78.26
2022-01-21,US,Brooklyn,humidity,144,37.0,70.3,45.0,603.11
2022-01-21,US,Brooklyn,pm25,139,2.0,50.0,32.0,1082.07
2022-01-21,US,Brooklyn,wind-speed,124,0.1,21.0,5.1,114.13
2022-01-22,US,Brooklyn,pm25,144,3.0,54.0,33.0,1203.67
2022-01-22,US,Brooklyn,wind-speed,107,0.1,11.0,3.5,38.4
2022-01-22,US,Brooklyn,humidity,143,33.0,75.7,52.0,581.79
2022-01-23,US,Brooklyn,wind-speed,111,0.1,15.0,3.6,106.86
2022-01-23,US,Brooklyn,pm25,144,16.0,68.0,50.0,771.93
2022-01-23,US,Brooklyn,humidity,144,28.0,89.6,48.9,2953.86
2022-01-24,US,Brooklyn,humidity,144,50.0,90.2,67.2,1101.87
2022-01-24,US,Brooklyn,pm25,144,10.0,86.0,55.0,2689.32
2022-01-24,US,Brooklyn,wind-speed,108,0.2,12.0,3.0,64.28
2022-01-25,US,Brooklyn,humidity,144,39.0,84.1,62.3,1231.6
2022-01-25,US,Brooklyn,pm25,142,18.0,159.0,56.0,5740.65
2022-01-25,US,Brooklyn,wind-speed,114,0.3,13.0,3.5,64.42
2022-01-26,US,Brooklyn,humidity,144,27.0,75.2,41.7,1257.49
2022-01-26,US,Brooklyn,pm25,140,1.0,62.0,29.0,1493.95
2022-01-26,US,Brooklyn,wind-speed,117,0.3,19.0,4.5,113.53
2022-01-27,US,Brooklyn,humidity,144,35.0,79.7,49.8,749.51
2022-01-27,US,Brooklyn,pm25,144,4.0,184.0,33.0,6231.32
2022-01-27,US,Brooklyn,wind-speed,114,0.1,6.6,3.0,18.32
2022-01-28,US,Brooklyn,pm25,140,30.0,120.0,56.0,2552.13
2022-01-28,US,Brooklyn,wind-speed,105,0.1,15.5,3.2,80.68
2022-01-28,US,Brooklyn,humidity,144,36.0,94.4,80.0,2257.53
2022-01-29,US,Brooklyn,humidity,144,36.0,96.0,85.0,3317.59
2022-01-29,US,Brooklyn,pm25,143,2.0,80.0,30.0,2194.61
