Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Calgary,humidity,96,45.0,77.0,65.0,1004.37
2022-01-01,CA,Calgary,pm25,84,1.0,142.0,10.0,6533.53
2022-01-01,CA,Calgary,wind-speed,77,0.1,8.2,3.0,57.0
2022-01-02,CA,Calgary,humidity,96,41.7,85.1,53.1,1924.71
2022-01-02,CA,Calgary,pm25,76,2.0,134.0,11.0,8020.06
2022-01-02,CA,Calgary,wind-speed,94,0.2,11.7,4.1,104.06
2022-01-03,CA,Calgary,humidity,96,69.7,83.9,81.0,143.62
2022-01-03,CA,Calgary,pm25,92,18.0,81.0,37.0,1978.58
2022-01-03,CA,Calgary,wind-speed,93,0.1,12.0,2.5,104.14
2022-01-04,CA,Calgary,humidity,96,64.6,79.9,75.0,122.49
2022-01-04,CA,Calgary,pm25,92,1.0,60.0,12.0,615.66
2022-01-04,CA,Calgary,wind-speed,90,0.1,12.2,4.0,139.6
2022-01-05,CA,Calgary,humidity,96,69.2,79.4,76.0,65.42
2022-01-05,CA,Calgary,pm25,90,1.0,52.0,19.0,1605.66
2022-01-05,CA,Calgary,wind-speed,79,0.1,4.0,1.0,11.5
2022-01-06,CA,Calgary,wind-speed,86,0.1,5.5,2.0,19.52
2022-01-06,CA,Calgary,pm25,89,39.0,73.0,55.0,319.23
2022-01-06,CA,Calgary,humidity,96,72.0,79.0,77.0,22.48
2022-01-07,CA,Calgary,humidity,96,68.7,79.2,76.1,79.66
2022-01-07,CA,Calgary,pm25,92,29.0,188.0,51.0,19003.2
2022-01-07,CA,Calgary,wind-speed,85,0.1,8.0,3.0,54.42
2022-01-08,CA,Calgary,humidity,96,59.8,79.2,72.8,170.4
2022-01-08,CA,Calgary,pm25,92,27.0,100.0,64.0,2552.77
2022-01-08,CA,Calgary,wind-speed,85,0.1,6.0,1.7,19.39
2022-01-09,CA,Calgary,wind-speed,79,0.1,4.2,1.1,16.91
2022-01-09,CA,Calgary,pm25,92,2.0,125.0,75.0,6518.15
2022-01-09,CA,Calgary,humidity,96,52.5,83.9,72.2,386.52
2022-01-10,CA,Calgary,humidity,96,32.0,83.0,50.2,2086.92
2022-01-10,CA,Calgary,pm25,79,1.0,116.0,9.0,10678.3
2022-01-10,CA,Calgary,wind-speed,84,0.1,12.0,1.7,85.75
2022-01-11,CA,Calgary,humidity,96,37.2,76.0,49.3,966.59
2022-01-11,CA,Calgary,pm25,74,1.0,61.0,8.0,1475.17
2022-01-11,CA,Calgary,wind-speed,87,0.1,13.2,2.5,93.59
2022-01-12,CA,Calgary,wind-speed,81,0.1,5.7,2.0,28.16
2022-01-12,CA,Calgary,humidity,96,44.5,79.5,60.5,816.94
2022-01-12,CA,Calgary,pm25,76,2.0,75.0,10.0,2318.12
2022-01-13,CA,Calgary,humidity,96,50.7,90.0,79.2,763.08
2022-01-13,CA,Calgary,pm25,89,6.0,89.0,41.0,4944.72
2022-01-13,CA,Calgary,wind-speed,85,0.1,12.2,2.6,52.28
2022-01-14,CA,Calgary,humidity,96,47.7,87.0,76.8,677.47
2022-01-14,CA,Calgary,pm25,91,1.0,61.0,23.0,1781.16
2022-01-14,CA,Calgary,wind-speed,86,0.1,9.2,3.2,51.86
2022-01-15,CA,Calgary,humidity,96,39.0,66.8,51.7,470.91
2022-01-15,CA,Calgary,pm25,68,1.0,55.0,5.0,547.94
2022-01-15,CA,Calgary,wind-speed,96,0.1,8.2,3.0,31.48
2022-01-16,CA,Calgary,humidity,93,48.7,77.1,63.7,441.51
2022-01-16,CA,Calgary,pm25,83,1.0,70.0,12.0,2959.7
2022-01-16,CA,Calgary,wind-speed,84,0.1,6.5,1.7,35.2
2022-01-17,CA,Calgary,wind-speed,94,0.1,21.0,5.0,191.92
2022-01-17,CA,Calgary,pm25,74,1.0,59.0,10.0,1725.05
2022-01-17,CA,Calgary,humidity,96,39.2,81.1,53.1,1607.68
2022-01-18,CA,Calgary,humidity,96,65.0,80.6,72.0,125.15
2022-01-18,CA,Calgary,pm25,92,3.0,38.0,19.0,635.64
2022-01-18,CA,Calgary,wind-speed,95,0.1,15.2,3.5,127.77
2022-01-19,CA,Calgary,humidity,96,61.2,80.9,76.2,347.45
2022-01-19,CA,Calgary,pm25,92,14.0,70.0,37.0,1779.22
2022-01-19,CA,Calgary,wind-speed,83,0.1,6.2,2.5,23.24
2022-01-20,CA,Calgary,humidity,96,43.0,80.6,57.0,1090.7
2022-01-20,CA,Calgary,pm25,67,1.0,59.0,11.0,3202.3
2022-01-20,CA,Calgary,wind-speed,89,0.1,11.0,3.0,67.3
2022-01-21,CA,Calgary,humidity,96,50.0,74.8,66.2,399.13
2022-01-21,CA,Calgary,pm25,73,1.0,57.0,7.0,2930.47
2022-01-21,CA,Calgary,wind-speed,87,0.1,8.7,1.5,42.99
2022-01-22,CA,Calgary,pm25,82,1.0,51.0,10.0,1468.2
2022-01-22,CA,Calgary,wind-speed,94,0.1,7.0,2.2,25.01
2022-01-22,CA,Calgary,humidity,96,35.7,71.7,50.8,1269.68
2022-01-23,CA,Calgary,wind-speed,93,0.3,9.5,3.0,39.88
2022-01-23,CA,Calgary,pm25,85,1.0,64.0,7.0,1797.9
2022-01-23,CA,Calgary,humidity,96,24.2,66.4,37.3,1447.11
2022-01-24,CA,Calgary,humidity,96,61.2,87.5,71.1,543.04
2022-01-24,CA,Calgary,pm25,86,1.0,37.0,8.0,390.75
2022-01-24,CA,Calgary,wind-speed,94,0.3,13.0,3.5,113.68
2022-01-25,CA,Calgary,humidity,96,31.0,85.0,60.0,3854.49
2022-01-25,CA,Calgary,pm25,89,1.0,53.0,10.0,1618.24
2022-01-25,CA,Calgary,wind-speed,87,0.1,7.0,3.3,31.53
2022-01-26,CA,Calgary,humidity,96,38.5,65.8,50.0,378.06
2022-01-26,CA,Calgary,pm25,92,1.0,45.0,9.0,474.23
2022-01-26,CA,Calgary,wind-speed,93,0.1,16.0,3.5,167.5
2022-01-27,CA,Calgary,humidity,96,20.2,76.8,50.5,3442.34
2022-01-27,CA,Calgary,pm25,89,3.0,58.0,13.0,1751.26
2022-01-27,CA,Calgary,wind-speed,86,0.1,5.7,2.7,24.12
2022-01-28,CA,Calgary,pm25,88,3.0,48.0,12.0,1018.59
2022-01-28,CA,Calgary,wind-speed,91,0.3,7.2,2.5,37.29
2022-01-28,CA,Calgary,humidity,96,15.5,61.8,25.0,771.68
2022-01-29,CA,Calgary,humidity,96,23.5,66.9,38.7,1053.05
2022-01-29,CA,Calgary,pm25,89,2.0,70.0,13.0,3157.29
2022-01-29,CA,Calgary,wind-speed,79,0.1,7.5,2.0,39.57
2022-01-30,CA,Calgary,humidity,96,36.0,74.0,45.7,742.53
2022-01-30,CA,Calgary,pm25,82,1.0,66.0,7.0,3098.04
2022-01-30,CA,Calgary,wind-speed,84,0.1,7.2,2.4,30.79
2022-01-31,CA,Calgary,pm25,91,2.0,51.0,16.0,1483.19
2022-01-31,CA,Calgary,humidity,96,52.1,75.2,64.8,265.89
2022-01-31,CA,Calgary,wind-speed,93,0.1,20.0,5.0,298.27
2022-02-01,CA,Calgary,humidity,96,60.5,77.0,72.5,158.7
2022-02-01,CA,Calgary,pm25,92,1.0,48.0,12.0,820.69
2022-02-01,CA,Calgary,wind-speed,95,0.2,6.7,2.0,27.14
2022-02-02,CA,Calgary,pm25,92,8.0,92.0,30.0,3063.51
2022-02-02,CA,Calgary,wind-speed,77,0.1,9.2,3.0,86.03
2022-02-02,CA,Calgary,humidity,96,65.0,77.5,73.2,84.26
2022-02-03,CA,Calgary,pm25,90,3.0,55.0,29.0,1490.21
2022-02-03,CA,Calgary,wind-speed,94,0.7,9.0,3.4,42.48
2022-02-03,CA,Calgary,humidity,96,60.7,80.1,72.5,223.81
2022-02-04,CA,Calgary,humidity,96,40.2,88.5,55.2,2872.55
2022-02-04,CA,Calgary,pm25,80,1.0,66.0,34.0,6523.28
2022-02-04,CA,Calgary,wind-speed,91,0.1,10.2,3.5,68.05
2022-02-05,CA,Calgary,humidity,96,35.5,78.5,46.7,1347.12
2022-02-05,CA,Calgary,pm25,80,1.0,37.0,6.0,409.85
2022-02-05,CA,Calgary,wind-speed,92,0.1,8.5,3.0,56.54
2022-02-06,CA,Calgary,wind-speed,94,0.1,8.5,3.9,50.74
2022-02-06,CA,Calgary,pm25,91,1.0,55.0,9.0,1058.46
2022-02-06,CA,Calgary,humidity,96,26.0,79.2,38.5,1597.06
2022-02-07,CA,Calgary,humidity,96,21.2,64.9,35.7,631.35
2022-02-07,CA,Calgary,pm25,89,1.0,82.0,12.0,2323.01
2022-02-07,CA,Calgary,wind-speed,94,0.1,14.0,5.5,135.13
2022-02-08,CA,Calgary,humidity,96,31.7,55.9,40.0,267.71
2022-02-08,CA,Calgary,pm25,89,1.0,39.0,6.0,733.76
2022-02-08,CA,Calgary,wind-speed,95,0.1,10.0,3.7,44.01
2022-02-09,CA,Calgary,wind-speed,95,0.1,9.7,3.3,49.91
2022-02-09,CA,Calgary,pm25,66,1.0,41.0,7.0,662.87
2022-02-09,CA,Calgary,humidity,96,34.2,65.7,47.5,458.65
2022-02-10,CA,Calgary,humidity,96,34.0,53.4,41.0,241.39
2022-02-10,CA,Calgary,pm25,84,1.0,52.0,10.0,1154.54
2022-02-10,CA,Calgary,wind-speed,96,0.4,12.7,3.5,78.17
2022-02-11,CA,Calgary,humidity,96,31.2,73.3,48.1,1692.9
2022-02-11,CA,Calgary,pm25,89,3.0,54.0,13.0,1339.08
2022-02-11,CA,Calgary,wind-speed,91,0.2,14.7,4.8,153.33
2022-02-12,CA,Calgary,humidity,96,30.0,69.3,37.5,855.48
2022-02-12,CA,Calgary,pm25,89,3.0,65.0,13.0,1785.4
2022-02-12,CA,Calgary,wind-speed,91,0.1,8.3,2.6,43.12
2022-02-13,CA,Calgary,wind-speed,90,0.1,8.0,2.9,39.34
2022-02-13,CA,Calgary,humidity,96,36.7,65.6,47.6,418.44
2022-02-13,CA,Calgary,pm25,90,1.0,51.0,10.0,1016.98
2022-02-14,CA,Calgary,pm25,91,7.0,52.0,18.0,976.55
2022-02-14,CA,Calgary,wind-speed,86,0.1,9.2,1.5,34.0
2022-02-14,CA,Calgary,humidity,96,59.7,88.7,76.6,688.15
2022-02-15,CA,Calgary,wind-speed,89,0.3,8.0,2.5,44.48
2022-02-15,CA,Calgary,pm25,92,7.0,62.0,24.0,1634.63
2022-02-15,CA,Calgary,humidity,96,61.3,90.0,80.7,738.53
2022-02-16,CA,Calgary,humidity,96,61.9,87.7,82.0,524.95
2022-02-16,CA,Calgary,pm25,90,1.0,76.0,19.0,3096.19
2022-02-16,CA,Calgary,wind-speed,68,0.1,6.0,1.7,20.76
2022-02-17,CA,Calgary,humidity,96,41.0,90.0,72.7,3186.52
2022-02-17,CA,Calgary,pm25,83,1.0,82.0,9.0,4148.38
2022-02-17,CA,Calgary,wind-speed,84,0.1,10.0,3.5,71.64
2022-02-18,CA,Calgary,humidity,96,68.5,90.1,83.0,265.18
2022-02-18,CA,Calgary,pm25,91,1.0,45.0,20.0,1372.85
2022-02-18,CA,Calgary,wind-speed,93,0.2,10.0,3.6,64.72
2022-02-19,CA,Calgary,humidity,96,42.7,87.0,65.2,1968.82
2022-02-19,CA,Calgary,pm25,79,1.0,35.0,5.0,419.92
2022-02-19,CA,Calgary,wind-speed,89,0.1,11.0,2.5,71.52
2022-02-20,CA,Calgary,pm25,91,7.0,65.0,15.0,1806.55
2022-02-20,CA,Calgary,wind-speed,93,0.1,8.7,2.5,44.62
2022-02-20,CA,Calgary,humidity,96,63.5,85.0,79.0,234.7
2022-02-21,CA,Calgary,humidity,96,60.8,80.0,75.0,215.46
2022-02-21,CA,Calgary,pm25,92,8.0,67.0,28.0,2488.48
2022-02-21,CA,Calgary,wind-speed,89,0.2,6.7,2.2,34.88
2022-02-22,CA,Calgary,humidity,96,57.1,80.0,72.1,329.69
2022-02-22,CA,Calgary,pm25,92,18.0,74.0,41.0,1912.63
2022-02-22,CA,Calgary,wind-speed,86,0.1,5.2,1.2,13.41
2022-02-23,CA,Calgary,pm25,92,11.0,80.0,43.0,4091.85
2022-02-23,CA,Calgary,humidity,96,41.0,77.9,68.3,1506.17
2022-02-23,CA,Calgary,wind-speed,83,0.2,5.5,1.7,24.18
2022-02-24,CA,Calgary,humidity,96,62.5,85.9,79.3,225.33
2022-02-24,CA,Calgary,pm25,92,3.0,56.0,11.0,850.65
2022-02-24,CA,Calgary,wind-speed,85,0.1,12.7,3.0,83.54
2022-02-25,CA,Calgary,pm25,92,3.0,59.0,15.0,1475.26
2022-02-25,CA,Calgary,wind-speed,96,0.1,7.0,1.5,36.33
2022-02-25,CA,Calgary,humidity,96,32.5,85.0,57.0,2237.53
2022-02-26,CA,Calgary,pm25,92,2.0,55.0,11.0,1754.17
2022-02-26,CA,Calgary,wind-speed,91,0.1,7.2,3.1,41.32
2022-02-26,CA,Calgary,humidity,96,24.0,68.8,47.2,1701.11
2022-02-27,CA,Calgary,humidity,96,33.5,65.4,50.1,487.58
2022-02-27,CA,Calgary,pm25,82,1.0,30.0,5.0,394.37
2022-02-27,CA,Calgary,wind-speed,96,0.1,10.2,3.2,62.12
2022-02-28,CA,Calgary,humidity,96,42.0,81.7,59.1,1545.0
2022-02-28,CA,Calgary,pm25,84,1.0,100.0,29.0,12847.2
2022-02-28,CA,Calgary,wind-speed,92,0.1,5.5,1.7,16.7
2022-03-01,CA,Calgary,wind-speed,89,0.1,7.0,1.9,21.95
2022-03-01,CA,Calgary,pm25,92,3.0,151.0,80.0,7785.02
2022-03-01,CA,Calgary,humidity,96,32.0,95.1,83.7,3253.42
2022-03-02,CA,Calgary,humidity,96,82.7,94.0,90.1,36.07
2022-03-02,CA,Calgary,pm25,84,27.0,123.0,44.0,3809.36
2022-03-02,CA,Calgary,wind-speed,95,0.2,4.5,1.8,14.45
2022-03-03,CA,Calgary,humidity,96,71.1,94.0,86.0,250.59
2022-03-03,CA,Calgary,pm25,91,13.0,54.0,26.0,1268.08
2022-03-03,CA,Calgary,wind-speed,88,0.1,6.0,1.4,23.36
2022-03-04,CA,Calgary,wind-speed,93,0.3,12.2,3.5,87.91
2022-03-04,CA,Calgary,pm25,91,13.0,61.0,30.0,1294.54
2022-03-04,CA,Calgary,humidity,96,65.5,88.0,83.3,249.21
2022-03-05,CA,Calgary,humidity,96,63.5,86.0,80.7,369.64
2022-03-05,CA,Calgary,pm25,92,19.0,70.0,35.0,1481.24
2022-03-05,CA,Calgary,wind-speed,76,0.1,8.5,1.5,51.11
2022-03-06,CA,Calgary,humidity,96,44.0,86.4,70.2,1322.44
2022-03-06,CA,Calgary,pm25,92,5.0,112.0,13.0,2165.34
2022-03-06,CA,Calgary,wind-speed,89,0.1,8.2,1.7,27.46
2022-03-07,CA,Calgary,humidity,96,49.0,78.7,58.6,473.86
2022-03-07,CA,Calgary,pm25,89,2.0,38.0,8.0,318.58
2022-03-07,CA,Calgary,wind-speed,96,0.1,18.5,4.8,245.88
2022-03-08,CA,Calgary,wind-speed,96,0.6,15.5,5.9,142.22
2022-03-08,CA,Calgary,humidity,96,50.2,79.7,67.1,434.85
2022-03-08,CA,Calgary,pm25,87,2.0,52.0,9.0,545.19
2022-03-09,CA,Calgary,pm25,82,5.0,89.0,13.0,1807.96
2022-03-09,CA,Calgary,wind-speed,96,0.1,11.2,2.2,74.42
2022-03-09,CA,Calgary,humidity,96,50.6,78.0,68.2,643.45
2022-03-10,CA,Calgary,wind-speed,93,0.1,14.0,3.0,85.66
2022-03-10,CA,Calgary,pm25,89,4.0,91.0,15.0,1789.32
2022-03-10,CA,Calgary,humidity,96,36.2,73.6,55.1,1236.14
2022-03-11,CA,Calgary,humidity,96,43.5,82.0,63.8,1799.18
2022-03-11,CA,Calgary,pm25,91,1.0,66.0,35.0,2566.5
2022-03-11,CA,Calgary,wind-speed,89,0.1,6.2,2.6,21.74
2022-03-12,CA,Calgary,humidity,96,30.0,69.1,44.5,1135.11
2022-03-12,CA,Calgary,pm25,74,1.0,35.0,9.0,530.05
2022-03-12,CA,Calgary,wind-speed,94,0.1,7.0,3.2,27.51
2022-03-13,CA,Calgary,humidity,96,57.9,91.9,70.5,711.68
2022-03-13,CA,Calgary,pm25,88,7.0,58.0,18.0,984.78
2022-03-13,CA,Calgary,wind-speed,77,0.1,6.2,1.5,23.2
2022-03-14,CA,Calgary,humidity,96,29.0,96.0,56.2,6021.58
2022-03-14,CA,Calgary,pm25,78,2.0,80.0,28.0,5387.98
2022-03-14,CA,Calgary,wind-speed,90,0.3,12.7,3.5,87.6
2022-03-15,CA,Calgary,pm25,84,1.0,40.0,7.0,592.2
2022-03-15,CA,Calgary,wind-speed,91,0.1,11.2,2.0,103.34
2022-03-15,CA,Calgary,humidity,96,27.5,79.0,63.0,2410.48
2022-03-16,CA,Calgary,humidity,96,25.6,64.3,46.2,1523.51
2022-03-16,CA,Calgary,pm25,75,1.0,17.0,5.0,175.45
2022-03-16,CA,Calgary,wind-speed,95,0.2,9.3,3.7,50.53
2022-03-17,CA,Calgary,humidity,96,26.8,71.0,44.2,1429.51
2022-03-17,CA,Calgary,pm25,87,1.0,65.0,7.0,1229.37
2022-03-17,CA,Calgary,wind-speed,88,0.4,7.0,2.5,31.41
2022-03-18,CA,Calgary,pm25,75,1.0,65.0,10.0,1738.8
2022-03-18,CA,Calgary,humidity,96,29.4,72.2,48.0,995.72
2022-03-18,CA,Calgary,wind-speed,86,0.1,8.5,2.4,34.06
2022-03-19,CA,Calgary,humidity,96,29.0,68.3,47.7,1331.25
2022-03-19,CA,Calgary,pm25,92,3.0,63.0,20.0,1681.17
2022-03-19,CA,Calgary,wind-speed,83,0.1,5.5,1.5,20.34
2022-03-20,CA,Calgary,pm25,72,1.0,51.0,6.0,547.65
2022-03-20,CA,Calgary,wind-speed,96,0.4,16.0,4.1,171.78
2022-03-20,CA,Calgary,humidity,96,30.5,92.8,54.6,2797.3
2022-03-21,CA,Calgary,pm25,81,2.0,30.0,8.0,359.75
2022-03-21,CA,Calgary,wind-speed,87,0.2,8.2,3.0,50.97
2022-03-21,CA,Calgary,humidity,96,25.7,68.1,42.5,1340.66
2022-03-22,CA,Calgary,humidity,96,28.0,67.8,48.0,1294.93
2022-03-22,CA,Calgary,pm25,89,1.0,56.0,11.0,1352.58
2022-03-22,CA,Calgary,wind-speed,88,0.2,6.5,2.2,27.25
2022-03-23,CA,Calgary,humidity,96,21.5,71.5,46.9,1860.65
2022-03-23,CA,Calgary,pm25,90,1.0,108.0,18.0,3891.69
2022-03-23,CA,Calgary,wind-speed,91,0.1,23.0,2.0,180.05
2022-03-24,CA,Calgary,wind-speed,84,0.2,20.7,3.2,145.89
2022-03-24,CA,Calgary,pm25,66,1.0,76.0,5.0,1044.66
2022-03-24,CA,Calgary,humidity,96,35.9,85.7,57.2,1888.06
2022-03-25,CA,Calgary,humidity,96,38.1,80.3,57.7,1779.58
2022-03-25,CA,Calgary,pm25,89,3.0,52.0,13.0,758.41
2022-03-25,CA,Calgary,wind-speed,70,0.2,7.7,3.2,42.64
2022-03-26,CA,Calgary,humidity,96,45.9,80.7,60.5,1063.77
2022-03-26,CA,Calgary,pm25,86,1.0,35.0,16.0,625.19
2022-03-26,CA,Calgary,wind-speed,87,0.1,7.2,1.6,29.79
2022-03-27,CA,Calgary,wind-speed,85,0.1,7.5,2.9,46.99
2022-03-27,CA,Calgary,pm25,92,4.0,70.0,23.0,2565.7
2022-03-27,CA,Calgary,humidity,92,34.2,76.7,56.5,2154.93
2022-03-28,CA,Calgary,humidity,96,60.0,90.4,77.1,536.44
