Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,AU,Canberra,humidity,72,31.5,93.0,50.1,3497.46
2022-01-01,AU,Canberra,pm10,69,1.0,31.0,11.0,379.08
2022-01-01,AU,Canberra,pm25,64,1.0,124.0,27.0,6021.26
2022-01-01,AU,Canberra,wind-speed,51,0.1,4.6,2.5,15.52
2022-01-02,AU,Canberra,humidity,72,24.5,100.0,60.6,5013.04
2022-01-02,AU,Canberra,pm10,67,1.0,32.0,10.0,309.22
2022-01-02,AU,Canberra,pm25,67,1.0,73.0,27.0,2845.88
2022-01-02,AU,Canberra,wind-speed,59,0.1,7.2,2.5,28.71
2022-01-03,AU,Canberra,wind-speed,59,0.2,7.6,2.5,30.4
2022-01-03,AU,Canberra,pm25,67,3.0,87.0,34.0,3038.01
2022-01-03,AU,Canberra,humidity,72,43.0,100.0,71.8,2267.75
2022-01-03,AU,Canberra,pm10,70,1.0,20.0,10.0,164.32
2022-01-04,AU,Canberra,humidity,72,45.4,100.0,71.9,3175.27
2022-01-04,AU,Canberra,pm10,63,2.0,45.0,8.0,330.8
2022-01-04,AU,Canberra,pm25,57,1.0,58.0,18.0,1992.12
2022-01-04,AU,Canberra,wind-speed,59,0.5,6.6,3.6,24.71
2022-01-05,AU,Canberra,humidity,70,51.5,100.0,72.5,2001.49
2022-01-05,AU,Canberra,pm10,65,1.0,13.0,7.0,108.74
2022-01-05,AU,Canberra,pm25,63,1.0,55.0,15.0,1519.82
2022-01-05,AU,Canberra,wind-speed,63,0.6,7.7,3.6,32.63
2022-01-06,AU,Canberra,wind-speed,65,0.2,8.7,3.8,43.69
2022-01-06,AU,Canberra,pm25,50,1.0,46.0,14.0,990.49
2022-01-06,AU,Canberra,precipitation,2,0.2,0.2,0.2,0.0
2022-01-06,AU,Canberra,humidity,71,57.0,100.0,82.0,1245.97
2022-01-06,AU,Canberra,pm10,64,1.0,14.0,5.0,153.24
2022-01-07,AU,Canberra,humidity,72,61.8,100.0,86.8,1310.34
2022-01-07,AU,Canberra,pm10,60,1.0,11.0,4.0,56.14
2022-01-07,AU,Canberra,pm25,50,1.0,38.0,12.0,1033.53
2022-01-07,AU,Canberra,precipitation,4,0.2,2.0,1.3,5.96
2022-01-07,AU,Canberra,wind-speed,60,0.2,5.2,1.8,15.77
2022-01-08,AU,Canberra,precipitation,2,1.8,99.4,1.8,47628.8
2022-01-08,AU,Canberra,humidity,72,34.0,100.0,70.1,5064.65
2022-01-08,AU,Canberra,pm10,68,1.0,30.0,6.0,274.12
2022-01-08,AU,Canberra,pm25,54,1.0,76.0,16.0,5097.89
2022-01-08,AU,Canberra,wind-speed,54,0.4,7.8,2.5,41.43
2022-01-09,AU,Canberra,wind-speed,52,0.2,6.9,2.6,17.46
2022-01-09,AU,Canberra,pm25,66,1.0,53.0,22.0,1836.89
2022-01-09,AU,Canberra,humidity,70,51.6,90.5,77.2,1148.88
2022-01-09,AU,Canberra,pm10,70,2.0,17.0,7.0,99.06
2022-01-10,AU,Canberra,wind-speed,51,0.2,5.4,2.0,14.25
2022-01-10,AU,Canberra,humidity,70,31.5,100.0,69.0,4628.43
2022-01-10,AU,Canberra,pm10,62,1.0,19.0,7.0,151.02
2022-01-10,AU,Canberra,pm25,57,6.0,75.0,24.0,2294.19
2022-01-11,AU,Canberra,pm25,60,1.0,60.0,25.0,2907.6
2022-01-11,AU,Canberra,wind-speed,55,0.2,5.4,2.5,14.94
2022-01-11,AU,Canberra,humidity,70,60.1,100.0,78.0,896.7
2022-01-11,AU,Canberra,pm10,69,1.0,25.0,9.0,169.7
2022-01-12,AU,Canberra,wind-speed,72,1.0,9.1,4.1,29.89
2022-01-12,AU,Canberra,pm25,43,3.0,60.0,17.0,2630.71
2022-01-12,AU,Canberra,humidity,72,47.1,88.0,71.0,1425.36
2022-01-12,AU,Canberra,pm10,65,1.0,17.0,5.0,103.71
2022-01-13,AU,Canberra,humidity,71,51.5,88.0,72.0,1221.97
2022-01-13,AU,Canberra,pm10,59,1.0,8.0,4.0,31.84
2022-01-13,AU,Canberra,pm25,45,2.0,169.0,13.0,8934.82
2022-01-13,AU,Canberra,wind-speed,68,0.1,7.7,3.0,25.99
2022-01-14,AU,Canberra,humidity,72,48.1,90.5,73.0,1779.51
2022-01-14,AU,Canberra,pm10,65,1.0,21.0,5.0,213.4
2022-01-14,AU,Canberra,pm25,58,1.0,65.0,12.0,2947.09
2022-01-14,AU,Canberra,wind-speed,64,0.2,5.9,2.5,15.52
2022-01-15,AU,Canberra,pm25,53,1.0,73.0,24.0,3713.45
2022-01-15,AU,Canberra,wind-speed,50,0.5,5.5,2.5,14.65
2022-01-15,AU,Canberra,precipitation,3,0.2,3.3,3.1,30.1
2022-01-15,AU,Canberra,pm10,68,1.0,25.0,7.0,302.27
2022-01-15,AU,Canberra,humidity,69,52.0,100.0,82.6,2408.81
2022-01-16,AU,Canberra,humidity,71,7.4,100.0,70.4,6445.06
