Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Cardiff,humidity,144,80.0,94.0,91.0,107.09
2022-01-01,GB,Cardiff,pm10,143,4.0,56.0,24.0,764.66
2022-01-01,GB,Cardiff,pm25,144,13.0,74.0,53.0,1335.84
2022-01-01,GB,Cardiff,wind-speed,72,0.6,8.0,3.3,39.64
2022-01-02,GB,Cardiff,humidity,127,78.0,94.8,88.8,196.95
2022-01-02,GB,Cardiff,pm10,141,1.0,44.0,17.0,691.36
2022-01-02,GB,Cardiff,pm25,142,9.0,55.0,30.0,1482.72
2022-01-02,GB,Cardiff,wind-speed,108,0.1,13.3,1.3,172.32
2022-01-03,GB,Cardiff,wind-speed,107,0.1,12.5,5.3,143.73
2022-01-03,GB,Cardiff,pm25,144,5.0,53.0,34.0,1051.03
2022-01-03,GB,Cardiff,humidity,142,80.0,94.4,89.8,70.01
2022-01-03,GB,Cardiff,pm10,143,5.0,30.0,20.0,242.18
2022-01-04,GB,Cardiff,humidity,144,64.2,96.0,84.0,707.01
2022-01-04,GB,Cardiff,pm10,138,1.0,23.0,9.0,235.14
2022-01-04,GB,Cardiff,pm25,144,5.0,38.0,21.0,684.16
2022-01-04,GB,Cardiff,wind-speed,102,0.1,9.0,0.8,59.66
2022-01-05,GB,Cardiff,wind-speed,114,0.1,7.2,0.6,23.01
2022-01-05,GB,Cardiff,humidity,143,73.8,91.0,86.7,139.13
2022-01-05,GB,Cardiff,pm10,139,3.0,26.0,12.0,194.11
2022-01-05,GB,Cardiff,pm25,140,9.0,57.0,30.0,1585.74
2022-01-06,GB,Cardiff,wind-speed,108,0.1,8.7,2.5,49.02
2022-01-06,GB,Cardiff,pm25,142,5.0,46.0,21.0,924.62
2022-01-06,GB,Cardiff,humidity,143,66.5,94.6,87.7,540.83
2022-01-06,GB,Cardiff,pm10,143,1.0,31.0,10.0,264.14
2022-01-07,GB,Cardiff,humidity,140,67.0,95.1,86.8,437.9
2022-01-07,GB,Cardiff,pm10,140,1.0,43.0,10.0,386.23
2022-01-07,GB,Cardiff,pm25,144,5.0,72.0,17.0,3293.21
2022-01-07,GB,Cardiff,wind-speed,102,0.1,8.5,1.9,36.96
2022-01-08,GB,Cardiff,humidity,144,70.0,97.5,89.2,494.73
2022-01-08,GB,Cardiff,pm10,144,3.0,30.0,11.0,267.55
2022-01-08,GB,Cardiff,pm25,134,5.0,85.0,25.0,3659.7
2022-01-08,GB,Cardiff,wind-speed,95,0.1,14.0,5.7,206.79
2022-01-09,GB,Cardiff,pm10,144,5.0,38.0,15.0,380.68
2022-01-09,GB,Cardiff,wind-speed,72,0.1,10.8,3.5,80.85
2022-01-09,GB,Cardiff,humidity,144,74.0,89.5,83.8,100.16
2022-01-09,GB,Cardiff,pm25,144,5.0,68.0,30.0,1815.23
2022-01-10,GB,Cardiff,humidity,144,85.4,99.0,95.0,114.28
2022-01-10,GB,Cardiff,pm10,144,3.0,57.0,12.0,445.26
2022-01-10,GB,Cardiff,pm25,140,9.0,65.0,30.0,2383.36
2022-01-10,GB,Cardiff,wind-speed,62,0.1,2.8,0.5,4.12
2022-01-11,GB,Cardiff,pm25,138,5.0,59.0,34.0,2046.57
2022-01-11,GB,Cardiff,humidity,144,75.4,99.0,94.6,306.75
2022-01-11,GB,Cardiff,pm10,143,1.0,32.0,12.0,398.74
2022-01-11,GB,Cardiff,wind-speed,41,0.1,1.9,0.9,2.67
2022-01-12,GB,Cardiff,wind-speed,19,0.1,2.3,0.5,3.41
