Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Charlotte,humidity,70,73.5,97.0,84.8,457.5
2022-01-01,US,Charlotte,pm10,23,2.0,14.0,10.0,79.96
2022-01-01,US,Charlotte,pm25,48,5.0,72.0,25.0,2108.08
2022-01-01,US,Charlotte,wind-speed,62,0.2,7.8,3.6,44.0
2022-01-02,US,Charlotte,humidity,56,81.0,97.0,88.8,196.54
2022-01-02,US,Charlotte,pm10,24,2.0,10.0,7.0,39.93
2022-01-02,US,Charlotte,pm25,48,5.0,46.0,17.0,692.48
2022-01-02,US,Charlotte,wind-speed,45,0.2,3.8,1.5,13.4
2022-01-03,US,Charlotte,wind-speed,65,0.2,13.0,3.5,108.96
2022-01-03,US,Charlotte,pm25,35,5.0,34.0,13.0,794.34
2022-01-03,US,Charlotte,humidity,72,51.2,97.5,86.2,1918.16
2022-01-03,US,Charlotte,pm10,21,1.0,13.0,4.0,105.62
2022-01-04,US,Charlotte,humidity,64,41.8,79.7,60.6,1320.15
2022-01-04,US,Charlotte,pm10,24,5.0,15.0,7.0,53.46
2022-01-04,US,Charlotte,pm25,47,13.0,55.0,30.0,1007.08
2022-01-04,US,Charlotte,wind-speed,58,0.2,5.8,2.0,16.08
2022-01-05,US,Charlotte,humidity,72,45.5,88.5,66.2,1202.11
2022-01-05,US,Charlotte,pm10,23,5.0,18.0,9.0,96.25
2022-01-05,US,Charlotte,pm25,47,5.0,59.0,30.0,1275.31
2022-01-05,US,Charlotte,wind-speed,44,0.1,4.5,1.1,13.55
2022-01-06,US,Charlotte,wind-speed,46,0.1,6.4,3.8,42.7
2022-01-06,US,Charlotte,pm25,47,13.0,70.0,42.0,1903.76
2022-01-06,US,Charlotte,humidity,72,31.0,96.0,68.4,3986.76
2022-01-06,US,Charlotte,pm10,24,6.0,32.0,12.0,305.2
2022-01-07,US,Charlotte,humidity,72,28.6,77.5,54.0,1586.23
2022-01-07,US,Charlotte,pm10,22,1.0,13.0,6.0,69.29
2022-01-07,US,Charlotte,pm25,41,5.0,42.0,17.0,821.1
2022-01-07,US,Charlotte,wind-speed,62,0.2,8.2,2.2,28.85
2022-01-08,US,Charlotte,wind-speed,53,0.2,5.0,1.7,14.52
2022-01-08,US,Charlotte,humidity,72,32.0,63.0,48.8,715.89
2022-01-08,US,Charlotte,pm10,24,3.0,18.0,6.0,179.11
2022-01-08,US,Charlotte,pm25,44,5.0,65.0,25.0,3398.14
2022-01-09,US,Charlotte,humidity,72,45.8,94.7,68.5,2342.51
2022-01-09,US,Charlotte,pm10,24,6.0,22.0,12.0,173.26
2022-01-09,US,Charlotte,pm25,40,13.0,57.0,38.0,1210.03
2022-01-09,US,Charlotte,wind-speed,44,0.1,5.5,1.0,28.6
2022-01-10,US,Charlotte,pm25,18,5.0,30.0,13.0,415.46
2022-01-10,US,Charlotte,wind-speed,62,0.2,7.6,2.7,41.07
2022-01-10,US,Charlotte,humidity,72,12.2,96.0,40.4,4472.27
2022-01-10,US,Charlotte,pm10,8,3.0,7.0,6.0,28.57
2022-01-11,US,Charlotte,wind-speed,54,0.5,5.5,1.6,18.54
2022-01-11,US,Charlotte,pm25,36,5.0,55.0,21.0,1720.35
2022-01-11,US,Charlotte,humidity,72,23.0,77.7,43.7,1834.5
2022-01-11,US,Charlotte,pm10,17,3.0,13.0,6.0,92.79
2022-01-12,US,Charlotte,humidity,72,28.4,80.7,46.5,2058.55
2022-01-12,US,Charlotte,pm10,23,6.0,20.0,11.0,152.61
2022-01-12,US,Charlotte,pm25,47,5.0,72.0,38.0,2360.18
2022-01-12,US,Charlotte,wind-speed,45,0.2,3.8,1.2,10.6
2022-01-13,US,Charlotte,wind-speed,43,0.1,2.0,0.6,2.91
2022-01-13,US,Charlotte,pm25,47,30.0,85.0,53.0,1540.14
2022-01-13,US,Charlotte,humidity,72,37.5,88.0,56.0,1582.91
2022-01-13,US,Charlotte,pm10,24,10.0,47.0,20.0,1066.5
2022-01-14,US,Charlotte,humidity,72,40.8,78.7,59.0,1351.77
2022-01-14,US,Charlotte,pm10,23,11.0,32.0,16.0,311.58
2022-01-14,US,Charlotte,pm25,48,13.0,68.0,42.0,1796.31
2022-01-14,US,Charlotte,wind-speed,56,0.2,4.8,2.3,19.37
2022-01-15,US,Charlotte,pm25,48,25.0,63.0,46.0,620.41
2022-01-15,US,Charlotte,humidity,72,61.0,74.3,65.0,120.34
2022-01-15,US,Charlotte,pm10,24,10.0,20.0,12.0,86.5
2022-01-15,US,Charlotte,wind-speed,66,0.2,6.6,2.6,24.4
2022-01-16,US,Charlotte,wind-speed,55,0.2,13.2,2.2,159.91
2022-01-16,US,Charlotte,pm25,40,5.0,42.0,25.0,924.38
2022-01-16,US,Charlotte,pm10,19,1.0,14.0,8.0,103.22
2022-01-16,US,Charlotte,humidity,67,62.2,96.0,88.2,871.91
2022-01-17,US,Charlotte,humidity,72,46.2,95.0,74.7,2012.28
2022-01-17,US,Charlotte,pm10,24,2.0,13.0,6.0,64.28
2022-01-17,US,Charlotte,pm25,46,5.0,46.0,21.0,1132.99
2022-01-17,US,Charlotte,wind-speed,70,0.2,4.8,3.2,12.22
2022-01-18,US,Charlotte,pm25,48,5.0,59.0,25.0,1368.35
2022-01-18,US,Charlotte,wind-speed,41,0.2,3.0,0.7,6.3
2022-01-18,US,Charlotte,humidity,72,35.7,90.7,63.0,2937.27
2022-01-18,US,Charlotte,pm10,24,3.0,23.0,6.0,265.8
2022-01-19,US,Charlotte,humidity,72,36.2,89.5,65.2,2629.65
2022-01-19,US,Charlotte,pm10,16,8.0,14.0,10.0,34.62
2022-01-19,US,Charlotte,pm25,39,13.0,59.0,42.0,1295.76
2022-01-19,US,Charlotte,wind-speed,54,0.2,5.1,2.1,18.38
2022-01-20,US,Charlotte,wind-speed,53,0.2,9.6,2.8,73.82
2022-01-20,US,Charlotte,humidity,72,52.8,95.0,86.5,1360.8
