Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Chicago,humidity,216,71.5,97.9,87.5,477.75
2022-01-01,US,Chicago,pm10,48,7.0,24.0,12.0,227.62
2022-01-01,US,Chicago,pm25,213,1.0,97.0,25.0,2832.61
2022-01-01,US,Chicago,wind-speed,240,1.3,16.7,7.2,82.31
2022-01-02,US,Chicago,humidity,216,61.0,95.0,80.0,693.44
2022-01-02,US,Chicago,pm10,47,4.0,103.0,10.0,5378.7
2022-01-02,US,Chicago,pm25,214,1.0,51.0,20.0,1004.41
2022-01-02,US,Chicago,wind-speed,228,0.2,9.6,4.8,44.42
2022-01-03,US,Chicago,wind-speed,228,0.2,8.6,3.7,39.18
2022-01-03,US,Chicago,pm25,223,8.0,79.0,39.0,1156.41
2022-01-03,US,Chicago,humidity,210,38.5,90.9,72.0,1730.78
2022-01-03,US,Chicago,pm10,47,13.0,125.0,20.0,5513.22
2022-01-04,US,Chicago,humidity,205,55.0,87.0,73.5,550.25
2022-01-04,US,Chicago,pm10,48,12.0,76.0,20.0,1584.1
2022-01-04,US,Chicago,pm25,238,4.0,60.0,43.0,1275.79
2022-01-04,US,Chicago,wind-speed,228,0.2,16.0,5.8,113.48
2022-01-05,US,Chicago,wind-speed,223,2.6,21.0,9.7,142.84
2022-01-05,US,Chicago,humidity,199,56.0,88.4,74.7,336.9
2022-01-05,US,Chicago,pm10,47,10.0,82.0,26.0,2732.35
2022-01-05,US,Chicago,pm25,239,8.0,91.0,36.0,2944.75
2022-01-06,US,Chicago,wind-speed,229,2.0,10.7,5.8,32.0
2022-01-06,US,Chicago,pm25,233,3.0,57.0,23.0,834.12
2022-01-06,US,Chicago,humidity,205,56.0,88.6,75.5,417.69
2022-01-06,US,Chicago,pm10,48,5.0,113.0,10.0,5293.72
2022-01-07,US,Chicago,humidity,211,47.6,84.5,71.0,696.2
2022-01-07,US,Chicago,pm10,48,10.0,97.0,44.0,5476.86
2022-01-07,US,Chicago,pm25,221,3.0,70.0,34.0,1442.63
2022-01-07,US,Chicago,wind-speed,229,0.2,8.5,4.1,28.02
2022-01-08,US,Chicago,wind-speed,239,0.5,14.2,5.6,76.75
2022-01-08,US,Chicago,humidity,216,45.0,98.0,75.6,1844.04
2022-01-08,US,Chicago,pm10,48,14.0,40.0,17.0,361.84
2022-01-08,US,Chicago,pm25,225,8.0,57.0,38.0,893.22
2022-01-09,US,Chicago,wind-speed,240,0.2,14.8,6.2,75.75
2022-01-09,US,Chicago,pm25,239,2.0,74.0,31.0,2529.85
2022-01-09,US,Chicago,pm10,48,14.0,107.0,24.0,3532.77
2022-01-09,US,Chicago,humidity,216,41.0,98.0,63.2,2621.31
2022-01-10,US,Chicago,wind-speed,232,0.1,12.5,4.6,48.8
2022-01-10,US,Chicago,humidity,212,34.0,74.3,52.0,1108.64
2022-01-10,US,Chicago,pm10,47,14.0,48.0,21.0,591.67
2022-01-10,US,Chicago,pm25,239,3.0,56.0,27.0,693.68
2022-01-11,US,Chicago,pm25,235,5.0,60.0,35.0,901.05
2022-01-11,US,Chicago,wind-speed,225,0.1,17.6,5.8,184.51
2022-01-11,US,Chicago,humidity,216,35.5,78.5,60.1,950.12
2022-01-11,US,Chicago,pm10,47,13.0,31.0,19.0,241.07
2022-01-12,US,Chicago,wind-speed,206,0.1,7.9,3.2,23.18
2022-01-12,US,Chicago,pm25,239,17.0,97.0,36.0,1275.22
2022-01-12,US,Chicago,pm10,45,13.0,39.0,16.0,316.49
2022-01-12,US,Chicago,humidity,216,46.6,96.0,75.7,768.74
2022-01-13,US,Chicago,humidity,216,65.0,96.0,85.1,494.53
2022-01-13,US,Chicago,pm10,48,11.0,41.0,24.0,374.46
2022-01-13,US,Chicago,pm25,239,19.0,82.0,52.0,1452.35
2022-01-13,US,Chicago,wind-speed,185,0.1,7.5,2.4,24.5
2022-01-14,US,Chicago,humidity,216,67.5,96.5,83.3,499.93
2022-01-14,US,Chicago,pm10,48,3.0,47.0,10.0,765.94
2022-01-14,US,Chicago,pm25,239,2.0,86.0,24.0,3516.45
2022-01-14,US,Chicago,wind-speed,239,0.2,13.2,6.4,59.97
2022-01-15,US,Chicago,wind-speed,231,0.5,13.2,5.2,67.89
2022-01-15,US,Chicago,pm25,238,7.0,63.0,23.0,1202.53
2022-01-15,US,Chicago,pm10,47,6.0,20.0,8.0,122.44
2022-01-15,US,Chicago,humidity,216,53.6,93.0,75.7,727.57
2022-01-16,US,Chicago,humidity,212,43.0,92.6,71.2,1484.74
2022-01-16,US,Chicago,pm10,48,17.0,81.0,23.0,1949.46
2022-01-16,US,Chicago,pm25,239,17.0,71.0,54.0,1432.85
2022-01-16,US,Chicago,wind-speed,205,0.1,8.0,2.6,22.41
2022-01-17,US,Chicago,humidity,216,59.0,89.7,75.7,519.21
2022-01-17,US,Chicago,pm10,48,13.0,40.0,21.0,442.97
2022-01-17,US,Chicago,pm25,239,19.0,76.0,46.0,1634.36
2022-01-17,US,Chicago,wind-speed,234,0.1,13.2,5.2,63.68
2022-01-18,US,Chicago,wind-speed,231,0.1,17.1,5.6,175.22
