Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Columbus,humidity,48,78.2,93.0,87.0,167.23
2022-01-01,US,Columbus,pm25,45,3.0,60.0,27.0,2299.27
2022-01-01,US,Columbus,wind-speed,48,0.1,9.0,4.1,33.02
2022-01-02,US,Columbus,humidity,48,70.8,93.0,85.0,379.68
2022-01-02,US,Columbus,pm25,38,2.0,34.0,14.0,1020.88
2022-01-02,US,Columbus,wind-speed,48,3.0,11.5,6.2,47.7
2022-01-03,US,Columbus,humidity,48,49.4,74.0,63.0,444.31
2022-01-03,US,Columbus,pm25,48,8.0,61.0,21.0,1505.04
2022-01-03,US,Columbus,wind-speed,47,1.0,11.0,5.0,89.88
2022-01-04,US,Columbus,humidity,48,41.0,79.0,55.0,1374.75
2022-01-04,US,Columbus,pm25,37,3.0,52.0,31.0,1119.17
2022-01-04,US,Columbus,wind-speed,48,1.0,13.6,5.1,76.19
2022-01-05,US,Columbus,humidity,48,40.2,75.0,55.7,633.79
2022-01-05,US,Columbus,pm25,35,18.0,58.0,36.0,1649.29
2022-01-05,US,Columbus,wind-speed,48,6.1,16.8,10.8,104.02
2022-01-06,US,Columbus,wind-speed,48,2.3,10.5,4.6,39.53
2022-01-06,US,Columbus,pm25,45,16.0,55.0,35.0,408.46
2022-01-06,US,Columbus,humidity,48,45.3,79.0,62.0,933.56
2022-01-07,US,Columbus,humidity,48,48.5,78.0,60.0,743.24
2022-01-07,US,Columbus,pm25,48,23.0,67.0,39.0,913.33
2022-01-07,US,Columbus,wind-speed,47,2.0,9.0,5.3,30.08
2022-01-08,US,Columbus,humidity,48,33.5,85.0,54.8,2585.28
2022-01-08,US,Columbus,pm25,46,2.0,64.0,48.0,2695.54
2022-01-08,US,Columbus,wind-speed,48,1.0,8.5,5.1,46.55
2022-01-09,US,Columbus,wind-speed,48,2.8,14.2,7.5,97.13
2022-01-09,US,Columbus,pm25,48,3.0,56.0,25.0,1326.65
2022-01-09,US,Columbus,humidity,48,40.6,93.0,73.0,2648.83
2022-01-10,US,Columbus,humidity,48,40.4,73.0,53.0,769.35
2022-01-10,US,Columbus,pm25,48,17.0,53.0,27.0,809.64
2022-01-10,US,Columbus,wind-speed,48,3.3,12.5,6.6,63.48
2022-01-11,US,Columbus,humidity,48,40.0,69.0,50.0,682.55
2022-01-11,US,Columbus,pm25,48,13.0,55.0,31.0,898.83
2022-01-11,US,Columbus,wind-speed,48,1.0,14.2,5.1,104.73
2022-01-12,US,Columbus,wind-speed,48,0.6,11.6,5.1,70.09
2022-01-12,US,Columbus,humidity,48,42.8,69.0,50.0,415.39
2022-01-12,US,Columbus,pm25,48,8.0,65.0,28.0,1591.45
2022-01-13,US,Columbus,humidity,48,40.0,86.0,60.0,1438.5
2022-01-13,US,Columbus,pm25,48,13.0,80.0,47.0,2465.89
2022-01-13,US,Columbus,wind-speed,43,0.2,6.2,2.3,16.42
2022-01-14,US,Columbus,humidity,48,62.3,86.0,73.6,524.25
2022-01-14,US,Columbus,pm25,48,20.0,87.0,48.0,2762.96
2022-01-14,US,Columbus,wind-speed,48,3.6,10.8,6.1,33.94
2022-01-15,US,Columbus,humidity,48,39.0,85.0,53.8,2189.91
2022-01-15,US,Columbus,pm25,48,11.0,55.0,31.0,1002.11
2022-01-15,US,Columbus,wind-speed,48,3.6,11.6,5.6,46.76
2022-01-16,US,Columbus,humidity,47,41.0,92.0,59.0,2406.76
2022-01-16,US,Columbus,pm25,48,29.0,59.0,41.0,699.29
2022-01-16,US,Columbus,wind-speed,47,2.0,9.0,4.1,39.47
2022-01-17,US,Columbus,wind-speed,48,5.1,14.0,8.2,56.47
2022-01-17,US,Columbus,pm25,48,28.0,61.0,51.0,827.44
2022-01-17,US,Columbus,humidity,48,50.4,86.0,74.0,1152.27
2022-01-18,US,Columbus,humidity,48,52.6,86.0,64.0,658.62
2022-01-18,US,Columbus,pm25,48,28.0,65.0,48.0,891.38
2022-01-18,US,Columbus,wind-speed,48,1.5,11.0,6.1,57.6
2022-01-19,US,Columbus,humidity,48,51.0,86.0,65.0,718.33
2022-01-19,US,Columbus,pm25,48,13.0,53.0,36.0,784.04
2022-01-19,US,Columbus,wind-speed,48,2.5,12.0,6.6,63.17
2022-01-20,US,Columbus,humidity,48,42.5,72.0,53.0,485.14
2022-01-20,US,Columbus,pm25,47,13.0,37.0,23.0,305.31
2022-01-20,US,Columbus,wind-speed,48,3.0,12.3,6.1,63.1
2022-01-21,US,Columbus,humidity,48,39.0,85.0,57.0,1703.37
