Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,DK,Copenhagen,humidity,48,83.0,98.0,96.0,142.82
2022-01-01,DK,Copenhagen,pm10,24,6.0,348.0,12.0,47549.4
2022-01-01,DK,Copenhagen,pm25,24,22.0,394.0,38.0,57619.9
2022-01-01,DK,Copenhagen,wind-speed,48,0.7,5.6,3.4,17.08
2022-01-02,DK,Copenhagen,humidity,48,88.0,98.0,95.0,60.83
2022-01-02,DK,Copenhagen,pm10,24,2.0,25.0,12.0,324.93
2022-01-02,DK,Copenhagen,pm25,24,18.0,50.0,31.0,790.15
2022-01-02,DK,Copenhagen,wind-speed,48,3.0,6.5,4.1,6.91
2022-01-03,DK,Copenhagen,wind-speed,48,3.2,6.5,5.2,8.3
2022-01-03,DK,Copenhagen,pm25,24,11.0,42.0,31.0,634.77
2022-01-03,DK,Copenhagen,humidity,48,81.0,92.0,85.0,69.98
2022-01-03,DK,Copenhagen,pm10,24,9.0,30.0,15.0,380.87
2022-01-04,DK,Copenhagen,wind-speed,48,1.8,6.5,3.0,19.8
2022-01-04,DK,Copenhagen,humidity,48,75.5,89.5,84.5,140.57
2022-01-04,DK,Copenhagen,pm10,23,3.0,29.0,12.0,311.3
2022-01-04,DK,Copenhagen,pm25,24,9.0,35.0,25.0,655.92
2022-01-05,DK,Copenhagen,wind-speed,48,2.8,6.5,4.9,8.38
2022-01-05,DK,Copenhagen,pm25,24,17.0,34.0,27.0,313.84
2022-01-05,DK,Copenhagen,humidity,48,69.5,91.5,83.0,286.74
2022-01-05,DK,Copenhagen,pm10,24,6.0,28.0,11.0,242.54
2022-01-06,DK,Copenhagen,humidity,48,53.0,86.0,61.5,723.67
2022-01-06,DK,Copenhagen,pm10,24,8.0,88.0,16.0,6243.03
2022-01-06,DK,Copenhagen,pm25,24,20.0,51.0,35.0,766.96
2022-01-06,DK,Copenhagen,wind-speed,48,1.9,5.0,3.3,7.9
2022-01-07,DK,Copenhagen,wind-speed,48,3.0,6.0,4.6,7.3
2022-01-07,DK,Copenhagen,humidity,48,84.0,93.0,88.5,48.07
2022-01-07,DK,Copenhagen,pm10,24,7.0,26.0,15.0,183.19
2022-01-07,DK,Copenhagen,pm25,24,18.0,51.0,34.0,716.36
2022-01-08,DK,Copenhagen,humidity,48,81.0,92.5,85.5,86.01
2022-01-08,DK,Copenhagen,pm10,24,3.0,18.0,11.0,138.48
2022-01-08,DK,Copenhagen,pm25,24,8.0,38.0,25.0,391.01
2022-01-08,DK,Copenhagen,wind-speed,48,3.8,6.8,4.9,5.63
2022-01-09,DK,Copenhagen,pm25,24,23.0,64.0,38.0,2417.23
2022-01-09,DK,Copenhagen,wind-speed,48,3.4,6.3,5.4,5.89
2022-01-09,DK,Copenhagen,humidity,48,76.0,84.5,78.0,38.26
2022-01-09,DK,Copenhagen,pm10,24,5.0,26.0,12.0,356.23
2022-01-10,DK,Copenhagen,wind-speed,48,2.6,5.6,3.9,6.52
2022-01-10,DK,Copenhagen,pm25,24,33.0,81.0,64.0,2240.58
2022-01-10,DK,Copenhagen,pm10,24,10.0,32.0,21.0,554.33
2022-01-10,DK,Copenhagen,humidity,48,66.0,78.5,75.5,108.61
