Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Dallas,humidity,70,35.5,93.0,80.5,1788.89
2022-01-01,US,Dallas,pm10,18,5.0,20.0,9.0,173.99
2022-01-01,US,Dallas,pm25,23,14.0,68.0,29.0,2038.18
2022-01-01,US,Dallas,wind-speed,68,1.3,19.8,9.5,347.11
2022-01-02,US,Dallas,humidity,70,37.0,73.5,59.5,983.6
2022-01-02,US,Dallas,pm10,22,4.0,10.0,8.0,32.99
2022-01-02,US,Dallas,pm25,24,8.0,48.0,18.0,758.97
2022-01-02,US,Dallas,wind-speed,69,0.2,19.3,12.3,340.42
2022-01-03,US,Dallas,wind-speed,67,0.2,12.8,4.5,95.93
2022-01-03,US,Dallas,pm25,24,5.0,111.0,25.0,5878.68
2022-01-03,US,Dallas,humidity,70,18.4,86.5,47.6,5075.04
2022-01-03,US,Dallas,pm10,19,9.0,29.0,19.0,368.3
2022-01-04,US,Dallas,humidity,70,20.6,70.1,49.0,2581.16
2022-01-04,US,Dallas,pm10,22,6.0,40.0,13.0,820.52
2022-01-04,US,Dallas,pm25,13,15.0,29.0,20.0,224.74
2022-01-04,US,Dallas,wind-speed,69,0.9,22.5,10.6,385.83
2022-01-05,US,Dallas,humidity,70,29.3,99.0,61.2,4306.53
2022-01-05,US,Dallas,pm10,20,13.0,57.0,20.0,1102.61
2022-01-05,US,Dallas,pm25,9,11.0,35.0,27.0,480.28
2022-01-05,US,Dallas,wind-speed,69,0.2,19.3,5.0,172.86
2022-01-06,US,Dallas,wind-speed,69,2.1,18.3,8.6,212.77
2022-01-06,US,Dallas,pm25,22,13.0,38.0,20.0,598.46
2022-01-06,US,Dallas,humidity,70,36.9,75.7,53.5,1158.13
2022-01-06,US,Dallas,pm10,20,11.0,34.0,18.0,268.71
2022-01-07,US,Dallas,humidity,70,41.2,79.4,60.0,1027.61
2022-01-07,US,Dallas,pm10,22,11.0,38.0,15.0,595.41
2022-01-07,US,Dallas,pm25,24,8.0,34.0,20.0,464.62
2022-01-07,US,Dallas,wind-speed,69,0.3,13.0,5.5,64.04
2022-01-08,US,Dallas,wind-speed,69,2.6,18.6,6.8,105.38
2022-01-08,US,Dallas,humidity,70,60.4,99.0,94.2,735.8
