Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,HU,Debrecen,humidity,69,89.2,100.0,100.0,100.78
2022-01-01,HU,Debrecen,pm10,72,7.0,51.0,19.0,1112.44
2022-01-01,HU,Debrecen,wind-speed,60,1.0,4.0,2.0,6.38
2022-01-02,HU,Debrecen,humidity,66,100.0,100.0,100.0,0.0
2022-01-02,HU,Debrecen,pm10,72,4.0,35.0,12.0,679.39
2022-01-02,HU,Debrecen,wind-speed,56,1.0,5.0,3.0,20.46
2022-01-03,HU,Debrecen,humidity,72,72.0,100.0,96.0,1134.9
2022-01-03,HU,Debrecen,pm10,70,1.0,22.0,10.0,389.58
2022-01-03,HU,Debrecen,wind-speed,72,2.0,7.0,5.0,16.46
2022-01-04,HU,Debrecen,humidity,72,81.0,95.2,84.0,307.15
2022-01-04,HU,Debrecen,pm10,72,5.0,27.0,14.0,311.45
2022-01-04,HU,Debrecen,precipitation,3,99.1,99.1,99.1,0.0
2022-01-04,HU,Debrecen,wind-speed,72,2.0,9.0,5.9,40.21
2022-01-05,HU,Debrecen,wind-speed,72,1.0,8.0,5.1,32.74
2022-01-05,HU,Debrecen,precipitation,3,99.3,99.3,99.3,0.0
2022-01-05,HU,Debrecen,pm10,71,1.0,23.0,10.0,243.68
2022-01-05,HU,Debrecen,humidity,72,76.0,92.1,79.9,252.88
2022-01-06,HU,Debrecen,humidity,72,69.2,93.8,84.1,469.93
2022-01-06,HU,Debrecen,pm10,70,2.0,20.0,7.0,189.17
2022-01-06,HU,Debrecen,precipitation,6,99.1,99.1,99.1,0.0
2022-01-06,HU,Debrecen,wind-speed,72,1.0,5.0,3.0,11.56
2022-01-07,HU,Debrecen,humidity,72,44.0,89.9,70.1,2079.28
2022-01-07,HU,Debrecen,pm10,72,1.0,51.0,12.0,1478.4
2022-01-07,HU,Debrecen,wind-speed,72,1.0,4.0,3.0,12.19
2022-01-08,HU,Debrecen,humidity,72,81.8,100.0,92.2,563.87
2022-01-08,HU,Debrecen,pm10,72,15.0,45.0,26.0,530.61
2022-01-08,HU,Debrecen,precipitation,6,0.3,99.2,0.3,29343.6
2022-01-08,HU,Debrecen,wind-speed,72,0.6,3.0,1.0,4.21
2022-01-09,HU,Debrecen,wind-speed,60,0.2,3.0,1.0,6.45
2022-01-09,HU,Debrecen,precipitation,3,0.2,0.2,0.2,0.0
2022-01-09,HU,Debrecen,humidity,72,86.8,100.0,97.0,123.7
2022-01-09,HU,Debrecen,pm10,72,5.0,53.0,20.0,1308.35
2022-01-10,HU,Debrecen,humidity,72,76.8,96.3,84.8,664.42
