Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Denver,humidity,185,63.0,89.0,83.0,319.5
2022-01-01,US,Denver,pm10,181,4.0,49.0,13.0,432.5
2022-01-01,US,Denver,pm25,159,13.0,99.0,38.0,2245.21
2022-01-01,US,Denver,wind-speed,158,1.0,8.0,3.0,26.11
2022-01-02,US,Denver,humidity,185,32.0,88.8,61.0,2489.62
2022-01-02,US,Denver,pm10,179,2.0,80.0,12.0,2314.04
2022-01-02,US,Denver,pm25,146,5.0,117.0,21.0,6672.86
2022-01-02,US,Denver,wind-speed,152,0.2,11.0,3.0,43.72
2022-01-03,US,Denver,wind-speed,162,0.1,12.0,2.0,27.36
2022-01-03,US,Denver,pm25,153,5.0,122.0,38.0,7274.62
2022-01-03,US,Denver,humidity,186,18.0,87.0,56.7,3682.73
2022-01-03,US,Denver,pm10,181,2.0,70.0,21.0,3080.5
2022-01-04,US,Denver,humidity,186,15.0,79.6,40.0,3861.47
2022-01-04,US,Denver,pm10,184,1.0,82.0,15.0,1191.85
2022-01-04,US,Denver,pm25,141,5.0,68.0,17.0,2504.82
2022-01-04,US,Denver,wind-speed,178,0.1,19.0,4.1,190.96
2022-01-05,US,Denver,wind-speed,167,0.1,17.0,4.0,139.83
2022-01-05,US,Denver,humidity,176,39.5,88.3,80.0,739.63
2022-01-05,US,Denver,pm10,181,1.0,75.0,14.0,2442.26
2022-01-05,US,Denver,pm25,147,5.0,107.0,30.0,3349.5
2022-01-06,US,Denver,wind-speed,160,0.1,6.0,3.0,15.24
2022-01-06,US,Denver,pm25,156,21.0,74.0,50.0,1774.76
2022-01-06,US,Denver,humidity,185,58.0,85.5,80.1,449.61
2022-01-06,US,Denver,pm10,181,5.0,40.0,17.0,538.63
2022-01-07,US,Denver,humidity,186,17.0,90.4,62.3,4366.04
2022-01-07,US,Denver,pm10,182,1.0,82.0,26.0,3324.9
2022-01-07,US,Denver,pm25,156,5.0,107.0,55.0,6220.89
2022-01-07,US,Denver,wind-speed,166,0.2,12.0,2.0,35.53
2022-01-08,US,Denver,humidity,186,36.0,83.5,59.3,1215.58
2022-01-08,US,Denver,pm10,183,1.0,31.0,10.0,454.2
2022-01-08,US,Denver,pm25,153,5.0,63.0,21.0,1619.46
2022-01-08,US,Denver,wind-speed,166,0.3,12.0,3.0,51.18
2022-01-09,US,Denver,pm10,183,2.0,95.0,18.0,1499.61
2022-01-09,US,Denver,wind-speed,153,0.1,5.0,2.0,12.77
2022-01-09,US,Denver,humidity,186,48.1,90.5,77.0,1104.38
2022-01-09,US,Denver,pm25,153,9.0,85.0,38.0,3958.08
2022-01-10,US,Denver,humidity,186,9.0,89.7,49.5,5478.9
2022-01-10,US,Denver,pm10,184,2.0,94.0,28.0,4437.16
2022-01-10,US,Denver,pm25,157,5.0,132.0,34.0,6777.26
2022-01-10,US,Denver,wind-speed,149,1.0,10.0,4.0,41.7
2022-01-11,US,Denver,pm25,157,5.0,85.0,34.0,4267.56
2022-01-11,US,Denver,humidity,187,8.1,84.2,42.6,4328.5
2022-01-11,US,Denver,pm10,183,1.0,84.0,32.0,3217.19
2022-01-11,US,Denver,wind-speed,157,0.1,8.0,3.0,32.43
2022-01-12,US,Denver,wind-speed,153,0.2,9.0,3.0,23.01
2022-01-12,US,Denver,pm25,153,5.0,93.0,30.0,4042.7
2022-01-12,US,Denver,humidity,186,20.0,80.1,43.5,2204.32
2022-01-12,US,Denver,pm10,184,4.0,179.0,27.0,5676.14
2022-01-13,US,Denver,humidity,181,16.0,85.0,50.0,3476.49
2022-01-13,US,Denver,pm10,184,2.0,138.0,23.0,4505.69
2022-01-13,US,Denver,pm25,153,5.0,157.0,21.0,9100.94
2022-01-13,US,Denver,wind-speed,160,0.1,11.0,3.0,30.08
2022-01-14,US,Denver,wind-speed,173,0.1,19.0,5.0,136.95
2022-01-14,US,Denver,humidity,178,19.0,90.0,60.4,1600.01
2022-01-14,US,Denver,pm10,184,3.0,50.0,12.0,902.11
2022-01-14,US,Denver,pm25,151,5.0,68.0,17.0,2467.63
2022-01-15,US,Denver,wind-speed,163,0.2,13.0,4.0,51.76
2022-01-15,US,Denver,pm25,148,9.0,74.0,21.0,1296.44
2022-01-15,US,Denver,humidity,186,12.0,86.0,58.4,4167.41
2022-01-15,US,Denver,pm10,184,2.0,87.0,10.0,988.98
2022-01-16,US,Denver,pm25,147,5.0,57.0,17.0,968.33
2022-01-16,US,Denver,humidity,184,9.0,80.6,38.0,2892.51
2022-01-16,US,Denver,pm10,184,2.0,51.0,12.0,493.15
2022-01-16,US,Denver,wind-speed,160,0.1,13.0,3.0,72.8
2022-01-17,US,Denver,wind-speed,153,0.5,7.0,2.0,26.61
2022-01-17,US,Denver,pm25,159,5.0,82.0,38.0,4039.45
2022-01-17,US,Denver,pm10,184,3.0,116.0,24.0,4563.95
2022-01-17,US,Denver,humidity,185,14.0,85.2,51.8,3653.95
2022-01-18,US,Denver,humidity,186,8.0,81.0,48.6,3366.31
2022-01-18,US,Denver,pm10,184,2.0,106.0,25.0,3406.7
2022-01-18,US,Denver,pm25,160,5.0,68.0,30.0,2402.48
2022-01-18,US,Denver,wind-speed,158,0.1,7.0,3.0,18.32
2022-01-19,US,Denver,pm25,153,9.0,59.0,25.0,1336.25
2022-01-19,US,Denver,wind-speed,163,0.1,10.0,5.0,43.0
2022-01-19,US,Denver,humidity,185,55.0,94.0,87.1,670.09
2022-01-19,US,Denver,pm10,180,1.0,32.0,10.0,263.22
2022-01-20,US,Denver,humidity,185,21.3,92.0,84.0,2352.37
2022-01-20,US,Denver,pm10,183,5.0,54.0,22.0,982.25
2022-01-20,US,Denver,pm25,160,13.0,80.0,61.0,1482.92
2022-01-20,US,Denver,wind-speed,143,1.0,8.0,2.0,32.29
2022-01-21,US,Denver,wind-speed,151,1.0,5.0,2.0,9.26
2022-01-21,US,Denver,humidity,186,46.0,94.0,89.5,943.82
2022-01-21,US,Denver,pm10,184,2.0,58.0,24.0,1289.09
2022-01-21,US,Denver,pm25,161,17.0,99.0,68.0,3738.82
2022-01-22,US,Denver,pm25,158,13.0,78.0,38.0,1765.71
2022-01-22,US,Denver,wind-speed,158,0.1,8.0,2.0,22.93
2022-01-22,US,Denver,humidity,186,20.0,93.0,72.0,4228.3
2022-01-22,US,Denver,pm10,182,1.0,57.0,14.0,1322.93
2022-01-23,US,Denver,wind-speed,157,0.2,7.0,3.0,27.39
2022-01-23,US,Denver,pm25,149,5.0,72.0,21.0,2017.79
2022-01-23,US,Denver,pm10,180,3.0,59.0,12.0,1283.79
2022-01-23,US,Denver,humidity,176,17.0,89.3,52.6,4981.73
2022-01-24,US,Denver,humidity,186,18.6,83.5,43.0,3526.73
2022-01-24,US,Denver,pm10,183,3.0,70.0,13.0,757.55
2022-01-24,US,Denver,pm25,144,5.0,42.0,17.0,662.37
2022-01-24,US,Denver,wind-speed,165,0.1,9.0,3.0,34.65
2022-01-25,US,Denver,pm25,154,5.0,53.0,21.0,927.2
2022-01-25,US,Denver,wind-speed,165,0.2,14.0,6.0,97.71
2022-01-25,US,Denver,humidity,186,23.0,95.0,79.5,2526.95
2022-01-25,US,Denver,pm10,182,1.0,28.0,9.0,152.76
2022-01-26,US,Denver,humidity,186,22.0,91.9,66.0,3254.4
