Date,Country,City,Specie,count,min,max,median,variance
2022-01-25,US,Detroit,humidity,68,57.8,81.3,67.3,418.35
2022-01-25,US,Detroit,wind-speed,27,0.1,3.3,1.8,6.89
2022-01-26,US,Detroit,humidity,134,44.5,91.6,74.3,1536.5
2022-01-26,US,Detroit,wind-speed,62,0.5,4.7,2.3,8.95
2022-01-27,US,Detroit,humidity,157,65.6,91.5,78.8,579.7
2022-01-27,US,Detroit,wind-speed,72,0.1,7.2,3.5,29.98
2022-01-28,US,Detroit,humidity,168,60.7,86.8,73.0,409.69
2022-01-28,US,Detroit,wind-speed,70,0.2,5.5,3.2,16.6
2022-01-29,US,Detroit,wind-speed,50,0.1,4.2,1.0,9.75
2022-01-29,US,Detroit,humidity,168,57.4,86.5,78.0,672.24
2022-01-30,US,Detroit,humidity,168,68.0,86.2,79.8,332.75
2022-01-30,US,Detroit,pm25,120,55.0,112.0,77.0,1371.57
2022-01-30,US,Detroit,wind-speed,107,0.1,5.0,1.0,13.81
2022-01-31,US,Detroit,humidity,168,62.0,94.6,82.9,808.45
2022-01-31,US,Detroit,pm25,143,57.0,168.0,97.0,7946.17
2022-01-31,US,Detroit,wind-speed,98,0.1,8.0,1.8,38.64
2022-02-01,US,Detroit,pm25,168,34.0,123.0,74.0,3035.24
2022-02-01,US,Detroit,wind-speed,157,0.3,14.0,4.5,104.81
2022-02-01,US,Detroit,humidity,168,54.0,95.0,75.0,1013.91
2022-02-02,US,Detroit,humidity,168,82.7,93.0,92.0,84.57
2022-02-02,US,Detroit,pm25,166,1.0,154.0,62.0,10915.3
2022-02-02,US,Detroit,wind-speed,125,0.2,11.0,3.0,75.19
2022-02-03,US,Detroit,humidity,168,83.1,92.4,88.0,40.46
2022-02-03,US,Detroit,pm25,167,7.0,25.0,15.0,112.62
2022-02-03,US,Detroit,wind-speed,159,1.7,13.0,5.7,80.33
2022-02-04,US,Detroit,pm25,167,5.0,55.0,25.0,848.94
2022-02-04,US,Detroit,humidity,168,62.6,88.0,81.7,625.04
2022-02-04,US,Detroit,pm10,8,13.0,27.0,16.0,204.11
2022-02-04,US,Detroit,wind-speed,147,0.1,8.0,3.0,51.59
2022-02-05,US,Detroit,humidity,167,70.5,90.0,83.7,212.5
2022-02-05,US,Detroit,pm10,24,10.0,22.0,14.0,109.28
2022-02-05,US,Detroit,pm25,168,25.0,132.0,56.0,4665.19
2022-02-05,US,Detroit,wind-speed,127,0.1,12.0,3.0,66.69
2022-02-06,US,Detroit,pm25,28,49.0,139.0,90.0,4504.7
2022-02-06,US,Detroit,wind-speed,88,0.3,13.0,4.5,65.8
2022-02-06,US,Detroit,humidity,168,53.4,92.0,81.2,1150.16
2022-02-06,US,Detroit,pm10,4,14.0,19.0,15.0,49.17
2022-02-07,US,Detroit,wind-speed,70,0.3,5.5,1.6,14.21
2022-02-07,US,Detroit,humidity,168,74.3,92.0,82.0,197.28
2022-02-08,US,Detroit,humidity,168,62.8,91.3,81.3,581.15
2022-02-08,US,Detroit,wind-speed,70,0.1,5.6,2.3,18.37
2022-02-09,US,Detroit,humidity,168,63.3,91.3,79.5,630.25
2022-02-09,US,Detroit,pm10,24,11.0,36.0,14.0,405.2
2022-02-09,US,Detroit,pm25,96,8.0,108.0,54.0,4088.42
2022-02-09,US,Detroit,wind-speed,120,1.8,11.0,4.2,52.79
2022-02-10,US,Detroit,humidity,168,67.2,94.4,79.7,578.09
2022-02-10,US,Detroit,pm10,24,6.0,22.0,10.0,174.33
2022-02-10,US,Detroit,pm25,168,10.0,79.0,37.0,1330.06
2022-02-10,US,Detroit,wind-speed,168,0.4,12.0,4.0,73.55
2022-02-11,US,Detroit,humidity,168,70.6,96.0,90.0,200.6
2022-02-11,US,Detroit,pm10,24,4.0,19.0,13.0,157.32
2022-02-11,US,Detroit,pm25,168,13.0,69.0,40.0,1198.4
2022-02-11,US,Detroit,wind-speed,168,1.6,14.0,5.6,95.83
2022-02-12,US,Detroit,pm25,168,3.0,60.0,19.0,823.44
2022-02-12,US,Detroit,wind-speed,168,0.1,13.0,4.3,118.29
2022-02-12,US,Detroit,humidity,168,57.0,88.0,69.8,653.0
2022-02-12,US,Detroit,pm10,24,5.0,17.0,9.0,143.02
2022-02-13,US,Detroit,humidity,166,53.0,90.3,80.6,906.97
2022-02-13,US,Detroit,pm10,24,5.0,11.0,6.0,29.84
2022-02-13,US,Detroit,pm25,168,14.0,51.0,27.0,587.75
2022-02-13,US,Detroit,wind-speed,165,0.1,7.0,2.0,29.5
2022-02-14,US,Detroit,pm25,167,20.0,133.0,44.0,2056.85
