Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,NL,Dordrecht,humidity,120,82.0,94.6,88.6,122.74
2022-01-01,NL,Dordrecht,pm10,117,2.0,133.0,20.0,2355.03
2022-01-01,NL,Dordrecht,pm25,24,13.0,97.0,46.0,4490.42
2022-01-01,NL,Dordrecht,wind-speed,120,3.3,11.1,6.1,25.97
2022-01-02,NL,Dordrecht,humidity,120,84.0,92.0,87.4,38.69
2022-01-02,NL,Dordrecht,pm10,120,3.0,25.0,12.0,133.31
2022-01-02,NL,Dordrecht,pm25,24,17.0,61.0,38.0,1384.93
2022-01-02,NL,Dordrecht,wind-speed,120,5.8,16.8,9.8,80.22
2022-01-03,NL,Dordrecht,wind-speed,120,5.2,15.8,10.5,68.67
2022-01-03,NL,Dordrecht,pm25,24,17.0,61.0,38.0,1082.54
2022-01-03,NL,Dordrecht,humidity,120,83.6,92.0,88.0,41.94
2022-01-03,NL,Dordrecht,pm10,120,2.0,35.0,17.0,375.23
2022-01-04,NL,Dordrecht,humidity,120,74.0,94.3,90.0,210.23
2022-01-04,NL,Dordrecht,pm10,116,1.0,19.0,10.0,148.95
2022-01-04,NL,Dordrecht,pm25,22,13.0,59.0,42.0,2113.25
2022-01-04,NL,Dordrecht,wind-speed,120,1.6,10.5,5.9,48.89
2022-01-05,NL,Dordrecht,wind-speed,120,1.1,15.0,8.2,122.12
2022-01-05,NL,Dordrecht,humidity,120,77.1,92.5,83.3,144.81
2022-01-05,NL,Dordrecht,pm10,120,2.0,22.0,13.0,124.23
2022-01-05,NL,Dordrecht,pm25,24,17.0,50.0,34.0,714.49
2022-01-06,NL,Dordrecht,wind-speed,118,0.2,14.0,4.3,93.86
2022-01-06,NL,Dordrecht,pm25,22,21.0,67.0,42.0,1909.18
2022-01-06,NL,Dordrecht,humidity,120,75.8,92.0,84.6,107.48
2022-01-06,NL,Dordrecht,pm10,120,2.0,28.0,16.0,216.22
2022-01-07,NL,Dordrecht,humidity,120,78.6,93.5,87.9,121.1
2022-01-07,NL,Dordrecht,pm10,119,1.0,18.0,12.0,110.25
2022-01-07,NL,Dordrecht,pm25,24,25.0,59.0,46.0,1316.36
2022-01-07,NL,Dordrecht,wind-speed,120,1.2,14.9,8.7,145.78
2022-01-08,NL,Dordrecht,humidity,120,86.0,95.0,91.0,60.23
2022-01-08,NL,Dordrecht,pm10,116,1.0,23.0,10.0,155.4
2022-01-08,NL,Dordrecht,pm25,24,13.0,65.0,34.0,1912.75
2022-01-08,NL,Dordrecht,wind-speed,120,0.3,14.2,6.9,140.21
2022-01-09,NL,Dordrecht,pm10,119,6.0,31.0,15.0,261.35
2022-01-09,NL,Dordrecht,wind-speed,120,0.1,15.8,7.5,201.82
2022-01-09,NL,Dordrecht,humidity,120,79.4,93.7,86.3,132.04
2022-01-09,NL,Dordrecht,pm25,24,22.0,65.0,38.0,1060.85
2022-01-10,NL,Dordrecht,humidity,120,84.6,95.0,92.7,70.83
2022-01-10,NL,Dordrecht,pm10,119,3.0,42.0,22.0,364.4
2022-01-10,NL,Dordrecht,pm25,24,53.0,95.0,70.0,1279.84
2022-01-10,NL,Dordrecht,wind-speed,117,0.1,5.3,2.5,15.74
2022-01-11,NL,Dordrecht,pm25,22,53.0,89.0,72.0,1050.13
2022-01-11,NL,Dordrecht,humidity,120,71.7,95.6,89.0,469.74
2022-01-11,NL,Dordrecht,pm10,120,3.0,28.0,20.0,140.63
2022-01-11,NL,Dordrecht,wind-speed,120,1.2,6.4,3.6,11.06
2022-01-12,NL,Dordrecht,wind-speed,116,0.1,6.5,1.9,25.95
2022-01-12,NL,Dordrecht,pm25,24,52.0,89.0,74.0,1074.33
2022-01-12,NL,Dordrecht,humidity,120,91.4,96.0,94.0,10.22
2022-01-12,NL,Dordrecht,pm10,120,2.0,30.0,20.0,237.21
2022-01-13,NL,Dordrecht,humidity,120,95.0,97.0,95.0,4.07
2022-01-13,NL,Dordrecht,pm10,119,3.0,28.0,15.0,203.66
2022-01-13,NL,Dordrecht,pm25,24,45.0,73.0,62.0,457.97
2022-01-13,NL,Dordrecht,wind-speed,120,2.8,6.9,5.4,6.88
2022-01-14,NL,Dordrecht,wind-speed,114,0.3,6.1,2.3,39.96
2022-01-14,NL,Dordrecht,humidity,120,95.0,97.0,96.0,3.82
2022-01-14,NL,Dordrecht,pm10,119,3.0,38.0,16.0,426.95
2022-01-14,NL,Dordrecht,pm25,24,61.0,86.0,75.0,464.27
2022-01-15,NL,Dordrecht,wind-speed,120,1.1,4.4,2.2,7.31
2022-01-15,NL,Dordrecht,pm25,24,55.0,96.0,78.0,1644.33
2022-01-15,NL,Dordrecht,humidity,120,95.0,97.0,95.7,3.57
2022-01-15,NL,Dordrecht,pm10,119,6.0,51.0,22.0,624.06
2022-01-16,NL,Dordrecht,pm25,24,56.0,122.0,92.0,4018.84
2022-01-16,NL,Dordrecht,humidity,118,91.0,97.0,95.0,14.22
2022-01-16,NL,Dordrecht,pm10,120,2.0,44.0,28.0,668.82
2022-01-16,NL,Dordrecht,wind-speed,118,1.0,11.3,4.5,66.96
2022-01-17,NL,Dordrecht,wind-speed,112,0.3,7.6,3.3,50.26
2022-01-17,NL,Dordrecht,pm25,24,9.0,63.0,46.0,1291.72
2022-01-17,NL,Dordrecht,pm10,120,1.0,49.0,19.0,646.04
2022-01-17,NL,Dordrecht,humidity,120,80.7,93.1,90.0,110.48
2022-01-18,NL,Dordrecht,humidity,120,85.1,96.0,93.1,60.83
2022-01-18,NL,Dordrecht,pm10,118,2.0,57.0,19.0,1148.52
2022-01-18,NL,Dordrecht,pm25,24,24.0,87.0,53.0,3523.19
2022-01-18,NL,Dordrecht,wind-speed,99,0.1,5.5,0.7,22.27
2022-01-19,NL,Dordrecht,pm25,24,42.0,100.0,77.0,2709.4
2022-01-19,NL,Dordrecht,wind-speed,116,0.2,10.3,5.8,106.79
2022-01-19,NL,Dordrecht,humidity,120,81.3,94.4,92.0,139.44
2022-01-19,NL,Dordrecht,pm10,120,2.0,39.0,22.0,505.3
2022-01-20,NL,Dordrecht,humidity,116,71.9,89.5,81.6,214.48
2022-01-20,NL,Dordrecht,pm10,120,5.0,27.0,15.0,167.34
2022-01-20,NL,Dordrecht,pm25,24,18.0,58.0,41.0,1328.7
2022-01-20,NL,Dordrecht,wind-speed,116,1.7,12.0,6.3,76.65
2022-01-21,NL,Dordrecht,wind-speed,118,0.2,8.6,3.1,33.03
2022-01-21,NL,Dordrecht,humidity,120,83.4,93.1,88.2,54.69
2022-01-21,NL,Dordrecht,pm10,119,5.0,30.0,14.0,223.88
