Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Edinburgh,humidity,288,67.0,98.7,79.5,472.18
2022-01-01,GB,Edinburgh,pm10,279,1.0,23.0,13.0,336.29
2022-01-01,GB,Edinburgh,pm25,285,4.0,55.0,37.0,2097.33
2022-01-01,GB,Edinburgh,wind-speed,287,0.2,15.7,9.2,117.29
2022-01-02,GB,Edinburgh,humidity,288,72.2,93.5,79.1,234.75
2022-01-02,GB,Edinburgh,pm10,279,4.0,13.0,9.0,34.3
2022-01-02,GB,Edinburgh,pm25,262,12.0,34.0,21.0,220.08
2022-01-02,GB,Edinburgh,wind-speed,288,0.7,13.6,9.2,99.39
2022-01-03,GB,Edinburgh,wind-speed,288,0.1,14.0,3.8,179.72
2022-01-03,GB,Edinburgh,pm25,261,2.0,59.0,16.0,769.25
2022-01-03,GB,Edinburgh,humidity,288,67.5,96.5,86.0,326.66
2022-01-03,GB,Edinburgh,pm10,278,1.0,18.0,6.0,91.21
2022-01-04,GB,Edinburgh,humidity,288,58.0,92.0,75.6,504.04
2022-01-04,GB,Edinburgh,pm10,280,3.0,31.0,8.0,125.65
2022-01-04,GB,Edinburgh,pm25,243,9.0,42.0,21.0,387.37
2022-01-04,GB,Edinburgh,wind-speed,288,1.0,11.2,4.6,46.87
2022-01-05,GB,Edinburgh,wind-speed,254,0.1,9.4,3.0,33.27
2022-01-05,GB,Edinburgh,humidity,288,56.0,86.0,73.4,666.17
2022-01-05,GB,Edinburgh,pm10,282,2.0,72.0,10.0,1241.58
2022-01-05,GB,Edinburgh,pm25,257,5.0,65.0,21.0,1873.0
2022-01-06,GB,Edinburgh,wind-speed,287,0.1,14.5,5.6,130.88
2022-01-06,GB,Edinburgh,pm25,267,1.0,50.0,13.0,497.77
2022-01-06,GB,Edinburgh,humidity,288,66.5,91.8,81.5,389.61
2022-01-06,GB,Edinburgh,pm10,285,1.0,18.0,6.0,113.89
2022-01-07,GB,Edinburgh,humidity,288,80.2,93.0,87.3,115.7
2022-01-07,GB,Edinburgh,pm10,273,1.0,26.0,3.0,103.28
2022-01-07,GB,Edinburgh,pm25,245,1.0,46.0,9.0,483.8
2022-01-07,GB,Edinburgh,wind-speed,288,0.7,9.6,5.4,30.93
2022-01-08,GB,Edinburgh,humidity,288,78.0,99.0,86.0,204.83
2022-01-08,GB,Edinburgh,pm10,277,1.0,29.0,7.0,305.73
2022-01-08,GB,Edinburgh,pm25,264,1.0,59.0,17.0,1718.51
2022-01-08,GB,Edinburgh,wind-speed,288,0.2,11.4,5.0,39.38
2022-01-09,GB,Edinburgh,pm10,285,1.0,24.0,5.0,175.87
2022-01-09,GB,Edinburgh,wind-speed,251,0.1,9.1,4.3,51.58
2022-01-09,GB,Edinburgh,humidity,284,82.3,100.0,87.7,222.2
2022-01-09,GB,Edinburgh,pm25,271,2.0,68.0,13.0,1821.79
2022-01-10,GB,Edinburgh,humidity,288,76.0,100.0,88.8,335.45
2022-01-10,GB,Edinburgh,pm10,276,1.0,24.0,6.0,212.54
2022-01-10,GB,Edinburgh,pm25,240,1.0,57.0,17.0,1842.79
2022-01-10,GB,Edinburgh,wind-speed,258,0.1,11.0,4.3,91.28
2022-01-11,GB,Edinburgh,pm25,252,17.0,53.0,30.0,362.51
2022-01-11,GB,Edinburgh,humidity,288,75.0,98.7,83.5,250.75
2022-01-11,GB,Edinburgh,pm10,282,6.0,30.0,12.0,116.88
2022-01-11,GB,Edinburgh,wind-speed,288,0.5,10.0,5.1,36.5
2022-01-12,GB,Edinburgh,wind-speed,284,2.9,11.7,7.0,26.35
2022-01-12,GB,Edinburgh,pm25,198,13.0,34.0,21.0,219.53
2022-01-12,GB,Edinburgh,humidity,284,81.0,92.0,83.6,77.08
2022-01-12,GB,Edinburgh,pm10,260,5.0,19.0,10.0,55.39
2022-01-13,GB,Edinburgh,humidity,288,73.0,95.2,81.6,176.48
2022-01-13,GB,Edinburgh,pm10,265,2.0,46.0,5.0,405.35
2022-01-13,GB,Edinburgh,pm25,227,4.0,42.0,13.0,306.41
2022-01-13,GB,Edinburgh,wind-speed,288,1.1,11.0,6.6,21.21
2022-01-14,GB,Edinburgh,wind-speed,288,0.7,9.2,3.1,24.87
2022-01-14,GB,Edinburgh,humidity,288,79.5,98.0,89.5,144.33
2022-01-14,GB,Edinburgh,pm10,262,2.0,13.0,4.0,51.86
2022-01-14,GB,Edinburgh,pm25,258,5.0,34.0,13.0,293.91
2022-01-15,GB,Edinburgh,wind-speed,288,0.2,5.9,2.5,14.2
2022-01-15,GB,Edinburgh,pm25,282,9.0,61.0,34.0,1597.71
2022-01-15,GB,Edinburgh,humidity,288,77.0,97.0,83.5,137.16
2022-01-15,GB,Edinburgh,pm10,286,3.0,41.0,10.0,352.28
2022-01-16,GB,Edinburgh,pm25,274,9.0,53.0,21.0,1256.67
2022-01-16,GB,Edinburgh,humidity,287,65.0,97.3,81.0,410.3
2022-01-16,GB,Edinburgh,pm10,283,3.0,51.0,10.0,162.76
2022-01-16,GB,Edinburgh,wind-speed,287,0.1,9.5,5.0,52.16
2022-01-17,GB,Edinburgh,wind-speed,278,0.2,9.5,5.5,41.47
2022-01-17,GB,Edinburgh,pm25,208,9.0,74.0,17.0,569.89
2022-01-17,GB,Edinburgh,pm10,249,3.0,46.0,8.0,165.32
2022-01-17,GB,Edinburgh,humidity,288,78.6,96.5,86.0,153.23
2022-01-18,GB,Edinburgh,humidity,284,80.5,100.0,89.8,223.76
2022-01-18,GB,Edinburgh,pm10,243,3.0,20.0,7.0,127.93
2022-01-18,GB,Edinburgh,pm25,251,9.0,53.0,25.0,1167.15
2022-01-18,GB,Edinburgh,wind-speed,260,0.1,12.4,5.7,117.81
2022-01-19,GB,Edinburgh,pm25,264,5.0,42.0,17.0,377.54
2022-01-19,GB,Edinburgh,wind-speed,288,0.4,12.2,4.6,99.69
2022-01-19,GB,Edinburgh,humidity,288,58.0,93.5,75.0,799.99
2022-01-19,GB,Edinburgh,pm10,252,2.0,41.0,8.0,467.25
2022-01-20,GB,Edinburgh,humidity,288,56.0,93.0,69.6,743.19
2022-01-20,GB,Edinburgh,pm10,285,3.0,62.0,10.0,1030.94
2022-01-20,GB,Edinburgh,pm25,262,8.0,50.0,21.0,901.8
2022-01-20,GB,Edinburgh,wind-speed,280,0.5,9.0,2.3,14.23
2022-01-21,GB,Edinburgh,wind-speed,284,0.4,9.4,5.9,42.7
2022-01-21,GB,Edinburgh,humidity,286,78.5,95.0,86.0,124.49
2022-01-21,GB,Edinburgh,pm10,251,1.0,12.0,3.0,66.26
2022-01-21,GB,Edinburgh,pm25,211,1.0,30.0,9.0,354.26
2022-01-22,GB,Edinburgh,pm25,233,3.0,25.0,9.0,172.62
2022-01-22,GB,Edinburgh,wind-speed,288,2.6,8.2,5.8,13.9
2022-01-22,GB,Edinburgh,humidity,286,82.0,98.2,87.0,127.82
2022-01-22,GB,Edinburgh,pm10,263,1.0,13.0,4.0,58.08
2022-01-23,GB,Edinburgh,wind-speed,288,2.0,8.7,6.3,24.97
2022-01-23,GB,Edinburgh,pm25,251,5.0,42.0,17.0,568.4
2022-01-23,GB,Edinburgh,pm10,268,2.0,46.0,6.0,543.77
2022-01-23,GB,Edinburgh,humidity,288,70.0,93.7,77.0,291.04
2022-01-24,GB,Edinburgh,humidity,288,71.0,96.5,82.4,285.33
2022-01-24,GB,Edinburgh,pm10,285,9.0,76.0,21.0,899.41
2022-01-24,GB,Edinburgh,pm25,265,17.0,74.0,46.0,1357.32
2022-01-24,GB,Edinburgh,wind-speed,284,0.5,10.5,4.3,42.75
2022-01-25,GB,Edinburgh,pm25,277,38.0,80.0,57.0,838.54
2022-01-25,GB,Edinburgh,wind-speed,287,0.5,9.0,4.5,37.84
2022-01-25,GB,Edinburgh,humidity,285,78.5,97.2,84.3,132.61
2022-01-25,GB,Edinburgh,pm10,280,12.0,60.0,24.0,839.9
2022-01-26,GB,Edinburgh,humidity,285,73.5,100.0,87.0,248.61
2022-01-26,GB,Edinburgh,pm10,282,1.0,26.0,5.0,147.54
2022-01-26,GB,Edinburgh,pm25,271,3.0,53.0,13.0,684.53
2022-01-26,GB,Edinburgh,wind-speed,286,2.4,16.4,8.2,100.8
2022-01-27,GB,Edinburgh,wind-speed,287,1.7,12.0,5.1,65.54
2022-01-27,GB,Edinburgh,humidity,287,61.0,93.0,78.5,464.41
2022-01-27,GB,Edinburgh,pm10,278,1.0,62.0,7.0,345.23
2022-01-27,GB,Edinburgh,pm25,260,4.0,65.0,13.0,427.81
2022-01-28,GB,Edinburgh,wind-speed,287,1.0,14.6,6.4,98.23
