Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,NL,Eindhoven,humidity,72,64.0,90.0,82.0,454.88
2022-01-01,NL,Eindhoven,pm10,71,1.0,135.0,14.0,5103.25
2022-01-01,NL,Eindhoven,pm25,24,38.0,162.0,56.0,5942.59
2022-01-01,NL,Eindhoven,wind-speed,48,2.8,5.4,4.1,2.6
2022-01-02,NL,Eindhoven,humidity,72,53.7,93.0,78.2,683.88
2022-01-02,NL,Eindhoven,pm10,68,1.0,25.0,13.0,239.71
2022-01-02,NL,Eindhoven,pm25,24,27.0,64.0,52.0,779.71
2022-01-02,NL,Eindhoven,wind-speed,48,3.6,9.9,6.6,39.94
2022-01-03,NL,Eindhoven,wind-speed,48,4.3,8.4,7.1,16.01
2022-01-03,NL,Eindhoven,pm25,24,30.0,61.0,46.0,689.28
2022-01-03,NL,Eindhoven,humidity,72,68.6,93.0,81.0,230.41
2022-01-03,NL,Eindhoven,pm10,72,1.0,24.0,12.0,347.45
2022-01-04,NL,Eindhoven,humidity,72,48.7,100.0,89.4,2737.2
2022-01-04,NL,Eindhoven,pm10,70,1.0,23.0,8.0,180.1
2022-01-04,NL,Eindhoven,pm25,24,15.0,56.0,31.0,1105.14
2022-01-04,NL,Eindhoven,wind-speed,48,2.0,5.8,3.9,11.94
2022-01-05,NL,Eindhoven,wind-speed,48,3.0,8.4,5.1,30.75
2022-01-05,NL,Eindhoven,humidity,72,49.5,95.3,80.5,1289.92
2022-01-05,NL,Eindhoven,pm10,72,1.0,27.0,13.0,272.67
2022-01-05,NL,Eindhoven,pm25,24,2.0,54.0,31.0,1785.2
2022-01-06,NL,Eindhoven,wind-speed,48,1.8,5.6,3.0,9.63
2022-01-06,NL,Eindhoven,pm25,24,19.0,76.0,47.0,1943.89
2022-01-06,NL,Eindhoven,humidity,72,41.7,100.0,81.0,2474.24
2022-01-06,NL,Eindhoven,pm10,72,1.0,32.0,16.0,521.0
2022-01-07,NL,Eindhoven,humidity,72,53.0,96.5,84.0,1436.58
2022-01-07,NL,Eindhoven,pm10,67,1.0,20.0,10.0,161.77
2022-01-07,NL,Eindhoven,pm25,24,13.0,60.0,37.0,1835.05
2022-01-07,NL,Eindhoven,wind-speed,48,2.0,8.3,6.1,20.16
