Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Fort Worth,humidity,23,63.4,92.6,78.5,788.46
2022-01-01,US,Fort Worth,pm25,21,9.0,55.0,30.0,1213.62
2022-01-01,US,Fort Worth,wind-speed,23,0.6,17.1,6.1,420.42
2022-01-02,US,Fort Worth,humidity,23,40.6,74.0,59.9,871.83
2022-01-02,US,Fort Worth,pm25,13,5.0,17.0,9.0,201.03
2022-01-02,US,Fort Worth,wind-speed,23,1.6,16.3,12.6,264.93
2022-01-03,US,Fort Worth,humidity,23,18.5,81.7,41.0,6856.4
2022-01-03,US,Fort Worth,pm25,19,5.0,57.0,17.0,2376.08
2022-01-03,US,Fort Worth,wind-speed,23,0.9,9.8,6.6,105.88
2022-01-04,US,Fort Worth,humidity,23,14.7,55.0,36.7,1934.18
2022-01-04,US,Fort Worth,pm25,21,5.0,38.0,17.0,760.48
2022-01-04,US,Fort Worth,wind-speed,23,4.2,21.7,8.8,383.0
2022-01-05,US,Fort Worth,humidity,23,31.0,83.1,46.3,3636.14
2022-01-05,US,Fort Worth,pm25,21,5.0,42.0,17.0,972.33
2022-01-05,US,Fort Worth,wind-speed,23,1.8,13.6,6.9,114.68
2022-01-06,US,Fort Worth,wind-speed,23,4.8,14.6,10.7,104.17
2022-01-06,US,Fort Worth,pm25,22,5.0,30.0,17.0,573.01
2022-01-06,US,Fort Worth,humidity,22,37.5,60.5,50.1,647.59
2022-01-07,US,Fort Worth,humidity,22,43.1,77.1,59.2,1254.74
2022-01-07,US,Fort Worth,pm25,19,5.0,53.0,25.0,2734.5
2022-01-07,US,Fort Worth,wind-speed,23,2.2,10.6,5.7,87.64
2022-01-08,US,Fort Worth,humidity,23,66.1,98.9,95.7,1029.59
2022-01-08,US,Fort Worth,pm25,24,13.0,70.0,50.0,1654.33
2022-01-08,US,Fort Worth,wind-speed,23,5.4,13.9,8.8,62.94
2022-01-09,US,Fort Worth,wind-speed,23,3.7,15.9,10.3,147.45
2022-01-09,US,Fort Worth,pm25,22,5.0,50.0,21.0,1948.07
2022-01-09,US,Fort Worth,humidity,23,36.4,99.1,68.7,6762.95
2022-01-10,US,Fort Worth,humidity,23,21.2,60.9,47.2,1924.14
2022-01-10,US,Fort Worth,pm25,20,5.0,30.0,9.0,525.76
2022-01-10,US,Fort Worth,wind-speed,23,0.4,8.0,4.1,46.13
2022-01-11,US,Fort Worth,humidity,23,17.1,72.3,40.4,4375.62
2022-01-11,US,Fort Worth,pm25,20,5.0,55.0,13.0,2110.53
2022-01-11,US,Fort Worth,wind-speed,23,0.1,14.2,5.6,215.69
