Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Fresno,humidity,72,61.0,100.0,85.2,1279.7
2022-01-01,US,Fresno,pm10,48,7.0,107.0,27.0,5268.07
2022-01-01,US,Fresno,pm25,48,21.0,203.0,78.0,24025.0
2022-01-01,US,Fresno,wind-speed,47,0.2,5.1,1.2,12.73
2022-01-02,US,Fresno,humidity,72,41.0,93.0,75.0,2429.24
2022-01-02,US,Fresno,pm10,48,5.0,58.0,16.0,1933.76
2022-01-02,US,Fresno,pm25,48,13.0,142.0,46.0,10702.1
2022-01-02,US,Fresno,wind-speed,41,0.2,2.5,1.5,4.78
2022-01-03,US,Fresno,wind-speed,41,0.2,2.2,1.0,4.48
2022-01-03,US,Fresno,pm25,46,20.0,142.0,58.0,5974.03
2022-01-03,US,Fresno,humidity,72,47.0,93.0,74.3,1335.01
2022-01-03,US,Fresno,pm10,46,11.0,58.0,25.0,1749.53
2022-01-04,US,Fresno,humidity,72,58.0,93.0,76.0,1003.71
2022-01-04,US,Fresno,pm10,48,11.0,51.0,26.0,1004.66
2022-01-04,US,Fresno,pm25,48,32.0,106.0,54.0,3625.94
2022-01-04,US,Fresno,wind-speed,44,0.2,3.0,1.3,8.84
2022-01-05,US,Fresno,wind-speed,44,0.2,3.6,1.5,6.44
2022-01-05,US,Fresno,humidity,72,66.0,93.0,80.0,381.01
2022-01-05,US,Fresno,pm10,48,18.0,52.0,27.0,809.79
2022-01-05,US,Fresno,pm25,48,46.0,94.0,63.0,988.23
2022-01-06,US,Fresno,wind-speed,32,0.2,1.7,0.7,2.75
2022-01-06,US,Fresno,pm25,48,30.0,98.0,55.0,2215.63
2022-01-06,US,Fresno,humidity,72,59.0,93.0,79.0,907.33
2022-01-06,US,Fresno,pm10,48,11.0,54.0,25.0,1022.39
2022-01-07,US,Fresno,humidity,72,70.7,100.0,85.7,503.62
2022-01-07,US,Fresno,pm10,48,15.0,53.0,30.0,704.57
2022-01-07,US,Fresno,pm25,48,35.0,100.0,65.0,1890.31
2022-01-07,US,Fresno,wind-speed,42,0.2,3.0,0.7,5.15
2022-01-08,US,Fresno,humidity,72,71.0,100.0,88.7,318.33
2022-01-08,US,Fresno,pm10,48,3.0,30.0,9.0,405.04
2022-01-08,US,Fresno,pm25,48,5.0,89.0,34.0,3539.04
2022-01-08,US,Fresno,wind-speed,47,0.2,3.0,1.0,7.02
2022-01-09,US,Fresno,pm10,48,6.0,57.0,16.0,1384.61
2022-01-09,US,Fresno,wind-speed,28,0.2,2.5,1.0,3.38
2022-01-09,US,Fresno,humidity,72,48.0,100.0,81.5,2123.96
2022-01-09,US,Fresno,pm25,48,21.0,139.0,51.0,6060.21
2022-01-10,US,Fresno,humidity,72,54.0,93.0,81.0,1319.17
2022-01-10,US,Fresno,pm10,48,12.0,59.0,33.0,1253.83
2022-01-10,US,Fresno,pm25,48,42.0,111.0,68.0,2973.19
2022-01-10,US,Fresno,wind-speed,39,0.2,3.0,1.2,4.98
2022-01-11,US,Fresno,pm25,48,34.0,139.0,72.0,4381.27
2022-01-11,US,Fresno,humidity,72,51.0,100.0,84.0,1406.05
2022-01-11,US,Fresno,pm10,48,13.0,67.0,34.0,1805.53
2022-01-11,US,Fresno,wind-speed,41,0.2,2.5,0.7,4.19
2022-01-12,US,Fresno,wind-speed,48,0.2,3.2,1.5,5.76
2022-01-12,US,Fresno,pm25,40,53.0,132.0,80.0,3108.21
2022-01-12,US,Fresno,humidity,72,48.0,100.0,84.7,2018.76
2022-01-12,US,Fresno,pm10,40,14.0,60.0,33.0,1255.77
2022-01-13,US,Fresno,humidity,69,55.0,100.0,83.2,1566.95
2022-01-13,US,Fresno,pm10,24,23.0,59.0,42.0,1351.23
2022-01-13,US,Fresno,pm25,24,61.0,151.0,91.0,6758.84
2022-01-13,US,Fresno,wind-speed,40,0.2,3.0,1.0,3.86
