Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Fukuoka,humidity,428,37.0,96.0,66.1,1999.88
2022-01-01,JP,Fukuoka,pm10,410,1.0,19.0,8.0,84.15
2022-01-01,JP,Fukuoka,pm25,390,5.0,89.0,30.0,1829.35
2022-01-01,JP,Fukuoka,wind-speed,424,0.1,3.6,1.5,6.19
2022-01-02,JP,Fukuoka,humidity,426,40.0,96.0,65.0,1882.96
2022-01-02,JP,Fukuoka,pm10,400,1.0,25.0,8.0,120.69
2022-01-02,JP,Fukuoka,pm25,387,5.0,82.0,30.0,1780.78
2022-01-02,JP,Fukuoka,precipitation,6,99.0,99.0,99.0,0.0
2022-01-02,JP,Fukuoka,wind-speed,422,0.1,6.4,2.0,14.23
2022-01-03,JP,Fukuoka,wind-speed,430,0.1,6.0,1.6,14.89
2022-01-03,JP,Fukuoka,pm25,383,5.0,109.0,53.0,2620.52
2022-01-03,JP,Fukuoka,humidity,432,38.1,100.0,67.1,2068.26
2022-01-03,JP,Fukuoka,pm10,403,1.0,30.0,13.0,304.95
2022-01-04,JP,Fukuoka,humidity,432,42.1,99.0,68.1,1641.4
2022-01-04,JP,Fukuoka,pm10,417,1.0,34.0,19.0,447.25
2022-01-04,JP,Fukuoka,pm25,413,5.0,122.0,61.0,4194.87
2022-01-04,JP,Fukuoka,wind-speed,430,0.1,6.1,1.5,11.79
2022-01-05,JP,Fukuoka,humidity,431,51.0,98.0,70.0,1245.55
2022-01-05,JP,Fukuoka,pm10,422,1.0,53.0,13.0,565.85
2022-01-05,JP,Fukuoka,pm25,411,5.0,142.0,50.0,4522.67
2022-01-05,JP,Fukuoka,precipitation,13,99.0,99.0,99.0,0.0
2022-01-05,JP,Fukuoka,wind-speed,431,0.1,6.1,1.5,10.75
2022-01-06,JP,Fukuoka,wind-speed,417,0.1,6.1,1.7,17.92
2022-01-06,JP,Fukuoka,precipitation,22,0.3,0.4,0.4,0.01
2022-01-06,JP,Fukuoka,pm25,390,5.0,95.0,30.0,1829.61
2022-01-06,JP,Fukuoka,pm10,418,1.0,19.0,8.0,99.06
2022-01-06,JP,Fukuoka,humidity,430,53.0,96.5,80.0,1873.99
2022-01-07,JP,Fukuoka,humidity,432,42.1,96.0,72.5,2592.22
2022-01-07,JP,Fukuoka,pm10,421,1.0,24.0,9.0,98.97
2022-01-07,JP,Fukuoka,pm25,414,5.0,85.0,30.0,1713.0
2022-01-07,JP,Fukuoka,wind-speed,432,0.1,4.8,1.5,10.25
2022-01-08,JP,Fukuoka,humidity,432,39.1,100.0,72.5,2573.39
2022-01-08,JP,Fukuoka,pm10,423,1.0,44.0,10.0,163.63
2022-01-08,JP,Fukuoka,pm25,417,5.0,93.0,38.0,2200.45
2022-01-08,JP,Fukuoka,wind-speed,432,0.1,6.1,1.5,13.51
2022-01-09,JP,Fukuoka,wind-speed,432,0.1,4.6,1.5,9.81
2022-01-09,JP,Fukuoka,pm25,426,5.0,142.0,63.0,5782.25
2022-01-09,JP,Fukuoka,pm10,432,1.0,49.0,18.0,823.95
2022-01-09,JP,Fukuoka,humidity,432,49.0,100.0,72.5,1519.28
2022-01-10,JP,Fukuoka,humidity,432,41.2,100.0,72.9,2757.54
2022-01-10,JP,Fukuoka,pm10,432,10.0,52.0,27.0,398.94
