Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,PT,Funchal,humidity,72,33.2,85.7,39.7,1438.16
2022-01-01,PT,Funchal,pm10,71,16.0,412.0,27.0,59122.0
2022-01-01,PT,Funchal,pm25,63,2.0,120.0,38.0,11952.1
2022-01-01,PT,Funchal,wind-speed,71,0.4,9.8,3.0,44.5
2022-01-02,PT,Funchal,humidity,66,27.2,47.0,36.0,276.97
2022-01-02,PT,Funchal,pm10,72,4.0,43.0,15.0,681.57
2022-01-02,PT,Funchal,pm25,69,1.0,65.0,24.0,2958.62
2022-01-02,PT,Funchal,wind-speed,61,0.5,8.6,1.7,54.1
2022-01-03,PT,Funchal,wind-speed,49,0.2,8.2,1.0,77.97
2022-01-03,PT,Funchal,pm25,50,1.0,66.0,12.0,2864.33
2022-01-03,PT,Funchal,humidity,72,27.0,55.6,35.2,615.43
2022-01-03,PT,Funchal,pm10,62,1.0,26.0,9.0,347.71
2022-01-04,PT,Funchal,humidity,72,29.0,92.0,64.1,4350.52
2022-01-04,PT,Funchal,pm10,69,1.0,22.0,10.0,313.26
2022-01-04,PT,Funchal,pm25,59,1.0,63.0,25.0,1986.33
2022-01-04,PT,Funchal,wind-speed,48,0.2,10.2,2.3,51.07
2022-01-05,PT,Funchal,humidity,72,63.5,90.5,80.5,531.47
2022-01-05,PT,Funchal,pm10,61,1.0,19.0,9.0,208.81
2022-01-05,PT,Funchal,pm25,48,1.0,29.0,6.0,767.09
2022-01-05,PT,Funchal,wind-speed,64,0.3,6.6,1.0,48.46
2022-01-06,PT,Funchal,wind-speed,63,0.2,6.5,1.5,29.17
2022-01-06,PT,Funchal,pm25,47,1.0,40.0,15.0,1425.59
2022-01-06,PT,Funchal,humidity,72,68.2,90.0,82.2,238.22
2022-01-06,PT,Funchal,pm10,54,1.0,20.0,13.0,278.59
2022-01-07,PT,Funchal,humidity,72,72.3,95.6,90.0,334.5
2022-01-07,PT,Funchal,pm10,56,1.0,18.0,8.0,206.43
2022-01-07,PT,Funchal,pm25,46,1.0,38.0,11.0,942.51
2022-01-07,PT,Funchal,wind-speed,71,0.2,5.1,2.0,16.92
2022-01-08,PT,Funchal,wind-speed,71,0.1,9.0,1.5,44.79
2022-01-08,PT,Funchal,humidity,72,61.2,95.0,87.5,931.27
2022-01-08,PT,Funchal,pm10,45,8.0,21.0,16.0,68.91
2022-01-08,PT,Funchal,pm25,44,4.0,30.0,15.0,584.75
2022-01-09,PT,Funchal,wind-speed,60,0.3,8.2,1.0,36.59
2022-01-09,PT,Funchal,pm25,70,1.0,48.0,23.0,1192.65
2022-01-09,PT,Funchal,humidity,72,46.6,95.0,91.0,2302.87
