Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Gifu-shi,humidity,154,49.0,96.0,84.4,2962.51
2022-01-01,JP,Gifu-shi,pm10,149,1.0,28.0,4.0,168.66
2022-01-01,JP,Gifu-shi,pm25,115,5.0,74.0,17.0,3030.65
2022-01-01,JP,Gifu-shi,precipitation,14,99.0,99.0,99.0,0.0
2022-01-01,JP,Gifu-shi,wind-speed,154,1.0,4.6,2.0,15.39
2022-01-02,JP,Gifu-shi,humidity,168,51.0,98.0,72.0,1965.67
2022-01-02,JP,Gifu-shi,pm10,153,1.0,16.0,4.0,94.85
2022-01-02,JP,Gifu-shi,pm25,112,5.0,107.0,21.0,3653.6
2022-01-02,JP,Gifu-shi,precipitation,7,99.0,99.0,99.0,0.0
2022-01-02,JP,Gifu-shi,wind-speed,147,0.5,2.0,1.5,1.31
2022-01-03,JP,Gifu-shi,wind-speed,161,0.5,2.0,1.0,2.55
2022-01-03,JP,Gifu-shi,precipitation,28,99.0,99.0,99.0,0.0
2022-01-03,JP,Gifu-shi,humidity,168,65.0,93.1,88.0,942.79
2022-01-03,JP,Gifu-shi,pm10,159,1.0,25.0,6.0,173.03
2022-01-03,JP,Gifu-shi,pm25,120,5.0,68.0,25.0,2251.82
2022-01-04,JP,Gifu-shi,wind-speed,168,1.0,6.1,4.1,21.75
2022-01-04,JP,Gifu-shi,humidity,168,52.0,97.0,86.1,2243.2
2022-01-04,JP,Gifu-shi,pm10,145,1.0,19.0,6.0,116.09
2022-01-04,JP,Gifu-shi,pm25,125,5.0,82.0,21.0,3110.1
2022-01-04,JP,Gifu-shi,precipitation,21,0.1,0.3,0.1,0.09
2022-01-05,JP,Gifu-shi,pm25,124,5.0,82.0,17.0,2494.57
2022-01-05,JP,Gifu-shi,wind-speed,151,1.5,8.7,3.6,27.84
2022-01-05,JP,Gifu-shi,humidity,168,33.1,96.0,46.0,3426.25
2022-01-05,JP,Gifu-shi,pm10,153,1.0,23.0,4.0,102.36
2022-01-06,JP,Gifu-shi,humidity,163,37.2,96.0,54.9,1652.93
2022-01-06,JP,Gifu-shi,pm10,153,1.0,22.0,6.0,189.4
2022-01-06,JP,Gifu-shi,pm25,118,5.0,76.0,25.0,2460.61
2022-01-06,JP,Gifu-shi,precipitation,6,99.0,99.0,99.0,0.0
2022-01-06,JP,Gifu-shi,wind-speed,163,0.5,5.3,1.0,10.51
2022-01-07,JP,Gifu-shi,humidity,168,34.1,82.2,47.1,2534.48
2022-01-07,JP,Gifu-shi,pm10,158,1.0,29.0,8.0,185.28
2022-01-07,JP,Gifu-shi,pm25,142,5.0,93.0,30.0,2606.76
2022-01-07,JP,Gifu-shi,precipitation,14,99.0,99.0,99.0,0.0
2022-01-07,JP,Gifu-shi,wind-speed,168,0.5,8.7,3.6,47.01
2022-01-08,JP,Gifu-shi,wind-speed,159,0.5,5.2,1.0,10.62
2022-01-08,JP,Gifu-shi,pm25,141,5.0,107.0,34.0,3314.64
2022-01-08,JP,Gifu-shi,humidity,164,38.2,97.3,55.1,2141.63
2022-01-08,JP,Gifu-shi,pm10,165,1.0,26.0,8.0,194.39
2022-01-09,JP,Gifu-shi,humidity,164,41.1,99.0,66.9,2442.48
2022-01-09,JP,Gifu-shi,pm10,166,1.0,34.0,10.0,224.07
2022-01-09,JP,Gifu-shi,pm25,140,5.0,102.0,42.0,3934.02
2022-01-09,JP,Gifu-shi,wind-speed,144,0.5,5.1,2.0,19.32
2022-01-10,JP,Gifu-shi,humidity,147,21.0,80.0,56.0,2621.45
2022-01-10,JP,Gifu-shi,pm10,166,1.0,28.0,10.0,231.44
2022-01-10,JP,Gifu-shi,pm25,145,5.0,114.0,42.0,3378.29
2022-01-10,JP,Gifu-shi,wind-speed,147,0.5,4.6,1.5,9.0
2022-01-11,JP,Gifu-shi,precipitation,14,0.2,0.6,0.2,0.43
2022-01-11,JP,Gifu-shi,pm25,114,5.0,72.0,25.0,2944.43
2022-01-11,JP,Gifu-shi,wind-speed,156,0.5,6.1,2.0,24.78
2022-01-11,JP,Gifu-shi,humidity,156,50.1,100.0,90.0,3681.41
2022-01-11,JP,Gifu-shi,pm10,148,1.0,32.0,8.0,294.76
2022-01-12,JP,Gifu-shi,humidity,168,60.1,97.0,96.0,791.0
2022-01-12,JP,Gifu-shi,pm10,143,1.0,18.0,4.0,104.64
2022-01-12,JP,Gifu-shi,pm25,113,5.0,74.0,17.0,2195.38
2022-01-12,JP,Gifu-shi,precipitation,21,99.0,99.5,99.5,0.58
2022-01-12,JP,Gifu-shi,wind-speed,155,1.5,6.6,3.6,18.93
2022-01-13,JP,Gifu-shi,precipitation,21,0.3,99.0,99.0,22730.6
2022-01-13,JP,Gifu-shi,pm25,128,5.0,65.0,25.0,3207.01
2022-01-13,JP,Gifu-shi,wind-speed,168,0.5,9.7,4.1,82.53
2022-01-13,JP,Gifu-shi,humidity,168,44.1,96.0,73.1,2249.09
2022-01-13,JP,Gifu-shi,pm10,151,1.0,33.0,5.0,263.07
2022-01-14,JP,Gifu-shi,humidity,168,54.1,96.0,75.9,2197.16
2022-01-14,JP,Gifu-shi,pm10,142,1.0,23.0,3.0,177.41
2022-01-14,JP,Gifu-shi,pm25,94,5.0,169.0,17.0,5382.65
2022-01-14,JP,Gifu-shi,precipitation,28,0.5,99.0,0.6,25128.5
