Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,NL,Groningen,humidity,48,85.8,95.0,89.6,103.26
2022-01-01,NL,Groningen,pm10,44,3.0,90.0,31.0,5431.63
2022-01-01,NL,Groningen,pm25,48,14.0,171.0,54.0,11560.3
2022-01-01,NL,Groningen,wind-speed,46,0.3,2.8,1.0,4.97
2022-01-02,NL,Groningen,humidity,48,85.8,94.9,90.6,73.06
2022-01-02,NL,Groningen,pm10,48,6.0,25.0,14.0,240.69
2022-01-02,NL,Groningen,pm25,48,1.0,49.0,23.0,1142.77
2022-01-02,NL,Groningen,wind-speed,48,0.1,5.7,1.2,22.42
2022-01-03,NL,Groningen,wind-speed,48,0.5,3.7,2.7,8.05
2022-01-03,NL,Groningen,pm25,44,1.0,40.0,22.0,1050.63
2022-01-03,NL,Groningen,humidity,48,81.0,92.0,87.6,95.53
2022-01-03,NL,Groningen,pm10,48,5.0,41.0,24.0,738.14
2022-01-04,NL,Groningen,humidity,48,80.7,92.0,89.7,120.52
2022-01-04,NL,Groningen,pm10,42,7.0,31.0,17.0,554.05
2022-01-04,NL,Groningen,pm25,43,1.0,49.0,16.0,1421.47
2022-01-04,NL,Groningen,wind-speed,46,0.1,2.5,0.7,4.27
2022-01-05,NL,Groningen,wind-speed,48,1.0,7.5,3.5,24.59
2022-01-05,NL,Groningen,humidity,48,78.3,92.1,84.9,115.49
2022-01-05,NL,Groningen,pm10,48,7.0,30.0,16.0,448.44
2022-01-05,NL,Groningen,pm25,45,1.0,42.0,19.0,1056.74
2022-01-06,NL,Groningen,wind-speed,28,0.1,2.2,0.7,5.21
2022-01-06,NL,Groningen,pm25,48,5.0,54.0,27.0,1506.48
2022-01-06,NL,Groningen,humidity,48,68.3,90.8,84.5,395.92
2022-01-06,NL,Groningen,pm10,48,14.0,45.0,22.0,518.71
2022-01-07,NL,Groningen,humidity,48,81.3,91.0,88.1,100.26
2022-01-07,NL,Groningen,pm10,48,2.0,22.0,10.0,356.86
2022-01-07,NL,Groningen,pm25,47,2.0,54.0,27.0,2078.01
2022-01-07,NL,Groningen,wind-speed,48,0.1,3.0,1.0,8.41
2022-01-08,NL,Groningen,humidity,48,85.8,92.4,91.3,57.45
2022-01-08,NL,Groningen,pm10,42,1.0,23.0,9.0,354.75
2022-01-08,NL,Groningen,pm25,45,1.0,48.0,23.0,1807.27
2022-01-08,NL,Groningen,wind-speed,44,0.1,5.4,2.4,34.01
2022-01-09,NL,Groningen,pm10,46,7.0,24.0,14.0,221.72
2022-01-09,NL,Groningen,wind-speed,38,0.1,3.6,1.5,8.07
2022-01-09,NL,Groningen,humidity,48,82.4,95.0,89.7,116.8
2022-01-09,NL,Groningen,pm25,45,2.0,39.0,18.0,622.0
2022-01-10,NL,Groningen,humidity,48,74.9,95.8,92.4,432.24
2022-01-10,NL,Groningen,pm10,48,12.0,43.0,25.0,658.71
2022-01-10,NL,Groningen,pm25,48,3.0,82.0,57.0,4830.43
2022-01-10,NL,Groningen,wind-speed,6,0.2,0.3,0.3,0.03
2022-01-11,NL,Groningen,pm25,48,43.0,83.0,63.0,607.76
2022-01-11,NL,Groningen,humidity,48,80.7,96.0,93.0,315.74
2022-01-11,NL,Groningen,pm10,48,12.0,34.0,21.0,261.54
2022-01-11,NL,Groningen,wind-speed,32,0.1,2.0,0.4,2.77
2022-01-12,NL,Groningen,wind-speed,28,0.1,1.7,0.3,1.76
2022-01-12,NL,Groningen,pm25,48,8.0,80.0,44.0,3517.66
2022-01-12,NL,Groningen,humidity,48,93.4,96.5,94.6,8.58
2022-01-12,NL,Groningen,pm10,48,5.0,35.0,14.0,848.07
2022-01-13,NL,Groningen,humidity,48,88.0,96.0,93.1,69.82
