Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,HU,Győr,humidity,48,65.0,90.0,74.9,623.42
2022-01-01,HU,Győr,pm10,45,3.0,48.0,10.0,1590.18
2022-01-01,HU,Győr,pm25,48,9.0,114.0,30.0,7933.29
2022-01-01,HU,Győr,wind-speed,48,1.0,4.6,2.0,7.72
2022-01-02,HU,Győr,humidity,48,54.0,100.0,84.2,1989.83
2022-01-02,HU,Győr,pm10,48,2.0,35.0,10.0,581.63
2022-01-02,HU,Győr,pm25,45,5.0,82.0,30.0,4502.34
2022-01-02,HU,Győr,wind-speed,48,1.0,6.1,2.0,17.79
2022-01-03,HU,Győr,wind-speed,48,1.0,5.0,2.0,15.04
2022-01-03,HU,Győr,pm25,46,5.0,85.0,53.0,4904.14
2022-01-03,HU,Győr,humidity,48,50.9,84.0,65.1,1032.07
2022-01-03,HU,Győr,pm10,48,4.0,31.0,19.0,621.13
2022-01-04,HU,Győr,humidity,48,66.0,80.8,68.5,197.71
2022-01-04,HU,Győr,pm10,47,2.0,19.0,11.0,211.29
2022-01-04,HU,Győr,pm25,47,9.0,57.0,25.0,2016.39
2022-01-04,HU,Győr,wind-speed,48,2.0,10.2,6.6,91.43
2022-01-05,HU,Győr,wind-speed,48,1.0,8.2,3.0,42.58
2022-01-05,HU,Győr,pm25,45,5.0,46.0,21.0,687.04
2022-01-05,HU,Győr,precipitation,4,0.2,0.3,0.2,0.03
2022-01-05,HU,Győr,humidity,48,62.2,92.7,76.1,831.82
2022-01-05,HU,Győr,pm10,48,2.0,26.0,5.0,298.56
2022-01-06,HU,Győr,humidity,48,53.0,80.0,65.3,656.74
2022-01-06,HU,Győr,pm10,42,4.0,16.0,8.0,93.45
2022-01-06,HU,Győr,pm25,46,5.0,65.0,25.0,2269.96
2022-01-06,HU,Győr,precipitation,2,99.1,99.1,99.1,0.0
2022-01-06,HU,Győr,wind-speed,48,1.0,7.7,2.0,23.41
2022-01-07,HU,Győr,wind-speed,48,0.5,3.0,1.0,4.98
2022-01-07,HU,Győr,pm25,48,9.0,89.0,46.0,2834.78
2022-01-07,HU,Győr,humidity,48,48.1,93.4,77.3,1915.39
2022-01-07,HU,Győr,pm10,43,1.0,412.0,19.0,41284.4
2022-01-08,HU,Győr,humidity,48,66.1,93.3,82.2,611.8
2022-01-08,HU,Győr,pm10,48,11.0,51.0,26.0,578.56
2022-01-08,HU,Győr,pm25,48,25.0,122.0,65.0,2843.83
2022-01-08,HU,Győr,wind-speed,48,0.2,3.0,1.0,4.14
2022-01-09,HU,Győr,pm25,48,30.0,112.0,65.0,3383.72
2022-01-09,HU,Győr,humidity,48,58.3,95.0,76.5,965.76
2022-01-09,HU,Győr,pm10,48,10.0,51.0,25.0,1073.62
2022-01-09,HU,Győr,wind-speed,46,0.5,3.6,2.0,8.74
2022-01-10,HU,Győr,wind-speed,46,0.2,3.8,2.0,11.18
2022-01-10,HU,Győr,precipitation,4,0.1,0.1,0.1,0.0
2022-01-10,HU,Győr,humidity,48,70.9,100.0,92.0,970.92
2022-01-10,HU,Győr,pm10,47,27.0,50.0,36.0,478.46
2022-01-10,HU,Győr,pm25,47,5.0,104.0,89.0,2424.19
2022-01-11,HU,Győr,humidity,48,59.0,86.0,79.0,746.98
2022-01-11,HU,Győr,pm10,48,18.0,38.0,26.0,261.06
2022-01-11,HU,Győr,pm25,48,46.0,85.0,63.0,619.98
2022-01-11,HU,Győr,wind-speed,48,2.0,8.4,5.1,29.27
2022-01-12,HU,Győr,pm25,47,42.0,102.0,76.0,1208.98
2022-01-12,HU,Győr,wind-speed,48,1.0,6.9,3.0,16.69
2022-01-12,HU,Győr,humidity,48,63.9,92.0,82.0,1030.6
2022-01-12,HU,Győr,pm10,48,18.0,52.0,33.0,518.94
2022-01-13,HU,Győr,humidity,48,63.9,89.0,75.3,537.83
2022-01-13,HU,Győr,pm10,48,20.0,42.0,30.0,242.97
2022-01-13,HU,Győr,pm25,48,5.0,87.0,68.0,2456.44
2022-01-13,HU,Győr,wind-speed,48,1.0,5.9,2.0,12.22
2022-01-14,HU,Győr,humidity,48,49.0,86.2,65.0,1552.48
2022-01-14,HU,Győr,pm10,48,10.0,46.0,27.0,1076.86
2022-01-14,HU,Győr,pm25,47,17.0,109.0,72.0,5941.11
2022-01-14,HU,Győr,wind-speed,48,1.0,10.0,2.8,70.48
2022-01-15,HU,Győr,wind-speed,48,1.0,6.9,2.0,21.57
2022-01-15,HU,Győr,pm25,46,13.0,107.0,46.0,5789.31
2022-01-15,HU,Győr,humidity,48,54.1,96.0,80.0,1408.54
2022-01-15,HU,Győr,pm10,48,5.0,47.0,16.0,1482.66
2022-01-16,HU,Győr,humidity,48,56.9,100.0,74.0,2271.05
2022-01-16,HU,Győr,pm10,48,12.0,52.0,32.0,721.7
2022-01-16,HU,Győr,pm25,47,9.0,99.0,72.0,4514.01
2022-01-16,HU,Győr,wind-speed,48,0.2,4.6,2.0,13.9
2022-01-17,HU,Győr,humidity,48,58.5,89.5,66.9,712.6
2022-01-17,HU,Győr,pm10,48,3.0,32.0,14.0,440.95
