Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Hamilton,humidity,94,69.0,100.0,90.0,319.97
2022-01-01,CA,Hamilton,pm25,93,5.0,85.0,42.0,4313.18
2022-01-01,CA,Hamilton,wind-speed,56,0.2,6.1,2.5,32.08
2022-01-02,CA,Hamilton,humidity,96,66.5,93.0,81.0,498.18
2022-01-02,CA,Hamilton,pm25,57,5.0,21.0,13.0,192.88
2022-01-02,CA,Hamilton,wind-speed,72,0.2,5.6,2.0,15.99
2022-01-03,CA,Hamilton,humidity,96,61.7,86.0,76.0,355.74
2022-01-03,CA,Hamilton,pm25,86,5.0,57.0,21.0,1732.79
2022-01-03,CA,Hamilton,wind-speed,41,0.1,6.1,2.5,30.7
2022-01-04,CA,Hamilton,humidity,96,60.0,87.6,77.0,210.75
2022-01-04,CA,Hamilton,pm25,91,21.0,76.0,42.0,1043.4
2022-01-04,CA,Hamilton,wind-speed,74,0.2,8.0,4.0,49.67
2022-01-05,CA,Hamilton,humidity,96,69.0,90.0,75.6,327.79
2022-01-05,CA,Hamilton,pm25,82,9.0,65.0,38.0,2671.12
2022-01-05,CA,Hamilton,wind-speed,90,0.2,14.5,5.0,168.18
2022-01-06,CA,Hamilton,wind-speed,86,0.2,13.2,3.5,147.11
2022-01-06,CA,Hamilton,pm25,76,21.0,61.0,34.0,707.78
2022-01-06,CA,Hamilton,humidity,96,69.0,81.2,76.0,66.43
2022-01-07,CA,Hamilton,humidity,96,56.0,84.0,76.5,583.61
2022-01-07,CA,Hamilton,pm25,83,5.0,61.0,25.0,3011.46
2022-01-07,CA,Hamilton,wind-speed,68,0.1,6.0,2.2,28.64
2022-01-08,CA,Hamilton,humidity,96,50.0,87.8,75.0,757.67
2022-01-08,CA,Hamilton,pm25,89,13.0,50.0,25.0,732.51
2022-01-08,CA,Hamilton,wind-speed,43,0.1,8.0,1.5,43.36
2022-01-09,CA,Hamilton,wind-speed,96,0.7,15.0,6.2,87.01
2022-01-09,CA,Hamilton,pm25,87,5.0,57.0,25.0,1453.35
2022-01-09,CA,Hamilton,humidity,96,53.0,93.0,80.1,984.97
2022-01-10,CA,Hamilton,humidity,96,48.0,80.0,69.6,504.95
2022-01-10,CA,Hamilton,pm25,72,5.0,30.0,17.0,253.93
2022-01-10,CA,Hamilton,wind-speed,96,0.5,10.5,5.6,63.33
2022-01-11,CA,Hamilton,humidity,94,47.0,85.0,72.2,371.18
2022-01-11,CA,Hamilton,pm25,87,17.0,57.0,30.0,1131.54
2022-01-11,CA,Hamilton,wind-speed,64,0.1,9.0,2.0,60.09
2022-01-12,CA,Hamilton,wind-speed,78,0.2,9.0,4.6,66.87
2022-01-12,CA,Hamilton,humidity,96,58.0,87.5,74.0,541.14
2022-01-12,CA,Hamilton,pm25,82,21.0,82.0,50.0,1826.18
2022-01-13,CA,Hamilton,humidity,96,74.0,100.0,90.0,150.03
2022-01-13,CA,Hamilton,pm25,94,13.0,97.0,61.0,2149.67
2022-01-13,CA,Hamilton,wind-speed,28,0.5,3.6,1.0,9.16
2022-01-14,CA,Hamilton,humidity,90,54.5,86.3,71.0,691.9
2022-01-14,CA,Hamilton,pm25,76,9.0,30.0,17.0,424.12
2022-01-14,CA,Hamilton,wind-speed,63,0.1,8.7,3.0,39.16
2022-01-15,CA,Hamilton,humidity,94,50.0,79.0,66.0,546.41
2022-01-15,CA,Hamilton,pm25,68,17.0,53.0,30.0,743.38
2022-01-15,CA,Hamilton,wind-speed,67,0.1,9.7,4.5,60.8
2022-01-16,CA,Hamilton,humidity,94,57.5,88.2,77.2,639.01
2022-01-16,CA,Hamilton,pm25,79,21.0,65.0,38.0,1073.51
2022-01-16,CA,Hamilton,wind-speed,46,0.2,5.0,1.5,24.61
2022-01-17,CA,Hamilton,wind-speed,78,0.2,11.8,3.7,62.83
2022-01-17,CA,Hamilton,pm25,84,13.0,53.0,25.0,1081.39
2022-01-17,CA,Hamilton,humidity,96,54.0,100.0,88.5,922.04
2022-01-18,CA,Hamilton,humidity,96,53.0,86.9,72.2,738.25
2022-01-18,CA,Hamilton,pm25,83,9.0,57.0,17.0,1576.91
2022-01-18,CA,Hamilton,wind-speed,59,0.1,5.6,2.0,20.87
2022-01-19,CA,Hamilton,humidity,94,52.0,82.7,73.0,457.08
2022-01-19,CA,Hamilton,pm25,81,5.0,61.0,38.0,1722.92
2022-01-19,CA,Hamilton,wind-speed,94,0.7,12.6,5.5,69.79
2022-01-20,CA,Hamilton,humidity,96,54.1,78.7,71.0,365.32
2022-01-20,CA,Hamilton,pm25,70,9.0,34.0,17.0,388.41
2022-01-20,CA,Hamilton,wind-speed,76,0.2,6.6,1.5,32.69
2022-01-21,CA,Hamilton,humidity,96,70.5,85.0,78.0,107.88
2022-01-21,CA,Hamilton,pm25,58,13.0,65.0,30.0,1302.7
2022-01-21,CA,Hamilton,wind-speed,36,0.2,5.1,1.5,17.78
2022-01-22,CA,Hamilton,pm25,95,21.0,68.0,42.0,1571.68
2022-01-22,CA,Hamilton,wind-speed,71,0.2,8.5,4.1,56.31
2022-01-22,CA,Hamilton,humidity,96,63.0,92.0,81.3,459.85
2022-01-23,CA,Hamilton,wind-speed,65,0.5,6.6,2.5,25.73
2022-01-23,CA,Hamilton,pm25,88,5.0,55.0,21.0,1855.15
2022-01-23,CA,Hamilton,humidity,96,57.0,86.5,75.0,448.57
2022-01-24,CA,Hamilton,humidity,92,66.0,92.0,81.6,349.26
2022-01-24,CA,Hamilton,pm25,85,9.0,70.0,25.0,2697.81
2022-01-24,CA,Hamilton,wind-speed,45,0.1,4.6,1.5,13.99
2022-01-25,CA,Hamilton,humidity,94,58.0,88.3,72.2,584.3
2022-01-25,CA,Hamilton,pm25,88,5.0,68.0,25.0,3292.86
2022-01-25,CA,Hamilton,wind-speed,63,0.1,5.5,2.0,22.22
2022-01-26,CA,Hamilton,humidity,94,52.0,84.0,74.7,463.26
2022-01-26,CA,Hamilton,pm25,81,13.0,61.0,30.0,973.69
2022-01-26,CA,Hamilton,wind-speed,55,0.1,5.6,1.7,15.77
2022-01-27,CA,Hamilton,humidity,96,62.0,86.6,77.5,221.56
2022-01-27,CA,Hamilton,pm25,87,17.0,63.0,42.0,1219.11
2022-01-27,CA,Hamilton,wind-speed,92,0.2,9.3,4.6,52.58
2022-01-28,CA,Hamilton,pm25,76,13.0,65.0,30.0,1822.51
2022-01-28,CA,Hamilton,wind-speed,75,0.1,7.0,2.2,37.85
2022-01-28,CA,Hamilton,humidity,96,45.4,84.3,66.7,911.26
2022-01-29,CA,Hamilton,humidity,96,34.0,74.6,64.0,1245.92
2022-01-29,CA,Hamilton,pm25,85,9.0,55.0,25.0,1359.4
2022-01-29,CA,Hamilton,wind-speed,58,0.1,7.7,1.0,35.21
2022-01-30,CA,Hamilton,humidity,94,53.7,81.7,73.2,516.49
2022-01-30,CA,Hamilton,pm25,93,17.0,82.0,42.0,2819.48
