Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Hartford,humidity,48,87.0,100.0,93.0,91.69
2022-01-01,US,Hartford,pm10,47,6.0,34.0,14.0,524.09
2022-01-01,US,Hartford,pm25,48,13.0,75.0,41.0,3223.9
2022-01-01,US,Hartford,wind-speed,30,0.1,2.3,0.7,4.61
2022-01-02,US,Hartford,humidity,48,60.0,96.5,81.0,1490.08
2022-01-02,US,Hartford,pm10,43,2.0,52.0,8.0,636.77
2022-01-02,US,Hartford,pm25,48,5.0,108.0,20.0,3232.12
2022-01-02,US,Hartford,wind-speed,46,0.2,6.6,3.0,36.42
2022-01-03,US,Hartford,wind-speed,48,3.0,7.2,5.1,13.14
2022-01-03,US,Hartford,pm25,46,11.0,28.0,16.0,74.4
2022-01-03,US,Hartford,humidity,48,38.0,64.0,50.0,812.32
2022-01-03,US,Hartford,pm10,48,3.0,13.0,7.0,59.08
2022-01-04,US,Hartford,humidity,48,36.0,68.0,48.0,1147.64
2022-01-04,US,Hartford,pm10,47,4.0,20.0,10.0,153.62
2022-01-04,US,Hartford,pm25,47,13.0,49.0,21.0,839.45
2022-01-04,US,Hartford,wind-speed,48,1.5,4.6,2.0,6.98
2022-01-05,US,Hartford,wind-speed,32,0.5,3.3,2.0,7.4
2022-01-05,US,Hartford,humidity,48,73.0,96.5,87.0,393.09
2022-01-05,US,Hartford,pm10,48,10.0,37.0,16.0,375.25
2022-01-05,US,Hartford,pm25,48,35.0,67.0,48.0,910.53
2022-01-06,US,Hartford,wind-speed,40,0.3,5.1,2.0,14.7
2022-01-06,US,Hartford,pm25,48,28.0,61.0,44.0,519.72
2022-01-06,US,Hartford,humidity,48,43.0,92.2,59.0,2279.61
2022-01-06,US,Hartford,pm10,48,9.0,26.0,16.0,103.24
2022-01-07,US,Hartford,humidity,48,45.0,92.0,59.0,3254.89
2022-01-07,US,Hartford,pm10,46,8.0,24.0,10.0,108.1
2022-01-07,US,Hartford,pm25,48,16.0,65.0,27.0,1137.19
2022-01-07,US,Hartford,wind-speed,48,1.5,7.7,4.6,23.89
2022-01-08,US,Hartford,humidity,48,28.0,72.0,49.0,1898.65
2022-01-08,US,Hartford,pm10,47,5.0,49.0,10.0,1720.56
2022-01-08,US,Hartford,pm25,48,13.0,67.0,16.0,2937.43
2022-01-08,US,Hartford,wind-speed,38,1.5,6.1,3.0,18.68
2022-01-09,US,Hartford,pm10,48,10.0,49.0,19.0,914.68
2022-01-09,US,Hartford,wind-speed,48,1.5,6.6,4.1,18.18
2022-01-09,US,Hartford,humidity,48,55.0,86.0,64.0,1103.39
2022-01-09,US,Hartford,pm25,48,27.0,72.0,49.0,1759.36
2022-01-10,US,Hartford,humidity,48,31.0,62.0,42.0,582.11
2022-01-10,US,Hartford,pm10,48,5.0,20.0,9.0,101.26
2022-01-10,US,Hartford,pm25,48,10.0,59.0,15.0,1344.52
2022-01-10,US,Hartford,wind-speed,42,1.5,7.7,5.1,24.12
2022-01-11,US,Hartford,pm25,48,13.0,45.0,21.0,535.42
2022-01-11,US,Hartford,humidity,48,28.0,66.0,40.0,1132.48
2022-01-11,US,Hartford,pm10,48,6.0,19.0,11.0,98.58
2022-01-11,US,Hartford,wind-speed,42,1.5,8.2,5.1,39.08
2022-01-12,US,Hartford,wind-speed,44,1.5,6.1,2.0,22.06
2022-01-12,US,Hartford,pm25,48,35.0,61.0,52.0,395.21
2022-01-12,US,Hartford,humidity,48,37.0,78.0,54.0,1462.54
2022-01-12,US,Hartford,pm10,48,18.0,32.0,22.0,154.54
2022-01-13,US,Hartford,humidity,48,45.0,86.0,74.0,1487.87
2022-01-13,US,Hartford,pm10,48,22.0,51.0,32.0,529.34
2022-01-13,US,Hartford,pm25,48,59.0,85.0,72.0,589.68
2022-01-13,US,Hartford,wind-speed,4,1.5,1.5,1.5,0.0
2022-01-14,US,Hartford,wind-speed,48,1.8,9.7,6.6,62.53
2022-01-14,US,Hartford,humidity,48,29.0,74.0,60.0,1810.44
2022-01-14,US,Hartford,pm10,48,8.0,33.0,20.0,572.55
2022-01-14,US,Hartford,pm25,48,14.0,79.0,58.0,3550.85
2022-01-15,US,Hartford,wind-speed,48,3.0,7.7,5.6,18.9
2022-01-15,US,Hartford,pm25,48,15.0,33.0,20.0,172.65
2022-01-15,US,Hartford,humidity,48,26.0,42.0,33.0,231.33
2022-01-15,US,Hartford,pm10,46,8.0,11.0,9.0,8.16
2022-01-16,US,Hartford,pm25,48,33.0,57.0,39.0,441.77
2022-01-16,US,Hartford,humidity,48,34.0,86.0,50.0,1550.83
2022-01-16,US,Hartford,pm10,46,12.0,21.0,14.0,65.61
2022-01-16,US,Hartford,wind-speed,42,1.5,4.8,2.5,6.59
2022-01-17,US,Hartford,wind-speed,48,2.3,8.7,4.6,22.78
2022-01-17,US,Hartford,pm25,48,3.0,62.0,25.0,2968.72
2022-01-17,US,Hartford,pm10,48,1.0,31.0,11.0,483.05
2022-01-17,US,Hartford,humidity,48,55.0,90.0,80.0,888.47
2022-01-18,US,Hartford,humidity,48,35.0,64.0,43.0,676.31
2022-01-18,US,Hartford,pm10,47,2.0,14.0,8.0,80.8
2022-01-18,US,Hartford,pm25,48,5.0,20.0,13.0,151.47
2022-01-18,US,Hartford,wind-speed,46,1.5,9.2,6.1,42.95
2022-01-19,US,Hartford,pm25,48,16.0,52.0,39.0,1152.44
2022-01-19,US,Hartford,wind-speed,42,1.5,7.7,3.0,33.85
2022-01-19,US,Hartford,humidity,48,48.0,72.0,63.0,517.38
2022-01-19,US,Hartford,pm10,48,7.0,36.0,20.0,812.48
2022-01-20,US,Hartford,humidity,48,37.0,86.0,51.0,2890.31
2022-01-20,US,Hartford,pm10,48,6.0,36.0,12.0,456.15
2022-01-20,US,Hartford,pm25,48,13.0,59.0,25.0,2134.22
2022-01-20,US,Hartford,wind-speed,46,0.6,6.6,4.2,24.08
2022-01-21,US,Hartford,wind-speed,48,2.0,7.7,4.6,21.67
2022-01-21,US,Hartford,humidity,48,29.0,56.0,44.0,541.28
2022-01-21,US,Hartford,pm10,48,8.0,20.0,12.0,94.25
2022-01-21,US,Hartford,pm25,47,18.0,47.0,23.0,541.88
2022-01-22,US,Hartford,pm25,48,25.0,71.0,31.0,1761.21
