Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,FI,Helsinki,humidity,118,67.6,98.2,95.0,725.32
2022-01-01,FI,Helsinki,pm10,104,2.0,64.0,4.0,1144.31
2022-01-01,FI,Helsinki,pm25,102,6.0,159.0,13.0,8358.6
2022-01-01,FI,Helsinki,wind-speed,96,2.5,9.8,8.0,43.81
2022-01-02,FI,Helsinki,humidity,120,71.3,99.0,97.0,600.58
2022-01-02,FI,Helsinki,pm10,119,1.0,11.0,4.0,24.18
2022-01-02,FI,Helsinki,pm25,112,3.0,24.0,10.0,157.61
2022-01-02,FI,Helsinki,wind-speed,92,0.1,9.7,6.5,86.16
2022-01-03,FI,Helsinki,wind-speed,101,0.1,8.2,6.8,24.62
2022-01-03,FI,Helsinki,pm25,120,4.0,33.0,13.0,187.5
2022-01-03,FI,Helsinki,humidity,91,16.5,99.0,99.0,3210.91
2022-01-03,FI,Helsinki,pm10,119,1.0,37.0,4.0,221.79
2022-01-04,FI,Helsinki,humidity,44,49.5,99.0,89.5,1691.2
2022-01-04,FI,Helsinki,pm10,120,2.0,59.0,5.0,422.18
2022-01-04,FI,Helsinki,pm25,119,6.0,42.0,15.0,311.74
2022-01-04,FI,Helsinki,wind-speed,103,0.1,11.3,4.5,99.08
2022-01-05,FI,Helsinki,wind-speed,32,0.1,1.2,0.5,1.59
2022-01-05,FI,Helsinki,humidity,36,49.5,99.0,91.6,2454.76
2022-01-05,FI,Helsinki,pm10,120,3.0,387.0,6.0,15010.8
2022-01-05,FI,Helsinki,pm25,119,5.0,152.0,15.0,3571.18
2022-01-06,FI,Helsinki,wind-speed,85,0.1,10.0,8.2,80.29
2022-01-06,FI,Helsinki,pm25,120,7.0,25.0,12.0,171.83
2022-01-06,FI,Helsinki,humidity,120,72.3,99.0,96.6,606.92
2022-01-06,FI,Helsinki,pm10,120,2.0,9.0,4.0,14.21
2022-01-07,FI,Helsinki,humidity,120,74.0,96.4,95.4,655.3
2022-01-07,FI,Helsinki,pm10,120,2.0,25.0,4.0,83.9
2022-01-07,FI,Helsinki,pm25,120,5.0,29.0,13.0,327.84
2022-01-07,FI,Helsinki,wind-speed,99,0.1,10.6,7.6,32.93
2022-01-08,FI,Helsinki,humidity,120,71.0,99.0,97.0,783.73
2022-01-08,FI,Helsinki,pm10,120,2.0,18.0,5.0,111.39
2022-01-08,FI,Helsinki,pm25,120,5.0,58.0,18.0,1428.36
2022-01-08,FI,Helsinki,wind-speed,96,0.4,11.0,5.6,86.01
2022-01-09,FI,Helsinki,pm10,120,9.0,22.0,15.0,69.56
2022-01-09,FI,Helsinki,wind-speed,96,1.6,7.7,5.4,25.65
2022-01-09,FI,Helsinki,humidity,120,81.2,99.0,99.0,261.04
2022-01-09,FI,Helsinki,pm25,120,38.0,66.0,55.0,279.15
2022-01-10,FI,Helsinki,humidity,120,72.0,99.0,96.5,646.51
2022-01-10,FI,Helsinki,pm10,118,5.0,26.0,9.0,158.93
2022-01-10,FI,Helsinki,pm25,118,15.0,52.0,30.0,588.84
2022-01-10,FI,Helsinki,wind-speed,96,4.8,9.3,5.8,15.04
2022-01-11,FI,Helsinki,pm25,120,12.0,75.0,30.0,2644.84
2022-01-11,FI,Helsinki,humidity,120,72.0,99.0,97.0,816.07
2022-01-11,FI,Helsinki,pm10,120,3.0,62.0,10.0,849.56
2022-01-11,FI,Helsinki,wind-speed,76,0.6,6.2,3.1,23.6
2022-01-12,FI,Helsinki,wind-speed,96,3.5,9.8,6.3,24.86
