Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,AU,Hobart,humidity,72,61.3,89.7,82.1,782.2
2022-01-01,AU,Hobart,pm10,72,4.0,16.0,9.0,52.53
2022-01-01,AU,Hobart,pm25,57,5.0,30.0,13.0,296.22
2022-01-01,AU,Hobart,wind-speed,51,0.1,6.1,1.5,24.93
2022-01-02,AU,Hobart,humidity,72,72.1,93.3,84.9,347.39
2022-01-02,AU,Hobart,pm10,72,2.0,21.0,7.0,190.77
2022-01-02,AU,Hobart,pm25,59,5.0,21.0,9.0,250.33
2022-01-02,AU,Hobart,wind-speed,60,0.1,7.7,1.0,40.99
2022-01-03,AU,Hobart,precipitation,2,0.2,99.8,0.2,49600.8
2022-01-03,AU,Hobart,pm25,36,5.0,13.0,9.0,69.59
2022-01-03,AU,Hobart,wind-speed,66,0.1,6.6,0.8,32.6
2022-01-03,AU,Hobart,humidity,72,60.2,91.6,74.6,851.5
2022-01-03,AU,Hobart,pm10,70,3.0,16.0,7.0,54.98
2022-01-04,AU,Hobart,humidity,72,66.1,93.5,80.6,737.04
2022-01-04,AU,Hobart,pm10,71,1.0,18.0,7.0,172.51
2022-01-04,AU,Hobart,pm25,38,5.0,13.0,9.0,75.11
2022-01-04,AU,Hobart,precipitation,2,99.2,99.4,99.2,0.2
2022-01-04,AU,Hobart,wind-speed,56,0.1,6.1,1.0,23.12
2022-01-05,AU,Hobart,humidity,70,56.9,94.9,78.1,1501.01
2022-01-05,AU,Hobart,pm10,70,2.0,20.0,5.0,102.15
2022-01-05,AU,Hobart,pm25,32,5.0,13.0,5.0,71.61
2022-01-05,AU,Hobart,precipitation,3,0.1,99.4,0.2,32835.2
2022-01-05,AU,Hobart,wind-speed,57,0.1,6.6,1.3,32.02
2022-01-06,AU,Hobart,wind-speed,62,0.1,4.6,0.3,15.1
2022-01-06,AU,Hobart,precipitation,3,0.1,99.4,0.5,32736.4
2022-01-06,AU,Hobart,humidity,72,70.9,96.0,82.7,609.91
2022-01-06,AU,Hobart,pm10,72,2.0,17.0,4.0,75.86
2022-01-06,AU,Hobart,pm25,36,5.0,13.0,5.0,91.43
2022-01-07,AU,Hobart,humidity,72,69.9,98.7,96.2,636.13
2022-01-07,AU,Hobart,pm10,66,1.0,8.0,3.0,26.31
2022-01-07,AU,Hobart,pm25,36,5.0,17.0,5.0,84.83
2022-01-07,AU,Hobart,precipitation,4,0.3,1.9,0.4,5.82
2022-01-07,AU,Hobart,wind-speed,46,0.1,5.1,1.5,16.95
2022-01-08,AU,Hobart,wind-speed,66,0.2,9.2,2.0,46.11
2022-01-08,AU,Hobart,pm25,35,5.0,13.0,9.0,107.03
2022-01-08,AU,Hobart,precipitation,3,1.0,99.2,2.6,31628.9
2022-01-08,AU,Hobart,humidity,72,70.0,98.1,83.5,809.05
