Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Honolulu,humidity,72,81.7,96.8,88.0,209.63
2022-01-01,US,Honolulu,pm10,46,2.0,99.0,9.0,2459.48
2022-01-01,US,Honolulu,pm25,56,5.0,193.0,13.0,11089.7
2022-01-01,US,Honolulu,wind-speed,56,0.3,6.1,2.0,25.76
2022-01-02,US,Honolulu,humidity,72,78.0,97.8,88.0,256.39
2022-01-02,US,Honolulu,pm10,36,1.0,16.0,7.0,114.56
2022-01-02,US,Honolulu,pm25,55,5.0,68.0,13.0,1770.69
2022-01-02,US,Honolulu,wind-speed,46,0.2,6.9,0.9,14.6
2022-01-03,US,Honolulu,wind-speed,42,0.4,3.7,1.5,8.08
2022-01-03,US,Honolulu,pm25,57,5.0,70.0,21.0,1993.1
2022-01-03,US,Honolulu,humidity,72,73.0,94.0,88.0,365.28
2022-01-03,US,Honolulu,pm10,23,6.0,16.0,10.0,88.46
2022-01-04,US,Honolulu,humidity,70,64.0,93.0,85.5,506.02
2022-01-04,US,Honolulu,pm10,24,4.0,16.0,9.0,75.36
2022-01-04,US,Honolulu,pm25,48,5.0,42.0,13.0,992.55
2022-01-04,US,Honolulu,wind-speed,48,0.4,8.7,1.5,23.57
2022-01-05,US,Honolulu,humidity,72,66.8,94.5,82.0,529.91
2022-01-05,US,Honolulu,pm10,22,1.0,16.0,8.0,209.03
2022-01-05,US,Honolulu,pm25,49,5.0,63.0,17.0,1403.98
2022-01-05,US,Honolulu,wind-speed,56,0.4,4.6,1.2,11.65
2022-01-06,US,Honolulu,wind-speed,45,0.5,2.5,1.1,2.58
2022-01-06,US,Honolulu,pm25,44,5.0,55.0,17.0,1284.8
2022-01-06,US,Honolulu,humidity,72,65.0,94.1,78.0,822.03
2022-01-06,US,Honolulu,pm10,22,1.0,19.0,6.0,244.09
2022-01-07,US,Honolulu,humidity,71,56.0,93.7,77.3,1260.18
2022-01-07,US,Honolulu,pm10,33,1.0,28.0,9.0,397.29
2022-01-07,US,Honolulu,pm25,38,5.0,42.0,13.0,969.42
2022-01-07,US,Honolulu,wind-speed,41,0.4,4.1,1.3,9.4
2022-01-08,US,Honolulu,wind-speed,53,0.4,5.1,1.5,13.23
2022-01-08,US,Honolulu,humidity,72,61.0,90.1,78.0,864.41
2022-01-08,US,Honolulu,pm10,47,1.0,21.0,10.0,231.3
2022-01-08,US,Honolulu,pm25,42,5.0,46.0,17.0,877.59
2022-01-09,US,Honolulu,wind-speed,50,0.2,4.1,1.5,7.01
