Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Jacksonville,humidity,144,54.0,100.0,83.7,1812.68
2022-01-01,US,Jacksonville,pm10,120,7.0,57.0,13.0,609.03
2022-01-01,US,Jacksonville,pm25,144,15.0,152.0,35.0,6327.54
2022-01-01,US,Jacksonville,wind-speed,83,0.1,5.3,1.2,18.7
2022-01-02,US,Jacksonville,humidity,144,48.0,100.0,80.5,1711.4
2022-01-02,US,Jacksonville,pm10,120,10.0,22.0,15.0,58.07
2022-01-02,US,Jacksonville,pm25,144,22.0,49.0,32.0,342.31
2022-01-02,US,Jacksonville,wind-speed,111,0.1,8.2,2.0,30.55
2022-01-03,US,Jacksonville,wind-speed,109,0.1,16.0,3.1,66.25
2022-01-03,US,Jacksonville,pm25,143,1.0,96.0,24.0,3051.36
2022-01-03,US,Jacksonville,humidity,144,48.5,94.0,70.0,915.55
2022-01-03,US,Jacksonville,pm10,120,2.0,22.0,9.0,214.82
2022-01-04,US,Jacksonville,humidity,144,58.2,100.0,83.3,909.45
2022-01-04,US,Jacksonville,pm10,120,5.0,47.0,16.0,1069.52
2022-01-04,US,Jacksonville,pm25,141,12.0,61.0,28.0,947.65
2022-01-04,US,Jacksonville,wind-speed,94,0.1,10.8,2.2,56.94
2022-01-05,US,Jacksonville,wind-speed,71,0.1,4.6,1.5,12.72
2022-01-05,US,Jacksonville,humidity,144,67.2,100.0,86.6,534.83
2022-01-05,US,Jacksonville,pm10,114,3.0,35.0,10.0,436.55
2022-01-05,US,Jacksonville,pm25,142,9.0,78.0,25.0,1332.53
2022-01-06,US,Jacksonville,wind-speed,69,0.1,5.6,1.1,22.25
2022-01-06,US,Jacksonville,pm25,142,19.0,80.0,44.0,1474.16
2022-01-06,US,Jacksonville,humidity,144,45.0,100.0,76.0,2570.66
2022-01-06,US,Jacksonville,pm10,120,8.0,38.0,18.0,416.47
2022-01-07,US,Jacksonville,humidity,144,32.5,91.0,70.1,3117.15
2022-01-07,US,Jacksonville,pm10,120,4.0,52.0,15.0,628.57
2022-01-07,US,Jacksonville,pm25,143,1.0,74.0,36.0,2221.81
2022-01-07,US,Jacksonville,wind-speed,94,0.1,9.7,1.3,25.99
2022-01-08,US,Jacksonville,humidity,144,51.6,94.5,80.5,1184.86
2022-01-08,US,Jacksonville,pm10,120,6.0,43.0,16.0,763.22
2022-01-08,US,Jacksonville,pm25,144,9.0,60.0,34.0,1786.0
2022-01-08,US,Jacksonville,wind-speed,73,0.1,6.0,1.6,23.41
2022-01-09,US,Jacksonville,pm10,120,6.0,32.0,18.0,325.7
2022-01-09,US,Jacksonville,wind-speed,66,0.1,8.1,1.3,39.09
2022-01-09,US,Jacksonville,humidity,143,52.5,100.0,84.9,1912.32
2022-01-09,US,Jacksonville,pm25,144,4.0,104.0,32.0,1632.88
2022-01-10,US,Jacksonville,humidity,141,66.4,96.4,85.0,560.0
2022-01-10,US,Jacksonville,pm10,111,4.0,21.0,10.0,142.54
2022-01-10,US,Jacksonville,pm25,139,2.0,44.0,23.0,568.62
2022-01-10,US,Jacksonville,wind-speed,84,0.1,8.8,1.4,37.65
2022-01-11,US,Jacksonville,pm25,139,4.0,35.0,22.0,255.6
2022-01-11,US,Jacksonville,humidity,137,46.3,90.5,73.9,921.78
2022-01-11,US,Jacksonville,pm10,120,3.0,76.0,17.0,940.2
2022-01-11,US,Jacksonville,wind-speed,95,0.1,9.1,2.0,48.46
2022-01-12,US,Jacksonville,wind-speed,76,0.1,7.0,1.2,30.86
2022-01-12,US,Jacksonville,pm25,136,2.0,49.0,22.0,507.53
2022-01-12,US,Jacksonville,humidity,134,46.1,93.8,81.5,1202.43
2022-01-12,US,Jacksonville,pm10,119,9.0,31.0,15.0,252.61
2022-01-13,US,Jacksonville,humidity,137,50.2,96.0,78.0,1388.72
2022-01-13,US,Jacksonville,pm10,119,8.0,43.0,18.0,950.42
2022-01-13,US,Jacksonville,pm25,140,9.0,105.0,30.0,4902.1
2022-01-13,US,Jacksonville,wind-speed,61,0.1,4.7,1.2,10.56
2022-01-14,US,Jacksonville,wind-speed,74,0.1,5.0,1.5,15.14
2022-01-14,US,Jacksonville,humidity,140,34.8,93.7,70.4,2354.07
2022-01-14,US,Jacksonville,pm10,116,9.0,62.0,19.0,1478.61
2022-01-14,US,Jacksonville,pm25,144,15.0,148.0,47.0,4346.92
2022-01-15,US,Jacksonville,wind-speed,53,0.1,4.9,0.8,10.76
2022-01-15,US,Jacksonville,pm25,144,6.0,114.0,55.0,5583.36
2022-01-15,US,Jacksonville,humidity,141,34.0,96.0,74.5,3892.6
2022-01-15,US,Jacksonville,pm10,120,3.0,51.0,19.0,1510.04
2022-01-16,US,Jacksonville,pm25,144,9.0,48.0,31.0,658.44
2022-01-16,US,Jacksonville,humidity,142,51.6,100.0,72.6,1475.55
2022-01-16,US,Jacksonville,pm10,120,8.0,28.0,14.0,252.77
2022-01-16,US,Jacksonville,wind-speed,113,0.3,12.9,3.7,89.28
2022-01-17,US,Jacksonville,wind-speed,112,0.1,11.4,3.3,63.26
2022-01-17,US,Jacksonville,pm25,144,6.0,55.0,20.0,780.07
2022-01-17,US,Jacksonville,pm10,120,4.0,20.0,9.0,121.0
2022-01-17,US,Jacksonville,humidity,144,37.0,81.3,68.0,1462.56
2022-01-18,US,Jacksonville,humidity,144,37.1,94.3,76.9,2708.44
2022-01-18,US,Jacksonville,pm10,117,7.0,40.0,11.0,757.67
2022-01-18,US,Jacksonville,pm25,141,19.0,101.0,33.0,2126.98
2022-01-18,US,Jacksonville,wind-speed,70,0.1,5.3,1.0,11.19
2022-01-19,US,Jacksonville,pm25,139,4.0,147.0,38.0,7813.09
2022-01-19,US,Jacksonville,wind-speed,48,0.1,2.9,1.0,6.6
2022-01-19,US,Jacksonville,humidity,144,41.6,96.0,83.1,2495.97
2022-01-19,US,Jacksonville,pm10,119,6.0,121.0,22.0,4487.22
2022-01-20,US,Jacksonville,humidity,144,48.8,96.0,79.0,2374.85
2022-01-20,US,Jacksonville,pm10,120,8.0,55.0,20.0,1260.5
2022-01-20,US,Jacksonville,pm25,143,9.0,83.0,43.0,2721.82
2022-01-20,US,Jacksonville,wind-speed,59,0.1,6.1,2.2,23.39
2022-01-21,US,Jacksonville,wind-speed,98,0.1,10.4,2.0,65.82
2022-01-21,US,Jacksonville,humidity,142,80.0,95.0,91.4,119.47
2022-01-21,US,Jacksonville,pm10,120,5.0,34.0,15.0,484.47
2022-01-21,US,Jacksonville,pm25,144,7.0,65.0,39.0,2446.67
2022-01-22,US,Jacksonville,pm25,144,3.0,55.0,30.0,1128.94
