Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,ID,Jakarta,humidity,57,48.1,94.0,68.9,1389.59
2022-01-01,ID,Jakarta,pm10,69,10.0,57.0,18.0,1354.18
2022-01-01,ID,Jakarta,pm25,47,17.0,158.0,46.0,9956.87
2022-01-01,ID,Jakarta,wind-speed,55,1.2,6.8,3.6,22.25
2022-01-02,ID,Jakarta,humidity,58,48.7,94.0,74.0,1929.1
2022-01-02,ID,Jakarta,pm10,69,10.0,35.0,21.0,368.48
2022-01-02,ID,Jakarta,pm25,48,13.0,82.0,53.0,2578.14
2022-01-02,ID,Jakarta,wind-speed,56,0.5,6.3,2.5,17.01
2022-01-03,ID,Jakarta,wind-speed,51,0.7,5.3,3.3,16.43
2022-01-03,ID,Jakarta,pm25,48,46.0,155.0,72.0,6907.19
2022-01-03,ID,Jakarta,humidity,57,30.2,94.0,66.1,4287.04
2022-01-03,ID,Jakarta,pm10,69,15.0,54.0,32.0,1233.38
2022-01-04,ID,Jakarta,wind-speed,54,0.2,6.1,1.5,20.8
2022-01-04,ID,Jakarta,humidity,60,38.9,88.0,70.0,1623.98
2022-01-04,ID,Jakarta,pm10,24,35.0,53.0,37.0,303.75
2022-01-04,ID,Jakarta,pm25,48,53.0,171.0,95.0,7884.53
2022-01-05,ID,Jakarta,wind-speed,49,0.1,3.6,1.5,9.09
2022-01-05,ID,Jakarta,pm25,43,78.0,218.0,154.0,9636.81
2022-01-05,ID,Jakarta,humidity,62,57.0,94.0,76.2,2408.45
2022-01-05,ID,Jakarta,pm10,69,22.0,126.0,61.0,7234.99
2022-01-06,ID,Jakarta,humidity,60,60.5,100.0,86.0,2134.85
2022-01-06,ID,Jakarta,pm10,69,20.0,71.0,58.0,1812.05
2022-01-06,ID,Jakarta,pm25,37,61.0,160.0,122.0,7152.66
2022-01-06,ID,Jakarta,wind-speed,49,0.2,4.6,1.5,12.41
2022-01-07,ID,Jakarta,wind-speed,52,0.1,6.6,2.3,28.9
2022-01-07,ID,Jakarta,pm25,48,17.0,151.0,72.0,8462.48
2022-01-07,ID,Jakarta,humidity,60,46.0,100.0,83.0,3428.19
2022-01-07,ID,Jakarta,pm10,66,20.0,69.0,30.0,2082.9
2022-01-08,ID,Jakarta,humidity,56,53.5,100.0,76.0,2708.31
2022-01-08,ID,Jakarta,pm10,63,5.0,789.0,43.0,263554.0
2022-01-08,ID,Jakarta,pm25,48,34.0,157.0,93.0,13396.1
2022-01-08,ID,Jakarta,wind-speed,45,0.2,4.6,2.5,18.66
2022-01-09,ID,Jakarta,pm25,48,34.0,157.0,74.0,4707.34
2022-01-09,ID,Jakarta,humidity,51,60.5,94.0,74.0,1016.42
2022-01-09,ID,Jakarta,pm10,66,20.0,643.0,99.0,392129.0
2022-01-09,ID,Jakarta,wind-speed,51,0.7,4.1,2.5,9.84
2022-01-10,ID,Jakarta,wind-speed,45,1.5,4.3,2.0,7.68
2022-01-10,ID,Jakarta,pm25,48,17.0,104.0,68.0,3977.97
2022-01-10,ID,Jakarta,humidity,60,66.0,100.0,83.0,1635.61
2022-01-10,ID,Jakarta,pm10,69,14.0,44.0,24.0,742.48
2022-01-11,ID,Jakarta,humidity,63,66.0,100.0,97.0,1439.03
2022-01-11,ID,Jakarta,pm10,69,1.0,51.0,19.0,1937.61
2022-01-11,ID,Jakarta,pm25,46,13.0,95.0,61.0,4414.94
2022-01-11,ID,Jakarta,wind-speed,51,0.7,5.1,2.3,10.71
2022-01-12,ID,Jakarta,pm25,48,21.0,119.0,61.0,3715.95
2022-01-12,ID,Jakarta,wind-speed,51,0.7,3.8,2.5,4.88
2022-01-12,ID,Jakarta,humidity,60,70.0,100.0,85.5,1423.7
2022-01-12,ID,Jakarta,pm10,51,3.0,50.0,30.0,2013.67
2022-01-13,ID,Jakarta,humidity,54,64.0,100.0,76.0,1632.45
2022-01-13,ID,Jakarta,pm25,48,42.0,104.0,68.0,2289.29
2022-01-13,ID,Jakarta,wind-speed,51,0.7,5.1,2.5,10.75
2022-01-14,ID,Jakarta,humidity,60,74.0,100.0,83.0,797.87
2022-01-14,ID,Jakarta,pm25,48,34.0,134.0,72.0,4111.63
2022-01-14,ID,Jakarta,wind-speed,45,0.7,5.1,2.8,12.56
2022-01-15,ID,Jakarta,wind-speed,52,0.1,4.1,1.8,11.18
2022-01-15,ID,Jakarta,pm10,42,15.0,55.0,31.0,1913.57
2022-01-15,ID,Jakarta,humidity,62,74.0,100.0,83.5,707.15
2022-01-15,ID,Jakarta,pm25,48,34.0,159.0,72.0,5709.15
2022-01-16,ID,Jakarta,humidity,64,79.0,100.0,90.8,592.4
2022-01-16,ID,Jakarta,pm10,69,21.0,80.0,37.0,4326.44
2022-01-16,ID,Jakarta,pm25,48,46.0,187.0,87.0,23174.4
2022-01-16,ID,Jakarta,wind-speed,51,0.1,2.5,1.5,5.49
2022-01-17,ID,Jakarta,humidity,44,52.2,94.0,74.0,1650.79
2022-01-17,ID,Jakarta,pm10,12,51.0,566.0,63.0,489071.0
2022-01-17,ID,Jakarta,pm25,48,30.0,137.0,74.0,5393.03
2022-01-17,ID,Jakarta,wind-speed,40,0.2,6.8,2.3,29.54
2022-01-18,ID,Jakarta,wind-speed,38,0.7,4.7,2.8,7.6
2022-01-18,ID,Jakarta,humidity,42,77.9,100.0,88.0,362.31
2022-01-18,ID,Jakarta,pm25,46,30.0,127.0,68.0,5593.43
2022-01-19,ID,Jakarta,pm25,48,17.0,124.0,63.0,4008.07
2022-01-19,ID,Jakarta,wind-speed,38,0.7,5.1,1.8,12.29
2022-01-19,ID,Jakarta,humidity,40,66.0,100.0,78.0,1848.28
2022-01-20,ID,Jakarta,wind-speed,36,1.5,5.1,3.0,9.75
2022-01-20,ID,Jakarta,humidity,36,66.0,100.0,83.0,881.21
2022-01-20,ID,Jakarta,pm25,48,25.0,127.0,53.0,5067.62
2022-01-21,ID,Jakarta,humidity,39,60.5,94.0,78.6,1154.95
2022-01-21,ID,Jakarta,pm25,48,30.0,153.0,59.0,5017.55
2022-01-21,ID,Jakarta,wind-speed,27,1.0,4.3,2.3,9.93
2022-01-22,ID,Jakarta,humidity,52,50.3,100.0,78.0,1866.7
2022-01-22,ID,Jakarta,pm25,47,30.0,114.0,57.0,3816.51
2022-01-22,ID,Jakarta,wind-speed,38,0.2,5.2,2.3,10.35
2022-01-23,ID,Jakarta,wind-speed,58,0.5,6.3,2.8,20.35
2022-01-23,ID,Jakarta,pm25,48,34.0,99.0,63.0,2523.62
2022-01-23,ID,Jakarta,humidity,62,39.7,94.0,66.4,2152.73
2022-01-24,ID,Jakarta,humidity,60,39.2,94.0,68.0,2164.48
2022-01-24,ID,Jakarta,pm25,48,25.0,104.0,53.0,2907.8
2022-01-24,ID,Jakarta,wind-speed,60,1.0,8.0,3.6,37.7
2022-01-25,ID,Jakarta,humidity,58,45.4,83.0,72.5,972.44
2022-01-25,ID,Jakarta,pm25,48,13.0,132.0,53.0,7449.78
2022-01-25,ID,Jakarta,wind-speed,58,0.7,7.7,3.6,25.91
2022-01-26,ID,Jakarta,wind-speed,60,1.0,6.1,2.5,12.12
2022-01-26,ID,Jakarta,pm25,48,30.0,119.0,57.0,3289.14
2022-01-26,ID,Jakarta,humidity,64,55.1,100.0,82.1,1267.66
2022-01-27,ID,Jakarta,humidity,62,40.6,100.0,72.2,2218.29
2022-01-27,ID,Jakarta,pm25,70,42.0,171.0,68.0,5216.21
2022-01-27,ID,Jakarta,wind-speed,47,0.3,7.6,2.5,30.86
2022-01-28,ID,Jakarta,humidity,58,42.5,95.5,81.1,2143.38
2022-01-28,ID,Jakarta,pm25,71,34.0,139.0,76.0,4122.16
2022-01-28,ID,Jakarta,wind-speed,50,0.1,5.7,2.0,15.85
2022-01-29,ID,Jakarta,wind-speed,43,0.1,5.4,1.5,21.09
2022-01-29,ID,Jakarta,pm25,71,57.0,218.0,119.0,16398.4
2022-01-29,ID,Jakarta,humidity,60,52.1,100.0,70.0,2145.4
2022-01-30,ID,Jakarta,humidity,58,48.4,94.0,76.4,1448.56
2022-01-30,ID,Jakarta,pm25,71,87.0,184.0,157.0,4122.44
2022-01-30,ID,Jakarta,wind-speed,38,0.1,5.3,1.5,14.58
2022-01-31,ID,Jakarta,humidity,64,47.6,94.0,70.0,1226.01
2022-01-31,ID,Jakarta,pm25,69,25.0,182.0,67.0,26189.9
2022-01-31,ID,Jakarta,wind-speed,56,0.2,6.6,3.0,18.62
2022-02-01,ID,Jakarta,wind-speed,52,0.3,7.5,2.0,23.8
2022-02-01,ID,Jakarta,pm25,64,46.0,162.0,87.0,12167.3
2022-02-01,ID,Jakarta,humidity,54,49.0,97.0,74.7,1674.87
2022-02-02,ID,Jakarta,humidity,52,46.5,91.0,71.4,1414.57
2022-02-02,ID,Jakarta,pm25,71,21.0,184.0,57.0,7902.19
2022-02-02,ID,Jakarta,wind-speed,43,0.1,5.6,3.0,27.39
2022-02-03,ID,Jakarta,humidity,52,46.0,94.0,66.0,2085.22
2022-02-03,ID,Jakarta,pm25,71,42.0,169.0,65.0,14709.1
2022-02-03,ID,Jakarta,wind-speed,44,0.6,5.6,2.2,14.12
2022-02-04,ID,Jakarta,humidity,52,51.6,100.0,81.8,2576.41
2022-02-04,ID,Jakarta,pm25,71,14.0,127.0,63.0,5592.78
2022-02-04,ID,Jakarta,wind-speed,48,0.1,6.1,1.8,25.65
2022-02-05,ID,Jakarta,humidity,54,66.0,100.0,83.0,858.52
2022-02-05,ID,Jakarta,pm25,71,21.0,134.0,70.0,5503.04
2022-02-05,ID,Jakarta,wind-speed,52,0.5,4.5,2.5,8.05
2022-02-06,ID,Jakarta,wind-speed,51,0.3,7.7,3.0,31.83
2022-02-06,ID,Jakarta,pm25,71,25.0,140.0,51.0,4464.68
2022-02-06,ID,Jakarta,humidity,54,50.5,99.0,74.0,1552.06
2022-02-07,ID,Jakarta,humidity,54,49.1,100.0,72.0,2713.36
2022-02-07,ID,Jakarta,pm25,71,17.0,95.0,54.0,2758.4
2022-02-07,ID,Jakarta,wind-speed,50,0.1,5.6,2.3,29.86
2022-02-08,ID,Jakarta,humidity,50,72.7,100.0,91.0,633.81
2022-02-08,ID,Jakarta,pm25,69,50.0,162.0,102.0,10593.1
2022-02-08,ID,Jakarta,wind-speed,41,0.1,3.0,1.3,8.61
2022-02-09,ID,Jakarta,humidity,54,50.5,100.0,72.2,1963.09
2022-02-09,ID,Jakarta,pm25,71,25.0,178.0,64.0,26841.9
2022-02-09,ID,Jakarta,wind-speed,48,0.1,7.0,3.3,27.78
2022-02-10,ID,Jakarta,humidity,50,51.6,94.9,74.0,1369.44
2022-02-10,ID,Jakarta,pm25,71,9.0,124.0,57.0,6494.96
2022-02-10,ID,Jakarta,wind-speed,48,0.4,6.1,3.8,16.17
2022-02-11,ID,Jakarta,pm25,63,53.0,155.0,93.0,9179.64
2022-02-11,ID,Jakarta,wind-speed,38,0.5,5.1,2.2,9.12
2022-02-11,ID,Jakarta,humidity,52,53.9,94.0,76.0,1167.37
2022-02-12,ID,Jakarta,pm25,48,53.0,152.0,78.0,7918.28
2022-02-12,ID,Jakarta,wind-speed,47,0.1,4.8,1.8,11.63
