Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Kagoshima,humidity,88,50.0,80.0,56.1,1041.37
2022-01-01,JP,Kagoshima,pm10,91,2.0,17.0,6.0,67.23
2022-01-01,JP,Kagoshima,pm25,95,5.0,46.0,21.0,699.63
2022-01-01,JP,Kagoshima,wind-speed,88,1.5,6.6,3.6,16.38
2022-01-02,JP,Kagoshima,humidity,84,47.1,81.2,64.0,1002.16
2022-01-02,JP,Kagoshima,pm10,93,2.0,17.0,6.0,59.91
2022-01-02,JP,Kagoshima,pm25,94,5.0,42.0,21.0,558.37
2022-01-02,JP,Kagoshima,precipitation,12,99.0,99.0,99.0,0.0
2022-01-02,JP,Kagoshima,wind-speed,84,1.0,5.1,3.0,14.85
2022-01-03,JP,Kagoshima,wind-speed,96,1.5,5.1,3.6,10.83
2022-01-03,JP,Kagoshima,pm25,95,17.0,63.0,42.0,1842.26
2022-01-03,JP,Kagoshima,precipitation,8,99.0,99.0,99.0,0.0
2022-01-03,JP,Kagoshima,humidity,96,43.1,82.2,71.9,1635.92
2022-01-03,JP,Kagoshima,pm10,94,1.0,23.0,13.0,244.21
2022-01-04,JP,Kagoshima,humidity,96,38.1,82.1,68.1,2686.2
2022-01-04,JP,Kagoshima,pm10,96,5.0,24.0,15.0,246.6
2022-01-04,JP,Kagoshima,pm25,95,9.0,65.0,50.0,2706.99
2022-01-04,JP,Kagoshima,wind-speed,96,1.5,6.1,3.0,13.57
2022-01-05,JP,Kagoshima,humidity,92,49.0,95.4,74.9,1391.55
2022-01-05,JP,Kagoshima,pm10,94,10.0,31.0,19.0,198.0
2022-01-05,JP,Kagoshima,pm25,95,38.0,85.0,59.0,776.22
2022-01-05,JP,Kagoshima,precipitation,4,99.0,99.0,99.0,0.0
2022-01-05,JP,Kagoshima,wind-speed,92,1.5,5.6,3.0,12.98
2022-01-06,JP,Kagoshima,wind-speed,96,0.5,8.7,5.1,41.23
2022-01-06,JP,Kagoshima,precipitation,8,0.5,0.6,0.5,0.03
2022-01-06,JP,Kagoshima,pm25,93,5.0,61.0,25.0,1319.76
2022-01-06,JP,Kagoshima,pm10,93,1.0,20.0,7.0,122.39
2022-01-06,JP,Kagoshima,humidity,96,61.2,97.3,80.9,1422.13
2022-01-07,JP,Kagoshima,humidity,96,49.1,82.8,68.1,1315.59
2022-01-07,JP,Kagoshima,pm10,94,1.0,17.0,9.0,101.13
2022-01-07,JP,Kagoshima,pm25,89,13.0,63.0,30.0,1931.19
2022-01-07,JP,Kagoshima,wind-speed,96,0.5,6.1,3.0,23.53
2022-01-08,JP,Kagoshima,humidity,88,61.9,84.8,74.2,471.85
2022-01-08,JP,Kagoshima,pm10,96,7.0,20.0,12.0,71.12
2022-01-08,JP,Kagoshima,pm25,96,21.0,61.0,46.0,986.31
2022-01-08,JP,Kagoshima,precipitation,16,99.0,99.0,99.0,0.0
2022-01-08,JP,Kagoshima,wind-speed,88,1.0,4.6,3.0,9.86
2022-01-09,JP,Kagoshima,wind-speed,88,1.5,4.6,3.0,7.0
2022-01-09,JP,Kagoshima,pm25,96,13.0,59.0,38.0,1130.17
2022-01-09,JP,Kagoshima,pm10,95,5.0,17.0,10.0,53.21
2022-01-09,JP,Kagoshima,humidity,88,55.2,83.3,64.3,790.62
2022-01-10,JP,Kagoshima,humidity,88,35.2,84.0,67.2,2689.03
2022-01-10,JP,Kagoshima,pm10,96,9.0,29.0,20.0,137.58
2022-01-10,JP,Kagoshima,pm25,96,34.0,82.0,61.0,727.16
2022-01-10,JP,Kagoshima,wind-speed,88,1.0,4.6,2.5,7.44
2022-01-11,JP,Kagoshima,humidity,92,53.2,95.4,75.3,2220.04
2022-01-11,JP,Kagoshima,pm10,95,4.0,26.0,10.0,242.12
2022-01-11,JP,Kagoshima,pm25,94,13.0,72.0,30.0,2710.94
2022-01-11,JP,Kagoshima,precipitation,16,0.2,99.5,0.2,19655.3
2022-01-11,JP,Kagoshima,wind-speed,92,1.0,8.2,4.1,44.17
2022-01-12,JP,Kagoshima,wind-speed,96,1.5,7.7,4.6,27.49
2022-01-12,JP,Kagoshima,precipitation,12,99.0,99.0,99.0,0.0
2022-01-12,JP,Kagoshima,pm25,94,13.0,38.0,30.0,354.26
2022-01-12,JP,Kagoshima,pm10,96,4.0,17.0,8.0,39.66
2022-01-12,JP,Kagoshima,humidity,96,46.1,62.2,53.0,188.77
2022-01-13,JP,Kagoshima,humidity,96,56.0,85.9,64.1,766.05
2022-01-13,JP,Kagoshima,pm10,95,5.0,24.0,10.0,101.61
2022-01-13,JP,Kagoshima,pm25,92,13.0,55.0,34.0,1098.69
2022-01-13,JP,Kagoshima,precipitation,16,0.2,99.0,0.3,26004.2
2022-01-13,JP,Kagoshima,wind-speed,96,1.0,8.2,3.0,42.36
2022-01-14,JP,Kagoshima,humidity,88,38.2,63.9,53.2,652.76
2022-01-14,JP,Kagoshima,pm10,93,3.0,14.0,8.0,38.0
2022-01-14,JP,Kagoshima,pm25,95,9.0,42.0,25.0,586.3
2022-01-14,JP,Kagoshima,precipitation,16,99.0,99.0,99.0,0.0
2022-01-14,JP,Kagoshima,wind-speed,88,2.0,4.6,3.6,5.98
2022-01-15,JP,Kagoshima,wind-speed,88,1.0,4.6,3.0,8.73
2022-01-15,JP,Kagoshima,precipitation,12,99.0,99.0,99.0,0.0
2022-01-15,JP,Kagoshima,pm10,93,3.0,21.0,8.0,80.2
2022-01-15,JP,Kagoshima,humidity,88,50.9,84.1,67.2,1287.73
2022-01-15,JP,Kagoshima,pm25,91,9.0,46.0,30.0,819.13
2022-01-16,JP,Kagoshima,humidity,92,58.2,92.0,73.0,744.17
2022-01-16,JP,Kagoshima,pm10,70,4.0,27.0,10.0,363.62
2022-01-16,JP,Kagoshima,pm25,92,9.0,72.0,34.0,2813.2
2022-01-16,JP,Kagoshima,precipitation,16,99.0,99.0,99.0,0.0
2022-01-16,JP,Kagoshima,wind-speed,92,0.5,6.6,3.0,20.2
2022-01-17,JP,Kagoshima,humidity,92,46.0,78.3,61.9,860.65
2022-01-17,JP,Kagoshima,pm10,82,4.0,24.0,10.0,132.23
2022-01-17,JP,Kagoshima,pm25,96,17.0,70.0,30.0,1464.56
2022-01-17,JP,Kagoshima,wind-speed,92,1.5,13.3,3.6,96.05
2022-01-18,JP,Kagoshima,wind-speed,88,1.5,11.3,3.6,26.37
2022-01-18,JP,Kagoshima,precipitation,8,99.0,99.0,99.0,0.0
2022-01-18,JP,Kagoshima,humidity,88,41.0,64.1,53.0,477.55
2022-01-18,JP,Kagoshima,pm10,95,6.0,25.0,13.0,228.93
2022-01-18,JP,Kagoshima,pm25,96,21.0,78.0,46.0,1565.84
2022-01-19,JP,Kagoshima,humidity,96,26.0,73.0,60.9,2194.83
2022-01-19,JP,Kagoshima,pm10,92,3.0,17.0,8.0,72.58
2022-01-19,JP,Kagoshima,pm25,95,5.0,46.0,25.0,1008.72
2022-01-19,JP,Kagoshima,precipitation,4,99.0,99.0,99.0,0.0
2022-01-19,JP,Kagoshima,wind-speed,96,1.0,6.1,4.1,16.87
2022-01-20,JP,Kagoshima,precipitation,4,99.0,99.0,99.0,0.0
2022-01-20,JP,Kagoshima,pm25,94,13.0,61.0,42.0,1057.55
2022-01-20,JP,Kagoshima,wind-speed,84,1.5,6.6,3.0,20.04
2022-01-20,JP,Kagoshima,humidity,84,34.1,82.3,62.3,1812.97
2022-01-20,JP,Kagoshima,pm10,94,5.0,20.0,12.0,94.74
2022-01-21,JP,Kagoshima,humidity,96,42.2,71.9,50.2,562.56
2022-01-21,JP,Kagoshima,pm10,95,2.0,23.0,8.0,239.78
2022-01-21,JP,Kagoshima,pm25,94,5.0,65.0,25.0,2768.48
2022-01-21,JP,Kagoshima,precipitation,4,99.0,99.0,99.0,0.0
2022-01-21,JP,Kagoshima,wind-speed,96,1.5,5.6,2.5,19.35
2022-01-22,JP,Kagoshima,humidity,79,61.9,76.1,72.9,233.44
2022-01-22,JP,Kagoshima,pm10,96,4.0,20.0,10.0,57.16
2022-01-22,JP,Kagoshima,pm25,96,17.0,57.0,34.0,1179.12
2022-01-22,JP,Kagoshima,precipitation,8,99.0,99.0,99.0,0.0
2022-01-22,JP,Kagoshima,wind-speed,79,1.0,6.6,2.5,17.54
2022-01-23,JP,Kagoshima,wind-speed,92,1.0,5.6,3.0,17.46
2022-01-23,JP,Kagoshima,precipitation,12,0.9,2.0,1.2,2.35
2022-01-23,JP,Kagoshima,pm10,95,2.0,25.0,11.0,198.79
2022-01-23,JP,Kagoshima,pm25,96,5.0,63.0,30.0,1895.93
2022-01-23,JP,Kagoshima,humidity,92,74.2,98.1,94.3,683.03
2022-01-24,JP,Kagoshima,humidity,88,79.9,96.8,85.2,248.45
2022-01-24,JP,Kagoshima,pm10,95,1.0,24.0,10.0,297.12
2022-01-24,JP,Kagoshima,pm25,87,5.0,53.0,25.0,1909.95
