Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,HU,Kecskemét,humidity,48,66.8,97.3,81.0,723.44
2022-01-01,HU,Kecskemét,pm10,47,5.0,40.0,13.0,1100.28
2022-01-01,HU,Kecskemét,pm25,46,21.0,104.0,38.0,7523.05
2022-01-01,HU,Kecskemét,wind-speed,48,1.5,10.0,6.6,62.54
2022-01-02,HU,Kecskemét,humidity,48,66.0,100.0,100.0,1409.3
2022-01-02,HU,Kecskemét,pm10,44,3.0,29.0,10.0,542.13
2022-01-02,HU,Kecskemét,pm25,48,38.0,87.0,46.0,1895.89
2022-01-02,HU,Kecskemét,wind-speed,48,0.5,3.6,1.5,8.6
2022-01-03,HU,Kecskemét,wind-speed,48,1.0,6.1,3.0,25.69
2022-01-03,HU,Kecskemét,precipitation,2,99.0,99.0,99.0,0.0
2022-01-03,HU,Kecskemét,pm10,47,11.0,31.0,22.0,245.64
2022-01-03,HU,Kecskemét,humidity,48,58.0,100.0,75.0,1899.34
2022-01-03,HU,Kecskemét,pm25,48,55.0,93.0,74.0,1142.54
2022-01-04,HU,Kecskemét,humidity,48,64.0,93.2,75.2,832.84
2022-01-04,HU,Kecskemét,pm10,48,7.0,23.0,16.0,135.92
2022-01-04,HU,Kecskemét,pm25,48,50.0,76.0,61.0,555.3
2022-01-04,HU,Kecskemét,wind-speed,48,2.0,6.6,4.6,17.38
2022-01-05,HU,Kecskemét,wind-speed,48,3.6,9.0,5.0,18.35
2022-01-05,HU,Kecskemét,precipitation,2,99.0,99.3,99.0,0.45
2022-01-05,HU,Kecskemét,pm10,46,3.0,20.0,10.0,166.85
2022-01-05,HU,Kecskemét,humidity,48,57.0,95.3,73.9,1125.32
2022-01-05,HU,Kecskemét,pm25,48,13.0,59.0,42.0,2178.65
2022-01-06,HU,Kecskemét,humidity,48,60.0,69.9,64.0,83.28
2022-01-06,HU,Kecskemét,pm10,40,4.0,17.0,7.0,142.67
2022-01-06,HU,Kecskemét,pm25,36,17.0,34.0,25.0,184.54
2022-01-06,HU,Kecskemét,wind-speed,48,4.0,10.0,7.0,17.73
2022-01-07,HU,Kecskemét,pm25,44,25.0,93.0,42.0,3977.42
2022-01-07,HU,Kecskemét,humidity,48,43.1,92.0,77.1,2116.13
2022-01-07,HU,Kecskemét,pm10,45,3.0,31.0,10.0,423.01
2022-01-07,HU,Kecskemét,wind-speed,44,0.5,5.0,2.0,9.34
2022-01-08,HU,Kecskemét,humidity,47,76.0,100.0,86.0,492.58
2022-01-08,HU,Kecskemét,pm10,46,12.0,51.0,36.0,960.87
2022-01-08,HU,Kecskemét,pm25,48,89.0,139.0,114.0,3336.38
2022-01-08,HU,Kecskemét,precipitation,3,0.2,99.0,99.0,32538.1
2022-01-08,HU,Kecskemét,wind-speed,46,0.5,3.0,1.3,3.31
2022-01-09,HU,Kecskemét,wind-speed,42,0.2,3.0,1.0,7.15
2022-01-09,HU,Kecskemét,pm25,48,78.0,153.0,107.0,5999.36
2022-01-09,HU,Kecskemét,humidity,48,89.2,100.0,94.3,79.68
2022-01-09,HU,Kecskemét,pm10,48,23.0,54.0,38.0,634.04
2022-01-10,HU,Kecskemét,humidity,48,64.0,100.0,80.0,1469.64
2022-01-10,HU,Kecskemét,pm10,47,16.0,49.0,26.0,466.88
2022-01-10,HU,Kecskemét,pm25,46,68.0,142.0,82.0,3036.1
2022-01-10,HU,Kecskemét,wind-speed,48,1.0,7.0,2.0,12.37
2022-01-11,HU,Kecskemét,humidity,48,61.9,74.3,68.0,171.41
2022-01-11,HU,Kecskemét,pm10,47,10.0,50.0,16.0,733.37
2022-01-11,HU,Kecskemét,pm25,44,42.0,139.0,57.0,6252.37
2022-01-11,HU,Kecskemét,wind-speed,48,3.0,8.0,6.0,15.53
2022-01-12,HU,Kecskemét,humidity,48,56.5,92.0,73.0,1044.37
2022-01-12,HU,Kecskemét,pm10,48,9.0,55.0,23.0,1403.67
2022-01-12,HU,Kecskemét,pm25,46,38.0,152.0,76.0,8188.21
2022-01-12,HU,Kecskemét,wind-speed,43,0.5,5.6,3.0,25.23
2022-01-13,HU,Kecskemét,wind-speed,48,0.5,5.0,2.5,19.14
2022-01-13,HU,Kecskemét,pm25,48,85.0,154.0,129.0,7207.66
2022-01-13,HU,Kecskemét,pm10,48,27.0,56.0,50.0,803.81
2022-01-13,HU,Kecskemét,humidity,48,69.0,96.0,82.0,604.94
2022-01-14,HU,Kecskemét,humidity,48,49.0,90.8,72.1,937.92
2022-01-14,HU,Kecskemét,pm10,48,7.0,45.0,27.0,1415.0
2022-01-14,HU,Kecskemét,pm25,44,38.0,129.0,91.0,11533.0
2022-01-14,HU,Kecskemét,wind-speed,48,1.5,10.0,3.0,69.57
2022-01-15,HU,Kecskemét,humidity,48,45.0,100.0,82.0,3143.25
2022-01-15,HU,Kecskemét,pm10,47,10.0,38.0,18.0,598.31
2022-01-15,HU,Kecskemét,pm25,48,34.0,85.0,63.0,1731.05
2022-01-15,HU,Kecskemét,wind-speed,47,0.5,5.1,1.5,19.88
2022-01-16,HU,Kecskemét,humidity,48,88.5,100.0,96.0,89.1
2022-01-16,HU,Kecskemét,pm10,48,25.0,59.0,41.0,702.82
2022-01-16,HU,Kecskemét,pm25,48,80.0,151.0,127.0,4539.56
2022-01-16,HU,Kecskemét,wind-speed,45,0.5,2.4,1.5,3.4
2022-01-17,HU,Kecskemét,pm25,48,13.0,132.0,74.0,13686.5
2022-01-17,HU,Kecskemét,wind-speed,48,1.0,13.0,5.0,90.52
2022-01-17,HU,Kecskemét,humidity,48,62.3,100.0,81.7,1642.37
2022-01-17,HU,Kecskemét,pm10,48,3.0,49.0,21.0,1099.46
2022-01-18,HU,Kecskemét,pm25,46,17.0,63.0,38.0,2211.75
2022-01-18,HU,Kecskemét,wind-speed,48,2.0,7.7,4.6,22.15
2022-01-18,HU,Kecskemét,humidity,48,52.0,92.0,71.5,1313.71
2022-01-18,HU,Kecskemét,pm10,48,4.0,31.0,11.0,451.06
2022-01-19,HU,Kecskemét,humidity,48,60.0,100.0,90.0,1553.66
