Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Kitchener,humidity,47,85.0,100.0,95.3,275.33
2022-01-01,CA,Kitchener,pm25,48,5.0,95.0,46.0,7099.68
2022-01-01,CA,Kitchener,wind-speed,42,0.1,7.2,2.4,28.8
2022-01-02,CA,Kitchener,humidity,48,69.0,96.7,84.3,423.92
2022-01-02,CA,Kitchener,pm25,33,5.0,34.0,9.0,423.71
2022-01-02,CA,Kitchener,wind-speed,47,0.6,4.4,2.2,8.99
2022-01-03,CA,Kitchener,humidity,48,56.0,96.8,84.0,1402.55
2022-01-03,CA,Kitchener,pm25,42,9.0,34.0,21.0,472.33
2022-01-03,CA,Kitchener,wind-speed,42,0.1,3.3,1.2,7.62
2022-01-04,CA,Kitchener,humidity,48,54.0,92.4,79.0,617.69
2022-01-04,CA,Kitchener,pm25,46,25.0,65.0,46.0,1342.96
2022-01-04,CA,Kitchener,wind-speed,42,0.1,7.2,3.0,28.13
2022-01-05,CA,Kitchener,humidity,48,64.0,96.5,74.4,637.29
2022-01-05,CA,Kitchener,pm25,45,13.0,59.0,38.0,2097.56
2022-01-05,CA,Kitchener,wind-speed,46,0.5,12.3,6.4,55.98
2022-01-06,CA,Kitchener,wind-speed,48,0.5,9.7,3.7,55.78
2022-01-06,CA,Kitchener,pm25,41,21.0,55.0,30.0,683.6
2022-01-06,CA,Kitchener,humidity,48,70.3,92.7,81.0,302.05
2022-01-07,CA,Kitchener,humidity,48,62.3,93.3,82.3,877.36
2022-01-07,CA,Kitchener,pm25,44,5.0,59.0,17.0,2662.3
2022-01-07,CA,Kitchener,wind-speed,48,0.1,8.7,2.3,54.52
2022-01-08,CA,Kitchener,humidity,48,54.0,95.1,82.3,1465.99
2022-01-08,CA,Kitchener,pm25,46,17.0,63.0,30.0,1634.36
2022-01-08,CA,Kitchener,wind-speed,38,0.2,7.7,3.6,55.92
2022-01-09,CA,Kitchener,wind-speed,48,2.7,12.0,8.4,78.69
2022-01-09,CA,Kitchener,pm25,48,5.0,53.0,21.0,1760.95
2022-01-09,CA,Kitchener,humidity,48,62.6,100.0,89.2,1677.32
2022-01-10,CA,Kitchener,humidity,48,61.0,87.0,72.0,362.21
2022-01-10,CA,Kitchener,pm25,27,9.0,30.0,17.0,297.12
2022-01-10,CA,Kitchener,wind-speed,48,2.0,10.9,8.4,45.59
2022-01-11,CA,Kitchener,humidity,44,62.6,85.0,69.2,307.26
2022-01-11,CA,Kitchener,pm25,47,9.0,50.0,25.0,530.83
2022-01-11,CA,Kitchener,wind-speed,41,0.3,8.7,4.1,49.0
2022-01-12,CA,Kitchener,wind-speed,47,0.2,10.8,4.4,65.42
2022-01-12,CA,Kitchener,humidity,48,63.0,97.3,75.0,1051.42
2022-01-12,CA,Kitchener,pm25,44,17.0,97.0,46.0,3947.02
2022-01-13,CA,Kitchener,humidity,48,73.0,100.0,96.1,544.54
2022-01-13,CA,Kitchener,pm25,47,13.0,74.0,55.0,2686.47
2022-01-13,CA,Kitchener,wind-speed,30,0.1,3.6,1.6,8.98
2022-01-14,CA,Kitchener,humidity,45,50.0,92.0,69.0,1578.2
2022-01-14,CA,Kitchener,pm25,34,9.0,46.0,17.0,694.73
2022-01-14,CA,Kitchener,wind-speed,45,0.5,6.1,3.5,14.86
2022-01-15,CA,Kitchener,humidity,46,39.0,78.3,60.2,662.56
2022-01-15,CA,Kitchener,pm25,43,9.0,46.0,21.0,777.54
2022-01-15,CA,Kitchener,wind-speed,46,0.3,5.3,3.0,10.93
2022-01-16,CA,Kitchener,humidity,48,41.0,95.0,74.0,2391.17
2022-01-16,CA,Kitchener,pm25,47,21.0,57.0,30.0,682.81
2022-01-16,CA,Kitchener,wind-speed,46,0.6,5.1,2.4,14.97
2022-01-17,CA,Kitchener,wind-speed,47,2.5,11.1,6.0,53.28
2022-01-17,CA,Kitchener,pm25,41,13.0,46.0,21.0,853.4
2022-01-17,CA,Kitchener,humidity,47,62.0,97.0,88.5,923.38
2022-01-18,CA,Kitchener,humidity,48,58.4,91.2,74.5,843.97
2022-01-18,CA,Kitchener,pm25,40,5.0,65.0,17.0,2405.58
2022-01-18,CA,Kitchener,wind-speed,48,0.3,9.2,3.8,54.65
2022-01-19,CA,Kitchener,humidity,48,63.0,84.8,75.3,401.6
2022-01-19,CA,Kitchener,pm25,46,5.0,65.0,34.0,3086.77
2022-01-19,CA,Kitchener,wind-speed,48,3.6,12.8,7.1,53.33
2022-01-20,CA,Kitchener,humidity,46,55.0,85.9,70.4,796.78
2022-01-20,CA,Kitchener,pm25,35,5.0,46.0,9.0,626.44
2022-01-20,CA,Kitchener,wind-speed,42,0.5,7.7,3.6,35.01
2022-01-21,CA,Kitchener,humidity,46,56.0,91.7,76.0,969.24
2022-01-21,CA,Kitchener,pm25,29,17.0,68.0,34.0,2288.99
2022-01-21,CA,Kitchener,wind-speed,31,0.1,4.1,1.6,6.78
2022-01-22,CA,Kitchener,pm25,48,30.0,72.0,59.0,1160.69
2022-01-22,CA,Kitchener,wind-speed,41,0.1,9.0,3.8,79.24
2022-01-22,CA,Kitchener,humidity,47,66.9,93.2,79.0,438.4
2022-01-23,CA,Kitchener,wind-speed,44,1.0,5.6,3.2,15.27
2022-01-23,CA,Kitchener,pm25,44,5.0,57.0,17.0,2863.48
2022-01-23,CA,Kitchener,humidity,46,56.0,92.5,77.0,1088.11
2022-01-24,CA,Kitchener,humidity,48,60.0,96.0,81.4,1050.94
2022-01-24,CA,Kitchener,pm25,43,9.0,55.0,25.0,2256.29
2022-01-24,CA,Kitchener,wind-speed,45,0.1,5.1,1.5,21.0
2022-01-25,CA,Kitchener,humidity,48,56.0,92.7,77.7,1211.47
2022-01-25,CA,Kitchener,pm25,39,5.0,61.0,13.0,3132.63
2022-01-25,CA,Kitchener,wind-speed,44,0.1,8.5,3.6,48.62
2022-01-26,CA,Kitchener,humidity,48,49.2,87.6,75.3,869.45
2022-01-26,CA,Kitchener,pm25,48,13.0,46.0,25.0,449.34
2022-01-26,CA,Kitchener,wind-speed,43,0.1,4.1,1.7,13.49
2022-01-27,CA,Kitchener,humidity,48,66.4,91.0,79.0,469.71
2022-01-27,CA,Kitchener,pm25,45,25.0,65.0,42.0,1021.89
2022-01-27,CA,Kitchener,wind-speed,46,0.2,9.6,4.6,49.54
2022-01-28,CA,Kitchener,pm25,33,9.0,63.0,13.0,2328.18
2022-01-28,CA,Kitchener,wind-speed,48,0.6,7.5,2.9,23.22
2022-01-28,CA,Kitchener,humidity,48,36.0,83.8,66.0,1818.5
2022-01-29,CA,Kitchener,humidity,46,30.0,83.0,64.0,2307.82
2022-01-29,CA,Kitchener,pm25,45,9.0,53.0,21.0,1056.09
2022-01-29,CA,Kitchener,wind-speed,44,0.6,5.0,2.3,9.7
2022-01-30,CA,Kitchener,humidity,46,55.0,89.1,72.0,883.67
2022-01-30,CA,Kitchener,pm25,48,17.0,80.0,50.0,3224.66
2022-01-30,CA,Kitchener,wind-speed,43,0.1,4.6,2.0,13.5
2022-01-31,CA,Kitchener,pm25,46,46.0,97.0,78.0,1876.18
2022-01-31,CA,Kitchener,humidity,46,50.2,95.8,78.8,1862.14
2022-01-31,CA,Kitchener,wind-speed,41,0.1,4.1,1.5,8.86
2022-02-01,CA,Kitchener,humidity,48,51.0,94.1,63.0,2573.61
2022-02-01,CA,Kitchener,pm25,45,42.0,80.0,65.0,724.68
2022-02-01,CA,Kitchener,wind-speed,42,0.1,6.6,4.6,44.9
2022-02-02,CA,Kitchener,pm25,46,5.0,61.0,46.0,2262.94
2022-02-02,CA,Kitchener,wind-speed,47,0.2,6.3,2.4,29.91
2022-02-02,CA,Kitchener,humidity,48,55.0,100.0,87.0,2428.55
2022-02-03,CA,Kitchener,pm25,36,5.0,46.0,13.0,1261.36
2022-02-03,CA,Kitchener,wind-speed,48,1.3,5.8,3.8,16.2
2022-02-03,CA,Kitchener,humidity,48,52.0,95.0,82.6,963.04
2022-02-04,CA,Kitchener,humidity,48,66.0,91.0,79.2,530.72
2022-02-04,CA,Kitchener,pm25,34,9.0,46.0,21.0,660.69
2022-02-04,CA,Kitchener,wind-speed,48,1.0,4.3,2.8,6.02
2022-02-05,CA,Kitchener,humidity,48,34.0,85.5,70.0,2260.58
2022-02-05,CA,Kitchener,pm25,43,9.0,50.0,21.0,1008.14
2022-02-05,CA,Kitchener,wind-speed,47,0.1,4.1,2.0,10.07
2022-02-06,CA,Kitchener,wind-speed,48,0.7,8.7,4.3,45.42
2022-02-06,CA,Kitchener,pm25,47,17.0,72.0,46.0,1245.77
2022-02-06,CA,Kitchener,humidity,48,52.8,85.0,73.0,948.41
2022-02-07,CA,Kitchener,humidity,48,58.6,100.0,86.0,918.28
2022-02-07,CA,Kitchener,pm25,48,42.0,97.0,61.0,2228.19
2022-02-07,CA,Kitchener,wind-speed,48,1.1,5.9,3.6,12.25
2022-02-08,CA,Kitchener,humidity,48,56.5,90.4,79.0,1159.24
2022-02-08,CA,Kitchener,pm25,45,13.0,80.0,21.0,3531.18
2022-02-08,CA,Kitchener,wind-speed,48,0.4,7.6,4.1,34.05
2022-02-09,CA,Kitchener,wind-speed,45,0.2,8.2,3.5,44.17
2022-02-09,CA,Kitchener,pm25,45,21.0,63.0,50.0,1334.53
2022-02-09,CA,Kitchener,humidity,48,61.6,93.8,76.1,1057.67
2022-02-10,CA,Kitchener,humidity,48,64.1,99.1,78.7,1021.43
2022-02-10,CA,Kitchener,pm25,43,17.0,65.0,34.0,2127.01
2022-02-10,CA,Kitchener,wind-speed,48,1.3,10.2,5.1,45.32
2022-02-11,CA,Kitchener,humidity,47,70.4,100.0,91.8,763.65
2022-02-11,CA,Kitchener,pm25,44,17.0,65.0,30.0,1401.16
2022-02-11,CA,Kitchener,wind-speed,47,2.0,10.2,5.5,32.88
2022-02-12,CA,Kitchener,humidity,47,57.0,100.0,71.8,1539.33
2022-02-12,CA,Kitchener,pm25,36,5.0,70.0,13.0,5201.23
2022-02-12,CA,Kitchener,wind-speed,46,1.6,11.3,6.9,83.51
2022-02-13,CA,Kitchener,wind-speed,45,0.1,2.9,1.4,5.04
2022-02-13,CA,Kitchener,humidity,48,62.0,93.1,76.5,652.52
2022-02-13,CA,Kitchener,pm25,37,9.0,38.0,17.0,687.15
2022-02-14,CA,Kitchener,pm25,39,9.0,38.0,17.0,429.23
2022-02-14,CA,Kitchener,wind-speed,39,0.1,6.7,2.2,35.6
2022-02-14,CA,Kitchener,humidity,46,47.0,88.4,71.0,1863.35
2022-02-15,CA,Kitchener,wind-speed,42,0.6,6.6,2.6,16.69
2022-02-15,CA,Kitchener,pm25,47,17.0,70.0,46.0,2437.1
