Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,MY,Klang,humidity,48,66.0,100.0,88.0,650.21
2022-01-01,MY,Klang,wind-speed,48,0.2,3.0,1.5,5.59
2022-01-02,MY,Klang,humidity,48,70.0,100.0,94.0,747.8
2022-01-02,MY,Klang,wind-speed,44,0.5,3.0,1.0,6.18
2022-01-03,MY,Klang,humidity,48,70.0,94.0,94.0,624.4
2022-01-03,MY,Klang,wind-speed,48,0.2,3.0,1.5,4.87
2022-01-04,MY,Klang,humidity,48,55.0,100.0,94.0,1887.59
2022-01-04,MY,Klang,wind-speed,38,0.2,4.6,1.2,12.9
2022-01-05,MY,Klang,wind-speed,46,0.5,5.1,2.0,12.84
2022-01-05,MY,Klang,humidity,48,59.0,94.0,83.0,1638.28
2022-01-06,MY,Klang,humidity,48,49.0,94.0,78.0,2493.6
2022-01-06,MY,Klang,wind-speed,36,1.0,3.6,1.5,3.69
2022-01-07,MY,Klang,humidity,48,49.0,94.0,83.0,1735.3
2022-01-07,MY,Klang,wind-speed,36,0.5,5.1,1.5,13.57
2022-01-08,MY,Klang,humidity,48,49.0,94.0,78.0,1800.85
2022-01-08,MY,Klang,wind-speed,38,0.5,4.1,1.5,10.15
2022-01-09,MY,Klang,wind-speed,42,0.5,4.1,2.0,6.19
2022-01-09,MY,Klang,humidity,48,49.0,94.0,79.0,1859.56
2022-01-10,MY,Klang,wind-speed,42,0.5,5.1,1.5,11.62
2022-01-10,MY,Klang,humidity,48,43.0,88.0,83.0,2059.29
2022-01-11,MY,Klang,humidity,48,49.0,94.0,78.0,2668.07
2022-01-11,MY,Klang,wind-speed,34,0.5,2.5,1.0,2.46
2022-01-12,MY,Klang,humidity,48,41.0,94.0,69.0,3227.23
2022-01-12,MY,Klang,wind-speed,44,0.5,4.6,1.5,13.42
2022-01-13,MY,Klang,humidity,48,40.0,88.0,73.0,3137.59
2022-01-13,MY,Klang,wind-speed,40,0.5,3.0,1.0,6.22
2022-01-14,MY,Klang,humidity,48,34.0,88.0,70.0,3361.42
2022-01-14,MY,Klang,wind-speed,38,0.5,3.6,1.5,4.07
2022-01-15,MY,Klang,wind-speed,42,0.5,4.6,1.5,8.56
2022-01-15,MY,Klang,humidity,46,41.0,83.0,65.0,1980.44
2022-01-16,MY,Klang,humidity,46,43.0,88.0,74.0,1967.69
2022-01-16,MY,Klang,wind-speed,26,1.0,4.1,2.0,7.48
2022-01-17,MY,Klang,humidity,48,46.0,88.0,74.0,1876.58
2022-01-17,MY,Klang,wind-speed,36,0.5,5.1,1.5,13.13
2022-01-18,MY,Klang,humidity,48,62.0,100.0,78.0,1529.34
2022-01-18,MY,Klang,wind-speed,42,0.5,3.6,1.5,6.98
2022-01-19,MY,Klang,humidity,48,46.0,94.0,78.0,2769.89
2022-01-19,MY,Klang,wind-speed,36,0.5,4.1,1.5,12.86
2022-01-20,MY,Klang,wind-speed,34,0.5,3.0,1.5,4.51
2022-01-20,MY,Klang,humidity,48,52.0,94.0,74.0,2230.0
2022-01-21,MY,Klang,humidity,48,46.0,94.0,74.0,2239.13
2022-01-21,MY,Klang,wind-speed,34,0.5,4.1,2.0,13.08
2022-01-22,MY,Klang,humidity,28,74.0,94.0,88.0,501.85
2022-01-22,MY,Klang,wind-speed,22,0.5,2.5,1.5,3.6
2022-01-23,MY,Klang,humidity,32,55.0,88.0,81.6,1757.77
2022-01-23,MY,Klang,wind-speed,34,0.5,5.6,1.0,20.22
2022-01-24,MY,Klang,humidity,48,59.0,94.0,83.0,1304.57
2022-01-24,MY,Klang,wind-speed,36,0.5,5.4,1.0,18.16
2022-01-25,MY,Klang,wind-speed,36,0.5,4.6,1.4,10.15
2022-01-25,MY,Klang,humidity,48,59.0,94.0,88.0,1254.09
2022-01-26,MY,Klang,humidity,48,55.0,94.0,78.0,1782.54
2022-01-26,MY,Klang,wind-speed,24,0.5,4.1,1.5,18.07
2022-01-27,MY,Klang,humidity,48,52.0,94.0,83.0,1567.72
2022-01-27,MY,Klang,wind-speed,40,0.5,4.9,1.5,11.03
2022-01-28,MY,Klang,humidity,48,46.0,94.0,88.0,2481.9
