Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,SK,Košice,humidity,95,93.8,100.0,98.0,14.03
2022-01-01,SK,Košice,pm10,96,22.0,105.0,51.0,2093.43
2022-01-01,SK,Košice,pm25,96,65.0,170.0,112.0,8750.76
2022-01-01,SK,Košice,wind-speed,25,0.2,3.0,1.0,5.93
2022-01-02,SK,Košice,humidity,95,93.1,100.0,98.0,11.08
2022-01-02,SK,Košice,pm10,96,7.0,69.0,26.0,2232.29
2022-01-02,SK,Košice,pm25,96,42.0,158.0,74.0,8592.24
2022-01-02,SK,Košice,precipitation,2,99.1,99.1,99.1,0.0
2022-01-02,SK,Košice,wind-speed,64,0.2,5.2,3.0,14.47
2022-01-03,SK,Košice,wind-speed,38,0.2,3.0,1.0,5.51
2022-01-03,SK,Košice,pm25,96,21.0,200.0,68.0,11617.4
2022-01-03,SK,Košice,humidity,96,84.2,100.0,99.0,165.61
2022-01-03,SK,Košice,pm10,96,10.0,114.0,24.0,3040.94
2022-01-04,SK,Košice,humidity,96,90.1,97.1,93.9,26.51
2022-01-04,SK,Košice,pm10,96,7.0,70.0,23.0,818.04
2022-01-04,SK,Košice,pm25,96,34.0,160.0,72.0,3166.63
2022-01-04,SK,Košice,wind-speed,64,0.2,6.0,2.7,23.96
2022-01-05,SK,Košice,humidity,95,80.3,99.3,94.0,55.16
2022-01-05,SK,Košice,pm10,96,7.0,78.0,17.0,1358.3
2022-01-05,SK,Košice,pm25,96,30.0,174.0,55.0,6811.08
2022-01-05,SK,Košice,wind-speed,61,0.2,5.2,2.5,24.75
2022-01-06,SK,Košice,wind-speed,74,0.2,6.0,1.5,12.1
2022-01-06,SK,Košice,pm25,92,9.0,134.0,30.0,5513.37
2022-01-06,SK,Košice,pm10,95,1.0,47.0,12.0,657.23
2022-01-06,SK,Košice,humidity,96,43.0,97.9,80.7,1527.82
2022-01-07,SK,Košice,humidity,95,51.0,88.2,68.3,848.14
2022-01-07,SK,Košice,pm10,94,3.0,96.0,24.0,5153.76
2022-01-07,SK,Košice,pm25,96,5.0,181.0,50.0,19568.4
2022-01-07,SK,Košice,wind-speed,52,0.2,4.0,1.2,6.97
2022-01-08,SK,Košice,humidity,95,71.0,91.2,84.2,349.23
2022-01-08,SK,Košice,pm10,96,20.0,65.0,37.0,1437.6
2022-01-08,SK,Košice,pm25,95,63.0,153.0,89.0,4764.87
2022-01-08,SK,Košice,wind-speed,34,0.2,2.0,1.0,2.82
2022-01-09,SK,Košice,wind-speed,39,0.5,3.0,1.0,4.55
2022-01-09,SK,Košice,pm25,96,82.0,163.0,122.0,4880.21
2022-01-09,SK,Košice,pm10,96,28.0,74.0,50.0,766.94
2022-01-09,SK,Košice,humidity,96,64.2,96.3,90.0,575.61
2022-01-10,SK,Košice,humidity,96,62.3,93.3,83.7,599.92
2022-01-10,SK,Košice,pm10,94,6.0,88.0,45.0,3641.64
2022-01-10,SK,Košice,pm25,94,38.0,139.0,78.0,10061.9
2022-01-10,SK,Košice,wind-speed,81,0.6,12.3,8.2,121.22
2022-01-11,SK,Košice,humidity,96,60.2,84.7,71.3,447.88
2022-01-11,SK,Košice,pm10,96,3.0,119.0,17.0,5590.89
2022-01-11,SK,Košice,pm25,96,17.0,151.0,50.0,5671.89
2022-01-11,SK,Košice,wind-speed,96,4.0,14.0,10.0,56.64
2022-01-12,SK,Košice,pm25,96,46.0,144.0,76.0,4342.05
2022-01-12,SK,Košice,wind-speed,90,0.2,11.0,5.0,71.44
2022-01-12,SK,Košice,humidity,96,57.9,80.5,72.2,295.29
2022-01-12,SK,Košice,pm10,96,10.0,71.0,28.0,2983.08
2022-01-13,SK,Košice,humidity,96,65.0,87.7,82.0,250.65
2022-01-13,SK,Košice,pm10,96,27.0,80.0,50.0,970.28
2022-01-13,SK,Košice,pm25,96,82.0,156.0,109.0,4113.67
2022-01-13,SK,Košice,wind-speed,72,0.2,4.0,1.5,11.9
2022-01-14,SK,Košice,humidity,96,85.9,97.1,94.2,53.5
2022-01-14,SK,Košice,pm10,96,36.0,79.0,60.0,1522.03
2022-01-14,SK,Košice,pm25,91,89.0,165.0,155.0,5913.61
2022-01-14,SK,Košice,precipitation,2,99.0,99.0,99.0,0.0
2022-01-14,SK,Košice,wind-speed,87,0.2,3.0,1.0,4.39
2022-01-15,SK,Košice,wind-speed,51,0.2,3.0,1.0,4.28
2022-01-15,SK,Košice,pm25,96,38.0,191.0,97.0,16517.6
2022-01-15,SK,Košice,pm10,96,19.0,97.0,48.0,3661.07
2022-01-15,SK,Košice,humidity,96,84.5,97.8,94.8,106.87
2022-01-16,SK,Košice,humidity,93,86.2,100.0,93.7,95.09
2022-01-16,SK,Košice,pm10,96,21.0,76.0,38.0,1849.42
2022-01-16,SK,Košice,pm25,96,65.0,173.0,91.0,9302.7
2022-01-16,SK,Košice,wind-speed,63,0.2,4.0,1.2,8.63
2022-01-17,SK,Košice,humidity,95,48.1,100.0,96.0,2124.99
2022-01-17,SK,Košice,pm10,96,2.0,49.0,33.0,1851.39
2022-01-17,SK,Košice,pm25,92,5.0,124.0,80.0,11335.0
2022-01-17,SK,Košice,precipitation,3,0.2,99.0,0.2,32538.1
2022-01-17,SK,Košice,wind-speed,86,0.5,13.0,3.5,134.25
2022-01-18,SK,Košice,wind-speed,86,0.2,13.0,4.5,99.51
2022-01-18,SK,Košice,pm25,92,5.0,85.0,42.0,3967.76
2022-01-18,SK,Košice,humidity,95,48.0,72.7,61.7,332.11
2022-01-18,SK,Košice,pm10,96,2.0,54.0,15.0,1577.5
2022-01-19,SK,Košice,humidity,96,61.5,92.0,80.7,653.05
2022-01-19,SK,Košice,pm10,96,13.0,98.0,31.0,2979.35
2022-01-19,SK,Košice,pm25,96,42.0,152.0,68.0,6831.46
2022-01-19,SK,Košice,wind-speed,66,0.5,6.6,2.5,33.45
2022-01-20,SK,Košice,wind-speed,84,0.2,7.0,4.0,29.12
2022-01-20,SK,Košice,humidity,96,47.1,100.0,92.0,1272.1
2022-01-20,SK,Košice,pm10,94,9.0,55.0,38.0,1332.72
2022-01-20,SK,Košice,pm25,91,21.0,119.0,89.0,6196.52
2022-01-20,SK,Košice,precipitation,2,0.2,99.0,0.2,48807.2
2022-01-21,SK,Košice,wind-speed,63,0.2,6.0,2.0,18.22
2022-01-21,SK,Košice,pm25,94,9.0,147.0,57.0,7603.51
2022-01-21,SK,Košice,pm10,96,7.0,56.0,19.0,1506.37
2022-01-21,SK,Košice,humidity,96,45.9,89.2,67.5,1755.7
2022-01-22,SK,Košice,wind-speed,72,0.2,8.2,4.2,55.84
2022-01-22,SK,Košice,humidity,96,51.0,93.2,71.8,970.88
2022-01-22,SK,Košice,pm10,96,6.0,65.0,17.0,1598.67
2022-01-22,SK,Košice,pm25,96,21.0,102.0,50.0,3287.42
2022-01-23,SK,Košice,pm25,96,13.0,102.0,34.0,2931.63
2022-01-23,SK,Košice,wind-speed,96,1.0,9.0,4.7,38.84
2022-01-23,SK,Košice,humidity,96,54.0,76.5,65.5,231.26
2022-01-23,SK,Košice,pm10,96,4.0,51.0,12.0,1122.62
2022-01-24,SK,Košice,wind-speed,63,0.5,7.0,2.0,23.52
2022-01-24,SK,Košice,pm25,95,21.0,225.0,59.0,17140.7
2022-01-24,SK,Košice,pm10,96,5.0,134.0,30.0,10026.7
2022-01-24,SK,Košice,humidity,96,44.2,82.2,67.2,827.7
