Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Kumamoto,humidity,378,34.2,96.3,70.0,1496.13
2022-01-01,JP,Kumamoto,pm10,330,1.0,28.0,9.0,226.01
2022-01-01,JP,Kumamoto,pm25,344,5.0,93.0,30.0,2195.29
2022-01-01,JP,Kumamoto,wind-speed,378,0.3,5.3,1.0,7.59
2022-01-02,JP,Kumamoto,humidity,375,45.2,95.8,72.2,1548.22
2022-01-02,JP,Kumamoto,pm10,304,1.0,27.0,9.0,201.27
2022-01-02,JP,Kumamoto,pm25,319,5.0,85.0,30.0,2166.51
2022-01-02,JP,Kumamoto,precipitation,31,99.0,99.0,99.0,0.0
2022-01-02,JP,Kumamoto,wind-speed,373,0.2,3.0,1.0,5.43
2022-01-03,JP,Kumamoto,wind-speed,382,0.5,4.1,1.5,3.92
2022-01-03,JP,Kumamoto,pm25,368,5.0,129.0,53.0,4999.3
2022-01-03,JP,Kumamoto,humidity,384,29.0,100.0,73.3,3308.4
2022-01-03,JP,Kumamoto,pm10,339,1.0,36.0,16.0,493.43
2022-01-04,JP,Kumamoto,humidity,384,39.0,100.0,71.0,3492.58
2022-01-04,JP,Kumamoto,pm10,343,1.0,41.0,17.0,546.62
2022-01-04,JP,Kumamoto,pm25,362,5.0,129.0,59.0,4777.69
2022-01-04,JP,Kumamoto,wind-speed,383,0.5,3.0,1.5,4.13
2022-01-05,JP,Kumamoto,humidity,376,47.9,100.0,78.1,2352.82
2022-01-05,JP,Kumamoto,pm10,368,2.0,39.0,21.0,550.43
2022-01-05,JP,Kumamoto,pm25,382,17.0,147.0,70.0,2325.18
2022-01-05,JP,Kumamoto,precipitation,32,0.1,99.0,99.0,13311.1
2022-01-05,JP,Kumamoto,wind-speed,376,0.5,4.6,1.5,8.58
2022-01-06,JP,Kumamoto,wind-speed,376,0.1,7.7,1.6,34.96
2022-01-06,JP,Kumamoto,pm25,369,5.0,85.0,42.0,2225.94
2022-01-06,JP,Kumamoto,precipitation,36,0.3,99.5,0.6,9909.11
2022-01-06,JP,Kumamoto,humidity,376,51.0,100.0,84.5,783.74
2022-01-06,JP,Kumamoto,pm10,344,1.0,29.0,11.0,266.93
2022-01-07,JP,Kumamoto,humidity,384,36.1,100.0,70.9,3378.27
2022-01-07,JP,Kumamoto,pm10,336,1.0,30.0,10.0,197.31
2022-01-07,JP,Kumamoto,pm25,343,5.0,99.0,34.0,2391.62
2022-01-07,JP,Kumamoto,wind-speed,384,0.1,10.2,1.5,44.94
2022-01-08,JP,Kumamoto,humidity,368,37.0,100.0,68.3,3534.02
2022-01-08,JP,Kumamoto,pm10,336,1.0,39.0,11.0,294.42
2022-01-08,JP,Kumamoto,pm25,370,5.0,109.0,42.0,2699.46
2022-01-08,JP,Kumamoto,precipitation,6,99.0,99.0,99.0,0.0
2022-01-08,JP,Kumamoto,wind-speed,368,0.1,2.5,1.5,3.8
2022-01-09,JP,Kumamoto,pm10,346,1.0,34.0,14.0,455.79
2022-01-09,JP,Kumamoto,wind-speed,368,0.2,4.6,1.5,13.87
2022-01-09,JP,Kumamoto,humidity,368,39.2,100.0,74.9,1314.51
2022-01-09,JP,Kumamoto,pm25,378,5.0,97.0,53.0,3338.96
2022-01-10,JP,Kumamoto,humidity,368,40.1,100.0,76.9,2176.34
2022-01-10,JP,Kumamoto,pm10,376,1.0,48.0,25.0,633.31
2022-01-10,JP,Kumamoto,pm25,380,17.0,134.0,78.0,3241.21
2022-01-10,JP,Kumamoto,wind-speed,360,0.2,5.1,1.2,14.46
2022-01-11,JP,Kumamoto,precipitation,55,0.1,99.0,0.1,1770.42
2022-01-11,JP,Kumamoto,humidity,375,47.0,100.0,76.6,3282.72
2022-01-11,JP,Kumamoto,pm10,357,1.0,53.0,11.0,938.96
2022-01-11,JP,Kumamoto,pm25,366,5.0,114.0,38.0,7440.27
2022-01-11,JP,Kumamoto,wind-speed,375,0.3,8.6,2.5,46.28
2022-01-12,JP,Kumamoto,wind-speed,384,0.5,9.0,1.5,109.04
2022-01-12,JP,Kumamoto,pm25,349,5.0,78.0,25.0,1492.24
2022-01-12,JP,Kumamoto,precipitation,32,99.0,99.0,99.0,0.0
2022-01-12,JP,Kumamoto,pm10,330,1.0,24.0,8.0,199.67
2022-01-12,JP,Kumamoto,humidity,384,48.1,78.8,62.9,647.81
2022-01-13,JP,Kumamoto,humidity,384,48.0,84.3,60.9,1096.3
2022-01-13,JP,Kumamoto,pm10,344,1.0,31.0,12.0,302.79
2022-01-13,JP,Kumamoto,pm25,374,5.0,91.0,42.0,2692.63
2022-01-13,JP,Kumamoto,precipitation,46,0.2,99.5,99.0,2127.26
2022-01-13,JP,Kumamoto,wind-speed,384,0.5,9.1,2.5,45.3
2022-01-14,JP,Kumamoto,humidity,384,28.1,86.2,59.2,1777.18
2022-01-14,JP,Kumamoto,pm10,341,1.0,25.0,10.0,190.83
2022-01-14,JP,Kumamoto,pm25,357,5.0,76.0,34.0,1815.63
2022-01-14,JP,Kumamoto,wind-speed,384,0.5,5.7,1.5,26.34
2022-01-15,JP,Kumamoto,wind-speed,368,0.1,3.6,1.0,5.3
2022-01-15,JP,Kumamoto,pm25,369,5.0,97.0,38.0,2682.92
2022-01-15,JP,Kumamoto,humidity,384,35.2,94.2,60.0,2501.7
2022-01-15,JP,Kumamoto,pm10,337,1.0,28.0,10.0,246.11
2022-01-16,JP,Kumamoto,humidity,384,69.0,100.0,80.5,627.4
2022-01-16,JP,Kumamoto,pm10,352,1.0,42.0,14.0,612.49
2022-01-16,JP,Kumamoto,pm25,365,5.0,134.0,53.0,3758.84
2022-01-16,JP,Kumamoto,precipitation,48,99.0,99.5,99.0,0.1
2022-01-16,JP,Kumamoto,wind-speed,384,0.5,7.2,1.5,32.51
2022-01-17,JP,Kumamoto,humidity,383,34.1,100.0,59.0,3367.44
2022-01-17,JP,Kumamoto,pm10,349,1.0,55.0,13.0,566.65
2022-01-17,JP,Kumamoto,pm25,373,5.0,139.0,46.0,3794.26
2022-01-17,JP,Kumamoto,wind-speed,383,0.5,9.0,1.5,26.88
2022-01-18,JP,Kumamoto,precipitation,32,99.0,99.0,99.0,0.0
2022-01-18,JP,Kumamoto,wind-speed,384,0.2,9.5,3.6,67.01
2022-01-18,JP,Kumamoto,pm25,368,5.0,93.0,50.0,2753.68
2022-01-18,JP,Kumamoto,pm10,345,1.0,30.0,12.0,327.41
2022-01-18,JP,Kumamoto,humidity,382,38.0,86.3,64.0,1552.23
2022-01-19,JP,Kumamoto,humidity,384,31.1,97.1,65.1,2692.64
2022-01-19,JP,Kumamoto,pm10,311,1.0,28.0,10.0,187.46
2022-01-19,JP,Kumamoto,pm25,355,5.0,102.0,34.0,2278.53
2022-01-19,JP,Kumamoto,wind-speed,384,0.3,3.6,1.0,5.89
2022-01-20,JP,Kumamoto,humidity,384,34.0,94.4,68.3,2204.72
2022-01-20,JP,Kumamoto,pm10,338,1.0,34.0,11.0,448.18
2022-01-20,JP,Kumamoto,pm25,359,5.0,91.0,50.0,3953.21
2022-01-20,JP,Kumamoto,precipitation,10,99.0,99.0,99.0,0.0
2022-01-20,JP,Kumamoto,wind-speed,384,0.5,8.2,3.6,33.59
2022-01-21,JP,Kumamoto,wind-speed,384,0.5,8.2,2.0,21.38
2022-01-21,JP,Kumamoto,pm25,320,5.0,95.0,25.0,1920.94
2022-01-21,JP,Kumamoto,pm10,309,1.0,198.0,7.0,1633.33
2022-01-21,JP,Kumamoto,humidity,384,32.0,96.3,53.3,2775.22
2022-01-22,JP,Kumamoto,humidity,344,48.9,100.0,65.3,2316.93
2022-01-22,JP,Kumamoto,pm10,352,1.0,55.0,13.0,1322.78
2022-01-22,JP,Kumamoto,pm25,364,5.0,156.0,53.0,9818.97
2022-01-22,JP,Kumamoto,precipitation,23,99.0,99.0,99.0,0.0
2022-01-22,JP,Kumamoto,wind-speed,344,0.5,5.1,1.0,9.6
2022-01-23,JP,Kumamoto,humidity,384,81.1,100.0,97.3,142.79
2022-01-23,JP,Kumamoto,pm10,364,1.0,67.0,18.0,1819.82
2022-01-23,JP,Kumamoto,pm25,373,5.0,170.0,57.0,8235.75
2022-01-23,JP,Kumamoto,precipitation,64,0.3,2.5,1.5,6.06
2022-01-23,JP,Kumamoto,wind-speed,376,0.5,9.2,1.5,14.8
2022-01-24,JP,Kumamoto,wind-speed,375,0.5,10.2,3.0,29.84
2022-01-24,JP,Kumamoto,precipitation,34,0.4,99.0,0.4,5543.45
2022-01-24,JP,Kumamoto,humidity,375,55.0,100.0,66.1,1909.25
2022-01-24,JP,Kumamoto,pm10,323,1.0,24.0,7.0,177.31
2022-01-24,JP,Kumamoto,pm25,335,5.0,467.0,25.0,13626.3
2022-01-25,JP,Kumamoto,humidity,384,45.2,99.3,63.2,2245.19
2022-01-25,JP,Kumamoto,pm10,343,1.0,36.0,10.0,242.12
2022-01-25,JP,Kumamoto,pm25,365,5.0,74.0,38.0,1816.29
2022-01-25,JP,Kumamoto,precipitation,6,99.0,99.0,99.0,0.0
2022-01-25,JP,Kumamoto,wind-speed,384,0.1,7.2,1.5,13.53
2022-01-26,JP,Kumamoto,precipitation,6,99.0,99.0,99.0,0.0
2022-01-26,JP,Kumamoto,pm25,373,9.0,179.0,61.0,4486.8
2022-01-26,JP,Kumamoto,wind-speed,351,0.4,8.8,1.5,19.98
2022-01-26,JP,Kumamoto,humidity,368,37.1,100.0,66.2,2473.45
2022-01-26,JP,Kumamoto,pm10,347,1.0,42.0,19.0,553.22
2022-01-27,JP,Kumamoto,humidity,375,47.0,95.2,73.0,1010.3
2022-01-27,JP,Kumamoto,pm10,374,3.0,50.0,26.0,697.86
2022-01-27,JP,Kumamoto,pm25,384,21.0,152.0,80.0,2995.34
2022-01-27,JP,Kumamoto,precipitation,4,99.0,99.0,99.0,0.0
2022-01-27,JP,Kumamoto,wind-speed,373,0.1,5.9,1.0,22.13
2022-01-28,JP,Kumamoto,wind-speed,383,0.1,5.1,1.5,15.31
2022-01-28,JP,Kumamoto,humidity,383,40.0,99.3,61.3,3109.95
2022-01-28,JP,Kumamoto,pm10,368,2.0,57.0,30.0,1239.92
2022-01-28,JP,Kumamoto,pm25,373,9.0,158.0,91.0,5193.33
2022-01-29,JP,Kumamoto,pm25,353,5.0,82.0,53.0,2486.13
2022-01-29,JP,Kumamoto,wind-speed,367,0.2,6.0,1.5,13.12
2022-01-29,JP,Kumamoto,humidity,383,37.1,90.0,57.3,1691.64
2022-01-29,JP,Kumamoto,pm10,339,1.0,38.0,13.0,373.0
2022-01-30,JP,Kumamoto,wind-speed,381,0.1,4.6,1.5,9.67
2022-01-30,JP,Kumamoto,pm25,339,5.0,72.0,38.0,2045.32
2022-01-30,JP,Kumamoto,humidity,384,33.0,87.9,57.3,1508.02
2022-01-30,JP,Kumamoto,pm10,306,1.0,28.0,10.0,179.49
2022-01-31,JP,Kumamoto,humidity,381,25.1,97.8,71.1,4316.94
2022-01-31,JP,Kumamoto,pm10,337,1.0,28.0,10.0,198.09
2022-01-31,JP,Kumamoto,pm25,346,5.0,97.0,42.0,2344.41
2022-01-31,JP,Kumamoto,precipitation,34,99.0,99.0,99.0,0.0
2022-01-31,JP,Kumamoto,wind-speed,380,0.2,5.1,1.5,6.21
2022-02-01,JP,Kumamoto,wind-speed,371,0.5,6.7,1.0,18.46
2022-02-01,JP,Kumamoto,precipitation,23,99.0,99.0,99.0,0.0
2022-02-01,JP,Kumamoto,pm25,368,5.0,127.0,59.0,5606.66
2022-02-01,JP,Kumamoto,pm10,338,1.0,40.0,18.0,819.78
2022-02-01,JP,Kumamoto,humidity,375,52.0,96.3,68.7,1188.67
2022-02-02,JP,Kumamoto,humidity,384,58.2,80.3,70.8,486.16
2022-02-02,JP,Kumamoto,pm10,376,2.0,51.0,26.0,1056.38
2022-02-02,JP,Kumamoto,pm25,381,13.0,139.0,80.0,6059.13
2022-02-02,JP,Kumamoto,precipitation,4,99.0,99.0,99.0,0.0
2022-02-02,JP,Kumamoto,wind-speed,384,0.2,6.0,0.8,36.27
2022-02-03,JP,Kumamoto,humidity,384,39.0,95.0,60.1,2584.79
2022-02-03,JP,Kumamoto,pm10,366,1.0,51.0,17.0,1516.98
2022-02-03,JP,Kumamoto,pm25,373,9.0,144.0,61.0,9246.94
2022-02-03,JP,Kumamoto,precipitation,41,99.0,99.0,99.0,0.0
