Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Kyoto,humidity,598,50.0,98.0,78.2,1265.12
2022-01-01,JP,Kyoto,pm10,556,1.0,13.0,5.0,52.7
2022-01-01,JP,Kyoto,pm25,494,5.0,72.0,17.0,824.35
2022-01-01,JP,Kyoto,precipitation,78,0.1,99.0,99.0,24363.5
2022-01-01,JP,Kyoto,wind-speed,595,0.2,5.6,2.0,10.71
2022-01-02,JP,Kyoto,humidity,597,40.1,94.0,80.3,2237.17
2022-01-02,JP,Kyoto,pm10,573,2.0,28.0,8.0,120.33
2022-01-02,JP,Kyoto,pm25,546,5.0,89.0,30.0,2065.25
2022-01-02,JP,Kyoto,wind-speed,569,0.5,8.2,1.5,18.68
2022-01-03,JP,Kyoto,wind-speed,596,0.1,4.5,1.5,11.29
2022-01-03,JP,Kyoto,pm25,570,5.0,80.0,53.0,1513.17
2022-01-03,JP,Kyoto,precipitation,17,99.0,99.0,99.0,0.0
2022-01-03,JP,Kyoto,humidity,600,36.2,91.1,74.1,2807.19
2022-01-03,JP,Kyoto,pm10,570,3.0,28.0,14.0,151.77
2022-01-04,JP,Kyoto,humidity,600,50.1,96.5,78.7,1422.4
2022-01-04,JP,Kyoto,pm10,565,1.0,27.0,10.0,187.83
2022-01-04,JP,Kyoto,pm25,545,5.0,65.0,34.0,2081.19
2022-01-04,JP,Kyoto,precipitation,59,99.0,99.0,99.0,0.0
2022-01-04,JP,Kyoto,wind-speed,600,0.1,6.5,2.0,24.68
2022-01-05,JP,Kyoto,humidity,600,48.0,97.0,77.2,1560.12
2022-01-05,JP,Kyoto,pm10,565,1.0,20.0,6.0,68.58
2022-01-05,JP,Kyoto,pm25,525,5.0,59.0,21.0,984.8
2022-01-05,JP,Kyoto,precipitation,55,99.0,99.0,99.0,0.0
2022-01-05,JP,Kyoto,wind-speed,581,0.3,8.7,1.5,18.53
2022-01-06,JP,Kyoto,wind-speed,556,0.2,6.1,1.0,15.32
2022-01-06,JP,Kyoto,precipitation,25,99.0,99.0,99.0,0.0
2022-01-06,JP,Kyoto,pm25,526,5.0,72.0,34.0,2268.25
2022-01-06,JP,Kyoto,pm10,578,1.0,28.0,10.0,193.91
2022-01-06,JP,Kyoto,humidity,600,64.5,94.4,75.0,662.68
2022-01-07,JP,Kyoto,humidity,600,48.1,96.0,69.9,1637.58
2022-01-07,JP,Kyoto,pm10,580,2.0,35.0,10.0,155.91
2022-01-07,JP,Kyoto,pm25,547,5.0,85.0,38.0,1762.2
2022-01-07,JP,Kyoto,precipitation,84,99.0,99.5,99.0,0.61
2022-01-07,JP,Kyoto,wind-speed,599,0.1,5.5,2.0,14.25
2022-01-08,JP,Kyoto,humidity,600,36.0,87.1,68.9,1772.44
2022-01-08,JP,Kyoto,pm10,561,7.0,37.0,13.0,186.77
2022-01-08,JP,Kyoto,pm25,565,5.0,85.0,50.0,1649.41
2022-01-08,JP,Kyoto,wind-speed,552,0.1,4.3,1.0,5.58
2022-01-09,JP,Kyoto,wind-speed,535,0.1,4.2,1.0,6.35
2022-01-09,JP,Kyoto,pm25,569,13.0,93.0,57.0,1431.24
2022-01-09,JP,Kyoto,pm10,570,8.0,38.0,16.0,257.96
2022-01-09,JP,Kyoto,humidity,600,42.0,93.0,76.7,1791.79
2022-01-10,JP,Kyoto,humidity,600,35.0,95.0,67.5,2669.68
2022-01-10,JP,Kyoto,pm10,583,7.0,38.0,15.0,315.52
2022-01-10,JP,Kyoto,pm25,576,5.0,85.0,55.0,1431.85
2022-01-10,JP,Kyoto,wind-speed,567,0.1,4.3,1.0,6.02
2022-01-11,JP,Kyoto,humidity,600,63.9,99.0,82.0,1020.98
2022-01-11,JP,Kyoto,pm10,575,4.0,51.0,13.0,366.97
2022-01-11,JP,Kyoto,pm25,571,5.0,87.0,50.0,1709.07
2022-01-11,JP,Kyoto,precipitation,42,1.0,99.0,1.0,24595.6
2022-01-11,JP,Kyoto,wind-speed,561,0.1,7.0,1.0,15.65
2022-01-12,JP,Kyoto,wind-speed,575,0.5,6.5,2.5,8.41
2022-01-12,JP,Kyoto,precipitation,63,99.0,99.5,99.0,0.56
2022-01-12,JP,Kyoto,pm10,562,1.0,23.0,5.0,81.34
2022-01-12,JP,Kyoto,humidity,579,64.1,98.0,78.5,603.64
2022-01-12,JP,Kyoto,pm25,520,5.0,57.0,21.0,1143.27
2022-01-13,JP,Kyoto,humidity,600,32.0,94.5,60.1,2303.19
2022-01-13,JP,Kyoto,pm10,543,1.0,40.0,10.0,192.42
2022-01-13,JP,Kyoto,pm25,562,5.0,109.0,34.0,2727.98
2022-01-13,JP,Kyoto,precipitation,50,99.0,99.0,99.0,0.0
2022-01-13,JP,Kyoto,wind-speed,600,1.0,11.9,3.6,56.03
2022-01-14,JP,Kyoto,precipitation,84,0.4,99.0,0.5,24572.8
2022-01-14,JP,Kyoto,humidity,537,51.0,97.0,81.2,900.24
2022-01-14,JP,Kyoto,pm10,557,1.0,22.0,6.0,80.06
2022-01-14,JP,Kyoto,pm25,534,5.0,70.0,21.0,1224.48
2022-01-14,JP,Kyoto,wind-speed,534,0.5,7.5,2.5,12.43
2022-01-15,JP,Kyoto,wind-speed,553,0.5,5.7,1.5,8.33
2022-01-15,JP,Kyoto,pm25,547,5.0,59.0,30.0,1277.84
2022-01-15,JP,Kyoto,pm10,561,2.0,21.0,8.0,85.81
2022-01-15,JP,Kyoto,humidity,558,44.0,93.0,78.4,1483.17
2022-01-16,JP,Kyoto,humidity,554,50.2,91.0,79.8,1466.77
2022-01-16,JP,Kyoto,pm10,577,2.0,62.0,14.0,481.58
2022-01-16,JP,Kyoto,pm25,568,5.0,137.0,50.0,3608.76
2022-01-16,JP,Kyoto,wind-speed,526,0.1,8.1,1.0,18.71
2022-01-17,JP,Kyoto,precipitation,5,99.0,99.0,99.0,0.0
2022-01-17,JP,Kyoto,pm25,567,5.0,78.0,46.0,2593.19
2022-01-17,JP,Kyoto,wind-speed,575,0.2,8.0,1.5,40.71
2022-01-17,JP,Kyoto,humidity,579,38.0,92.5,69.5,1534.13
2022-01-17,JP,Kyoto,pm10,584,1.0,39.0,13.0,396.04
2022-01-18,JP,Kyoto,wind-speed,600,0.5,6.5,2.5,21.67
2022-01-18,JP,Kyoto,precipitation,84,99.0,99.0,99.0,0.0
2022-01-18,JP,Kyoto,humidity,600,49.3,97.0,78.1,1385.8
2022-01-18,JP,Kyoto,pm10,561,2.0,22.0,7.0,80.06
2022-01-18,JP,Kyoto,pm25,549,5.0,65.0,25.0,1105.4
2022-01-19,JP,Kyoto,humidity,600,49.9,97.0,82.1,1819.92
2022-01-19,JP,Kyoto,pm10,572,3.0,31.0,9.0,165.53
2022-01-19,JP,Kyoto,pm25,531,5.0,76.0,34.0,1907.62
2022-01-19,JP,Kyoto,precipitation,84,99.0,99.0,99.0,0.0
2022-01-19,JP,Kyoto,wind-speed,569,0.1,5.3,1.3,11.06
2022-01-20,JP,Kyoto,wind-speed,597,0.5,6.1,2.0,17.23
2022-01-20,JP,Kyoto,pm25,525,5.0,76.0,30.0,2757.04
2022-01-20,JP,Kyoto,precipitation,63,0.3,99.5,99.0,19576.9
2022-01-20,JP,Kyoto,humidity,600,45.2,94.4,85.9,567.61
2022-01-20,JP,Kyoto,pm10,576,1.0,30.0,7.0,300.22
