Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Leicester,humidity,24,81.5,93.0,88.0,71.97
2022-01-01,GB,Leicester,pm10,24,8.0,20.0,12.0,177.97
2022-01-01,GB,Leicester,pm25,24,26.0,55.0,38.0,897.97
2022-01-01,GB,Leicester,wind-speed,24,10.0,19.0,15.0,55.43
2022-01-02,GB,Leicester,humidity,24,84.0,92.2,90.0,63.76
2022-01-02,GB,Leicester,pm10,23,9.0,18.0,13.0,58.1
2022-01-02,GB,Leicester,pm25,20,25.0,52.0,34.0,691.16
2022-01-02,GB,Leicester,wind-speed,24,5.5,15.2,11.0,55.69
2022-01-03,GB,Leicester,wind-speed,24,7.5,15.5,10.3,42.26
2022-01-03,GB,Leicester,pm25,24,30.0,40.0,34.0,93.32
2022-01-03,GB,Leicester,humidity,24,80.0,90.0,87.5,93.53
2022-01-03,GB,Leicester,pm10,24,11.0,16.0,13.0,15.2
2022-01-04,GB,Leicester,humidity,24,69.5,95.0,87.5,582.1
2022-01-04,GB,Leicester,pm10,22,9.0,15.0,11.0,38.98
2022-01-04,GB,Leicester,pm25,19,21.0,36.0,29.0,275.79
2022-01-04,GB,Leicester,wind-speed,24,0.2,7.7,3.0,33.03
2022-01-05,GB,Leicester,wind-speed,20,0.2,4.5,3.0,19.52
2022-01-05,GB,Leicester,humidity,24,72.0,92.2,88.2,365.97
2022-01-05,GB,Leicester,pm10,24,6.0,25.0,11.0,160.85
2022-01-05,GB,Leicester,pm25,23,17.0,71.0,27.0,1857.83
2022-01-06,GB,Leicester,wind-speed,24,0.5,18.2,10.2,356.81
2022-01-06,GB,Leicester,pm25,17,34.0,66.0,50.0,765.15
2022-01-06,GB,Leicester,humidity,24,81.7,91.7,90.0,109.48
2022-01-06,GB,Leicester,pm10,18,11.0,21.0,15.0,72.32
2022-01-07,GB,Leicester,humidity,24,75.7,93.7,85.0,302.21
2022-01-07,GB,Leicester,pm10,22,8.0,13.0,9.0,18.61
2022-01-07,GB,Leicester,pm25,24,17.0,30.0,23.0,135.2
2022-01-07,GB,Leicester,wind-speed,24,2.0,11.7,7.2,113.77
2022-01-08,GB,Leicester,humidity,24,86.5,94.2,92.0,66.22
2022-01-08,GB,Leicester,pm10,20,6.0,15.0,8.0,61.47
