Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Little Rock,humidity,48,62.0,100.0,87.0,464.52
2022-01-01,US,Little Rock,pm25,20,4.0,64.0,17.0,3999.24
2022-01-01,US,Little Rock,wind-speed,48,1.5,18.0,6.1,187.05
2022-01-02,US,Little Rock,humidity,48,63.0,93.0,68.0,894.94
2022-01-02,US,Little Rock,pm25,23,13.0,47.0,21.0,749.84
2022-01-02,US,Little Rock,wind-speed,48,3.6,19.0,6.6,177.2
2022-01-03,US,Little Rock,humidity,48,35.0,79.0,55.0,1949.5
2022-01-03,US,Little Rock,pm25,23,1.0,46.0,20.0,1006.28
2022-01-03,US,Little Rock,wind-speed,40,1.5,10.0,2.5,41.11
2022-01-04,US,Little Rock,humidity,48,37.0,79.0,56.0,2334.02
2022-01-04,US,Little Rock,pm25,20,4.0,47.0,32.0,1448.71
2022-01-04,US,Little Rock,wind-speed,40,1.5,15.0,6.0,178.97
2022-01-05,US,Little Rock,humidity,48,25.0,74.0,52.0,2544.4
2022-01-05,US,Little Rock,pm25,22,6.0,52.0,30.0,2121.56
2022-01-05,US,Little Rock,wind-speed,40,1.5,12.0,3.6,46.49
2022-01-06,US,Little Rock,wind-speed,48,3.6,16.0,5.1,74.54
2022-01-06,US,Little Rock,pm25,24,7.0,49.0,27.0,824.35
2022-01-06,US,Little Rock,humidity,48,36.0,69.0,59.0,520.57
2022-01-07,US,Little Rock,humidity,48,43.0,68.0,53.0,486.7
2022-01-07,US,Little Rock,pm25,23,1.0,34.0,16.0,621.58
2022-01-07,US,Little Rock,wind-speed,48,2.0,11.0,4.1,51.85
2022-01-08,US,Little Rock,humidity,48,59.0,91.5,78.0,1617.08
2022-01-08,US,Little Rock,pm25,24,19.0,51.0,29.0,746.07
2022-01-08,US,Little Rock,wind-speed,46,0.5,10.0,3.8,61.73
2022-01-09,US,Little Rock,wind-speed,48,2.0,19.0,8.0,155.22
2022-01-09,US,Little Rock,pm25,24,16.0,35.0,28.0,291.88
2022-01-09,US,Little Rock,humidity,48,41.0,90.0,66.0,3228.38
2022-01-10,US,Little Rock,humidity,48,17.0,69.0,43.0,2459.13
2022-01-10,US,Little Rock,pm25,23,9.0,67.0,19.0,3517.15
2022-01-10,US,Little Rock,wind-speed,40,1.5,15.0,3.0,79.59
2022-01-11,US,Little Rock,humidity,48,25.0,80.0,49.0,3654.11
2022-01-11,US,Little Rock,pm25,24,15.0,53.0,38.0,1384.33
2022-01-11,US,Little Rock,wind-speed,26,1.5,8.0,3.6,35.12
2022-01-12,US,Little Rock,wind-speed,38,1.5,13.0,4.6,112.18
2022-01-12,US,Little Rock,humidity,48,33.0,86.0,47.0,2526.79
2022-01-12,US,Little Rock,pm25,24,15.0,62.0,35.0,1641.72
2022-01-13,US,Little Rock,humidity,48,22.0,70.0,46.0,2860.27
2022-01-13,US,Little Rock,pm25,24,11.0,93.0,37.0,3002.16
2022-01-13,US,Little Rock,wind-speed,44,1.5,11.0,4.0,61.14
2022-01-14,US,Little Rock,humidity,48,47.0,80.0,62.0,954.03
2022-01-14,US,Little Rock,pm25,23,18.0,63.0,27.0,2219.05
2022-01-14,US,Little Rock,wind-speed,32,2.5,10.0,8.0,57.26
2022-01-15,US,Little Rock,humidity,48,61.0,87.0,80.0,731.81
2022-01-15,US,Little Rock,pm25,23,4.0,55.0,20.0,1400.75
2022-01-15,US,Little Rock,wind-speed,48,2.5,15.0,7.0,58.26
2022-01-16,US,Little Rock,humidity,48,49.0,80.0,64.0,908.83
2022-01-16,US,Little Rock,pm25,23,3.0,34.0,21.0,536.76
2022-01-16,US,Little Rock,wind-speed,48,3.6,17.0,11.0,141.46
2022-01-17,US,Little Rock,wind-speed,34,2.0,16.0,6.0,236.91
2022-01-17,US,Little Rock,pm25,24,14.0,67.0,33.0,2524.18
2022-01-17,US,Little Rock,humidity,48,37.0,80.0,64.0,2081.63
2022-01-18,US,Little Rock,humidity,48,36.0,86.0,50.0,2478.23
2022-01-18,US,Little Rock,pm25,24,13.0,68.0,45.0,2219.98
2022-01-18,US,Little Rock,wind-speed,34,1.5,8.2,4.6,36.41
2022-01-19,US,Little Rock,humidity,48,55.0,82.0,71.0,488.45
2022-01-19,US,Little Rock,pm25,24,10.0,62.0,47.0,1824.35
2022-01-19,US,Little Rock,wind-speed,42,1.5,20.6,3.0,332.12
2022-01-20,US,Little Rock,humidity,48,29.0,51.0,39.0,380.78
2022-01-20,US,Little Rock,pm25,24,10.0,23.0,15.0,131.01
2022-01-20,US,Little Rock,wind-speed,48,3.6,19.0,8.2,198.61
2022-01-21,US,Little Rock,humidity,48,31.0,67.0,49.0,1066.8
2022-01-21,US,Little Rock,pm25,24,13.0,39.0,23.0,375.63
2022-01-21,US,Little Rock,wind-speed,48,1.5,12.0,8.0,75.48
2022-01-22,US,Little Rock,pm25,23,19.0,90.0,43.0,4477.23
2022-01-22,US,Little Rock,wind-speed,22,1.5,5.0,3.0,10.09
2022-01-22,US,Little Rock,humidity,48,28.0,79.0,55.0,3007.93
2022-01-23,US,Little Rock,wind-speed,40,1.5,15.0,4.1,96.74
2022-01-23,US,Little Rock,pm25,24,15.0,87.0,43.0,4103.89
2022-01-23,US,Little Rock,humidity,48,25.0,64.0,52.0,2326.31
2022-01-24,US,Little Rock,humidity,48,28.0,80.0,58.0,2804.1
2022-01-24,US,Little Rock,pm25,23,25.0,66.0,38.0,1814.31
