Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Los Angeles,humidity,72,29.0,97.0,69.9,3560.36
2022-01-01,US,Los Angeles,pm10,24,10.0,46.0,18.0,986.5
2022-01-01,US,Los Angeles,pm25,72,8.0,165.0,60.0,19160.3
2022-01-01,US,Los Angeles,wind-speed,32,0.1,4.1,1.3,13.1
2022-01-02,US,Los Angeles,humidity,72,14.0,82.2,52.9,3671.95
2022-01-02,US,Los Angeles,pm10,23,10.0,30.0,14.0,462.65
2022-01-02,US,Los Angeles,pm25,69,3.0,120.0,34.0,5958.32
2022-01-02,US,Los Angeles,wind-speed,48,0.1,5.1,1.5,13.13
2022-01-03,US,Los Angeles,wind-speed,36,0.1,6.4,1.7,31.5
2022-01-03,US,Los Angeles,pm25,72,7.0,90.0,50.0,3753.49
2022-01-03,US,Los Angeles,humidity,72,25.0,91.5,60.4,3155.58
2022-01-03,US,Los Angeles,pm10,24,13.0,40.0,20.0,436.36
2022-01-04,US,Los Angeles,humidity,72,42.0,95.1,74.3,1984.27
2022-01-04,US,Los Angeles,pm10,24,23.0,42.0,31.0,351.29
2022-01-04,US,Los Angeles,pm25,72,30.0,86.0,61.0,1356.05
2022-01-04,US,Los Angeles,wind-speed,37,0.1,2.5,1.0,6.87
2022-01-05,US,Los Angeles,wind-speed,25,0.1,3.0,1.0,8.64
2022-01-05,US,Los Angeles,humidity,72,30.6,96.0,76.0,3068.37
2022-01-05,US,Los Angeles,pm10,24,30.0,56.0,43.0,576.07
2022-01-05,US,Los Angeles,pm25,72,57.0,119.0,78.0,1664.22
2022-01-06,US,Los Angeles,wind-speed,39,0.1,3.0,0.7,4.16
2022-01-06,US,Los Angeles,pm25,70,36.0,121.0,74.0,4565.89
2022-01-06,US,Los Angeles,humidity,72,34.3,100.0,73.9,4474.92
2022-01-06,US,Los Angeles,pm10,24,18.0,63.0,37.0,1556.07
2022-01-07,US,Los Angeles,humidity,72,76.0,100.0,87.2,403.28
2022-01-07,US,Los Angeles,pm10,24,18.0,53.0,39.0,1193.62
2022-01-07,US,Los Angeles,pm25,69,13.0,134.0,53.0,7906.63
2022-01-07,US,Los Angeles,wind-speed,40,0.1,3.6,1.2,5.63
2022-01-08,US,Los Angeles,humidity,72,55.0,94.1,81.0,1253.06
2022-01-08,US,Los Angeles,pm10,24,14.0,34.0,21.0,264.27
2022-01-08,US,Los Angeles,pm25,72,18.0,146.0,59.0,4815.63
2022-01-08,US,Los Angeles,wind-speed,35,0.1,3.0,1.5,8.85
2022-01-09,US,Los Angeles,pm10,24,12.0,50.0,28.0,986.01
2022-01-09,US,Los Angeles,wind-speed,43,0.1,4.2,1.5,10.35
2022-01-09,US,Los Angeles,humidity,69,18.0,97.0,75.0,7641.05
2022-01-09,US,Los Angeles,pm25,70,1.0,151.0,76.0,14570.0
2022-01-10,US,Los Angeles,humidity,72,16.0,54.2,36.1,1155.42
2022-01-10,US,Los Angeles,pm10,24,14.0,39.0,22.0,395.63
2022-01-10,US,Los Angeles,pm25,69,3.0,99.0,34.0,4752.02
2022-01-10,US,Los Angeles,wind-speed,52,0.1,4.1,1.5,11.7
2022-01-11,US,Los Angeles,pm25,71,5.0,86.0,30.0,5426.16
2022-01-11,US,Los Angeles,humidity,72,10.0,49.4,28.8,1404.69
2022-01-11,US,Los Angeles,pm10,24,11.0,43.0,21.0,675.63
2022-01-11,US,Los Angeles,wind-speed,59,0.1,6.1,1.4,20.12
2022-01-12,US,Los Angeles,wind-speed,42,0.1,3.6,1.6,8.43
2022-01-12,US,Los Angeles,pm25,68,5.0,84.0,54.0,3966.94
2022-01-12,US,Los Angeles,humidity,72,16.0,54.0,33.5,1201.2
2022-01-12,US,Los Angeles,pm10,24,14.0,54.0,24.0,1574.62
2022-01-13,US,Los Angeles,humidity,72,29.8,76.0,46.7,1950.73
2022-01-13,US,Los Angeles,pm10,24,17.0,62.0,41.0,2159.13
2022-01-13,US,Los Angeles,pm25,70,21.0,102.0,70.0,3615.81
2022-01-13,US,Los Angeles,wind-speed,43,0.1,2.5,0.7,4.7
2022-01-14,US,Los Angeles,wind-speed,33,0.1,3.6,1.5,10.16
2022-01-14,US,Los Angeles,humidity,72,19.9,93.9,53.4,3237.32
2022-01-14,US,Los Angeles,pm10,24,28.0,56.0,40.0,706.07
2022-01-14,US,Los Angeles,pm25,72,43.0,126.0,65.0,4301.59
2022-01-15,US,Los Angeles,wind-speed,51,0.1,4.1,1.5,9.69
2022-01-15,US,Los Angeles,pm25,72,13.0,144.0,53.0,10357.8
2022-01-15,US,Los Angeles,humidity,72,30.9,84.0,51.8,1739.03
2022-01-15,US,Los Angeles,pm10,24,10.0,52.0,22.0,1087.54
2022-01-16,US,Los Angeles,pm25,67,5.0,71.0,38.0,3087.22
2022-01-16,US,Los Angeles,humidity,71,22.4,90.3,44.0,3533.66
2022-01-16,US,Los Angeles,pm10,24,6.0,31.0,14.0,427.75
2022-01-16,US,Los Angeles,wind-speed,48,0.1,4.4,1.5,14.0
2022-01-17,US,Los Angeles,wind-speed,47,0.1,4.5,1.5,11.96
2022-01-17,US,Los Angeles,pm25,72,11.0,63.0,38.0,1489.67
2022-01-17,US,Los Angeles,pm10,24,10.0,27.0,19.0,255.36
2022-01-17,US,Los Angeles,humidity,72,56.3,94.0,78.0,670.29
2022-01-18,US,Los Angeles,humidity,72,63.0,93.0,87.0,760.29
2022-01-18,US,Los Angeles,pm10,20,10.0,26.0,17.0,237.47
2022-01-18,US,Los Angeles,pm25,67,8.0,63.0,37.0,1509.18
2022-01-18,US,Los Angeles,wind-speed,51,0.2,5.5,1.1,17.07
2022-01-19,US,Los Angeles,pm25,69,21.0,95.0,59.0,1620.55
2022-01-19,US,Los Angeles,wind-speed,40,0.1,5.7,1.4,18.64
2022-01-19,US,Los Angeles,humidity,72,59.0,96.3,84.5,938.6
2022-01-19,US,Los Angeles,pm10,21,19.0,33.0,25.0,191.14
2022-01-20,US,Los Angeles,humidity,72,21.4,97.0,64.1,6602.53
2022-01-20,US,Los Angeles,pm10,24,12.0,34.0,28.0,642.32
2022-01-20,US,Los Angeles,pm25,72,4.0,106.0,52.0,5917.17
2022-01-20,US,Los Angeles,wind-speed,41,0.1,4.6,1.8,19.37
2022-01-21,US,Los Angeles,wind-speed,49,0.1,10.5,2.0,54.15
2022-01-21,US,Los Angeles,humidity,72,12.5,91.3,63.0,6045.57
2022-01-21,US,Los Angeles,pm10,24,14.0,88.0,27.0,2893.26
2022-01-21,US,Los Angeles,pm25,72,4.0,84.0,46.0,4089.23
2022-01-22,US,Los Angeles,pm25,71,3.0,86.0,24.0,3018.28
2022-01-22,US,Los Angeles,wind-speed,62,0.1,7.7,1.5,35.72
2022-01-22,US,Los Angeles,humidity,72,13.1,46.2,22.2,579.57
2022-01-22,US,Los Angeles,pm10,24,11.0,54.0,20.0,1278.97
2022-01-23,US,Los Angeles,wind-speed,48,0.1,7.5,1.5,38.05
2022-01-23,US,Los Angeles,pm25,72,3.0,98.0,36.0,7461.83
2022-01-23,US,Los Angeles,pm10,24,7.0,34.0,15.0,544.06
2022-01-23,US,Los Angeles,humidity,72,17.0,78.1,34.2,3134.29
2022-01-24,US,Los Angeles,humidity,72,24.3,93.0,63.0,4110.7
2022-01-24,US,Los Angeles,pm10,24,17.0,44.0,29.0,565.63
2022-01-24,US,Los Angeles,pm25,72,3.0,98.0,49.0,5125.02
2022-01-24,US,Los Angeles,wind-speed,44,0.1,4.0,1.5,15.21
