Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,NL,Maastricht,humidity,120,81.0,97.0,91.0,105.9
2022-01-01,NL,Maastricht,pm10,94,1.0,66.0,15.0,918.69
2022-01-01,NL,Maastricht,pm25,90,5.0,257.0,30.0,12918.9
2022-01-01,NL,Maastricht,wind-speed,88,0.1,7.0,1.3,27.27
2022-01-02,NL,Maastricht,humidity,120,70.7,95.9,86.5,205.18
2022-01-02,NL,Maastricht,pm10,95,4.0,25.0,12.0,128.36
2022-01-02,NL,Maastricht,pm25,93,5.0,53.0,25.0,1195.13
2022-01-02,NL,Maastricht,wind-speed,104,0.1,12.8,4.6,105.43
2022-01-03,NL,Maastricht,wind-speed,116,0.1,10.7,5.3,66.36
2022-01-03,NL,Maastricht,pm25,95,5.0,42.0,17.0,778.39
2022-01-03,NL,Maastricht,humidity,120,86.2,97.0,89.5,104.91
2022-01-03,NL,Maastricht,pm10,96,2.0,25.0,14.0,285.24
2022-01-04,NL,Maastricht,humidity,120,91.8,98.0,94.0,29.56
2022-01-04,NL,Maastricht,pm10,95,2.0,16.0,10.0,147.42
2022-01-04,NL,Maastricht,pm25,88,5.0,42.0,13.0,759.35
2022-01-04,NL,Maastricht,wind-speed,86,0.1,9.2,2.4,48.24
2022-01-05,NL,Maastricht,wind-speed,110,0.1,11.8,3.7,92.84
2022-01-05,NL,Maastricht,humidity,120,88.9,97.0,92.9,47.69
2022-01-05,NL,Maastricht,pm10,95,3.0,28.0,13.0,177.68
2022-01-05,NL,Maastricht,pm25,94,5.0,72.0,34.0,1503.74
2022-01-06,NL,Maastricht,wind-speed,74,0.1,6.5,1.5,35.46
2022-01-06,NL,Maastricht,pm25,96,5.0,82.0,34.0,3042.31
2022-01-06,NL,Maastricht,humidity,120,90.5,99.0,94.0,48.49
2022-01-06,NL,Maastricht,pm10,95,3.0,32.0,17.0,316.06
2022-01-07,NL,Maastricht,humidity,120,83.3,95.5,92.0,69.29
2022-01-07,NL,Maastricht,pm10,95,1.0,23.0,11.0,292.4
2022-01-07,NL,Maastricht,pm25,93,5.0,76.0,30.0,1971.71
2022-01-07,NL,Maastricht,wind-speed,116,0.2,10.3,4.5,61.03
2022-01-08,NL,Maastricht,humidity,120,87.2,98.0,93.0,33.89
2022-01-08,NL,Maastricht,pm10,92,1.0,22.0,11.0,150.16
2022-01-08,NL,Maastricht,pm25,92,5.0,72.0,25.0,3038.06
2022-01-08,NL,Maastricht,wind-speed,109,0.1,10.0,2.0,66.99
2022-01-09,NL,Maastricht,pm10,93,2.0,24.0,11.0,195.66
2022-01-09,NL,Maastricht,wind-speed,96,0.1,14.2,4.5,96.9
2022-01-09,NL,Maastricht,humidity,120,85.9,97.0,92.9,66.46
2022-01-09,NL,Maastricht,pm25,89,5.0,68.0,30.0,1775.57
2022-01-10,NL,Maastricht,humidity,120,94.0,99.0,95.0,25.48
2022-01-10,NL,Maastricht,pm10,94,2.0,46.0,18.0,464.3
2022-01-10,NL,Maastricht,pm25,96,13.0,107.0,55.0,1845.66
2022-01-10,NL,Maastricht,wind-speed,42,0.2,3.9,0.8,9.86
2022-01-11,NL,Maastricht,pm25,95,25.0,139.0,72.0,3013.96
2022-01-11,NL,Maastricht,humidity,120,85.4,99.0,95.0,104.93
2022-01-11,NL,Maastricht,pm10,96,6.0,43.0,21.0,282.3
2022-01-11,NL,Maastricht,wind-speed,29,0.1,2.1,0.6,2.92
2022-01-12,NL,Maastricht,wind-speed,33,0.1,3.1,1.2,10.08
2022-01-12,NL,Maastricht,pm25,95,42.0,122.0,78.0,3267.85
2022-01-12,NL,Maastricht,humidity,120,92.5,98.6,93.7,38.91
2022-01-12,NL,Maastricht,pm10,93,5.0,46.0,25.0,561.66
2022-01-13,NL,Maastricht,humidity,120,76.1,98.0,93.0,284.4
2022-01-13,NL,Maastricht,pm10,95,5.0,46.0,26.0,597.42
2022-01-13,NL,Maastricht,pm25,94,38.0,122.0,72.0,3475.64
2022-01-13,NL,Maastricht,wind-speed,64,0.1,4.2,0.5,14.48
2022-01-14,NL,Maastricht,wind-speed,34,0.1,5.5,2.2,25.29
2022-01-14,NL,Maastricht,humidity,120,83.1,99.0,93.0,115.41
2022-01-14,NL,Maastricht,pm10,96,13.0,51.0,24.0,599.68
2022-01-14,NL,Maastricht,pm25,96,53.0,153.0,80.0,3684.05
2022-01-15,NL,Maastricht,wind-speed,39,0.1,3.0,0.4,10.01
2022-01-15,NL,Maastricht,pm25,96,38.0,114.0,70.0,3387.63
2022-01-15,NL,Maastricht,humidity,120,93.0,98.0,94.0,46.35
2022-01-15,NL,Maastricht,pm10,96,5.0,45.0,25.0,446.58
2022-01-16,NL,Maastricht,pm25,96,50.0,119.0,78.0,2446.89
2022-01-16,NL,Maastricht,humidity,120,92.2,99.0,93.8,35.93
2022-01-16,NL,Maastricht,pm10,96,9.0,45.0,27.0,506.71
2022-01-16,NL,Maastricht,wind-speed,108,0.1,6.2,2.6,24.88
2022-01-17,NL,Maastricht,wind-speed,78,0.1,7.7,2.5,37.79
2022-01-17,NL,Maastricht,pm25,92,42.0,93.0,72.0,1407.68
2022-01-17,NL,Maastricht,pm10,94,13.0,36.0,25.0,155.05
2022-01-17,NL,Maastricht,humidity,120,91.3,98.5,93.0,42.55
2022-01-18,NL,Maastricht,humidity,120,82.9,99.0,93.0,146.56
2022-01-18,NL,Maastricht,pm10,96,6.0,48.0,23.0,422.25
2022-01-18,NL,Maastricht,pm25,95,30.0,85.0,57.0,1105.29
2022-01-18,NL,Maastricht,wind-speed,4,1.1,2.0,1.5,1.37
2022-01-19,NL,Maastricht,pm25,96,25.0,89.0,59.0,1200.42
2022-01-19,NL,Maastricht,wind-speed,70,0.2,4.0,1.3,21.49
2022-01-19,NL,Maastricht,humidity,120,90.0,98.3,93.3,59.71
2022-01-19,NL,Maastricht,pm10,96,5.0,37.0,20.0,271.79
2022-01-20,NL,Maastricht,humidity,120,81.8,99.0,93.0,197.1
2022-01-20,NL,Maastricht,pm10,95,1.0,31.0,15.0,234.19
2022-01-20,NL,Maastricht,pm25,92,9.0,61.0,30.0,1253.46
2022-01-20,NL,Maastricht,wind-speed,68,0.1,3.0,0.6,7.26
2022-01-21,NL,Maastricht,wind-speed,56,0.1,5.8,1.1,23.92
2022-01-21,NL,Maastricht,humidity,120,91.2,98.3,94.0,35.81
2022-01-21,NL,Maastricht,pm10,95,9.0,34.0,17.0,239.04
2022-01-21,NL,Maastricht,pm25,96,21.0,82.0,46.0,1612.05
2022-01-22,NL,Maastricht,pm25,96,38.0,95.0,72.0,1507.79
2022-01-22,NL,Maastricht,wind-speed,75,0.2,5.7,1.2,28.94
2022-01-22,NL,Maastricht,humidity,120,92.0,98.0,94.0,20.84
2022-01-22,NL,Maastricht,pm10,96,12.0,40.0,21.0,455.7
2022-01-23,NL,Maastricht,wind-speed,30,0.1,3.7,1.5,7.28
2022-01-23,NL,Maastricht,pm25,96,42.0,102.0,78.0,1139.13
2022-01-23,NL,Maastricht,pm10,96,14.0,44.0,24.0,284.49
2022-01-23,NL,Maastricht,humidity,120,82.0,98.0,94.0,157.22
2022-01-24,NL,Maastricht,humidity,120,78.5,97.2,89.1,262.15
2022-01-24,NL,Maastricht,pm10,96,2.0,34.0,22.0,405.54
2022-01-24,NL,Maastricht,pm25,95,38.0,85.0,55.0,876.08
2022-01-24,NL,Maastricht,wind-speed,24,0.1,2.7,1.2,5.89
