Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Madison,humidity,48,78.2,91.5,86.5,191.67
2022-01-01,US,Madison,pm10,48,5.0,21.0,13.0,282.11
2022-01-01,US,Madison,pm25,48,15.0,66.0,26.0,3934.75
2022-01-01,US,Madison,wind-speed,48,0.1,6.9,1.9,58.48
2022-01-02,US,Madison,humidity,48,65.0,89.7,78.8,452.52
2022-01-02,US,Madison,pm10,48,5.0,18.0,7.0,125.32
2022-01-02,US,Madison,pm25,48,14.0,61.0,23.0,1330.85
2022-01-02,US,Madison,wind-speed,42,0.1,5.7,1.2,29.49
2022-01-03,US,Madison,wind-speed,46,0.1,5.1,2.7,18.19
2022-01-03,US,Madison,pm25,48,28.0,53.0,40.0,413.58
2022-01-03,US,Madison,humidity,48,60.0,84.1,76.5,556.13
2022-01-03,US,Madison,pm10,48,10.0,18.0,13.0,50.19
2022-01-04,US,Madison,humidity,48,69.3,87.9,84.1,348.37
2022-01-04,US,Madison,pm10,48,12.0,15.0,13.0,6.74
2022-01-04,US,Madison,pm25,48,38.0,52.0,44.0,203.72
2022-01-04,US,Madison,wind-speed,48,0.2,5.5,2.5,26.14
2022-01-05,US,Madison,wind-speed,48,1.7,7.8,4.2,25.02
2022-01-05,US,Madison,humidity,48,73.0,88.6,80.5,197.48
2022-01-05,US,Madison,pm10,48,6.0,29.0,19.0,460.64
2022-01-05,US,Madison,pm25,48,14.0,72.0,23.0,3099.64
2022-01-06,US,Madison,wind-speed,48,1.1,5.6,2.9,13.43
2022-01-06,US,Madison,pm25,48,14.0,35.0,15.0,386.95
2022-01-06,US,Madison,humidity,48,69.7,85.5,78.0,215.86
2022-01-06,US,Madison,pm10,48,5.0,37.0,7.0,1364.95
2022-01-07,US,Madison,humidity,48,58.3,85.9,77.5,674.35
2022-01-07,US,Madison,pm10,48,11.0,69.0,21.0,3339.29
2022-01-07,US,Madison,pm25,48,22.0,66.0,40.0,1265.09
2022-01-07,US,Madison,wind-speed,44,0.1,3.9,1.5,13.22
2022-01-08,US,Madison,wind-speed,48,0.5,7.9,2.9,35.51
2022-01-08,US,Madison,humidity,48,69.2,98.0,80.0,1043.81
2022-01-08,US,Madison,pm10,48,9.0,24.0,14.0,172.75
2022-01-08,US,Madison,pm25,48,22.0,68.0,38.0,2080.95
2022-01-09,US,Madison,wind-speed,48,2.0,6.7,4.0,15.7
2022-01-09,US,Madison,pm25,48,21.0,75.0,35.0,3451.24
2022-01-09,US,Madison,pm10,48,18.0,60.0,24.0,1481.63
2022-01-09,US,Madison,humidity,48,52.4,94.4,61.6,1879.28
2022-01-10,US,Madison,wind-speed,45,0.1,4.7,2.4,15.32
2022-01-10,US,Madison,humidity,48,43.8,68.7,58.0,764.35
2022-01-10,US,Madison,pm10,48,12.0,44.0,30.0,1033.17
2022-01-10,US,Madison,pm25,48,24.0,55.0,36.0,927.8
2022-01-11,US,Madison,pm25,48,25.0,51.0,38.0,377.55
2022-01-11,US,Madison,wind-speed,44,0.1,7.1,2.6,37.2
2022-01-11,US,Madison,humidity,48,55.4,83.0,64.9,669.63
2022-01-11,US,Madison,pm10,48,14.0,21.0,17.0,39.15
2022-01-12,US,Madison,wind-speed,36,0.1,2.5,0.8,4.59
2022-01-12,US,Madison,pm25,47,19.0,68.0,27.0,2546.47
2022-01-12,US,Madison,pm10,48,8.0,24.0,12.0,269.5
2022-01-12,US,Madison,humidity,48,60.4,94.0,83.6,978.47
2022-01-13,US,Madison,humidity,48,68.0,97.5,84.3,813.14
2022-01-13,US,Madison,pm10,46,19.0,40.0,23.0,317.33
2022-01-13,US,Madison,pm25,48,63.0,87.0,73.0,364.14
2022-01-13,US,Madison,wind-speed,36,0.1,4.3,0.8,8.84
2022-01-14,US,Madison,humidity,48,79.9,94.0,83.7,163.94
2022-01-14,US,Madison,pm10,48,6.0,43.0,8.0,1102.11
2022-01-14,US,Madison,pm25,48,17.0,83.0,20.0,2269.89
2022-01-14,US,Madison,wind-speed,48,1.1,4.8,2.4,8.78
2022-01-15,US,Madison,wind-speed,43,0.3,6.0,2.2,31.22
2022-01-15,US,Madison,pm25,47,18.0,54.0,25.0,909.68
2022-01-15,US,Madison,pm10,48,8.0,37.0,16.0,784.4
2022-01-15,US,Madison,humidity,48,72.3,94.0,82.5,342.87
2022-01-16,US,Madison,humidity,48,80.0,92.4,86.4,163.99
2022-01-16,US,Madison,pm10,48,13.0,19.0,15.0,24.1
2022-01-16,US,Madison,pm25,48,52.0,62.0,56.0,76.98
2022-01-16,US,Madison,wind-speed,39,0.3,3.8,1.4,11.26
2022-01-17,US,Madison,humidity,48,62.6,84.3,77.9,465.01
2022-01-17,US,Madison,pm10,48,11.0,63.0,16.0,1597.43
2022-01-17,US,Madison,pm25,48,28.0,58.0,40.0,701.8
2022-01-17,US,Madison,wind-speed,47,0.1,4.7,1.9,16.26
2022-01-18,US,Madison,wind-speed,43,0.1,6.3,3.0,27.25
2022-01-18,US,Madison,pm25,48,33.0,57.0,39.0,603.19
2022-01-18,US,Madison,pm10,48,9.0,18.0,13.0,90.78
2022-01-18,US,Madison,humidity,48,71.5,88.8,83.6,270.45
2022-01-19,US,Madison,humidity,48,57.0,81.9,67.0,466.64
2022-01-19,US,Madison,pm10,48,10.0,46.0,18.0,1076.58
2022-01-19,US,Madison,pm25,48,20.0,56.0,28.0,934.03
2022-01-19,US,Madison,wind-speed,48,0.5,6.6,3.6,20.36
2022-01-20,US,Madison,wind-speed,41,0.2,4.4,1.5,14.93
2022-01-20,US,Madison,humidity,48,54.7,88.1,69.5,833.53
2022-01-20,US,Madison,pm10,48,6.0,32.0,15.0,549.15
2022-01-20,US,Madison,pm25,48,19.0,58.0,27.0,1059.68
2022-01-21,US,Madison,humidity,48,53.8,91.6,74.8,1699.03
2022-01-21,US,Madison,pm10,48,11.0,22.0,14.0,65.53
2022-01-21,US,Madison,pm25,48,27.0,59.0,40.0,1173.76
2022-01-21,US,Madison,wind-speed,39,0.3,6.3,2.6,37.05
2022-01-22,US,Madison,pm25,48,19.0,43.0,36.0,416.8
2022-01-22,US,Madison,wind-speed,47,0.5,6.6,4.0,19.28
2022-01-22,US,Madison,humidity,48,51.2,91.7,73.8,1884.49
2022-01-22,US,Madison,pm10,48,10.0,49.0,14.0,1527.87
2022-01-23,US,Madison,pm25,48,14.0,27.0,20.0,121.26
2022-01-23,US,Madison,wind-speed,32,0.1,5.5,2.4,20.86
2022-01-23,US,Madison,humidity,48,56.9,92.5,78.3,1168.16
2022-01-23,US,Madison,pm10,48,5.0,10.0,7.0,17.59
2022-01-24,US,Madison,wind-speed,43,0.1,5.8,1.9,23.35
2022-01-24,US,Madison,pm25,48,18.0,42.0,26.0,425.07
2022-01-24,US,Madison,pm10,48,6.0,11.0,9.0,22.54
2022-01-24,US,Madison,humidity,48,64.1,91.8,76.9,742.4
2022-01-25,US,Madison,humidity,48,54.3,85.5,69.6,1020.31
2022-01-25,US,Madison,pm10,48,7.0,38.0,9.0,824.04
2022-01-25,US,Madison,pm25,48,17.0,40.0,28.0,324.66
2022-01-25,US,Madison,wind-speed,43,0.1,3.7,1.8,8.87
2022-01-26,US,Madison,humidity,48,55.0,88.3,70.3,1114.49
2022-01-26,US,Madison,pm10,48,10.0,21.0,14.0,70.05
2022-01-26,US,Madison,pm25,47,23.0,53.0,38.0,730.18
2022-01-26,US,Madison,wind-speed,39,0.1,5.1,2.6,25.44
2022-01-27,US,Madison,wind-speed,48,0.3,6.1,3.0,19.09
2022-01-27,US,Madison,pm25,48,16.0,30.0,23.0,157.23
2022-01-27,US,Madison,pm10,48,10.0,20.0,13.0,54.47
2022-01-27,US,Madison,humidity,48,58.1,71.8,67.9,134.9
2022-01-28,US,Madison,humidity,48,50.6,83.1,66.6,985.49
2022-01-28,US,Madison,pm10,48,10.0,54.0,21.0,2338.72
2022-01-28,US,Madison,pm25,48,18.0,57.0,33.0,1219.98
2022-01-28,US,Madison,wind-speed,42,0.1,3.9,1.5,12.74
2022-01-29,US,Madison,humidity,48,59.9,87.5,70.1,518.77
2022-01-29,US,Madison,pm10,48,10.0,22.0,15.0,116.53
2022-01-29,US,Madison,pm25,48,23.0,54.0,33.0,538.09
2022-01-29,US,Madison,wind-speed,43,0.3,5.2,1.7,18.82
2022-01-30,US,Madison,wind-speed,38,0.2,4.2,1.1,14.84
2022-01-30,US,Madison,pm25,48,50.0,65.0,55.0,123.4
2022-01-30,US,Madison,pm10,48,18.0,43.0,24.0,491.28
2022-01-30,US,Madison,humidity,48,62.9,93.8,75.9,692.64
2022-01-31,US,Madison,humidity,48,61.9,94.7,75.9,1305.54
2022-01-31,US,Madison,pm10,48,16.0,35.0,30.0,338.14
2022-01-31,US,Madison,pm25,48,62.0,89.0,78.0,544.89
2022-01-31,US,Madison,wind-speed,40,0.3,5.8,2.0,27.73
2022-02-01,US,Madison,humidity,48,60.0,80.7,67.0,452.36
2022-02-01,US,Madison,pm10,48,21.0,32.0,27.0,64.61
2022-02-01,US,Madison,pm25,48,34.0,85.0,58.0,2341.26
2022-02-01,US,Madison,wind-speed,48,0.9,6.9,2.9,17.47
2022-02-02,US,Madison,wind-speed,48,1.3,6.3,3.1,31.94
