Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Manchester,humidity,192,59.2,89.7,71.8,288.99
2022-01-01,GB,Manchester,pm10,112,8.0,26.0,15.0,104.05
2022-01-01,GB,Manchester,pm25,87,25.0,71.0,42.0,770.13
2022-01-01,GB,Manchester,wind-speed,192,2.0,12.1,4.6,39.22
2022-01-02,GB,Manchester,humidity,192,67.6,95.0,79.0,354.61
2022-01-02,GB,Manchester,pm10,124,5.0,20.0,14.0,169.0
2022-01-02,GB,Manchester,pm25,75,12.0,46.0,30.0,943.27
2022-01-02,GB,Manchester,wind-speed,192,1.0,9.3,3.2,32.34
2022-01-03,GB,Manchester,wind-speed,190,0.4,10.5,2.8,45.93
2022-01-03,GB,Manchester,pm25,82,27.0,46.0,38.0,174.26
2022-01-03,GB,Manchester,humidity,192,55.0,90.2,71.0,399.51
2022-01-03,GB,Manchester,pm10,126,8.0,20.0,14.0,57.86
2022-01-04,GB,Manchester,humidity,192,54.2,93.3,72.8,955.47
2022-01-04,GB,Manchester,pm10,108,1.0,27.0,12.0,217.7
2022-01-04,GB,Manchester,pm25,80,2.0,41.0,30.0,1519.47
2022-01-04,GB,Manchester,wind-speed,182,0.2,10.5,3.1,58.01
2022-01-05,GB,Manchester,wind-speed,165,0.1,9.5,2.6,52.37
2022-01-05,GB,Manchester,humidity,192,50.0,93.9,71.0,789.8
2022-01-05,GB,Manchester,pm10,112,11.0,30.0,16.0,131.34
2022-01-05,GB,Manchester,pm25,77,22.0,77.0,33.0,1442.27
2022-01-06,GB,Manchester,wind-speed,182,0.1,15.0,3.8,81.55
2022-01-06,GB,Manchester,pm25,86,15.0,81.0,32.0,3188.56
2022-01-06,GB,Manchester,humidity,192,62.6,95.0,80.0,524.86
2022-01-06,GB,Manchester,pm10,118,5.0,38.0,20.0,672.69
2022-01-07,GB,Manchester,humidity,192,67.2,96.0,80.5,421.54
2022-01-07,GB,Manchester,pm10,117,5.0,27.0,10.0,205.12
2022-01-07,GB,Manchester,pm25,76,11.0,51.0,25.0,1100.81
2022-01-07,GB,Manchester,wind-speed,190,0.1,8.8,2.3,47.45
2022-01-08,GB,Manchester,humidity,192,71.5,96.0,83.8,306.49
2022-01-08,GB,Manchester,pm10,124,4.0,32.0,12.0,258.08
2022-01-08,GB,Manchester,pm25,84,10.0,59.0,32.0,1657.3
2022-01-08,GB,Manchester,wind-speed,192,0.6,11.9,3.8,56.56
2022-01-09,GB,Manchester,pm10,114,8.0,27.0,15.0,94.67
2022-01-09,GB,Manchester,wind-speed,190,0.7,10.8,2.3,40.63
2022-01-09,GB,Manchester,humidity,192,71.8,92.0,80.2,212.87
2022-01-09,GB,Manchester,pm25,86,17.0,52.0,34.0,770.6
2022-01-10,GB,Manchester,humidity,192,71.6,95.0,82.1,245.1
2022-01-10,GB,Manchester,pm10,104,10.0,28.0,16.0,70.06
2022-01-10,GB,Manchester,pm25,77,34.0,57.0,42.0,311.45
2022-01-10,GB,Manchester,wind-speed,157,0.2,8.2,3.0,23.97
2022-01-11,GB,Manchester,pm25,72,21.0,98.0,55.0,2867.93
2022-01-11,GB,Manchester,humidity,192,72.6,98.7,87.6,263.25
2022-01-11,GB,Manchester,pm10,111,7.0,51.0,15.0,483.18
2022-01-11,GB,Manchester,wind-speed,124,0.1,6.1,0.6,10.98
2022-01-12,GB,Manchester,wind-speed,70,0.1,3.1,0.7,5.87
2022-01-12,GB,Manchester,pm25,87,53.0,153.0,68.0,1834.55
2022-01-12,GB,Manchester,humidity,192,17.8,99.0,89.0,430.6
2022-01-12,GB,Manchester,pm10,117,21.0,56.0,28.0,256.94
2022-01-13,GB,Manchester,humidity,191,39.6,99.0,88.2,484.15
2022-01-13,GB,Manchester,pm10,107,12.0,38.0,26.0,283.23
2022-01-13,GB,Manchester,pm25,81,35.0,100.0,63.0,1934.29
2022-01-13,GB,Manchester,wind-speed,108,0.1,4.8,0.8,9.57
2022-01-14,GB,Manchester,wind-speed,84,0.1,1.6,0.5,2.02
