Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Matsuyama,humidity,166,37.0,72.3,59.9,945.48
2022-01-01,JP,Matsuyama,pm10,86,1.0,29.0,6.0,378.34
2022-01-01,JP,Matsuyama,pm25,124,5.0,68.0,17.0,1475.42
2022-01-01,JP,Matsuyama,wind-speed,166,0.5,6.1,2.0,13.48
2022-01-02,JP,Matsuyama,humidity,165,38.0,74.9,66.2,859.15
2022-01-02,JP,Matsuyama,pm10,77,1.0,30.0,5.0,404.99
2022-01-02,JP,Matsuyama,pm25,127,5.0,68.0,21.0,2238.65
2022-01-02,JP,Matsuyama,wind-speed,165,0.5,5.1,2.5,9.41
2022-01-03,JP,Matsuyama,pm25,142,5.0,78.0,30.0,2868.65
2022-01-03,JP,Matsuyama,wind-speed,168,1.0,4.1,2.0,9.3
2022-01-03,JP,Matsuyama,humidity,168,43.1,77.2,63.0,1160.79
2022-01-03,JP,Matsuyama,pm10,94,1.0,39.0,9.0,565.32
2022-01-04,JP,Matsuyama,humidity,168,45.1,70.0,49.2,508.5
2022-01-04,JP,Matsuyama,pm10,150,1.0,59.0,16.0,862.61
2022-01-04,JP,Matsuyama,pm25,163,5.0,165.0,55.0,4485.38
2022-01-04,JP,Matsuyama,wind-speed,168,1.5,3.6,2.5,4.33
2022-01-05,JP,Matsuyama,humidity,161,50.2,84.1,60.1,784.36
2022-01-05,JP,Matsuyama,pm10,100,1.0,27.0,7.0,389.32
2022-01-05,JP,Matsuyama,pm25,145,5.0,76.0,34.0,2180.61
2022-01-05,JP,Matsuyama,precipitation,7,99.0,99.0,99.0,0.0
2022-01-05,JP,Matsuyama,wind-speed,161,0.5,5.1,2.0,9.86
2022-01-06,JP,Matsuyama,wind-speed,168,0.5,5.6,2.5,10.54
2022-01-06,JP,Matsuyama,pm25,153,5.0,68.0,30.0,1453.96
2022-01-06,JP,Matsuyama,precipitation,28,0.2,99.0,99.0,6693.86
2022-01-06,JP,Matsuyama,humidity,168,44.0,95.9,63.1,1068.64
2022-01-06,JP,Matsuyama,pm10,121,1.0,27.0,8.0,328.05
2022-01-07,JP,Matsuyama,humidity,168,39.1,91.9,60.2,1714.57
2022-01-07,JP,Matsuyama,pm10,96,1.0,29.0,9.0,328.97
2022-01-07,JP,Matsuyama,pm25,141,5.0,70.0,25.0,2287.87
2022-01-07,JP,Matsuyama,precipitation,2,99.0,99.0,99.0,0.0
2022-01-07,JP,Matsuyama,wind-speed,168,0.5,4.1,2.0,7.12
2022-01-08,JP,Matsuyama,humidity,166,46.0,75.3,67.0,805.46
2022-01-08,JP,Matsuyama,pm10,98,1.0,26.0,9.0,280.9
2022-01-08,JP,Matsuyama,pm25,145,5.0,87.0,34.0,2425.14
2022-01-08,JP,Matsuyama,wind-speed,166,0.5,3.6,2.0,6.04
2022-01-09,JP,Matsuyama,pm10,113,1.0,32.0,10.0,546.21
2022-01-09,JP,Matsuyama,wind-speed,166,0.5,4.1,1.5,8.14
2022-01-09,JP,Matsuyama,humidity,166,40.0,80.9,68.1,1285.68
2022-01-09,JP,Matsuyama,pm25,153,5.0,82.0,42.0,2650.32
2022-01-10,JP,Matsuyama,humidity,166,50.0,83.8,70.1,1023.83
2022-01-10,JP,Matsuyama,pm10,147,1.0,50.0,19.0,853.06
2022-01-10,JP,Matsuyama,pm25,166,13.0,112.0,63.0,4092.24
2022-01-10,JP,Matsuyama,wind-speed,166,0.5,3.6,1.5,7.2
2022-01-11,JP,Matsuyama,precipitation,21,0.1,99.5,0.5,22955.1
2022-01-11,JP,Matsuyama,humidity,167,46.1,88.8,73.0,1243.37
2022-01-11,JP,Matsuyama,pm10,119,1.0,41.0,12.0,768.42
2022-01-11,JP,Matsuyama,pm25,154,5.0,95.0,50.0,5052.51
2022-01-11,JP,Matsuyama,wind-speed,167,0.5,14.9,4.6,47.23
2022-01-12,JP,Matsuyama,wind-speed,167,1.0,6.6,2.0,16.88
2022-01-12,JP,Matsuyama,precipitation,12,99.0,99.0,99.0,0.0
2022-01-12,JP,Matsuyama,pm25,143,5.0,74.0,25.0,1859.95
2022-01-12,JP,Matsuyama,pm10,106,1.0,38.0,8.0,421.89
2022-01-12,JP,Matsuyama,humidity,167,28.0,66.0,51.1,896.63
2022-01-13,JP,Matsuyama,humidity,168,46.0,80.0,54.0,475.9
2022-01-13,JP,Matsuyama,pm10,127,1.0,42.0,10.0,510.23
2022-01-13,JP,Matsuyama,pm25,120,9.0,76.0,42.0,3602.65
2022-01-13,JP,Matsuyama,precipitation,15,99.0,99.5,99.0,0.17
2022-01-13,JP,Matsuyama,wind-speed,168,2.0,9.2,4.1,13.06
2022-01-14,JP,Matsuyama,wind-speed,166,1.5,5.1,2.5,13.34
2022-01-14,JP,Matsuyama,pm25,114,5.0,65.0,30.0,1715.76
2022-01-14,JP,Matsuyama,precipitation,13,99.0,99.0,99.0,0.0
2022-01-14,JP,Matsuyama,humidity,166,41.0,67.9,51.1,551.33
2022-01-14,JP,Matsuyama,pm10,98,1.0,24.0,9.0,318.6
2022-01-15,JP,Matsuyama,humidity,166,30.0,83.9,68.2,1681.17
2022-01-15,JP,Matsuyama,pm10,88,1.0,28.0,7.0,320.97
2022-01-15,JP,Matsuyama,pm25,134,5.0,68.0,25.0,1895.76
2022-01-15,JP,Matsuyama,wind-speed,166,0.5,3.0,1.5,3.84
2022-01-16,JP,Matsuyama,wind-speed,167,1.0,7.7,2.5,39.02
2022-01-16,JP,Matsuyama,humidity,167,57.0,84.1,71.1,743.91
2022-01-16,JP,Matsuyama,pm10,108,1.0,42.0,10.0,628.31
2022-01-16,JP,Matsuyama,pm25,147,5.0,151.0,34.0,6194.29
2022-01-16,JP,Matsuyama,precipitation,21,99.0,99.0,99.0,0.0
2022-01-17,JP,Matsuyama,pm25,151,5.0,91.0,38.0,4207.31
2022-01-17,JP,Matsuyama,wind-speed,167,1.0,8.7,3.6,30.25
2022-01-17,JP,Matsuyama,humidity,167,35.1,71.3,51.0,1042.64
2022-01-17,JP,Matsuyama,pm10,110,1.0,33.0,12.0,473.69
2022-01-18,JP,Matsuyama,humidity,168,45.0,68.9,53.0,275.79
2022-01-18,JP,Matsuyama,pm10,96,1.0,32.0,9.0,370.58
2022-01-18,JP,Matsuyama,pm25,149,5.0,70.0,34.0,1763.75
2022-01-18,JP,Matsuyama,precipitation,28,99.0,99.0,99.0,0.0
2022-01-18,JP,Matsuyama,wind-speed,168,1.5,7.2,3.0,17.49
2022-01-19,JP,Matsuyama,humidity,168,40.2,72.3,63.3,937.61
2022-01-19,JP,Matsuyama,pm10,84,1.0,24.0,6.0,275.78
2022-01-19,JP,Matsuyama,pm25,146,5.0,61.0,30.0,1818.85
2022-01-19,JP,Matsuyama,wind-speed,168,0.5,4.6,2.0,13.28
2022-01-20,JP,Matsuyama,wind-speed,168,0.5,5.1,3.6,15.52
2022-01-20,JP,Matsuyama,precipitation,21,99.0,99.0,99.0,0.0
2022-01-20,JP,Matsuyama,pm25,135,5.0,87.0,34.0,3737.26
